"","HOLX.Open","HOLX.High","HOLX.Low","HOLX.Close","HOLX.Volume"
"2011-09-15",16.47,16.61,16.25,16.47,1290584
"2011-09-22",15.28,15.5,14.91,15.15,3669088
"2011-09-29",15.99,16,15.2,15.61,1815461
"2011-10-06",15.04,15.37,14.96,15.21,1570194
"2011-10-13",15.26,15.35,14.92,15.25,2289151
"2011-10-20",14.57,14.75,14.4,14.66,2637134
"2011-10-27",15.86,16.47,15.52,15.93,2464883
"2011-11-03",15.56,16.18,15.41,16.16,2911457
"2011-11-10",17.25,17.31,16.93,17.09,3039421
"2011-11-17",17.48,17.49,16.91,16.96,2411907
"2011-12-01",17.57,17.95,16.61,17.55,5598650
"2011-12-08",17.21,17.26,16.67,16.71,2118688
"2011-12-15",16.79,16.79,16.33,16.39,1880871
"2011-12-22",17.05,17.32,17.05,17.17,1699892
"2011-12-29",17.2,17.65,17.13,17.59,1165864
"2012-01-05",17.78,18.37,17.76,18.36,2323367
"2012-01-12",18.95,19.29,18.56,19.26,1856579
"2012-01-19",19.33,19.77,19.21,19.64,2124262
"2012-01-26",19.2,19.45,19.05,19.34,2027367
"2012-02-02",20.6,20.69,20.29,20.5,2058136
"2012-02-09",20.65,20.92,20.47,20.92,2039175
"2012-02-16",20.82,21.42,20.82,21.38,1319159
"2012-02-23",21.01,21.14,20.87,21.07,743765
"2012-03-01",20.77,21.13,20.65,20.95,4689460
"2012-03-08",20.41,21.25,20.36,21.04,3093528
"2012-03-15",21.39,21.39,21.02,21.26,1900933
"2012-03-22",20.89,21.36,20.87,21.29,2337419
"2012-03-29",21.7,21.82,21.44,21.74,1450732
"2012-04-05",21.94,22.05,21.73,21.9,1306147
"2012-04-12",20.79,21.28,20.79,21.18,1073561
"2012-04-19",21,21.21,20.58,20.68,1318628
"2012-04-26",20.89,21.26,20.68,21.16,998964
"2012-05-03",18.24,18.25,17.48,17.58,4951009
"2012-05-10",17.17,17.4,16.89,17.24,5970029
"2012-05-17",17.39,17.45,16.96,16.96,5507541
"2012-05-24",17.27,17.3,16.93,16.97,2523175
"2012-05-31",16.8,16.97,16.6,16.76,3450166
"2012-06-07",17.04,17.1,16.75,16.84,4264543
"2012-06-14",16.83,17.21,16.82,17.11,2497174
"2012-06-21",18.08,18.13,17.33,17.34,4816313
"2012-06-28",17.6,17.69,17.33,17.66,2256235
"2012-07-05",18.54,18.68,18.31,18.45,2136322
"2012-07-12",17.99,18.93,17.99,18.71,6010232
"2012-07-19",19.3,19.35,19.09,19.24,1710780
"2012-07-26",18.65,18.68,17.7,17.98,3839639
"2012-08-02",18.52,19.09,18.5,18.83,2640915
"2012-08-09",19.69,19.81,19.46,19.8,1427700
"2012-08-16",19.76,20,19.67,19.82,1590338
"2012-08-23",19.6,19.94,19.57,19.77,1579909
"2012-08-30",19.69,19.84,19.6,19.71,822421
"2012-09-06",20.04,20.3,19.93,20.12,2486818
"2012-09-13",19.85,20.33,19.73,20.21,2681559
"2012-09-20",20.9,20.99,20.61,20.95,1473734
"2012-09-27",20.39,20.5,20.25,20.35,2364007
"2012-10-04",21.32,21.57,21.04,21.55,2042988
"2012-10-11",21.58,21.75,21.37,21.45,1769004
"2012-10-18",21.64,21.71,21.14,21.39,2112879
"2012-10-25",20.33,20.57,20.1,20.33,1121713
"2012-11-01",20.58,21.22,20.57,21.06,2182736
"2012-11-08",20.24,20.3,19.9,20.07,2370299
"2012-11-15",19.83,19.9,19.3,19.43,4550486
"2012-11-29",19.09,19.16,18.89,18.99,4434149
"2012-12-06",19.13,19.4,19.1,19.25,2476405
"2012-12-13",19.83,19.93,19.68,19.82,2018629
"2012-12-20",20.38,20.49,20.31,20.42,1461716
"2012-12-27",20.21,20.28,19.9,20.12,1665739
"2013-01-03",20.47,20.87,20.39,20.72,2372651
"2013-01-10",22.44,22.76,22.32,22.68,4103310
"2013-01-17",22.75,23.02,22.65,22.97,2862543
"2013-01-24",23.1,23.49,23.1,23.33,1654224
"2013-01-31",23.56,23.96,23.46,23.84,2031593
"2013-02-07",22.05,22.21,21.5,21.89,6692040
"2013-02-14",22.05,22.24,21.9,22.1,2032297
"2013-02-21",21.51,21.55,21.04,21.31,2723499
"2013-02-28",22.07,22.18,21.81,21.82,1875329
"2013-03-07",22.09,22.09,21.81,22.01,1147229
"2013-03-14",22.26,22.47,22.22,22.46,1181638
"2013-03-21",22.21,22.51,22.04,22.18,1644848
"2013-03-28",22.32,22.63,22.3,22.6,1411107
"2013-04-04",22.17,22.22,21.71,22.04,1692132
"2013-04-11",22.05,22.21,21.77,22.03,1616658
"2013-04-18",20.99,21.5,20.64,21.23,2820581
"2013-04-25",20.46,20.58,20.12,20.5,2890579
"2013-05-02",20.24,20.38,19.85,19.92,5124467
"2013-05-09",20.31,20.66,20.26,20.51,2554247
"2013-05-16",21.02,21.26,20.84,20.87,2116087
"2013-05-23",20.33,20.48,20.19,20.39,3797322
"2013-05-30",20.2,20.79,20.2,20.62,2840351
"2013-06-06",20.37,20.99,20.2,20.98,3040757
"2013-06-13",21.93,21.97,21.43,21.64,3162616
"2013-06-20",20.27,20.33,19.61,19.68,3410428
"2013-06-27",19.47,19.55,18.98,19.04,6171933
"2013-07-11",19.12,19.55,19.12,19.54,2631236
"2013-07-18",19.61,20.01,19.51,19.97,2990219
"2013-07-25",22.62,22.74,22.36,22.68,3055361
"2013-08-01",22.88,23.24,22.65,22.86,3037421
"2013-08-08",22.5,22.76,22.47,22.68,1939363
"2013-08-15",22.51,22.65,22.28,22.64,2019665
"2013-08-22",22.67,22.84,22.49,22.75,680667
"2013-08-29",21.56,21.72,21.39,21.57,1846205
"2013-09-05",21.25,21.35,21,21.22,4598898
"2013-09-12",20.49,20.63,20.31,20.32,2931473
"2013-09-19",20.35,20.51,20.03,20.13,7926086
"2013-09-26",20.31,20.52,20.29,20.41,1955429
"2013-10-03",20.94,21.06,20.68,20.86,3355488
"2013-10-10",21.7,21.75,21.25,21.42,2883549
"2013-10-17",22.19,22.28,21.94,22.02,4525170
"2013-10-24",22.5,22.55,22.23,22.42,1473099
"2013-10-31",22.41,22.52,22.22,22.38,2555677
"2013-11-07",22.26,22.47,22.14,22.16,4294676
"2013-11-14",20.52,21.14,20.43,21.11,7152049
"2013-11-21",22.97,23.07,22.61,22.7,18519613
"2013-12-05",22.19,22.47,22.1,22.47,2533968
"2013-12-12",21.7,21.84,21.55,21.65,3727668
"2013-12-19",22.37,22.48,22.24,22.44,2890452
"2013-12-26",22.54,22.64,22.38,22.52,1563038
"2014-01-02",22.22,22.3,21.91,21.94,2475125
"2014-01-09",22.16,22.19,21.8,22.07,2216567
"2014-01-16",22.24,22.6,22.2,22.57,1849905
"2014-01-23",21.68,21.94,21.55,21.94,1606089
"2014-01-30",21.12,21.12,20.75,21.01,2782178
"2014-02-06",20.74,20.92,20.56,20.75,1854103
"2014-02-13",21.47,21.72,21.3,21.32,2939646
"2014-02-20",21.44,21.66,21.33,21.48,1853789
"2014-02-27",21.65,21.85,21.47,21.74,1966566
"2014-03-06",21.75,22.2,21.73,21.98,3863755
"2014-03-13",22.1,22.28,21.35,21.5,2977204
"2014-03-20",21.57,21.6,21.34,21.49,1630180
"2014-03-27",20.87,20.98,20.61,20.76,2001788
"2014-04-03",21.9,21.94,21.66,21.89,2327191
"2014-04-10",21.82,21.84,21.3,21.41,2061021
"2014-04-17",21.01,21.02,20.74,20.79,2136299
"2014-04-24",20.78,20.99,20.5,20.73,6041553
"2014-05-01",22.4,23.23,22.15,22.66,7087521
"2014-05-08",24.51,24.64,24.07,24.18,3753531
"2014-05-15",24.18,24.22,23.77,23.87,2687535
"2014-05-22",23.73,24.05,23.66,23.84,2282084
"2014-05-29",24.03,24.35,23.94,24.25,2448221
"2014-06-05",24.61,24.78,24.46,24.65,1084439
"2014-06-12",24.71,24.8,24.33,24.48,1532980
"2014-06-19",25.39,25.41,25.03,25.28,1843390
"2014-06-26",25.53,25.71,25.31,25.51,1635151
"2014-07-03",25.64,26.04,25.54,26.02,2161914
"2014-07-10",25.22,25.52,25.04,25.48,1136985
"2014-07-17",25.26,25.47,25.04,25.05,962338
"2014-07-24",25.66,25.73,25.37,25.63,780226
"2014-07-31",26.75,26.75,25.9,26.07,3474061
"2014-08-07",25.64,25.8,25.22,25.33,1133485
"2014-08-14",26.05,26.35,25.98,26.28,1422996
"2014-08-21",25.49,25.54,25.18,25.2,1597163
"2014-08-28",24.79,24.94,24.54,24.71,1983673
"2014-09-04",25.19,25.43,24.79,24.89,1214955
"2014-09-11",25.19,25.28,25,25.14,1568271
"2014-09-18",24.71,24.77,24.46,24.57,1610881
"2014-09-25",24.56,24.62,24.14,24.21,1658453
"2014-10-02",23.85,24.04,23.43,23.88,5056098
"2014-10-09",24.53,24.54,23.97,23.97,1319121
"2014-10-16",22.96,23.31,22.87,23.15,2224903
"2014-10-23",24.06,24.97,23.86,24.77,1607573
"2014-10-30",25.63,25.99,25.53,25.92,1061010
"2014-11-06",27.01,27.29,26.46,26.58,3120576
"2014-11-13",26.65,26.76,26.44,26.52,1088794
"2014-11-20",26.08,26.43,26.05,26.39,972349
"2014-12-04",26.61,26.63,26.45,26.52,806318
"2014-12-11",26.52,26.71,26.33,26.37,1588774
"2014-12-18",26.91,26.98,26.49,26.96,1482339
"2015-01-08",27.09,27.14,26.46,27.11,3009629
"2015-01-15",28.98,29.16,28.5,28.76,1276741
"2015-01-22",29.57,29.67,29.24,29.51,3523448
"2015-01-29",30,31.2,29.95,31.12,4796763
"2015-02-05",30.16,30.49,30.1,30.27,2313100
"2015-02-12",30.21,30.28,30.02,30.25,1569161
"2015-02-19",31.49,31.8,31.24,31.66,3135226
"2015-02-26",31.98,32.21,31.78,32.21,1231612
"2015-03-05",31.38,32.54,31.23,32.44,1927663
"2015-03-12",32.02,32.28,31.88,32.25,634616
"2015-03-19",32.75,33.03,32.68,32.98,1720237
"2015-03-26",31.84,32.14,31.3,31.94,1605191
"2015-04-02",32.65,33.14,32.57,32.94,1256428
"2015-04-09",33.35,33.45,32.94,33.4,629608
"2015-04-16",32.6,32.84,32.56,32.82,804257
"2015-04-23",33.16,33.61,33.14,33.42,2913868
"2015-04-30",34.37,34.65,33.39,33.74,6511912
"2015-05-07",33.35,33.88,32.95,33.64,1062542
"2015-05-14",34.23,34.4,33.98,34.3,1041645
"2015-05-21",34.85,35.01,34.57,34.96,1146027
"2015-05-28",35.34,35.45,35,35.29,1880005
"2015-06-04",36.17,36.45,36.08,36.26,1630224
"2015-06-11",37.11,37.6,37.02,37.4,1861563
"2015-06-18",37.38,37.95,37.37,37.87,1615173
"2015-06-25",37.79,37.84,37.62,37.68,1751887
"2015-07-02",38.16,38.46,37.93,38.41,2481369
"2015-07-09",38.23,38.32,37.95,37.96,2462544
"2015-07-16",37.96,38.55,37.48,38.1,4599233
"2015-07-23",37.98,38.05,37.58,37.62,2072560
"2015-07-30",41.5,42.35,40.68,40.75,12760948
"2015-08-06",42.13,42.43,40.4,40.42,5881180
"2015-08-13",42.09,42.26,41.68,41.73,4395991
"2015-08-20",41.91,42.17,40.86,40.87,1796822
"2015-08-27",39.29,39.47,38.71,39.31,2317202
"2015-09-03",38.12,38.82,38.12,38.43,2638752
