"","HP.Open","HP.High","HP.Low","HP.Close","HP.Volume"
"2011-09-15",54.84,55.18,53.85,54.13,1222328
"2011-09-22",46.17,46.19,44.01,45.39,2329785
"2011-09-29",44.51,45.55,41.74,43.35,2521296
"2011-10-06",42.23,44.3,41.6,42.26,3836965
"2011-10-13",46.05,46.76,44.91,46.54,1538720
"2011-10-20",46.83,47.68,45.89,47.42,1378093
"2011-10-27",52.58,57,52.44,55.75,3364410
"2011-11-03",51.82,54.86,51.63,54.39,2003049
"2011-11-10",52.89,54.46,52.01,53.58,1382603
"2011-11-17",56.04,57.44,53.37,54.13,2387398
"2011-12-01",56.65,58.65,56.52,57.85,1960234
"2011-12-08",59.49,60.02,58.58,58.77,2172881
"2011-12-15",54.8,55.03,53.61,53.88,1367873
"2011-12-22",58.21,58.39,57.1,58.2,1071476
"2011-12-29",57.5,58.7,57.36,58.26,704068
"2012-01-05",61.55,63.27,61.2,63.04,1839833
"2012-01-12",62.27,62.7,59.13,59.3,3279278
"2012-01-19",61.01,61.77,60.51,60.89,2225877
"2012-01-26",63.21,63.95,60.35,60.76,1776470
"2012-02-02",61.53,62.45,60.83,61.81,2084556
"2012-02-09",60.85,60.92,59.54,59.94,1665038
"2012-02-16",58.94,60.42,58.63,60.32,1707108
"2012-02-23",63.15,63.57,61.91,62.7,1181240
"2012-03-01",61.67,62.96,61.28,62.38,1437799
"2012-03-08",59.78,61,59.01,60.43,957692
"2012-03-15",58.9,59.24,57.59,58.61,1075850
"2012-03-22",56.28,56.28,54.23,54.8,1993746
"2012-03-29",52.74,53.23,51.69,52.4,2057029
"2012-04-05",53.39,55,53.27,53.5,1595660
"2012-04-12",52.18,54.65,52.14,54.38,1306449
"2012-04-19",52.49,53.34,51.96,52.33,1058915
"2012-04-26",52.82,53.6,51.83,52.87,3582490
"2012-05-03",50.78,50.84,49.09,49.28,1675887
"2012-05-10",47.56,48.34,46.26,46.38,2623163
"2012-05-17",43.73,44.82,43.31,43.55,2048034
"2012-05-24",46.72,46.75,45.13,45.83,1896639
"2012-05-31",45.98,46.22,44.26,45.3,1779863
"2012-06-07",48.15,48.48,46.62,47.04,1310591
"2012-06-14",43.56,44.25,43.02,43.64,2350228
"2012-06-21",45.56,45.73,42.24,42.29,1955103
"2012-06-28",40.1,41.61,40.08,41.53,2765860
"2012-07-05",45.5,45.5,44.28,44.75,1323421
"2012-07-12",42.67,43.09,41.82,42.66,1659915
"2012-07-19",45.95,46.38,45.6,45.75,1130085
"2012-07-26",44.34,45.99,44.09,45.77,1942971
"2012-08-02",46.13,46.8,44.98,46.08,1278020
"2012-08-09",47.61,48.98,47.52,48.83,1081665
"2012-08-16",47.76,48.72,47.62,48.54,755352
"2012-08-23",48.11,48.41,46.94,46.99,992213
"2012-08-30",44.88,45.01,44.35,44.89,905526
"2012-09-06",44.75,45.97,44.52,45.79,2073081
"2012-09-13",48.46,50.29,47.5,49.99,2039010
"2012-09-20",48.69,49.16,48.28,48.92,1550217
"2012-09-27",46.87,48.04,46.7,47.94,1481504
"2012-10-04",45.6,46.35,45.22,46.35,1297824
"2012-10-11",48.26,48.88,47.64,48.26,3293550
