"","HRS.Open","HRS.High","HRS.Low","HRS.Close","HRS.Volume"
"2011-09-15",40.66,40.71,39.99,40.69,871597
"2011-09-22",36.22,36.61,34.88,35.19,2674764
"2011-09-29",35.89,36.08,34.63,35.45,1003516
"2011-10-06",34.99,36.03,34.69,35.99,1088040
"2011-10-13",36.12,36.25,35.57,36.17,697526
"2011-10-20",35.74,36.38,35.22,36.22,945470
"2011-10-27",38.85,39.92,36.86,38.72,2898439
"2011-11-03",37.38,38.23,36.86,38.15,936487
"2011-11-10",37.62,37.62,36.91,37.26,1046578
"2011-11-17",37.39,37.49,36.49,36.87,969607
"2011-12-01",35.45,35.95,35.45,35.71,854143
"2011-12-08",35.68,35.87,34.98,35.05,887656
"2011-12-15",34.58,34.74,33.91,34.01,583326
"2011-12-22",35.72,36.86,35.46,36.64,1017357
"2011-12-29",36.32,36.52,35.76,36.2,801048
"2012-01-05",36.34,36.79,36.1,36.68,877292
"2012-01-12",38.25,38.71,38.12,38.68,962297
"2012-01-19",39.46,39.57,39.14,39.32,567144
"2012-01-26",39.01,39.25,38.82,39.25,881575
"2012-02-02",41.36,41.6,40.97,41.12,1383489
"2012-02-09",42.71,42.85,42.31,42.48,707812
"2012-02-16",42.57,42.83,42.28,42.72,931810
"2012-02-23",42.36,43.04,42.36,42.97,917039
"2012-03-01",43.85,44.11,43.64,43.93,1157489
"2012-03-08",42.85,43.42,42.85,43.28,634448
"2012-03-15",43.93,44.32,43.74,44.2,584965
"2012-03-22",43.65,43.85,43.32,43.72,987537
"2012-03-29",44.49,44.82,44.23,44.72,567480
"2012-04-05",44.2,44.46,43.83,44.06,715684
"2012-04-12",43.82,44.54,43.81,44.34,463202
"2012-04-19",44.53,44.76,43.87,44.21,641983
"2012-04-26",44.89,45.43,44.8,45.35,795835
"2012-05-03",42.6,42.61,41.89,41.92,1181810
"2012-05-10",41.7,41.78,41.27,41.34,703120
"2012-05-17",39.6,39.75,38.91,38.95,732523
"2012-05-24",40.32,40.32,38.92,39.18,1010246
"2012-05-31",39.48,40.1,38.99,39.78,1346048
"2012-06-07",41.3,41.69,40.58,40.67,826513
"2012-06-14",40.51,40.92,40.13,40.79,639028
"2012-06-21",42.29,42.32,40.95,41.02,560966
"2012-06-28",41.34,41.56,40.58,40.92,902353
"2012-07-05",42.06,43.33,42.06,43.24,1014195
"2012-07-12",40.18,40.43,39.98,40.25,510441
"2012-07-19",41.5,42.01,41.27,41.77,554374
"2012-07-26",41.18,41.46,40.83,41.25,418573
"2012-08-02",41.95,42.7,41.68,42.39,927892
"2012-08-09",45.07,45.92,44.94,45.56,705308
"2012-08-16",45.97,46.3,45.88,46,893285
"2012-08-23",46.15,46.64,45.91,46.64,913757
"2012-08-30",47.04,47.36,46.76,47.09,922934
"2012-09-06",46.5,47.28,46.37,46.95,976305
"2012-09-13",48.75,49.95,48.37,49.54,1368504
"2012-09-20",50.43,51.04,50.43,50.7,1028561
"2012-09-27",50.97,51.47,50.85,51.34,971108
"2012-10-04",51.67,51.79,50.99,51.12,1425315
"2012-10-11",51.35,51.57,50.78,50.85,418025
"2012-10-18",47.16,47.25,46.68,46.95,1132802
"2012-10-25",46.82,47.26,46.7,47.06,719771
"2012-11-01",45.79,47.71,45.75,47.66,876928
"2012-11-08",48.35,48.82,47.89,47.96,760224
"2012-11-15",46.91,47.2,46.03,46.3,1453990
"2012-11-29",47.02,47.58,46.78,47.24,622200
"2012-12-06",47.02,48.05,46.25,48.03,1130535
"2012-12-13",48.92,49.38,48.51,48.8,790576
"2012-12-20",50,50.2,49.69,49.9,1169344
"2012-12-27",49.4,49.48,48.5,49.12,465822
"2013-01-03",50.21,50.46,49.42,49.44,774112
"2013-01-10",50.28,50.53,49.81,50.04,495923
"2013-01-17",49.86,50.02,49.66,49.73,627870
"2013-01-24",49.59,49.85,49.24,49.48,764508
"2013-01-31",46.86,47.05,46.15,46.2,1317012
"2013-02-07",46.56,46.88,46.21,46.53,879865
"2013-02-14",46.96,47.87,46.87,47.74,932812
"2013-02-21",47.21,47.21,46.68,47,878315
"2013-02-28",47.92,48.44,47.92,48.07,816172
"2013-03-07",45.75,46.23,45.48,45.74,786382
