"","HUM.Open","HUM.High","HUM.Low","HUM.Close","HUM.Volume"
"2011-09-15",78.47,78.65,76.34,78.26,1820346
"2011-09-22",72.57,76.69,72.57,76.27,3161428
"2011-09-29",77.5,77.72,73.62,75.07,1631317
"2011-10-06",69.74,70.89,69.21,70.38,1725751
"2011-10-13",74.62,75.59,73.3,74.02,1487909
"2011-10-20",74.54,74.74,73.1,74.29,1295673
"2011-10-27",82.6,82.81,79.89,80.34,1805039
"2011-11-03",86.93,87.04,85.6,86.62,1574456
"2011-11-10",86.89,87.11,84.96,86.57,1190479
"2011-11-17",84.69,86.2,83.94,84.79,1609496
"2011-12-01",87.99,89.38,87.99,89.03,1223487
"2011-12-08",86.51,87.16,85.24,85.37,757199
"2011-12-15",85.11,85.88,84.41,84.59,1218319
"2011-12-22",87.99,88.77,87.77,88.27,658292
"2011-12-29",88.03,88.77,87.59,88.25,683831
"2012-01-05",89.43,91.76,89.2,91.68,1954344
"2012-01-12",94.88,94.88,93.41,93.89,989201
"2012-01-19",94.44,95.45,94,94.94,1466200
"2012-01-26",89.85,89.99,84.55,87.11,5521486
"2012-02-02",91.41,91.41,89.51,90.28,1649363
"2012-02-09",85.16,85.54,84.04,85.16,2061415
"2012-02-16",87.32,88.1,86.91,87.79,1728518
"2012-02-23",88.89,89.62,87.68,87.78,1828775
"2012-03-01",87.11,88.07,86.85,87.72,1868980
"2012-03-08",87,88.08,86.74,87.8,853695
"2012-03-15",87.41,88,86.53,87.02,862382
"2012-03-22",84.91,85.6,84.68,85.3,1533193
"2012-03-29",87.89,93.36,87.82,91.54,3903740
"2012-04-05",90.53,91.46,90.13,91.27,1055431
"2012-04-12",89.38,90.11,88.53,89.85,1206470
"2012-04-19",88.47,90.64,87.92,89.75,1450149
"2012-04-26",86.5,89.88,86.2,89.17,2062990
"2012-05-03",82.87,83.42,80.23,81.39,4254061
"2012-05-10",79.56,80.63,79.23,79.4,1789517
"2012-05-17",76.19,76.72,75.13,75.68,1419898
"2012-05-24",77.12,78.34,76.44,77.31,1240353
"2012-05-31",76.78,76.97,75.78,76.39,1380901
"2012-06-07",78.01,79.1,76.98,77.08,2175932
"2012-06-14",78.64,79.54,78.09,79.02,1501502
"2012-06-21",80.28,80.33,78.4,78.48,1190498
"2012-06-28",79.56,81.35,75.77,79.56,4654128
"2012-07-05",77.24,77.85,75.9,76.27,1387067
"2012-07-12",74.35,74.58,72.82,73.61,2345825
"2012-07-19",74.23,75.48,73.03,73.52,2181357
"2012-07-26",70.73,70.75,67.98,68.2,3159572
"2012-08-02",63.9,63.9,62,62.88,3449987
"2012-08-09",67.69,68.29,66.47,66.84,2547570
"2012-08-16",67.76,67.99,67.12,67.93,1944270
"2012-08-23",68.75,69.56,68.35,69.23,1237301
"2012-08-30",70.19,70.19,68.82,68.94,1827804
"2012-09-06",70.83,71.75,70.71,71.67,1325853
"2012-09-13",68.85,69.52,67.97,69.41,2171997
"2012-09-20",69.4,70.02,69,69.92,1048439
"2012-09-27",69.98,70.72,69.47,70.4,744094
"2012-10-04",74.85,76.84,74.85,74.85,2682018
"2012-10-11",74.79,75.63,74.79,75.33,1451643
"2012-10-18",74.76,75.87,74.76,75.72,1521398
"2012-10-25",76.65,76.99,74.95,75.55,1490059
"2012-11-01",74.39,76.2,74.39,75.94,1940583
"2012-11-08",70.17,70.78,68.46,69.13,4601644
"2012-11-15",66.48,67.28,65.75,66.11,3205455
"2012-11-29",65.15,65.97,65.15,65.73,1308998
"2012-12-06",65.05,65.21,64.56,65.19,1093709
"2012-12-13",67.5,68.19,66.78,66.87,1271943
"2012-12-20",67.91,68.61,67.68,68.23,1287360
"2012-12-27",68.37,68.6,67.53,68,968818
"2013-01-03",68.26,68.28,66.07,66.25,2831918
"2013-01-10",67.34,69.48,67.25,69.24,2058486
"2013-01-17",70.76,71.7,70.62,71.51,1320585
"2013-01-24",72.61,73.95,72.48,73.86,1871808
"2013-01-31",74.1,74.6,73.33,74.36,2130972
"2013-02-07",81.2,81.62,80.47,81.52,1873321
"2013-02-14",78.08,78.17,77.73,77.83,1744374
"2013-02-21",72.74,73.72,71.82,72.65,2667482
"2013-02-28",69.14,69.5,68.01,68.26,2935329
"2013-03-07",67.09,67.7,67.01,67.39,1929321
"2013-03-14",68.9,69.26,68.41,69.23,2223948
"2013-03-21",69.07,69.66,67.86,68.36,3304847
"2013-03-28",68.63,69.44,68.05,69.11,2543702
"2013-04-04",79.79,81.28,79.02,79.6,3219541
"2013-04-11",79,79.19,78.43,78.82,1798774
"2013-04-18",72.88,72.88,70.58,72.21,4850048
"2013-04-25",72.39,73.07,72.19,73.05,1882997
"2013-05-02",77.62,77.94,74.92,75.31,2833212
"2013-05-09",78.44,79.01,76.88,78.06,2639483
"2013-05-16",79.18,80,78.85,79.35,1532765
"2013-05-23",78.46,80.01,77.98,79.84,1193172
"2013-05-30",81.25,83.4,80.72,83.03,1456925
"2013-06-06",79.2,80.03,78.79,79.98,776283
"2013-06-13",80.9,81.87,80.15,81.46,867157
"2013-06-20",83.51,84.79,83.15,83.63,1895229
"2013-06-27",84.25,85.56,84.11,85.17,1281459
"2013-07-11",85.71,86.5,85,86.2,668658
"2013-07-18",86.23,89.49,86.23,88.34,2556396
"2013-07-25",91.15,91.15,89.08,90.36,1022173
"2013-08-01",90.39,91.37,89,91.31,1808908
"2013-08-08",92.08,94.14,91.91,93.79,1359058
"2013-08-15",92.01,92.5,90.9,91.39,1600182
"2013-08-22",91.83,93.62,91.64,93.48,599316
"2013-08-29",92.61,93.72,92.31,93.19,611849
"2013-09-05",94.7,96.75,94.46,96.26,868995
"2013-09-12",97.98,98.19,97.45,97.73,860962
"2013-09-19",96.95,97.36,93.83,94.71,1924216
"2013-09-26",94.88,95.65,93,93.78,1508614
"2013-10-03",94.6,95.49,94.07,94.38,553436
"2013-10-10",93.98,96.4,93.94,95.76,911641
"2013-10-17",93.75,93.92,92.18,93.85,2661327
"2013-10-24",92.11,92.58,90.99,91.33,1262647
"2013-10-31",91.45,92.86,90.96,92.15,1590837
"2013-11-07",97,97,95.01,95.48,1626552
"2013-11-14",96.85,97.67,96.67,97.46,1129053
"2013-11-21",100.19,101.6,99.62,99.72,2007446
"2013-12-05",103.49,104.06,101.82,101.91,1264470
"2013-12-12",101.68,102.4,99.69,100.47,1482454
"2013-12-19",100.22,101.86,99.2,101.69,1853648
"2013-12-26",103.29,103.78,102.85,103.53,403341
"2014-01-02",102.76,103.88,102.3,102.84,1393665
"2014-01-09",99.8,100.4,98.99,98.99,2261465
"2014-01-16",96.72,97.1,95.13,96.16,1130908
"2014-01-23",95.91,97.84,95.8,96.19,1744314
"2014-01-30",96.92,98.92,96.81,98.17,1083644
"2014-02-06",95.57,96.81,94.7,96.66,2161414
"2014-02-13",95.52,97.23,95.28,97.02,1510474
"2014-02-20",100.91,102.92,100.91,102.24,1846588
"2014-02-27",110.26,111.28,109.78,110.62,1255121
"2014-03-06",112.39,113.29,111.18,111.47,1463383
"2014-03-13",111.17,111.26,109.46,109.62,1782316
"2014-03-20",116.95,119.93,116.81,118.78,1702924
"2014-03-27",113.1,113.5,111.6,112.06,721110
"2014-04-03",112.56,114.14,111.97,114.09,1261030
"2014-04-10",113.81,114.39,109.21,109.66,2023742
"2014-04-17",105.55,107.18,103.89,104.74,3110472
"2014-04-24",108.97,109.81,108.37,108.82,1179441
"2014-05-01",110.52,111.05,109.02,109.42,1207029
"2014-05-08",119.05,119.12,116.08,116.72,2055351
"2014-05-15",119.81,120.88,117.81,119.56,1454588
"2014-05-22",122.41,123.53,121.39,123.31,1268736
"2014-05-29",124.89,125.35,123.55,124.56,814043
"2014-06-05",125.23,125.23,123.85,124.35,997133
"2014-06-12",126.51,126.84,124.93,125.24,879184
"2014-06-19",124.91,126.7,124.53,126.58,640037
"2014-06-26",128.85,128.87,126.19,127.8,613569
"2014-07-03",129.6,130.42,128.9,130.21,438854
"2014-07-10",126.02,127.68,125.86,127.08,669683
"2014-07-17",127.07,133.64,127.07,131.17,1779561
"2014-07-24",133.51,134.38,132.57,132.9,1081689
"2014-07-31",120.68,120.68,116.38,117.65,3029090
"2014-08-07",119.94,119.94,115.51,115.97,1697757
"2014-08-14",120.11,120.29,119.44,120.13,1041379
"2014-08-21",122.89,123.88,122.85,123.45,693123
"2014-08-28",126.87,128.53,126.58,127.64,801799
"2014-09-04",127.35,129.75,126.51,126.88,1298046
"2014-09-11",128.68,129.62,127.28,129.4,834367
"2014-09-18",133.02,134,132.57,133.18,798613
"2014-09-25",134.57,134.57,131.01,131.28,1573078
"2014-10-02",127.1,128.21,125.9,127.15,1323703
"2014-10-09",127.35,128.46,124.7,125.03,1024264
"2014-10-16",122.96,129.48,122.96,125.73,1668185
"2014-10-23",132.88,133.38,132.25,132.63,727319
"2014-10-30",134.51,138,134.51,137.18,847463
"2014-11-06",139.06,140.65,138.73,139.87,1395523
"2014-11-13",137.49,139.3,136.96,138.41,1485675
"2014-11-20",136.12,136.71,135.38,136.2,984610
"2014-12-04",141.12,141.58,139.52,141.12,983457
"2014-12-11",141.67,144.49,141.67,142.48,777497
"2014-12-18",144.81,149.09,143.37,149.07,1393797
"2015-01-08",143.62,148.39,143.62,147.83,1351932
"2015-01-15",147.9,149.76,147.45,147.92,882781
"2015-01-22",153.71,154.46,151.6,153.65,988761
"2015-01-29",149,149.96,146.2,149.62,915496
"2015-02-05",153.5,153.91,149.64,150.36,1203708
"2015-02-12",154,154.76,152.82,153.73,655779
"2015-02-19",154.4,155.28,153.13,153.28,1064108
"2015-02-26",163.97,164.5,162.36,163.35,1720113
"2015-03-05",160.17,162.81,160.17,162.11,972867
"2015-03-12",161.87,164.38,161.11,164.28,992532
"2015-03-19",178.58,182.97,178.28,180.96,1704010
"2015-03-26",176.8,177.55,174.81,175.72,1473045
