"","ICE.Open","ICE.High","ICE.Low","ICE.Close","ICE.Volume"
"2013-11-07",40.3,40.4,40,40,1500
"2013-11-14",40.1,40.11,39.35,39.83,4250590
"2013-11-21",43.04,43.21,42.61,43.14,7202945
"2013-12-05",42.35,42.68,42.19,42.53,6011950
"2013-12-12",43.37,43.9,43.15,43.57,6980610
"2013-12-19",44.85,45.18,44.41,44.53,4231085
"2013-12-26",45.25,45.41,44.82,44.97,1745775
"2014-01-02",44.83,45.1,44.43,44.92,3833350
"2014-01-09",45.59,45.77,45.4,45.51,2715040
"2014-01-16",41.76,42.53,41.62,41.87,6980500
"2014-01-23",41.63,41.8,41.2,41.38,5181935
"2014-01-30",40.2,41.91,40.2,41.86,2908750
"2014-02-06",41.62,42.12,41.48,42.08,4082090
"2014-02-13",43.29,43.97,43.15,43.38,3558250
"2014-02-20",42.48,42.67,41.93,42.05,3335380
"2014-02-27",42.69,42.69,41.25,41.82,4375600
"2014-03-06",42.91,43.87,42.91,42.99,5162250
"2014-03-13",41.83,41.9,40.69,40.81,3517780
"2014-03-20",40.81,41.08,40.39,40.68,4548110
"2014-03-27",39.97,40.1,39.11,39.88,5389075
"2014-04-03",40.91,41.05,40.12,40.44,7721355
"2014-04-10",38.57,38.78,37.82,38.1,4712450
"2014-04-17",39.51,39.78,39.17,39.65,3164610
"2014-04-24",40.89,41.25,40.54,41.15,4120775
"2014-05-01",40.96,41.2,40.7,41.1,2664800
"2014-05-08",39.65,39.65,38.17,38.43,15802970
"2014-05-15",38.24,38.37,37.45,37.81,6374775
"2014-05-22",38.39,38.99,38.24,38.77,2892150
"2014-05-29",39.37,39.37,38.87,39,3231480
"2014-06-05",38.52,38.56,37.65,38.08,6726155
"2014-06-12",37.52,38.62,37.46,38.4,5387375
"2014-06-19",40.6,40.6,38.92,39.39,4813705
"2014-06-26",37.53,37.89,37.5,37.85,2843035
"2014-07-03",37.7,38.19,37.7,38.06,2572290
"2014-07-10",36.95,37.08,36.48,36.69,3868735
"2014-07-17",37.62,38.29,37.62,38.24,6489835
