"","IDXX.Open","IDXX.High","IDXX.Low","IDXX.Close","IDXX.Volume"
"2011-09-15",37.79,37.86,36.92,37.4,679994
"2011-09-22",35.51,36.3,34.58,36.12,1538998
"2011-09-29",36.16,36.25,34.9,35.64,536600
"2011-10-06",34.22,34.98,33.96,34.92,474094
"2011-10-13",35.62,36.07,35.51,36.02,566056
"2011-10-20",35.65,36.5,35.32,36.44,1332504
"2011-10-27",36.64,37.4,36.4,37.02,1011104
"2011-11-03",35.78,36.5,35.45,36.26,386744
"2011-11-10",36,36.21,35.7,35.88,275744
"2011-11-17",36.14,38.98,36.14,37.16,3510542
"2011-12-01",37.34,38,37.27,37.38,373068
"2011-12-08",36.97,37.06,35.86,35.94,487862
"2011-12-15",37.49,37.54,36.73,36.92,399982
"2011-12-22",37.58,38.9,37.54,38.59,547360
"2011-12-29",38.44,39.26,38.44,39,270650
"2012-01-05",39.34,39.89,39.17,39.68,604640
"2012-01-12",40.58,40.67,40.17,40.58,308392
"2012-01-19",42.02,42.77,41.96,42.45,527226
"2012-01-26",43.62,43.84,43.19,43.66,601360
"2012-02-02",43.04,43.62,43.02,43.4,605160
"2012-02-09",43.14,43.24,42.46,43.03,255352
"2012-02-16",43.75,44.62,43.74,44.52,571822
"2012-02-23",44.36,44.54,43.96,44.05,487236
"2012-03-01",42.82,43.32,42.82,43.06,421114
"2012-03-08",41.95,42.2,41.49,41.95,774216
"2012-03-15",41.89,42.52,41.89,42.44,354842
"2012-03-22",42.08,42.17,41.46,41.82,218592
"2012-03-29",43.3,43.64,43.05,43.32,410104
"2012-04-05",43.38,43.56,43.24,43.48,210188
"2012-04-12",42.54,43.28,42.3,43.12,310888
"2012-04-19",43.8,44.49,43.62,44.09,695812
"2012-04-26",43.19,43.58,42.92,43.42,300194
"2012-05-03",44.52,44.75,44.14,44.37,434126
"2012-05-10",44.38,44.49,43.98,44.1,269034
"2012-05-17",43,43.18,42.06,42.07,356096
"2012-05-24",42.59,43.18,42.5,43.12,640216
"2012-05-31",42.64,42.7,41.9,42.42,903726
"2012-06-07",42.98,43.22,42.38,42.46,292416
"2012-06-14",42.67,44.32,42.67,44,742000
"2012-06-21",47.37,47.98,45.72,45.77,1092006
"2012-06-28",47.41,47.88,46.3,46.79,921786
"2012-07-05",48.18,48.84,47.95,48.11,1174726
"2012-07-12",47.29,47.43,46.79,46.82,668518
"2012-07-19",46,46.57,45.95,46.36,772210
"2012-07-26",44.35,44.5,43.58,43.96,601722
"2012-08-02",43.72,44.14,43.38,43.75,474806
"2012-08-09",44.86,45.04,44.4,44.8,549758
"2012-08-16",46.57,47,46.36,46.88,535262
"2012-08-23",46.55,47.12,46.38,47,449056
"2012-08-30",47.1,47.5,46.88,47.3,378274
"2012-09-06",48.76,49.7,48.48,49.38,760444
"2012-09-13",49.77,49.88,49.26,49.7,826404
"2012-09-20",48.48,49.31,48.48,49.22,329136
"2012-09-27",49.61,49.96,49.46,49.8,466960
"2012-10-04",49.19,49.6,49.19,49.5,271212
"2012-10-11",48.22,48.63,48.01,48.45,245306
"2012-10-18",49.06,49.6,48.38,49.48,835390
"2012-10-25",48.23,48.5,47.85,48.12,538448
"2012-11-01",47.94,48.22,47.6,47.72,1060604
"2012-11-08",46.2,46.4,44.94,44.96,1051444
"2012-11-15",44.74,45.11,43.76,44.88,893300
"2012-11-29",46.06,46.89,46.04,46.63,520564
"2012-12-06",46.33,46.64,46.26,46.55,278396
"2012-12-13",47.74,47.9,47.4,47.52,393782
