"","IFF.Open","IFF.High","IFF.Low","IFF.Close","IFF.Volume"
"2011-09-15",57.95,58.97,57.66,58.81,684684
"2011-09-22",56.3,56.69,55.53,56.21,1547599
"2011-09-29",57.68,58.14,56.53,57.6,975003
"2011-10-06",58.21,59.02,57.63,58.9,444813
"2011-10-13",60.07,60.18,59.11,59.51,823385
"2011-10-20",59.79,60.02,58.82,59.66,686152
"2011-10-27",62.41,63.78,61.99,63.25,883574
"2011-11-03",60.82,61.84,60.31,61.61,843915
"2011-11-10",54.26,54.59,53.29,53.64,1785074
"2011-11-17",53.12,53.25,52.17,52.41,1990354
"2011-12-01",54.04,54.62,53.59,53.8,727637
"2011-12-08",54.13,54.2,53.16,53.36,589930
"2011-12-15",52.59,52.59,51.7,52.17,677687
"2011-12-22",52.23,52.42,52.03,52.18,546301
"2011-12-29",52.07,52.76,52.07,52.69,326066
"2012-01-05",52.47,53.08,52.05,52.9,404973
"2012-01-12",54.23,55.09,53.93,55.08,474282
"2012-01-19",55.75,56.09,55.32,56.02,1127001
"2012-01-26",57,57.1,56.58,56.76,429984
"2012-02-02",56.3,56.59,56.03,56.04,578387
"2012-02-09",58.33,58.81,56.41,57.22,1226499
"2012-02-16",55.91,56.59,55.71,56.31,494831
"2012-02-23",57.52,57.66,56.94,57.48,378147
"2012-03-01",57.36,57.36,56.48,56.48,607279
"2012-03-08",56.14,56.39,55.81,56.19,556246
"2012-03-15",56.64,57.22,56.45,57.22,470074
"2012-03-22",56.72,56.8,56.3,56.64,611029
"2012-03-29",57.95,58.26,57.7,58.13,626333
"2012-04-05",58.48,58.83,58.25,58.59,768746
"2012-04-12",57.66,58.97,57.4,58.53,693669
"2012-04-19",59.15,59.37,58.8,59.23,794622
"2012-04-26",59.37,60.33,59.24,60.13,347612
"2012-05-03",60.21,60.66,59.89,59.98,622273
"2012-05-10",58.86,58.86,58.21,58.32,769136
"2012-05-17",57.04,57.19,55.57,55.58,630421
"2012-05-24",56.91,57.47,56.63,57.34,495870
"2012-05-31",56.55,56.63,55.9,56.38,707741
"2012-06-07",57.84,57.84,56,56.08,535589
"2012-06-14",55.45,55.93,55.2,55.78,492108
"2012-06-21",57.1,57.17,55.7,55.78,564661
"2012-06-28",53.92,54.66,53.77,54.56,389229
"2012-07-05",54.79,55.34,54.65,55,517990
"2012-07-12",53.54,54.1,53.47,53.83,431008
"2012-07-19",54.94,55.73,54.91,55.41,296870
"2012-07-26",54.71,54.97,53.75,54.08,411281
"2012-08-02",54.41,55.63,53.8,55.08,459174
"2012-08-09",61.55,62.05,60.68,61.06,939670
"2012-08-16",61.37,62.46,61.37,62.26,574492
"2012-08-23",61.42,61.75,60.94,60.99,530674
"2012-08-30",60.51,60.85,60.18,60.28,275622
"2012-09-06",60.63,61.5,60.5,61.12,420618
"2012-09-13",60.27,61.37,60.01,60.86,367517
"2012-09-20",60.14,60.63,60.12,60.6,380578
"2012-09-27",59.78,60.1,59.33,60,259541
"2012-10-04",60.65,60.74,60.23,60.6,147559
"2012-10-11",60.83,60.93,60.49,60.74,196715
"2012-10-18",62.73,62.96,62.34,62.76,249525
"2012-10-25",63.51,64.08,63.51,63.88,259564
"2012-11-01",64.62,65.52,64.11,65.27,364428
"2012-11-08",63.64,63.64,62.48,62.54,461285
"2012-11-15",61.69,62.29,61.49,61.76,348233
"2012-11-29",64.9,65.09,64.34,64.95,353478
"2012-12-06",64.45,64.71,64.19,64.69,162353
"2012-12-13",65.38,65.62,65.22,65.43,323222
"2012-12-20",66.83,67.42,66.47,67.41,328924
"2012-12-27",67.3,67.44,66.14,67.06,289907
"2013-01-03",68.49,68.76,67.84,68.1,270853
"2013-01-10",69.03,69.14,68.26,69.05,287757
"2013-01-17",69.82,70.27,69.68,70.08,238474
"2013-01-24",70.69,71.21,70.26,70.77,433666
"2013-01-31",70.76,71.2,70.4,70.43,1023194
"2013-02-07",69.73,72.87,69.25,72.66,937603
"2013-02-14",73.86,73.99,73.31,73.8,321495
"2013-02-21",72.47,72.55,71.43,71.91,395169
"2013-02-28",72.89,73.34,72.55,72.98,310305
"2013-03-07",73.79,73.99,73.39,73.67,182711
"2013-03-14",75.49,75.86,75.15,75.85,309784
"2013-03-21",76.93,77.4,75.56,75.84,402528
"2013-03-28",75.45,76.69,75.27,76.67,470462
"2013-04-04",74.35,74.77,73.97,74.61,341136
"2013-04-11",75.29,76.3,74.96,76.06,272099
"2013-04-18",74.57,74.78,73.57,73.85,156324
"2013-04-25",77.22,77.32,76.56,76.86,229820
"2013-05-02",76.54,76.9,76.04,76.81,209239
"2013-05-09",79.51,79.77,79.37,79.64,275225
"2013-05-16",81.66,81.84,81.12,81.19,209606
"2013-05-23",80.66,82.19,80.39,81.73,268891
"2013-05-30",81.8,81.95,81.1,81.43,234777
"2013-06-06",78.44,78.74,77.9,78.65,345216
"2013-06-13",78.21,79.17,77.62,79.08,282637
"2013-06-20",78.09,78.19,76.3,76.47,363093
"2013-06-27",76.49,76.53,75.85,75.9,355398
"2013-07-11",81.01,81.45,80.17,80.4,278377
"2013-07-18",79.31,79.86,79.18,79.52,248866
"2013-07-25",78.64,80.26,78.64,79.7,377004
"2013-08-01",80.98,82.89,80.98,81.92,336157
"2013-08-08",83.71,84.54,83.68,84.12,378951
"2013-08-15",82.21,82.36,81.39,82.26,277870
"2013-08-22",81.25,81.95,81.14,81.74,163636
"2013-08-29",79.61,79.98,79.3,79.47,258531
"2013-09-05",80.26,80.89,79.49,79.8,339967
"2013-09-12",80.87,81.8,80.63,80.87,397798
"2013-09-19",84.29,84.87,83.58,83.91,213283
"2013-09-26",82.57,83.06,81.5,81.95,293915
"2013-10-03",81.76,82.06,80.89,81.77,395359
"2013-10-10",81.22,81.57,80.47,81.15,227337
"2013-10-17",80.93,82.97,80.85,82.82,289185
"2013-10-24",82.63,83.21,82.16,82.51,167590
"2013-10-31",82.85,83.32,82.21,82.65,416540
"2013-11-07",86.44,87.05,85.02,85.13,365141
"2013-11-14",89.14,90.03,88.81,89.89,548841
"2013-11-21",88.59,88.9,88.06,88.33,257787
"2013-12-05",84.7,85.74,84.45,84.75,484550
"2013-12-12",84.95,85.41,84.32,84.94,420848
"2013-12-19",85.19,85.59,84.78,85.1,705098
"2013-12-26",86.17,86.4,85.7,86.12,235891
"2014-01-02",85.98,86.5,85.47,85.65,346558
"2014-01-09",85.28,85.32,84.57,85.07,432080
"2014-01-16",86.19,87.18,85.5,86.87,344023
"2014-01-23",86.56,87.22,85.89,86.35,306848
"2014-01-30",86.29,87.8,86.2,87.3,442199
"2014-02-06",84.73,86.07,84.59,85.93,317033
"2014-02-13",88.65,90.67,87.57,90.56,630095
"2014-02-20",91.65,92.09,90.94,91.97,405116
"2014-02-27",93.17,93.5,92.86,93.18,372199
"2014-03-06",95.58,95.82,94.95,95.23,405767
"2014-03-13",94.37,94.82,92.63,92.74,469722
"2014-03-20",92.55,93.28,92.28,93.25,517530
"2014-03-27",92.69,93.51,92.22,93.2,441421
"2014-04-03",96.66,97.03,96.08,96.78,612045
"2014-04-10",94.45,94.5,92.1,92.1,339816
"2014-04-17",94.67,95.31,94.65,95.14,377288
"2014-04-24",96.31,96.55,95.37,95.68,269089
"2014-05-01",98.69,98.98,98.04,98.28,428738
"2014-05-08",99.76,100.93,98.56,99,378452
