"","ILMN.Open","ILMN.High","ILMN.Low","ILMN.Close","ILMN.Volume"
"2011-09-15",51,51.32,49.13,49.29,3380703
"2011-09-22",40.39,42.81,39.82,42.44,3621309
"2011-09-29",42.02,42.56,40.59,41.54,1643959
"2011-10-06",39.46,40.33,38.92,39.93,3795463
"2011-10-13",26.15,27.46,25.57,27.15,5361835
"2011-10-20",26.22,27.06,25.92,26.9,2761199
"2011-10-27",30.99,32.81,30.32,31.49,3961229
"2011-11-03",30.5,30.97,29.49,30.69,1079574
"2011-11-10",32.37,32.47,30.89,31.39,1984869
"2011-11-17",30.58,30.78,29.22,30.08,2092080
"2011-12-01",27.74,28.62,27.63,27.94,1490029
"2011-12-08",29.41,29.93,28.75,28.82,2346276
"2011-12-15",27.49,27.63,26.89,27.01,2944419
"2011-12-22",27.36,29.74,27.25,29.07,2885306
"2011-12-29",29.34,30.3,29.16,30.17,1740960
"2012-01-05",31.94,32.5,31.31,31.5,2258627
"2012-01-12",34.25,36.68,34.15,36.23,5384808
"2012-01-19",36.41,37.38,36.18,36.75,2070597
"2012-01-26",54.13,54.63,52,52.65,12223780
"2012-02-02",51.58,52.02,51.4,51.87,2094930
"2012-02-09",52.18,53.6,52.05,53.17,2566170
"2012-02-16",54.47,54.8,53.64,53.94,2582354
"2012-02-23",50.92,51.45,50.53,51.29,1970803
"2012-03-01",51.09,51.92,50.55,51.1,1845554
"2012-03-08",50.51,50.85,50.25,50.54,994853
"2012-03-15",50.05,50.45,49.88,49.97,1393937
"2012-03-22",49.77,50.55,49.29,50.22,940923
"2012-03-29",52.05,52.65,51.65,52.4,14744930
"2012-04-05",51.85,52.6,51.85,52.33,937164
"2012-04-12",51.94,52.08,49.26,49.51,10282218
"2012-04-19",44.64,45,43.8,44.06,5372885
"2012-04-26",44.02,44.82,44.02,44.77,1283785
"2012-05-03",46.48,46.69,45.33,45.83,2104410
"2012-05-10",44.9,45.6,44.89,45.11,1587795
"2012-05-17",44.74,44.89,43.08,43.24,2431296
"2012-05-24",43.45,43.85,42.88,43.46,1284015
"2012-05-31",44.16,44.19,42.9,43.06,1122425
"2012-06-07",40.9,41.18,39.07,39.33,1402980
"2012-06-14",39.49,40.02,38.99,39.26,933576
"2012-06-21",41.21,41.48,38.66,38.91,1169598
"2012-06-28",39.63,40.18,38.33,39.19,790214
"2012-07-05",41.3,41.5,40.62,40.88,780481
"2012-07-12",39.15,40.16,38.92,39.93,772678
"2012-07-19",42.65,43.11,41.84,43.02,760684
"2012-07-26",42.18,42.38,41.02,41.1,1436335
"2012-08-02",41.2,41.95,41.14,41.49,992640
"2012-08-09",43.49,43.79,42.73,42.96,784668
"2012-08-16",41.61,41.73,41.12,41.26,1152120
"2012-08-23",41.65,42.05,41.31,41.67,1045217
"2012-08-30",41.99,42.26,41.64,42,588381
"2012-09-06",42.41,43.14,42.03,42.95,1254010
"2012-09-13",45,47.1,44.95,46.48,2784985
"2012-09-20",47.72,48.3,47.24,48.13,1515870
"2012-09-27",46.96,47.38,46.58,46.98,657480
"2012-10-04",51.58,52.88,51.12,52.25,1789108
"2012-10-11",51.73,52.58,51.25,52.23,1471276
"2012-10-18",47.68,48.05,46.93,47.13,1031916
"2012-10-25",46.82,49.37,46.22,47.6,2848330
"2012-11-01",48.06,49.2,47.75,49.04,1907655
"2012-11-08",48.03,49.02,47.8,48.21,1283207
"2012-11-15",48.46,48.75,47.92,48.26,1029965
"2012-11-29",51.25,53.91,51.17,52.24,2507860
"2012-12-06",51.64,52.6,51.08,51.89,703879
"2012-12-13",53.18,53.76,52.63,53.21,994139
"2012-12-20",56.27,57,54.31,56.22,9069527
"2012-12-27",55.89,56.07,55,55.41,758026
"2013-01-03",55.68,56.58,55.35,55.55,1345169
"2013-01-10",52.99,54.1,52.69,53.64,1582332
"2013-01-17",51,51.98,50.46,51.59,1548858
"2013-01-24",50.6,51.42,50.2,50.95,1192321
"2013-01-31",50.75,51.06,50.07,50.63,1951557
"2013-02-07",51.7,52.02,51.19,51.3,838999
"2013-02-14",49.76,49.8,48.39,48.79,1748448
"2013-02-21",48.45,49.27,48,48.36,1125648
"2013-02-28",49.18,50.47,48.91,50.13,2237150
"2013-03-07",53.39,53.75,53.05,53.33,646239
"2013-03-14",52.7,52.84,52.47,52.74,541205
"2013-03-21",52.61,53.42,52.5,53.13,726576
"2013-03-28",53.86,54.32,53.7,53.98,1716522
"2013-04-04",54.67,54.94,54.38,54.93,690516
"2013-04-11",56.92,58.23,56.81,57.95,1305426
"2013-04-18",58,58,56.19,56.33,954946
"2013-04-25",62.38,63,62.31,62.54,1846923
"2013-05-02",63.81,65.16,63.81,64.95,757421
