"","INFO.Open","INFO.High","INFO.Low","INFO.Close","INFO.Volume"
"2014-06-19",26.15,27.4,26.06,26.7,32013921
"2014-06-26",26.79,27.24,26.77,26.98,1161652
"2014-07-03",26.66,27.1,26.66,26.95,467899
"2014-07-10",26.5,26.87,26.14,26.66,470198
"2014-07-17",26,26.21,25.95,26.04,276861
"2014-07-24",25.51,25.83,25.29,25.68,579740
"2014-07-31",25.66,25.98,25.18,25.31,367589
"2014-08-07",25.41,25.54,25.06,25.4,109498
"2014-08-14",25.61,25.91,25.41,25.57,312635
"2014-08-21",25.73,26.09,25.33,25.53,279042
"2014-08-28",24.07,25.35,24.07,25.01,358191
"2014-09-04",25.4,25.4,24.8,24.89,288639
"2014-09-11",24.52,24.81,24.34,24.8,202487
"2014-09-18",24.25,24.49,24.04,24.25,355218
"2014-09-25",24,24.06,23.4,23.6,199867
"2014-10-02",23.34,23.34,22.78,22.93,346982
"2014-10-09",22.66,22.66,21.84,22.21,408926
"2014-10-16",22.58,23.42,22.58,22.96,303005
"2014-10-23",23.43,24.12,22.94,23.74,401518
"2014-10-30",24,24.51,23.7,24.41,219663
"2014-11-06",24.66,25.08,23.66,24.23,357822
"2014-11-13",25,25.5,24.67,24.96,383527
"2014-11-20",25.51,25.95,25.3,25.87,679858
"2014-12-04",25.16,25.23,24.28,24.91,495899
"2014-12-11",26.38,26.58,26,26.32,257588
"2014-12-18",25.04,25.39,25,25.32,537167
"2015-01-08",26.53,27.2,26.23,26.95,434135
"2015-01-15",26.31,26.92,25.39,25.45,371652
"2015-01-22",25.74,25.88,25.37,25.56,389269
"2015-01-29",26.75,26.75,25.29,26.3,310819
"2015-02-05",26.44,26.53,26.1,26.48,117043
"2015-02-12",26.42,27.39,26.42,26.81,1588387
"2015-02-19",26.16,26.43,25.97,26.2,1044604
"2015-02-26",26.5,26.59,26.44,26.55,521763
"2015-03-05",26.24,26.56,26.12,26.31,193362
"2015-03-12",25.71,26.13,25.63,26.05,306658
"2015-03-19",26.78,27.19,26.64,27.03,609621
"2015-03-26",26.79,27.11,26.63,26.93,162549
"2015-04-02",27.25,27.63,27.18,27.23,609940
"2015-04-09",27.04,27.15,26.91,27.05,107281
"2015-04-16",26.65,26.71,26.27,26.48,388233
"2015-04-23",25.89,26.12,25.84,25.99,305917
"2015-04-30",25.73,25.89,25.41,25.65,392534
"2015-05-07",25.75,25.85,25.41,25.62,291793
"2015-05-14",26.27,26.37,25.73,26.36,1055258
"2015-05-21",26.19,26.45,26.07,26.18,545235
"2015-05-28",26.22,26.6,26.01,26.59,621780
"2015-06-04",26.4,26.77,25.88,26.25,1732049
"2015-06-11",26.5,26.8,26.41,26.76,466388
"2015-06-18",26.5,26.69,26.34,26.67,387581
"2015-06-25",26.61,26.8,26.5,26.64,404165
"2015-07-02",26.38,26.58,26.26,26.51,274620
"2015-07-09",26.24,26.49,26.21,26.29,193078
"2015-07-16",26.23,26.49,26.23,26.44,201864
"2015-07-23",26.4,26.64,26.31,26.55,305419
"2015-07-30",26.39,27.19,26.12,26.52,458506
"2015-08-06",26.55,26.77,26.48,26.63,205306
"2015-08-13",29.81,29.98,28.38,29.43,1890761
"2015-08-20",29.5,29.5,28.96,29.19,577772
"2015-08-27",28.48,28.81,28.05,28.29,419357
"2015-09-03",28.82,29.28,28.75,29.02,651571
"2015-09-10",28.48,28.75,28.38,28.43,869870
"2015-09-17",29.27,29.75,29.2,29.37,496094
"2015-09-24",29.27,29.27,28.94,28.99,243886
"2015-10-01",29.08,29.31,28.75,29.14,506476
"2015-10-08",29.47,29.74,29.32,29.68,192048
"2015-10-15",29.83,30.76,29.71,30.64,472875
"2015-10-22",30.25,30.66,30.25,30.5,569724
"2015-10-29",30.44,30.72,30.14,30.53,248929
"2015-11-05",30.42,30.5,29.81,29.9,468425
"2015-11-12",29.07,29.24,28.79,28.96,464821
"2015-11-19",29,29.4,29,29.32,308282
"2015-12-03",29.46,29.5,28.83,28.95,293991
"2015-12-10",29.21,29.3,28.7,28.89,407029
"2015-12-17",29.37,29.62,29.2,29.48,578536
"2015-12-24",29.5,29.87,29.31,29.85,253679
"2015-12-31",30.31,30.48,30.13,30.17,279423
"2016-01-07",29,29.24,28.7,28.9,653139
"2016-01-14",27.84,28.08,27.72,27.93,471060
"2016-01-21",26.54,27.41,26.54,27.04,526766
"2016-01-28",28.67,29,28.32,28.47,597976
"2016-02-04",28.29,28.68,28.19,28.3,656270
"2016-02-11",26.51,27.91,26.29,26.51,705089
"2016-02-18",27.73,28.19,27.69,28.08,491117
"2016-02-25",27.64,28.01,27.41,27.81,640157
"2016-03-03",28.31,28.54,27.71,28.5,535218
"2016-03-10",28.78,29.02,28.65,28.97,898060
"2016-03-17",29.15,29.68,28.57,29.58,327543
"2016-03-24",33.24,34.55,33.08,34.31,3202702
"2016-03-31",35.06,35.35,34.97,35.35,1256347
"2016-04-07",34.6,34.74,34.08,34.18,535223
"2016-04-14",34.94,35.35,34.73,35.26,690737
"2016-04-21",35.04,35.37,34.89,35.15,360786
"2016-04-28",34.7,35.07,34.7,34.89,417081
"2016-05-05",34.93,35.1,34.33,34.41,590993
"2016-05-12",33.88,34.05,33.26,33.89,791925
