"","INTC.Open","INTC.High","INTC.Low","INTC.Close","INTC.Volume"
"2011-09-15",21.31,21.66,21.22,21.54,53246741
"2011-09-22",21.55,21.9,21.34,21.62,94238416
"2011-09-29",22.38,22.6,21.87,22.21,85510642
"2011-10-06",21.92,22.05,21.67,22.03,58486486
"2011-10-13",23.02,23.46,22.96,23.39,51290454
"2011-10-20",23.88,23.88,23.35,23.61,88691866
"2011-10-27",24.93,25.2,24.85,25.13,84559164
"2011-11-03",23.79,24.23,23.28,24.2,58296345
"2011-11-10",24.14,24.25,23.74,24.06,45508704
"2011-11-17",24.9,24.95,24.12,24.34,62125247
"2011-12-01",24.87,24.97,24.4,24.92,51820369
"2011-12-08",25.45,25.53,24.63,24.71,58000587
"2011-12-15",23.58,23.67,23.25,23.31,38693666
"2011-12-22",23.83,24.1,23.76,24.02,32003486
"2011-12-29",24.36,24.58,24.28,24.55,22319335
"2012-01-05",25.06,25.45,24.98,25.4,49492053
"2012-01-12",25.85,25.9,25.54,25.75,44421960
"2012-01-19",25.52,25.68,25.37,25.63,64946206
"2012-01-26",26.95,27,26.6,26.75,61678137
"2012-02-02",26.59,26.74,26.46,26.49,34780241
"2012-02-09",26.91,27,26.78,26.86,35755017
"2012-02-16",26.4,26.95,26.35,26.82,42457732
"2012-02-23",26.56,26.86,26.35,26.66,33801411
"2012-03-01",27.06,27.14,26.71,26.86,39415007
"2012-03-08",27,27.04,26.75,26.84,37264478
"2012-03-15",27.5,27.85,27.43,27.75,34193222
"2012-03-22",27.73,27.95,27.61,27.9,23395545
"2012-03-29",27.75,28.18,27.67,28.16,39624099
"2012-04-05",27.87,28.1,27.8,28.07,22039042
"2012-04-12",27.97,28.52,27.93,28.48,37053421
"2012-04-19",27.87,28.09,27.44,27.69,43042968
"2012-04-26",27.8,28.3,27.75,28.22,46649640
"2012-05-03",29.26,29.27,28.42,28.56,41225995
"2012-05-10",27.34,27.46,26.96,27.24,36238935
"2012-05-17",26.47,26.66,26.19,26.19,31505042
"2012-05-24",25.57,25.78,25.31,25.65,37131849
