"","INTU.Open","INTU.High","INTU.Low","INTU.Close","INTU.Volume"
"2011-09-15",48,48.59,47.4,48.43,2956325
"2011-09-22",46.58,47.54,45.98,46.7,5364742
"2011-09-29",49.03,49.46,47.41,48.44,3206080
"2011-10-06",47.19,48.78,47.19,48.77,2300413
"2011-10-13",51.71,52.14,51.41,51.99,2069730
"2011-10-20",52.11,52.59,51.4,52.28,1802656
"2011-10-27",54.17,55.43,54,55.21,2503834
"2011-11-03",53.09,54.05,52.45,53.95,2085000
"2011-11-10",52.9,53.17,52.27,52.8,1789592
"2011-11-17",53.12,53.42,51.29,51.75,2812170
"2011-12-01",53,53.59,52.79,52.92,2170627
"2011-12-08",53.17,53.85,52.46,52.56,1981954
"2011-12-15",52.43,52.52,51.05,51.29,1998565
"2011-12-22",53.05,53.36,52.92,53.21,1937968
"2011-12-29",52.63,52.93,52.54,52.77,1238355
"2012-01-05",52.08,52.72,51.92,52.54,1809292
"2012-01-12",55.36,55.6,54.81,55.28,1410820
"2012-01-19",56.53,57.14,56.36,57.1,2034514
"2012-01-26",57.76,58.06,57.3,57.49,1512429
"2012-02-02",57.88,58.45,57.69,57.86,1060262
"2012-02-09",57.55,57.93,57.22,57.6,1623269
"2012-02-16",56.83,58.09,56.7,58.01,1656960
"2012-02-23",59.08,60,58.53,58.68,6261060
"2012-03-01",58.23,58.35,57.72,57.94,2281736
"2012-03-08",57.37,57.52,57.07,57.22,1678211
"2012-03-15",59.67,60.21,59.17,60.18,1568978
"2012-03-22",58.57,59.07,57.66,57.73,4433773
"2012-03-29",59.3,59.94,58.91,59.83,2255830
"2012-04-05",58.99,59.86,58.88,59.77,1410801
"2012-04-12",60.12,60.66,59.97,60.6,1586027
"2012-04-19",61.3,61.78,60.41,60.9,2065218
"2012-04-26",57.3,57.81,57.16,57.6,1790286
"2012-05-03",58.79,59,58.18,58.39,2255783
"2012-05-10",56.82,56.91,55.12,55.43,2189106
"2012-05-17",55,55.29,54.21,54.41,2953576
"2012-05-24",56.52,56.52,55.81,56.39,1930138
"2012-05-31",56.38,56.72,55.76,56.23,2321440
"2012-06-07",58.09,58.2,56.94,56.94,2094348
"2012-06-14",56.61,57.52,56.24,57.37,2111852
"2012-06-21",58.82,58.92,56.84,56.89,1987722
"2012-06-28",57.32,57.35,56.19,57,1302840
"2012-07-05",59.07,60.06,59.03,59.92,1755467
"2012-07-12",56.84,56.97,55.85,56.62,1346271
"2012-07-19",59.69,60,59.44,59.62,2618072
"2012-07-26",57.51,58.25,56.9,57.31,2004978
"2012-08-02",57.52,58.17,57.17,57.79,1158578
"2012-08-09",59.67,59.75,58.96,59.1,2258335
"2012-08-16",59.21,60.19,59.15,60.07,2103508
"2012-08-23",59.05,59.19,57.84,58.19,3322926
"2012-08-30",58.57,58.75,58.02,58.21,1562419
"2012-09-06",58.52,59.76,58.49,59.74,1542162
"2012-09-13",59.79,60.4,59.56,59.97,2104412
"2012-09-20",58.2,58.85,58.19,58.82,2164421
"2012-09-27",58.16,58.93,57.83,58.84,1843908
"2012-10-04",61.05,61.18,60.61,61.07,1655029
"2012-10-11",60.2,60.29,59.47,59.62,1555356
"2012-10-18",60.85,61.14,60.46,60.62,1186038
"2012-10-25",59.98,60.08,59.38,59.44,1311259
"2012-11-01",59.7,61.48,59.46,61.43,1721989
"2012-11-08",60.27,60.59,59.82,59.82,1259779
"2012-11-15",58.46,59.42,58.41,58.77,2408102
