"","IPG.Open","IPG.High","IPG.Low","IPG.Close","IPG.Volume"
"2011-09-15",7.91,8.04,7.87,7.96,9393224
"2011-09-22",7.33,7.55,7.09,7.24,12674345
"2011-09-29",7.45,7.56,7.23,7.41,7579983
"2011-10-06",7.57,7.86,7.37,7.79,9113654
"2011-10-13",8.13,8.13,7.76,7.89,10141627
"2011-10-20",8.11,8.39,7.96,8.3,7814649
"2011-10-27",8.93,9.03,8.76,8.91,15693117
"2011-11-03",9.45,9.75,9.19,9.72,9707337
"2011-11-10",9.44,9.53,9.22,9.32,7044423
"2011-11-17",9.36,9.44,9.12,9.2,5696133
"2011-12-01",9.34,9.63,9.27,9.52,6532757
"2011-12-08",9.57,9.72,9.22,9.26,5511644
"2011-12-15",9.08,9.21,9,9.09,4589234
"2011-12-22",9.41,9.57,9.37,9.52,3078190
"2011-12-29",9.56,9.74,9.46,9.69,2246656
"2012-01-05",10.14,10.35,10.05,10.26,5630947
"2012-01-12",10.45,10.62,10.44,10.59,8703358
"2012-01-19",10.6,10.72,10.53,10.67,7259130
"2012-01-26",10.54,10.56,10.18,10.25,7540988
"2012-02-02",10.66,10.7,10.51,10.59,4599907
"2012-02-09",10.86,10.88,10.7,10.81,5211373
"2012-02-16",10.83,10.94,10.68,10.93,3740264
"2012-02-23",10.8,11.12,10.76,10.91,8229025
"2012-03-01",11.76,11.8,11.63,11.64,7355377
"2012-03-08",11.51,11.79,11.51,11.77,5417718
"2012-03-15",11.87,11.88,11.74,11.83,4873564
"2012-03-22",11.42,11.54,11.36,11.42,6888573
"2012-03-29",11.49,11.49,11.26,11.36,4737357
"2012-04-05",10.95,11.06,10.9,10.94,3719188
"2012-04-12",10.95,11.08,10.84,11,5008655
"2012-04-19",10.79,10.88,10.68,10.86,6513843
"2012-04-26",11.51,11.89,11.4,11.76,14439985
"2012-05-03",11.91,11.95,11.72,11.76,4894654
"2012-05-10",11.5,11.72,11.42,11.64,6767937
"2012-05-17",11.14,11.16,10.87,10.88,5742534
"2012-05-24",10.8,10.83,10.67,10.79,3930017
"2012-05-31",10.64,10.67,10.36,10.39,7535016
"2012-06-07",10.85,10.93,10.64,10.66,5971896
"2012-06-14",10.41,10.44,10.21,10.34,9493139
"2012-06-21",10.78,10.79,10.37,10.39,5551910
"2012-06-28",10.39,10.48,10.28,10.45,3535666
"2012-07-05",11.3,11.34,11.09,11.16,4108389
"2012-07-12",10.36,10.58,10.32,10.51,7262031
"2012-07-19",11.55,12.05,11.48,11.56,10987847
"2012-07-26",10.19,10.22,9.04,9.9,32281590
"2012-08-02",9.63,9.89,9.6,9.68,6316506
"2012-08-09",10.62,10.83,10.54,10.78,9242383
"2012-08-16",10.77,11.14,10.72,11.08,6798582
"2012-08-23",11.06,11.14,10.82,10.86,6949257
"2012-08-30",10.59,10.66,10.49,10.63,5599266
"2012-09-06",10.86,11.09,10.84,11.01,5086970
"2012-09-13",11.58,11.83,11.45,11.74,8448476
"2012-09-20",11.59,11.69,11.41,11.61,5781932
"2012-09-27",11.15,11.22,10.95,11.14,5542940
"2012-10-04",11.36,11.48,11.22,11.39,5310881
"2012-10-11",11.37,11.46,11.29,11.31,3643443
"2012-10-18",10.99,11.19,10.95,11.1,7097849
"2012-10-25",10.86,10.87,10.36,10.55,11856991
"2012-11-01",10.1,10.43,10,10.26,10645361
"2012-11-08",10.01,10.11,9.83,9.84,8417218
"2012-11-15",9.56,9.6,9.39,9.45,13394783
"2012-11-29",10.48,10.76,10.4,10.72,9509731
"2012-12-06",10.85,10.88,10.71,10.81,4653348
"2012-12-13",10.87,10.95,10.7,10.79,4923246
"2012-12-20",11.24,11.48,11.17,11.42,4857383
"2012-12-27",10.92,10.94,10.66,10.83,4967290
"2013-01-03",11.79,11.98,11.67,11.86,11553355
"2013-01-10",11.69,11.77,11.62,11.74,2728037
"2013-01-17",11.77,12,11.68,11.94,4689231
"2013-01-24",12.02,12.2,12,12.16,4813411
"2013-01-31",12.03,12.19,11.99,12.11,3553107
