"","IT.Open","IT.High","IT.Low","IT.Close","IT.Volume"
"2011-09-15",34.31,34.6,33.78,34.55,871968
"2011-09-22",35.27,36.03,34.6,35.25,602681
"2011-09-29",36.21,36.4,35.01,35.81,472414
"2011-10-06",34.55,35.47,34.5,35.35,271838
"2011-10-13",37.36,37.82,37.14,37.56,539372
"2011-10-20",37.17,37.44,36.53,37.19,247438
"2011-10-27",40.34,41,39.76,40.56,503164
"2011-11-03",40.99,40.99,39.66,40.03,712784
"2011-11-10",38.61,38.61,38.05,38.5,350114
"2011-11-17",37.96,38,37.19,37.39,396734
"2011-12-01",37.66,38.16,37.47,37.5,489699
"2011-12-08",36.7,36.94,36.07,36.15,401013
"2011-12-15",35.68,35.9,35.43,35.65,383838
"2011-12-22",35.16,35.35,34.98,34.99,336492
"2011-12-29",34.74,34.96,34.64,34.78,296965
"2012-01-05",34.79,35.32,34.46,35.08,342439
"2012-01-12",35.01,35.44,34.61,35.32,220207
"2012-01-19",36.58,37.35,36.54,37.15,564036
"2012-01-26",38.14,38.25,37.97,38.25,311172
"2012-02-02",38.87,39.09,38.24,38.31,321844
"2012-02-09",37.67,37.92,37.46,37.81,452204
"2012-02-16",38.03,38.66,37.9,38.23,312518
"2012-02-23",39.24,40.16,38.99,40.11,554005
"2012-03-01",40.27,40.5,39.81,39.89,797096
"2012-03-08",39.96,40.7,39.73,40.48,435006
"2012-03-15",41.86,42,41.51,41.96,310566
"2012-03-22",41.79,42.07,41.72,42.03,432816
"2012-03-29",42.73,42.96,42.42,42.7,629673
"2012-04-05",43.2,43.41,43,43.12,346113
"2012-04-12",42.29,42.66,42.11,42.46,271846
"2012-04-19",43.04,43.35,42.59,42.86,296819
"2012-04-26",42.85,43.66,42.78,43.29,307337
"2012-05-03",44.65,44.65,42.55,43.65,1486250
"2012-05-10",43.49,43.61,42.99,43.09,318823
"2012-05-17",42.39,42.63,41.91,41.95,803058
"2012-05-24",41.64,41.69,40.94,41.06,883362
"2012-05-31",40.83,40.99,40.11,40.68,2933877
"2012-06-07",42.17,42.4,42,42.12,549329
"2012-06-14",41.69,42.5,41.55,42.27,300428
"2012-06-21",42.93,43.17,42.1,42.39,345151
"2012-06-28",42.7,42.72,42,42.56,505179
"2012-07-05",45.29,46.69,45.04,46.49,1084669
"2012-07-12",45.83,45.83,44.9,45.46,465579
"2012-07-19",46.19,46.24,45.59,45.78,253341
"2012-07-26",43.32,43.86,42.49,43.69,1519408
"2012-08-02",43.56,44.59,43.53,44.54,541049
"2012-08-09",47.67,48.14,47.31,47.94,374263
"2012-08-16",48.15,48.41,47.95,48.3,540542
"2012-08-23",49.05,49.05,48.52,48.65,346168
"2012-08-30",49.43,49.8,49.09,49.3,266075
"2012-09-06",51.15,51.45,50.8,50.99,439298
"2012-09-13",49.65,49.84,49.18,49.71,360674
"2012-09-20",48.74,49.06,48.59,48.72,260545
"2012-09-27",46.42,46.88,46.21,46.31,716061
"2012-10-04",46.29,46.52,45.8,46.51,413704
"2012-10-11",46.94,47.18,46.66,46.84,341626
"2012-10-18",46.68,46.7,46.03,46.07,311056
"2012-10-25",45.55,45.69,44.83,45.18,241891
"2012-11-01",46.21,48.08,46.21,47.65,926589
"2012-11-08",46.38,46.74,45.6,45.62,411856
"2012-11-15",45.76,45.76,44.56,44.94,581092
"2012-11-29",47.58,47.95,47.1,47.72,224426
"2012-12-06",46.52,46.94,46.27,46.63,202218
"2012-12-13",47.17,47.59,46.51,46.51,244912
"2012-12-20",46.65,47.37,46,46.16,568687
"2012-12-27",45.29,45.31,44.41,45.06,395528
"2013-01-03",47.4,49.7,47.39,48.7,1525837
"2013-01-10",49.5,49.64,49.22,49.6,370116
"2013-01-17",49.96,50,49.41,49.6,597076
"2013-01-24",49.8,51.6,49.55,51.5,1014153
"2013-01-31",51.57,52.05,50.92,51.51,633149
"2013-02-07",51.68,52.41,48.7,50.3,956506
"2013-02-14",48.63,48.89,48.29,48.53,329502
"2013-02-21",48.72,48.75,47.99,48.1,186469
"2013-02-28",49.29,49.82,49.14,49.76,514761
"2013-03-07",51.71,51.88,50.95,51.12,179516
"2013-03-14",52.13,52.4,51.64,52.1,437134
"2013-03-21",53.39,53.79,53.16,53.5,407461
"2013-03-28",53.12,54.52,53.12,54.41,292036
"2013-04-04",54.25,54.25,53.38,53.81,279485
"2013-04-11",57.53,57.53,57.16,57.39,471218
"2013-04-18",56.5,56.5,55.49,56.01,400298
"2013-04-25",57.12,57.4,56.92,57.06,313339
"2013-05-02",56.35,56.35,53.5,55.58,1581572
"2013-05-09",57.6,57.88,57.34,57.48,340437
"2013-05-16",58.69,58.69,57.55,57.57,323289
"2013-05-23",56.28,56.73,56.19,56.73,323697
"2013-05-30",57.02,57.52,56.88,57.32,141527
"2013-06-06",55.6,57.24,55.57,57.24,449941
"2013-06-13",56.53,57.56,56.38,57.34,246600
"2013-06-20",56.88,57.54,56.37,56.41,178413
"2013-06-27",57.38,58.8,57.37,58.17,373054
"2013-07-11",60.92,61.5,60.69,61.26,234460
"2013-07-18",60.19,60.72,59.31,60.06,418319
"2013-07-25",60.74,61.48,60.45,61.36,209840
"2013-08-01",60.65,63,60.43,62.08,797793
"2013-08-08",57.15,58.01,57.15,57.86,326940
"2013-08-15",59.11,59.34,58.37,58.37,602615
"2013-08-22",57.8,58.99,57.58,58.55,196345
"2013-08-29",57.51,58.76,57.51,58.61,303312
"2013-09-05",57.42,58,57.42,57.51,447570
"2013-09-12",58.11,58.33,57.84,57.9,208017
"2013-09-19",58.06,58.8,57.95,58.68,519409
"2013-09-26",59.14,59.86,58.96,59.7,510736
"2013-10-03",59.31,59.42,58.26,59.36,602643
"2013-10-10",58.41,59,58.07,58.95,361947
"2013-10-17",59.32,60.16,58.94,60.09,291799
"2013-10-24",60.56,60.75,60.25,60.61,158826
"2013-10-31",60.07,60.21,58.92,58.95,520435
"2013-11-07",58.57,59.51,57.19,57.82,748808
"2013-11-14",62.25,63.11,62.03,63.06,391993
"2013-11-21",63.94,64.74,63.85,64.45,332656
"2013-12-05",65.88,65.88,64.86,65.72,374856
"2013-12-12",65.08,66.3,65.08,66.21,373757
"2013-12-19",67.88,68.08,67.23,67.59,329022
"2013-12-26",70.29,71.47,70.28,71.22,488423
"2014-01-02",70.89,70.92,69.58,69.8,377433
"2014-01-09",69.87,70.04,69.55,70.03,232726
"2014-01-16",70.81,70.84,69.19,69.59,474284
"2014-01-23",69.38,69.66,68.91,69.52,468571
"2014-01-30",69.32,70.49,68.76,70.32,286738
"2014-02-06",62.9,64.03,61.28,62.51,2447190
"2014-02-13",66.23,67.54,65.62,67.06,639990
"2014-02-20",65.95,66.24,65.16,65.77,464561
"2014-02-27",68.8,69.67,68.64,69.45,544685
"2014-03-06",71.5,72.66,71.23,72.22,380504
"2014-03-13",73.23,73.29,71.56,71.82,420165
"2014-03-20",72.35,72.98,72.05,72.9,271667
"2014-03-27",68.8,68.88,67.25,67.58,832919
"2014-04-03",70.03,70.78,68.75,69.21,420062
"2014-04-10",66.73,68.87,66.3,66.49,373305
"2014-04-17",67.43,68.09,67.06,67.57,283581
"2014-04-24",68.01,68.53,66.73,67.03,610126
"2014-05-01",73,74.9,71.25,73.54,976331
"2014-05-08",71.11,71.75,69.84,69.88,959143
"2014-05-15",69.47,69.48,67.85,68.48,626194
"2014-05-22",70.11,70.69,69.94,70.01,269424
"2014-05-29",71.1,71.34,70.61,71.1,263304
"2014-06-05",72.76,73.07,71.56,72,433006
"2014-06-12",70.64,70.64,69.82,70.2,340901
"2014-06-19",69.9,69.92,69.15,69.34,452895
"2014-06-26",69.43,69.43,68.69,68.9,218828
"2014-07-03",70.95,71.7,70.95,71.46,199828
"2014-07-10",70.01,70.53,69.85,70.47,411465
"2014-07-17",70.46,71.17,69.73,69.91,275136
"2014-07-24",70.49,70.66,69.95,70.05,307059
"2014-07-31",68.82,69.38,68.04,68.42,561281
"2014-08-07",71.27,72.05,70.93,71.08,490002
"2014-08-14",72.57,73.05,72.45,72.93,202717
"2014-08-21",73.72,73.97,73.4,73.85,240454
"2014-08-28",73.97,74.44,73.42,74.03,265000
"2014-09-04",75.01,75.71,74.95,75.18,307108
"2014-09-11",76.17,76.77,76.04,76.63,360006
"2014-09-18",75.7,75.83,75.09,75.75,294227
"2014-09-25",74.24,74.24,72.62,72.82,604012
"2014-10-02",73.47,74.1,73.07,73.81,355892
"2014-10-09",74.37,75.43,73.54,73.6,257451
"2014-10-16",71.4,72.88,71.32,72.58,368830
"2014-10-23",77.02,77.77,76.51,77.23,283758
"2014-10-30",78.65,79.97,78.53,79.78,190625
"2014-11-06",82,85.61,81.66,84.6,1325567
"2014-11-13",85.97,86.3,85.46,85.7,229403
"2014-11-20",84.35,84.45,83.6,83.95,493163
"2014-12-04",84.85,85.16,83.91,84.14,332059
"2014-12-11",83.98,84.99,83.88,84.5,340288
"2014-12-18",85.87,87.43,85.64,87.4,249631
"2015-01-08",83.02,83.84,82.71,83.43,260154
"2015-01-15",82.93,83.12,81.58,81.92,262798
"2015-01-22",84.61,86.18,83.66,85.92,181504
"2015-01-29",84.82,85.95,83.22,85.93,240274
"2015-02-05",82.42,82.42,76.72,79.05,2232335
"2015-02-12",78.94,80.09,78.68,79.89,675443
"2015-02-19",82.39,83.6,82.24,83.32,506749
"2015-02-26",84.48,84.8,83.56,83.6,705251
"2015-03-05",81.5,81.9,80.77,81.64,587552
"2015-03-12",80.3,80.74,79.82,80.44,646228
"2015-03-19",81.61,82.17,81.47,81.73,299467
"2015-03-26",81.01,81.98,80.79,81.58,295808
"2015-04-02",83.19,83.85,82.98,83.31,328378
"2015-04-09",84.16,84.64,83.49,84.45,313896
"2015-04-16",83.8,84.54,83.58,84.4,250657
"2015-04-23",82.73,84.49,82.73,84.25,733218
"2015-04-30",82.78,84.02,82.55,82.98,586071
"2015-05-07",84.46,85.96,84.15,84.98,391559
"2015-05-14",86.5,88.12,86.41,88.04,760347
"2015-05-21",88.3,88.3,87.63,87.72,459760
"2015-05-28",88.53,88.8,87.58,88.22,601341
"2015-06-04",86.52,87.12,86.35,86.59,382604
"2015-06-11",86.74,87.44,86.72,87.41,260072
"2015-06-18",87.9,88.33,87.55,88.05,360515
"2015-06-25",87.94,88.12,87.19,87.79,203115
"2015-07-02",86.46,86.62,85.42,86.5,321816
"2015-07-09",86.41,86.41,85.31,85.33,182177
"2015-07-16",87.17,88.19,87,88.1,292741
"2015-07-23",87.07,87.83,86.44,86.67,203643
"2015-07-30",86.1,87.65,84.9,87.54,386976
"2015-08-06",91.99,91.99,89.47,89.85,336550
"2015-08-13",90.51,91.11,90.23,90.55,165239
"2015-08-20",89.83,91.25,89.05,89.06,278792
"2015-08-27",85.57,87.21,84.89,86.41,336586
"2015-09-03",85.32,85.91,85.09,85.45,157931
"2015-09-10",85.3,86.28,85.02,85.51,203449
"2015-09-17",88.36,88.94,87.82,87.91,142366
"2015-09-24",86.49,87.69,85.73,86.04,380928
"2015-10-01",83.77,84.1,81.86,83.1,731622
"2015-10-08",83.95,84.67,83.21,84.38,848463
"2015-10-15",85.23,86.42,84.97,86.35,231980
"2015-10-22",86.68,87.73,86.26,87.7,227779
"2015-10-29",89.43,91.22,89.42,91.15,334625
"2015-11-05",88.5,88.6,85.91,86.46,615226
"2015-11-12",86.71,86.97,86.01,86.46,291360
"2015-11-19",87.76,88.25,87.18,87.47,367342
"2015-12-03",92.79,92.86,90.57,90.88,345765
"2015-12-10",89.63,90.61,89.26,89.94,209400
"2015-12-17",91.02,91.45,89.96,90.49,397414
"2015-12-24",90.54,91.61,90.35,91.15,173123
"2015-12-31",91.33,92.16,90.66,90.7,224040
"2016-01-07",86.92,87.58,85.94,86.25,325422
"2016-01-14",84.23,85.89,83.33,85.41,377324
"2016-01-21",83.02,84.03,82.23,82.58,399823
"2016-01-28",84.39,85.58,83.49,85.25,353016
"2016-02-04",83,85.03,80,83.99,1037322
"2016-02-11",80.03,80.78,79.21,79.86,433028
"2016-02-18",82.72,83.33,81.62,81.8,319970
"2016-02-25",81.31,83.06,81.31,82.89,299471
"2016-03-03",83.77,84.21,83.3,84.21,266216
"2016-03-10",84.08,84.26,82.27,82.7,363376
"2016-03-17",84.66,85.61,83.83,85.16,268491
"2016-03-24",85.75,86.26,85.06,86.17,153678
"2016-03-31",88.1,89.59,87.06,89.35,287452
"2016-04-07",88.71,88.71,87.58,88.15,494955
"2016-04-14",88.01,88.12,86.97,87.22,522059
