"","ITW.Open","ITW.High","ITW.Low","ITW.Close","ITW.Volume"
"2011-09-15",45.34,45.62,44.73,45.6,3622799
"2011-09-22",42.34,42.52,41.56,42.08,7108229
"2011-09-29",43.86,44.19,42.49,43.2,3867153
"2011-10-06",42.89,43.85,42.43,43.85,5065165
"2011-10-13",45.64,45.9,44.9,45.69,2388987
"2011-10-20",46.42,46.83,45.64,46.53,2705842
"2011-10-27",47.9,49.67,47.84,48.98,5441508
"2011-11-03",48.51,49.62,47.99,49.52,4094870
"2011-11-10",46.83,46.95,45.85,46.19,5612027
"2011-11-17",45.17,45.31,44,44.38,3618810
"2011-12-01",45.28,45.66,45.05,45.12,2838035
"2011-12-08",47.1,47.2,46.2,46.32,4231856
"2011-12-15",46.46,46.66,45.66,45.75,2567187
"2011-12-22",46.99,47.33,46.76,46.97,2421902
"2011-12-29",46.54,46.99,46.4,46.91,1500031
"2012-01-05",47.8,48.51,47.42,48.4,1904828
"2012-01-12",49.35,49.66,48.9,49.5,2345268
"2012-01-19",50.7,51.28,50.68,51.22,3669668
"2012-01-26",53.78,53.94,52.73,53.01,2923987
"2012-02-02",55,55,54.52,54.98,3013981
"2012-02-09",56.2,56.36,55.63,56.34,2684690
"2012-02-16",55.57,56.54,55.52,56.42,2423159
"2012-02-23",56.27,56.59,56,56.34,3022336
"2012-03-01",55.87,56.25,55.44,55.88,2698433
"2012-03-08",54.46,55.38,54.46,54.98,2421594
"2012-03-15",57,57.92,56.91,57.88,2803586
"2012-03-22",56.73,56.73,55.66,56.58,2456043
"2012-03-29",56.4,56.88,56.04,56.8,1998921
"2012-04-05",56.25,56.53,56.02,56.31,1818972
"2012-04-12",55.42,56.74,55.31,56.69,2089774
"2012-04-19",55.9,56.25,55.1,55.41,3159603
"2012-04-26",57.42,57.7,56.98,57.6,2032346
"2012-05-03",57.84,57.92,57.21,57.33,1989220
"2012-05-10",56.33,56.68,56.03,56.33,2878903
"2012-05-17",54.92,55.08,53.62,53.77,4416114
"2012-05-24",55.33,55.75,54.94,55.75,4060635
"2012-05-31",55.87,56.66,55.53,56.15,4783432
"2012-06-07",55.98,56.49,55.81,55.86,5769362
"2012-06-14",54.53,54.67,53.6,54.08,4450926
"2012-06-21",55.07,55.3,53.12,53.19,4725280
"2012-06-28",50.78,51.09,50.35,50.94,3688441
"2012-07-05",52.3,52.97,51.98,52.71,2381721
"2012-07-12",49.87,50.29,49.07,50.04,3588142
"2012-07-19",52.79,53.67,52.72,53.64,4027758
"2012-07-26",53.45,54,52.7,53.56,3482678
"2012-08-02",53.48,53.93,52.8,53.68,2335262
"2012-08-09",56.72,57.15,56.59,56.8,1894075
"2012-08-16",57.73,59.84,57.45,59.67,3969770
"2012-08-23",58.64,59.2,58.42,58.88,2547961
"2012-08-30",58.91,59.16,58.65,58.92,1952282
"2012-09-06",59.06,59.86,58.95,59.71,4257271
"2012-09-13",61.19,61.87,60.6,61.37,3002792
