"","JEC.Open","JEC.High","JEC.Low","JEC.Close","JEC.Volume"
"2011-09-15",18.2,18.43,17.98,18.38,1753984
"2011-09-22",16.38,16.9,15.98,16.26,6253888
"2011-09-29",17.34,17.6,16.8,17.3,2293852
"2011-10-06",16.99,17.5,16.84,17.49,2799472
"2011-10-13",18.52,18.74,18.22,18.64,2100726
"2011-10-20",18.16,18.34,17.76,18.22,2433268
"2011-10-27",19.98,20.74,19.74,20.36,3053066
"2011-11-03",19.99,20.43,19.66,20.37,3298980
"2011-11-10",19.18,19.3,18.79,18.94,3042494
"2011-11-17",20.6,20.96,20.2,20.41,4562736
"2011-12-01",20.68,20.82,20.55,20.64,2306772
"2011-12-08",21.22,21.3,20.83,20.9,3135468
"2011-12-15",20.22,20.32,19.8,19.9,2960350
"2011-12-22",20.16,20.48,20.04,20.34,2882390
"2011-12-29",20.16,20.47,20.13,20.43,1870850
"2012-01-05",20.57,20.74,20.34,20.64,1857052
"2012-01-12",20.68,21.8,20.68,21.74,4008576
"2012-01-19",22.29,22.86,22.27,22.58,2385388
"2012-01-26",22.71,23,22.42,22.64,4544462
"2012-02-02",23.15,23.3,23.01,23.06,1594164
"2012-02-09",22.96,23.28,22.9,23.2,1129824
"2012-02-16",22.39,22.8,22.38,22.74,1291884
"2012-02-23",22.5,23.88,22.3,23.8,4428506
"2012-03-01",23.26,23.68,23.2,23.64,2387652
"2012-03-08",22.62,22.72,22.25,22.58,1451698
"2012-03-15",22.92,23.51,22.8,23.44,2151308
"2012-03-22",22.76,22.76,22.15,22.41,2031540
"2012-03-29",22.52,22.59,22.22,22.42,1934150
"2012-04-05",21.84,22.07,21.75,21.88,1801726
"2012-04-12",21.36,21.87,21.32,21.83,1479836
"2012-04-19",21.91,22.08,21.4,21.59,1447968
"2012-04-26",21.72,22,21.58,21.92,1431386
"2012-05-03",20.87,20.87,20.29,20.46,4361946
"2012-05-10",19.88,19.98,19.42,19.49,2312794
"2012-05-17",18.58,18.68,18.22,18.22,2947066
"2012-05-24",18.52,18.58,18.24,18.52,1865874
"2012-05-31",18.04,18.06,17.58,17.76,3693078
"2012-06-07",18.51,18.78,18.07,18.1,1626742
"2012-06-14",17.7,17.88,17.6,17.79,1897620
"2012-06-21",18.12,18.18,17.54,17.56,2082472
"2012-06-28",17.76,18.29,17.71,18.26,1892142
"2012-07-05",19.15,19.25,18.95,18.99,1069646
"2012-07-12",18.24,18.35,18.08,18.23,1769208
"2012-07-19",19.17,19.5,19,19.38,2044164
"2012-07-26",18.68,18.87,18.64,18.82,2785160
"2012-08-02",19.06,19.27,18.82,19.16,1511168
"2012-08-09",19.77,19.98,19.77,19.83,698582
"2012-08-16",20.04,20.5,19.94,20.44,1237014
"2012-08-23",20.3,20.52,20.14,20.26,1264548
"2012-08-30",19.72,19.75,19.48,19.6,745156
"2012-09-06",19.89,20.38,19.89,20.3,1183400
"2012-09-13",20.82,21.38,20.59,21.3,1444008
"2012-09-20",21.35,21.38,20.98,21.34,1680444
"2012-09-27",20.43,20.53,20.28,20.43,1124790
"2012-10-04",20.51,20.6,20.42,20.51,1217668
"2012-10-11",20.04,20.08,19.85,19.96,1788820
"2012-10-18",20.42,20.62,20.36,20.46,1154202
"2012-10-25",19.52,19.64,19.14,19.44,1252094
"2012-11-01",19.35,19.86,19.29,19.74,1982756
"2012-11-08",19.88,19.92,19.39,19.48,2962680
"2012-11-15",19.4,19.62,19.34,19.51,3154354
"2012-11-29",20.46,20.57,20.3,20.5,1161300
"2012-12-06",20.63,20.78,20.39,20.78,1729560
"2012-12-13",21.04,21.1,20.78,20.86,1405066
"2012-12-20",21.34,21.78,21.28,21.77,1806086
"2012-12-27",21.28,21.28,20.78,21.18,1432844
"2013-01-03",21.84,22,21.72,21.77,1246772
"2013-01-10",22.34,22.66,22.32,22.6,1750992
"2013-01-17",22.8,23.08,22.8,23.02,1704848
"2013-01-24",23.25,23.62,23.21,23.52,1902230
"2013-01-31",23.99,24.11,23.72,24.06,1977408
"2013-02-07",24.31,24.31,23.94,24.01,1581360
"2013-02-14",24.26,24.6,24.22,24.45,1705928
"2013-02-21",24.58,24.64,24.02,24.31,1957058
"2013-02-28",24.38,24.54,24.23,24.42,1848326
"2013-03-07",25.11,25.26,25.04,25.2,1779126
"2013-03-14",26.3,26.68,26.28,26.68,1959794
"2013-03-21",26.9,27.08,26.82,26.97,1963982
"2013-03-28",27.88,28.26,27.62,28.12,2427150
"2013-04-04",26.32,26.51,26.32,26.5,2140304
"2013-04-11",27.05,27.45,26.94,27.32,1572066
"2013-04-18",24.83,24.96,24.6,24.72,2566066
"2013-04-25",26.06,26.38,25.94,26.1,1164934
"2013-05-02",24.64,24.98,24.5,24.92,1985782
"2013-05-09",25.64,25.79,25.19,25.26,2325858
"2013-05-16",26.03,26.44,25.96,26.38,2243790
"2013-05-23",26.9,27.64,26.74,27.5,2094350
"2013-05-30",28.12,28.68,27.96,28.58,1704850
"2013-06-06",27.85,28.08,27.72,27.96,2724276
"2013-06-13",27.5,27.85,27.31,27.76,2030148
"2013-06-20",27.79,28.1,27.64,27.76,1822632
"2013-06-27",27.68,27.9,27.57,27.85,1569092
"2013-07-11",28.44,28.62,28.36,28.51,1069342
"2013-07-18",28.99,29.68,28.95,29.6,858388
"2013-07-25",29.54,30.07,29.54,30.04,1735394
"2013-08-01",30.02,30.77,30,30.74,2257744
"2013-08-08",29.86,30.37,29.86,30.32,1390982
"2013-08-15",30.38,30.64,30.24,30.54,1604956
"2013-08-22",30.04,30.38,29.96,30.18,1665032
"2013-08-29",29.26,29.46,28.99,29.04,1253756
"2013-09-05",29.54,29.75,29.49,29.51,1493618
"2013-09-12",28.82,29.23,28.72,29.03,2098962
"2013-09-19",29.96,30.03,29.76,29.86,1850424
"2013-09-26",29.22,29.34,28.94,29.13,939688
"2013-10-03",29.26,29.39,28.44,28.66,1430358
"2013-10-10",28.38,28.68,28.36,28.68,1100572
"2013-10-17",29.28,30,29.26,29.98,1697698
"2013-10-24",30.17,30.37,30,30.35,883520
"2013-10-31",30.25,30.57,30.06,30.41,1321366
"2013-11-07",31.1,31.13,30.56,30.6,1208392
"2013-11-14",31.68,31.88,31.34,31.72,1202358
"2013-11-21",30.2,30.34,29.9,30.04,1758366
"2013-12-05",28.95,29.18,28.71,28.77,2187400
"2013-12-12",28.74,28.86,28.24,28.24,1777320
"2013-12-19",29.98,30.35,29.84,30.28,2931474
"2013-12-26",30.82,30.97,30.81,30.92,652196
"2014-01-02",31.84,32.05,31.33,31.44,3091426
"2014-01-09",31.66,31.89,31.41,31.62,1439916
"2014-01-16",32.64,32.8,32.51,32.72,1068882
"2014-01-23",30.75,32.81,30.23,32.3,4256522
"2014-01-30",31.1,31.12,30.66,30.86,1493904
"2014-02-06",29.36,29.76,29.36,29.5,1063434
"2014-02-13",30.12,30.22,29.76,30.12,1859188
"2014-02-20",30.34,30.76,30.18,30.52,1978166
"2014-02-27",30.16,30.58,30.1,30.28,1812414
"2014-03-06",30.9,31.7,30.88,31.54,2316318
"2014-03-13",31.44,31.52,30.87,30.96,1810000
"2014-03-20",31.82,32.08,31.72,32.07,1031416
"2014-03-27",31.46,31.58,31.34,31.42,1694712
"2014-04-03",32.2,32.38,32,32.16,1250226
"2014-04-10",31.68,31.82,31.34,31.38,1973130
"2014-04-17",31.46,32,31.46,31.86,812112
"2014-04-24",32,32.06,31.5,31.68,1278124
"2014-05-01",28.84,29.2,28.64,29.04,3581366
"2014-05-08",28.44,28.66,28.12,28.28,1611610
"2014-05-15",27.24,27.28,26.28,26.92,5677572
"2014-05-22",26.55,26.63,26.34,26.58,2701970
"2014-05-29",27.38,27.44,27.18,27.38,2232338
"2014-06-05",27.56,28.1,27.56,27.98,1426482
"2014-06-12",27.5,27.61,27.28,27.32,1514568
"2014-06-19",27.34,27.52,27.22,27.44,1377806
"2014-06-26",26.82,26.84,26.42,26.67,1569336
"2014-07-03",26.62,26.84,26.54,26.78,1937038
"2014-07-10",26.46,26.73,26.4,26.58,2074974
"2014-07-17",27.05,27.22,26.94,27.02,1857180
"2014-07-24",27.5,27.5,27.26,27.42,2251230
"2014-07-31",25.7,25.85,25.36,25.4,2623286
"2014-08-07",25.09,25.14,24.79,25,1866032
"2014-08-14",25.74,26.09,25.64,26.07,1947932
"2014-08-21",26.92,27.29,26.68,27.2,2300006
"2014-08-28",27.13,27.28,26.96,27.16,733942
"2014-09-04",26.66,26.8,26.38,26.44,1443382
"2014-09-11",26.63,26.85,26.56,26.82,1477944
"2014-09-18",26.42,26.54,26.3,26.52,1836028
"2014-09-25",25.1,25.18,24.68,24.76,2760972
"2014-10-02",23.6,23.74,23.12,23.44,3696646
"2014-10-09",23.95,24.05,23.54,23.62,3156444
"2014-10-16",22.93,23.36,22.52,22.62,5584108
"2014-10-23",23.02,23.85,23.02,23.66,2502350
"2014-10-30",23.49,23.8,23.25,23.58,1923776
"2014-11-06",24.03,24.2,23.84,23.96,1955532
"2014-11-13",24.1,24.24,23.53,23.74,1856882
"2014-11-20",23.5,24.63,23.48,24.38,2871512
"2014-12-04",23.28,23.3,22.95,23.16,2174968
"2014-12-11",21.2,21.38,21,21.26,3762492
"2014-12-18",20.91,21.12,20.72,21.12,2422288
"2015-01-08",21.04,21.6,20.88,21.6,2827448
"2015-01-15",20.12,20.26,19.26,19.28,3403000
"2015-01-22",19.86,19.92,19.6,19.8,2139232
"2015-01-29",19.76,20,19.07,19.38,5063688
"2015-02-05",20.06,20.5,19.98,20.44,2588960
"2015-02-12",21.09,21.29,21.06,21.28,2833780
"2015-02-19",21.76,21.94,21.6,21.9,2304976
"2015-02-26",22.36,22.4,22.18,22.27,3207234
"2015-03-05",21.98,22.02,21.72,21.92,2360062
"2015-03-12",21.56,21.84,21.38,21.82,2310486
"2015-03-19",22.12,22.16,21.74,22,2510640
"2015-03-26",22.46,22.66,22.29,22.48,1942862
"2015-04-02",22.15,22.54,22,22.14,1720660
"2015-04-09",22.62,23,22.5,22.95,2044914
"2015-04-16",24.02,24.04,23.73,23.88,2330054
"2015-04-23",23.5,23.72,23.32,23.58,1566662
"2015-04-30",21.85,22.1,21.38,21.43,3150240
"2015-05-07",21.5,21.7,21.44,21.64,1774166
"2015-05-14",22.16,22.26,21.88,22.14,1879646
"2015-05-21",22.12,22.33,22.06,22.16,1137742
"2015-05-28",21.67,21.8,21.52,21.67,1450272
"2015-06-04",21.94,21.94,21.55,21.58,3757064
"2015-06-11",21.81,21.88,21.68,21.72,1044364
"2015-06-18",21.47,21.66,21.36,21.6,1754596
"2015-06-25",21.53,21.62,21.2,21.25,1656814
"2015-07-02",20.38,20.5,20.12,20.21,1722912
"2015-07-09",20.21,20.78,19.88,19.92,3264390
"2015-07-16",20.25,20.34,20.11,20.22,1331974
"2015-07-23",20.41,20.54,20.13,20.14,4365072
"2015-07-30",21.29,21.5,21.19,21.46,2518766
"2015-08-06",21.37,21.82,21.29,21.74,4041638
"2015-08-13",21.92,22.1,21.8,21.9,2434640
"2015-08-20",21.4,21.4,20.88,20.88,2612474
"2015-08-27",19.06,19.78,19.02,19.7,3948234
"2015-09-03",20.04,20.42,19.96,20.17,1584248
"2015-09-10",19.9,20.02,19.56,19.92,2020566
"2015-09-17",19.62,19.96,19.56,19.6,5469436
"2015-09-24",18.34,18.8,18.14,18.68,4680546
"2015-10-01",18.8,18.85,18.3,18.38,4157986
"2015-10-08",20.12,20.7,20.08,20.63,2939908
"2015-10-15",20.34,20.42,19.84,20.28,2497098
"2015-10-22",19.54,19.92,19.48,19.59,2008466
"2015-10-29",19.35,19.62,19.31,19.52,1479910
"2015-11-05",20.72,21.03,20.58,20.92,1429728
"2015-11-12",20.52,20.7,20.21,20.22,1690400
"2015-11-19",20.86,21.39,20.85,21.37,2783184
"2015-12-03",22.18,22.54,22.04,22.36,3421182
"2015-12-10",21.42,21.55,21.33,21.38,1590650
"2015-12-17",21.3,21.3,20.74,20.8,1355670
"2015-12-24",21.64,21.8,21.57,21.65,500752
"2015-12-31",21.1,21.3,20.98,20.98,1023130
"2016-01-07",19.94,20.15,19.64,19.72,2149866
"2016-01-14",19.28,19.4,18.8,19.19,1750836
"2016-01-21",18.44,18.72,18.18,18.31,1968244
"2016-01-28",18.94,19.04,18.69,18.86,1397818
"2016-02-04",18.61,19.14,18.56,18.7,3864460
"2016-02-11",17.46,17.79,17.38,17.53,2887602
"2016-02-18",19.34,19.4,18.79,19,1353162
"2016-02-25",19.34,19.5,18.96,19.24,926098
"2016-03-03",20.02,20.35,19.98,20.29,1234098
"2016-03-10",20.41,20.48,19.94,20.3,1138142
"2016-03-17",21.19,21.99,21.16,21.93,2672304
"2016-03-24",21.68,21.7,21.46,21.64,1401306
"2016-03-31",21.86,21.9,21.7,21.78,1255616
"2016-04-07",20.92,20.99,20.46,20.5,2904862
"2016-04-14",21.54,21.55,21.14,21.19,1622004
"2016-04-21",21.67,21.84,21.64,21.69,1088564
"2016-04-28",22.26,22.65,22.18,22.25,1268962
"2016-05-05",22.5,23.31,22.22,23.3,3520380
"2016-05-12",25.15,25.36,24.9,24.9,2678130
"2016-05-19",24.48,24.68,24.17,24.46,2105896
"2016-05-26",25.09,25.2,24.82,25.01,1212486
"2016-06-02",25.33,25.53,25.23,25.39,2429146
"2016-06-09",26.12,26.27,25.88,26.26,1356150
"2016-06-16",25.35,25.5,25.09,25.48,1305398
"2016-06-23",26.49,26.66,26.35,26.55,1717726
"2016-06-30",24.44,25,24.26,24.9,2344186
"2016-07-07",24.96,25.22,24.88,24.98,1740548
"2016-07-14",26.57,26.74,26.4,26.42,1271242
"2016-07-21",26.72,27,26.52,26.68,1294908
"2016-07-28",27.16,27.25,26.82,27.04,801444
"2016-08-04",26.46,26.72,26.39,26.5,1152364
"2016-08-11",27.24,27.5,26.69,27.2,2450922
"2016-08-18",26.69,27.02,26.64,26.98,1043478
"2016-08-25",27.02,27.21,26.96,27.18,1527296
"2016-09-01",26.36,26.52,25.86,26.02,2035570
"2016-09-08",25.93,26.04,25.77,25.78,1481668
"2016-09-15",24.68,25.16,24.58,25.07,1194708
