"","JNJ.Open","JNJ.High","JNJ.Low","JNJ.Close","JNJ.Volume"
"2011-09-15",64.28,64.63,63.92,64.4,10625716
"2011-09-22",62.16,62.6,61.14,61.92,19456859
"2011-09-29",63.92,64.24,63.02,63.9,8923222
"2011-10-06",62.52,62.83,62.1,62.81,9595350
"2011-10-13",64.45,64.45,63.57,64.23,7781041
"2011-10-20",62.96,63.13,62.31,62.53,11562590
"2011-10-27",64.99,65.69,64.71,65.3,16451497
"2011-11-03",64.07,64.52,63.67,64.34,10465976
"2011-11-10",64.13,64.42,63.66,64.12,7597408
"2011-11-17",64.17,64.51,63.3,63.94,13924632
"2011-12-01",64.68,64.95,64.34,64.45,9852657
"2011-12-08",64.14,64.45,63.56,63.78,9567644
"2011-12-15",63.65,64.1,63.57,64,9656687
"2011-12-22",65.06,65.26,64.62,65.18,7428114
"2011-12-29",65.31,66.03,65.25,65.88,5702392
"2012-01-05",65.32,65.6,64.83,65.4,11886826
"2012-01-12",65.28,65.41,64.93,65.23,7402895
"2012-01-19",65.16,65.25,64.79,65.19,11699741
"2012-01-26",65.53,65.88,55.76,65.7,12546132
"2012-02-02",65.94,65.97,65.35,65.59,8282498
"2012-02-09",65.16,65.35,64.82,64.89,10936186
"2012-02-16",64.6,65.16,64.44,64.92,8194493
"2012-02-23",65.19,66.05,64.9,65.1,8995376
"2012-03-01",65.11,65.26,64.64,64.83,8813804
"2012-03-08",64.95,65.08,64.74,64.85,11311176
"2012-03-15",64.93,65.38,64.85,65.07,11375346
"2012-03-22",64.68,64.69,64.4,64.46,10621204
"2012-03-29",65.28,65.54,65.2,65.54,9553285
"2012-04-05",65.26,65.38,65.09,65.34,7922631
"2012-04-12",64.05,64.15,63.68,64.15,13122221
"2012-04-19",63.22,63.54,62.76,63.03,15189095
"2012-04-26",64.41,64.97,64.26,64.75,9139768
"2012-05-03",65.4,65.48,65.1,65.34,10433086
"2012-05-10",64.81,64.86,64.39,64.57,7702056
"2012-05-17",63.71,64,63.48,63.55,7993866
"2012-05-24",62.89,63.34,62.8,63.1,9309382
"2012-05-31",62.36,62.88,62.14,62.43,13299815
"2012-06-07",63.18,63.2,62.51,62.8,12959963
"2012-06-14",64.35,65.75,64.28,65.45,34315433
"2012-06-21",66.55,66.97,66.16,66.39,24545768
"2012-06-28",66.71,67,66.44,66.94,12110891
"2012-07-05",67.92,68.15,67.78,67.78,11857715
"2012-07-12",67.62,68.12,67.44,67.71,16484176
"2012-07-19",69.25,69.7,68.98,69.53,13499518
"2012-07-26",68.3,68.98,68.21,68.74,16477663
"2012-08-02",68.81,68.98,68.02,68.45,13536193
"2012-08-09",68.33,68.65,68.17,68.32,7764362
"2012-08-16",68.44,68.45,68.02,68.2,13518440
"2012-08-23",67.8,67.95,67.56,67.74,9064092
"2012-08-30",67.23,67.41,66.85,67.21,9672953
"2012-09-06",67.71,68.22,67.59,67.84,13075458
"2012-09-13",68.01,69.17,68,68.99,13006345
"2012-09-20",68.41,68.99,68.33,68.9,8704582
"2012-09-27",69.09,69.35,68.89,69.01,8253153
"2012-10-04",69.1,69.5,69.01,69.27,9397590
"2012-10-11",68.21,68.3,67.86,67.97,9505526
"2012-10-18",70.87,72.74,70.82,72.52,33591058
"2012-10-25",71.01,71.56,70.99,71.14,9673169
"2012-11-01",71.1,71.9,70.83,71.5,11226550
"2012-11-08",70.15,70.42,69.65,69.65,12655586
"2012-11-15",68.99,69.2,68.72,69.07,11804602
"2012-11-29",69.47,69.56,69.05,69.22,9849162
"2012-12-06",70.34,70.34,69.8,70.05,9459120
"2012-12-13",70.9,71,70.62,70.75,8839643
"2012-12-20",70.74,70.9,70.49,70.75,11775935
"2012-12-27",70.13,70.4,69.8,70.09,10700303
"2013-01-03",70.98,71,70.44,70.74,9598228
"2013-01-10",71.81,72.38,71.74,72.19,11891155
"2013-01-17",72.88,73.01,72.37,72.9,10573077
"2013-01-24",72.96,73.23,72.84,73.1,9369713
"2013-01-31",74.08,74.36,73.78,73.92,10452547
"2013-02-07",74.82,75.2,74.68,75.06,9798177
"2013-02-14",75.5,76.09,75.38,75.81,9681846
"2013-02-21",76.47,77.02,76.38,76.87,9465751
"2013-02-28",76.23,76.49,76.11,76.11,11810994
"2013-03-07",77.62,77.96,77.59,77.75,7996589
"2013-03-14",78.67,79.1,78.49,79.1,10150106
"2013-03-21",79.12,79.5,78.77,79.01,8436540
"2013-03-28",81.37,81.59,80.95,81.53,11335093
"2013-04-04",82.2,82.72,81.92,82.41,10303575
"2013-04-11",82.14,82.96,82.08,82.32,9882969
"2013-04-18",83.96,84.3,83.03,83.18,9921415
"2013-04-25",84.54,85.44,84.34,85.22,8689508
"2013-05-02",84.44,85.21,84.17,85.16,8670010
"2013-05-09",85.45,85.69,84.96,85.15,8342217
"2013-05-16",87.33,87.77,87.06,87.45,9441996
"2013-05-23",87.11,87.97,87,87.21,14446889
"2013-05-30",85.71,86.31,85.68,85.99,7801107
"2013-06-06",83.58,84.46,82.65,84.46,10671700
"2013-06-13",83.6,84.96,83.08,84.91,8573402
"2013-06-20",84.21,84.45,82.12,82.62,15173932
"2013-06-27",87.53,87.82,86.49,86.71,8890595
"2013-07-11",89.81,89.93,89,89.67,8941310
"2013-07-18",90.33,90.95,90.06,90.17,8329813
"2013-07-25",92,92.75,91.75,92.57,7369026
"2013-08-01",94.16,94.4,93.7,93.77,11098955
"2013-08-08",94.27,94.37,92.71,93.34,11090305
"2013-08-15",90.32,90.41,89.09,89.55,12017159
