"","JNPR.Open","JNPR.High","JNPR.Low","JNPR.Close","JNPR.Volume"
"2011-09-15",21.9,21.95,20.45,20.7,18159139
"2011-09-22",19.07,19.2,18.67,19.12,15306430
"2011-09-29",19.08,19.18,18.05,18.4,9246154
"2011-10-06",19.25,19.49,18.98,19.43,8848705
"2011-10-13",19.88,20.45,19.8,20.43,9592399
"2011-10-20",20.15,20.75,19.75,20.56,16674210
"2011-10-27",24.31,25.6,23.84,24.92,16850292
"2011-11-03",23.89,24.06,23.08,23.96,9281439
"2011-11-10",23.81,24.39,23.26,23.77,11293461
"2011-11-17",23.92,23.92,22.47,22.73,12022828
"2011-12-01",22.57,23,22.19,22.25,5332385
"2011-12-08",21.26,21.29,19.92,20.05,18956952
"2011-12-15",19.13,19.18,18.34,18.6,7726019
"2011-12-22",20.1,20.86,20.08,20.75,10962688
"2011-12-29",20.51,20.6,20.35,20.49,3454751
"2012-01-05",20.48,20.96,20.4,20.64,8608537
"2012-01-12",21.25,21.35,20.69,21.29,8186515
"2012-01-19",23.36,24.21,22.94,23.88,17621656
"2012-01-26",23.01,23.3,22,22.37,17362114
"2012-02-02",21.68,21.84,21.37,21.61,7449661
"2012-02-09",22.89,23.43,22.85,23.18,8291928
"2012-02-16",24.09,24.13,23.52,24.02,8934350
"2012-02-23",22.94,23.79,22.66,23.51,10691512
"2012-03-01",22.45,22.89,22.18,22.29,15092174
"2012-03-08",21.67,21.69,21.16,21.43,5941340
"2012-03-15",20.68,21.38,20.64,21.33,8945668
"2012-03-22",21.01,21.15,20.86,20.95,5985004
"2012-03-29",22.21,22.95,22.11,22.87,10732025
"2012-04-05",21.44,21.52,21.08,21.25,6398165
"2012-04-12",21.74,22.24,21.69,22.02,8066864
"2012-04-19",21.1,21.33,20.74,20.93,8790178
"2012-04-26",20.86,21.39,20.75,21.31,10684209
"2012-05-03",21,21.03,20.1,20.33,9453296
"2012-05-10",18.66,18.9,17.7,18.07,14143758
"2012-05-17",17.33,17.46,16.97,17,8134600
"2012-05-24",17.27,17.28,16.86,17,12832450
"2012-05-31",17.26,17.33,16.9,17.2,7005985
"2012-06-07",17.26,17.38,16.47,16.57,16384806
"2012-06-14",16.36,16.42,15.95,16.2,10243931
"2012-06-21",16.61,16.7,15.82,15.88,9336897
"2012-06-28",15.43,15.68,15.31,15.53,6840216
"2012-07-05",16.05,16.34,15.91,16.13,3825509
"2012-07-12",14.53,14.64,14.17,14.51,9236207
"2012-07-19",15.31,15.86,15.3,15.84,11098599
"2012-07-26",16.64,16.98,16.37,16.83,13488362
"2012-08-02",17.33,17.92,17.18,17.58,13997256
"2012-08-09",18.8,19.58,18.73,19.4,10935295
"2012-08-16",18.87,19.07,18.58,18.59,9924520
"2012-08-23",18.2,18.48,18.1,18.23,5887499
"2012-08-30",18.11,18.12,17.56,17.75,7693606
"2012-09-06",17.83,18.36,17.8,18.23,9927798
"2012-09-13",19.21,19.59,18.92,19.41,8727482
"2012-09-20",18.75,18.83,18.52,18.58,4282325
"2012-09-27",17.44,17.76,17.26,17.67,4357721
"2012-10-04",16.74,16.83,16.38,16.7,7479320
"2012-10-11",16.48,16.63,16.32,16.35,4622114
"2012-10-18",18.36,19.22,17.72,18.2,25742615
"2012-10-25",15.87,16.15,15.77,16.07,9083697
"2012-11-01",16.56,17.37,16.45,17.27,9678582
"2012-11-08",18.12,18.15,17.58,17.6,8348321
"2012-11-15",17.61,17.71,16.85,16.9,8668331
"2012-11-29",17.83,18.1,17.81,18.02,7126295
"2012-12-06",18.27,19.17,18.27,19.1,13838881
"2012-12-13",18.94,19.5,18.88,19.36,7734383
"2012-12-20",20.13,20.48,19.9,20.35,5369353
"2012-12-27",19.93,19.95,19.43,19.79,4461637
"2013-01-03",20.48,20.7,20.11,20.17,6328018
"2013-01-10",20.05,20.37,20,20.3,6546274
