"","K.Open","K.High","K.Low","K.Close","K.Volume"
"2011-09-15",52.97,53.95,52.83,53.7,2223315
"2011-09-22",51.88,52.58,51.63,52.41,2925214
"2011-09-29",54.19,54.56,53.36,53.85,1954872
"2011-10-06",52.96,53.46,52.67,53.44,2174428
"2011-10-13",54.2,54.31,53.49,53.96,1733864
"2011-10-20",54.44,54.93,54.11,54.39,1648185
"2011-10-27",55.07,55.3,54.64,55.07,2141184
"2011-11-03",49.94,50.67,49.52,49.91,9461651
"2011-11-10",49.4,49.8,48.92,49.38,3415575
"2011-11-17",49.21,49.61,49.08,49.38,2177829
"2011-12-01",49.03,49.37,48.87,48.98,2926978
"2011-12-08",49.72,49.8,49.22,49.31,1753004
"2011-12-15",48.89,49.2,48.69,48.76,1977909
"2011-12-22",49.92,49.98,49.44,49.91,1360686
"2011-12-29",50.62,50.92,50.59,50.86,1083526
"2012-01-05",50.31,50.74,50.27,50.47,1623003
"2012-01-12",51.59,51.85,51.29,51.44,1356442
"2012-01-19",51.37,51.37,51,51.19,1656137
"2012-01-26",50.88,50.98,49.95,49.99,3118386
"2012-02-02",50.96,51.33,50.01,50.59,6337055
"2012-02-09",50.33,50.43,49.96,50.21,1781332
"2012-02-16",52.73,52.94,52.4,52.56,3577607
"2012-02-23",53.06,53.45,53.03,53.1,3486802
"2012-03-01",52.45,52.64,52.17,52.26,1937365
"2012-03-08",51.93,52.44,51.83,52.42,1443197
"2012-03-15",52.54,52.93,52.26,52.92,1661395
"2012-03-22",52.38,52.57,52.22,52.55,914120
"2012-03-29",53.28,53.5,53.04,53.39,1675821
"2012-04-05",53.26,53.28,52.8,53.18,1314182
"2012-04-12",53.02,53.22,52.88,53.2,1337492
"2012-04-19",53.5,54.06,53.47,53.8,1638903
"2012-04-26",50.66,51.2,50.08,50.31,3371954
"2012-05-03",50.58,50.92,50.33,50.75,2659583
"2012-05-10",50.8,51.06,50.73,50.93,1172243
"2012-05-17",50.99,51.06,50.71,50.71,1796451
