"","KIM.Open","KIM.High","KIM.Low","KIM.Close","KIM.Volume"
"2011-09-15",16.64,16.75,16.44,16.75,3690062
"2011-09-22",14.94,15.31,14.54,14.83,6243427
"2011-09-29",15.69,15.79,15.41,15.66,5162737
"2011-10-06",14.62,15.14,14.41,15.05,4828469
"2011-10-13",14.92,15.23,14.51,15.06,3695098
"2011-10-20",15.22,15.6,14.94,15.57,4800899
"2011-10-27",17.61,17.82,17.13,17.67,8772312
"2011-11-03",17.46,17.59,16.9,17.44,4476714
"2011-11-10",16.58,16.64,16.03,16.08,8258886
"2011-11-17",15.88,16,15.5,15.62,4511509
"2011-12-01",15.72,15.74,15.43,15.59,3201815
"2011-12-08",16.01,16.03,15.59,15.63,3198544
"2011-12-15",15.73,15.87,15.62,15.74,2178110
"2011-12-22",16.62,17.07,16.59,16.89,3865570
"2011-12-29",16.59,16.61,16.44,16.52,3448053
"2012-01-05",16.31,16.7,16.24,16.64,2281100
"2012-01-12",17.41,17.53,16.91,17.15,4318580
"2012-01-19",17.6,17.75,17.41,17.68,2759721
"2012-01-26",18.93,19,18.69,18.71,5402254
"2012-02-02",18.33,18.57,18.13,18.52,4110143
"2012-02-09",18.88,18.94,18.31,18.65,3895526
"2012-02-16",18.55,18.83,18.45,18.78,3070055
"2012-02-23",18.46,18.74,18.31,18.73,2637326
"2012-03-01",18.4,18.7,18.38,18.7,3035875
"2012-03-08",18.44,18.46,18.13,18.18,3577640
"2012-03-15",19.34,19.59,19.21,19.46,5732220
"2012-03-22",19.32,19.4,18.99,19.17,3920735
"2012-03-29",19.31,19.36,19.02,19.28,4723259
"2012-04-05",18.66,18.69,18.3,18.39,4889110
"2012-04-12",18.06,18.33,17.94,18.33,2269813
"2012-04-19",18.58,18.68,18.41,18.57,2472444
"2012-04-26",19.23,19.4,19.14,19.35,1898827
"2012-05-03",19.68,19.95,19.55,19.6,2131865
"2012-05-10",19.78,19.78,19.38,19.52,2330938
"2012-05-17",18.86,18.88,18.13,18.13,3563593
"2012-05-24",18.16,18.32,17.92,18.18,2275774
"2012-05-31",17.83,18.11,17.6,17.95,3899403
"2012-06-07",18.5,18.57,18.16,18.22,2703135
"2012-06-14",18.15,18.56,18.12,18.47,2598391
"2012-06-21",18.81,18.84,18.4,18.52,3656578
"2012-06-28",18.16,18.45,18.13,18.45,4554092
"2012-07-05",18.98,19.13,18.92,19,2114145
"2012-07-12",19.03,19.31,18.95,19.11,3392225
"2012-07-19",19.45,19.54,19.1,19.24,3801784
"2012-07-26",19.08,19.23,18.77,18.93,3324164
"2012-08-02",19.66,19.75,19.36,19.73,4620448
"2012-08-09",19.4,19.61,19.38,19.52,2194761
"2012-08-16",19.9,20.09,19.78,20.07,3717796
"2012-08-23",20.3,20.3,20.08,20.17,2671014
"2012-08-30",20.24,20.42,20.15,20.35,3121588
"2012-09-06",20.5,20.6,20.46,20.56,2511809
"2012-09-13",20.57,20.88,20.48,20.83,2630674
"2012-09-20",20.78,20.81,20.5,20.71,5164348
"2012-09-27",20.31,20.58,20.26,20.34,2650761
"2012-10-04",20.24,20.28,20,20.11,3251581
"2012-10-11",20.42,20.48,20.32,20.32,2743807
"2012-10-18",20.59,20.87,20.56,20.85,2532950
"2012-10-25",20.08,20.16,19.56,19.78,3013770
"2012-11-01",19.51,19.63,19.37,19.51,4653166
"2012-11-08",19.31,19.38,18.93,18.94,3495865
"2012-11-15",18.31,18.46,18.11,18.27,2346823
"2012-11-29",18.95,19.04,18.82,19,2555289
"2012-12-06",19.51,19.8,19.46,19.71,6718446
"2012-12-13",19.32,19.33,19.1,19.21,3621986
"2012-12-20",19.39,19.66,19.31,19.66,2347668
"2012-12-27",19.44,19.52,19.14,19.43,1880959
"2013-01-03",19.56,19.71,19.41,19.63,3007469
"2013-01-10",19.82,19.89,19.68,19.81,2533168
"2013-01-17",19.78,19.93,19.74,19.83,4465001
"2013-01-24",20.15,20.38,20.14,20.36,4031407
"2013-01-31",20.73,20.82,20.65,20.77,3886153
"2013-02-07",21.3,21.31,21.07,21.21,2609654
"2013-02-14",21.53,21.59,21.42,21.54,2617343
"2013-02-21",21.52,21.6,21.27,21.35,2344182
"2013-02-28",21.78,21.94,21.71,21.77,4918344
"2013-03-07",22.21,22.3,22.02,22.1,2225095
"2013-03-14",21.93,22.16,21.92,22.06,1656394
"2013-03-21",22.08,22.26,22.07,22.1,2524756
"2013-03-28",22.29,22.42,22.17,22.4,3726643
"2013-04-04",22.5,22.76,22.44,22.75,2638276
"2013-04-11",23.24,23.58,23.24,23.36,2747316
"2013-04-18",22.58,22.68,22.38,22.55,2630989
"2013-04-25",23.14,23.26,22.8,23.14,2281263
"2013-05-02",23.67,24.34,23.43,24.16,2982606
"2013-05-09",25.09,25.09,24.78,24.81,2447766
"2013-05-16",24.65,24.67,24.06,24.15,7269804
"2013-05-23",23.44,23.45,22.98,23.38,4051868
"2013-05-30",22.55,22.71,22.16,22.19,2779920
"2013-06-06",21.27,22,21.21,21.99,4736234
"2013-06-13",21.69,22.11,21.64,22.08,4925913
"2013-06-20",21.41,21.41,20.47,20.59,5960952
"2013-06-27",21.21,21.63,21.17,21.63,3631248
"2013-07-11",22.26,22.54,22.26,22.47,2549657
"2013-07-18",22.58,22.97,22.56,22.96,2131670
"2013-07-25",22.49,22.7,22.48,22.69,1658054
"2013-08-01",22.66,22.88,22.54,22.84,5251101
"2013-08-08",22.04,22.12,21.74,22.08,2851475
"2013-08-15",21.57,21.6,21.16,21.29,2360414
"2013-08-22",20.46,20.56,20.25,20.51,2261738
"2013-08-29",20.14,20.22,20.03,20.21,2229806
"2013-09-05",20.25,20.32,19.79,19.83,2925806
"2013-09-12",20.49,20.68,20.22,20.23,3665465
"2013-09-19",21,21.37,20.99,21.11,4444599
"2013-09-26",20.21,20.45,20.19,20.42,2592968
"2013-10-03",20.14,20.19,19.62,19.69,3434227
"2013-10-10",19.76,20.19,19.65,20.19,3955557
"2013-10-17",20.74,21.03,20.59,20.93,2838525
"2013-10-24",21.06,21.26,21.03,21.22,4720146
"2013-10-31",21.6,21.77,21.37,21.48,5679811
"2013-11-07",21.46,21.46,21.05,21.12,3025467
"2013-11-14",21.01,21.29,21.01,21.12,2652457
"2013-11-21",20.9,21.02,20.82,20.96,3176173
"2013-12-05",20.61,20.83,20.47,20.73,2348469
"2013-12-12",20.11,20.4,20.06,20.2,3658340
"2013-12-19",20.44,20.44,20.09,20.22,2925171
"2013-12-26",20.66,20.74,20.11,20.26,1641966
"2014-01-02",19.77,19.86,19.61,19.77,2627327
"2014-01-09",20.24,20.27,19.96,20.27,3079700
"2014-01-16",20.69,20.92,20.56,20.89,2797859
"2014-01-23",20.94,21.06,20.78,20.88,3628826
"2014-01-30",20.71,20.92,20.69,20.84,2694111
"2014-02-06",20.55,20.82,20.46,20.76,5107603
"2014-02-13",21.23,21.57,21.13,21.49,2878091
"2014-02-20",21.81,21.94,21.62,21.7,1937271
"2014-02-27",21.91,22.09,21.83,22,2968702
"2014-03-06",22.61,22.65,22.28,22.38,2771852
"2014-03-13",22.02,22.07,21.89,21.96,3780068
"2014-03-20",21.39,21.62,21.3,21.6,2154546
"2014-03-27",21.63,21.88,21.51,21.76,2553704
"2014-04-03",21.84,21.89,21.69,21.85,1718900
"2014-04-10",22.19,22.34,21.88,21.93,3215487
"2014-04-17",22.52,22.52,22.28,22.45,2343116
"2014-04-24",22.54,22.69,22.47,22.69,1362407
"2014-05-01",22.91,23.04,22.66,23.01,2335580
"2014-05-08",23.12,23.24,22.82,22.91,3840891
"2014-05-15",22.77,22.78,22.52,22.74,2597280
"2014-05-22",22.6,22.72,22.5,22.53,2170229
"2014-05-29",22.74,22.86,22.68,22.79,1507151
"2014-06-05",23.17,23.55,23.06,23.54,2542439
"2014-06-12",22.59,22.65,22.27,22.49,3504598
"2014-06-19",22.94,23.32,22.94,23.27,2178641
"2014-06-26",23.09,23.09,22.87,22.88,4623938
"2014-07-03",23.08,23.11,22.77,22.87,1482181
"2014-07-10",23.03,23.31,23.02,23.17,2211189
"2014-07-17",23.3,23.39,23.23,23.28,1462458
"2014-07-24",23.59,23.61,23.39,23.51,1381433
"2014-07-31",22.74,22.8,22.36,22.38,4345913
"2014-08-07",22.13,22.29,22.04,22.13,4377478
"2014-08-14",22.97,23.04,22.86,22.98,1827839
"2014-08-21",23.68,23.75,23.56,23.57,1561885
"2014-08-28",23.22,23.29,23.14,23.24,1468682
"2014-09-04",23.45,23.58,23.34,23.39,1864567
"2014-09-11",22.85,23.07,22.78,22.99,2042263
"2014-09-18",22.46,22.54,22.23,22.35,3021077
"2014-09-25",21.88,21.89,21.65,21.68,2132392
"2014-10-02",21.63,21.86,21.56,21.74,3729924
"2014-10-09",22.57,22.88,22.54,22.63,4586578
"2014-10-16",22.75,23.07,22.49,22.95,3282789
"2014-10-23",23.76,23.92,23.65,23.89,5272570
"2014-10-30",24.3,24.56,24.21,24.54,4257867
"2014-11-06",25.11,25.24,24.68,24.73,2771989
"2014-11-13",24.69,24.9,24.61,24.74,2267764
"2014-11-20",24.63,24.73,24.55,24.63,2365054
"2014-12-04",25.48,25.52,25.34,25.46,2804631
"2014-12-11",25.47,25.55,25.34,25.39,3852613
"2014-12-18",25.49,25.53,25.2,25.5,5789423
"2015-01-08",26.64,26.76,26.43,26.6,4189148
"2015-01-15",27.39,27.57,27.15,27.28,3529017
"2015-01-22",27.5,28.02,27.49,28.02,2424428
"2015-01-29",28.14,28.33,27.92,28.29,2379891
"2015-02-05",27.7,28.1,27.63,28.02,3115383
"2015-02-12",26.8,27.1,26.63,27.08,2198054
"2015-02-19",26.85,26.92,26.3,26.34,2604854
"2015-02-26",26.37,26.37,26,26.17,2409782
"2015-03-05",26.04,26.4,25.97,26.18,1894195
"2015-03-12",25.72,26.13,25.64,26.08,1765375
"2015-03-19",26.91,27.18,26.76,26.99,1885727
"2015-03-26",26.64,26.83,26.39,26.45,2558986
"2015-04-02",26.4,26.72,26.38,26.61,1822275
"2015-04-09",26.35,26.35,25.66,25.76,1702783
"2015-04-16",25.41,25.68,25.28,25.52,1809257
"2015-04-23",25.15,25.35,25.12,25.2,2621827
"2015-04-30",24.46,24.57,24.06,24.1,4323467
"2015-05-07",23.97,24.31,23.71,24.22,3662297
"2015-05-14",24.05,24.47,24.05,24.47,2259023
"2015-05-21",24.53,24.59,24.17,24.31,1897662
"2015-05-28",24.27,24.37,24.12,24.32,2177807
"2015-06-04",23.73,23.86,23.6,23.65,2257040
"2015-06-11",23.42,23.54,23.34,23.4,3094381
"2015-06-18",23.65,24.14,23.65,24.02,2982954
"2015-06-25",23.28,23.29,23.12,23.12,2056524
"2015-07-02",23.11,23.19,22.86,22.9,2918158
"2015-07-09",24.02,24.13,23.56,23.63,2407117
"2015-07-16",24.38,24.58,24.3,24.54,3550588
"2015-07-23",24.54,24.58,24.01,24.15,2887634
"2015-07-30",24.44,24.62,24.35,24.45,2970694
"2015-08-06",24.62,24.86,24.35,24.82,3995210
"2015-08-13",25,25.44,24.94,25.32,2876055
"2015-08-20",25.29,25.4,25.06,25.18,2537629
"2015-08-27",23.75,24.04,23.39,23.81,5278877
"2015-09-03",22.88,23.03,22.55,22.83,3034323
"2015-09-10",22.22,22.64,22.12,22.46,4643145
"2015-09-17",23.55,24.3,23.48,23.84,3325934
"2015-09-24",24.12,24.32,23.75,23.93,3390952
"2015-10-01",24.34,24.54,23.98,24.49,4779375
"2015-10-08",25.41,25.74,25.26,25.71,2620711
"2015-10-15",25.26,25.46,25.14,25.42,5796765
"2015-10-22",26.13,26.41,26,26.39,2428856
"2015-10-29",26.95,27.22,26.87,27.11,2463177
"2015-11-05",26.08,27,25.69,26.94,2754905
"2015-11-12",26.01,26.23,25.78,25.9,2352298
"2015-11-19",26.34,26.47,26.2,26.33,1812521
"2015-12-03",25.89,25.98,25.11,25.27,5316690
"2015-12-10",25.56,25.68,25.2,25.22,3347227
"2015-12-17",26.45,26.54,26.03,26.21,2984207
"2015-12-24",26.49,26.57,26.31,26.48,951122
"2015-12-31",26.67,26.78,26.45,26.46,2394595
"2016-01-07",25.85,26.1,25.65,25.66,4445133
"2016-01-14",25.39,25.55,25.15,25.28,3035660
"2016-01-21",25.57,26.32,25.35,26,6561825
"2016-01-28",26.67,26.78,26.36,26.44,2731369
"2016-02-04",27.64,27.92,27.54,27.81,3166335
"2016-02-11",26.36,26.54,26.06,26.28,3530700
"2016-02-18",26.73,26.85,26.52,26.78,2538834
"2016-02-25",26.79,27.13,26.78,27.12,2661427
"2016-03-03",27.43,27.63,27.31,27.63,1434535
"2016-03-10",27.41,27.56,26.97,27.33,2479199
"2016-03-17",28.33,29.11,28.21,29.05,5462867
"2016-03-24",27.67,27.89,27.52,27.8,2072877
"2016-03-31",28.74,28.8,28.48,28.78,2831158
"2016-04-07",28.31,28.35,28.04,28.09,1775958
"2016-04-14",28.61,28.76,28.43,28.52,1522340
"2016-04-21",28.21,28.35,27.73,27.89,2470432
"2016-04-28",28.03,28.61,27.87,28.42,4746718
"2016-05-05",28.94,29.32,28.73,29.21,3804115
"2016-05-12",29.3,29.38,28.9,29.12,3131522
"2016-05-19",27,27.22,26.79,27.17,3182280
"2016-05-26",27.71,28.11,27.66,28.01,2991512
"2016-06-02",28.38,28.77,28.32,28.76,2904071
"2016-06-09",29.22,29.43,29.08,29.28,1881945
"2016-06-16",29.27,29.46,29.1,29.44,2170558
"2016-06-23",29.8,29.96,29.63,29.73,1730866
"2016-06-30",30.92,31.38,30.7,31.38,3124148
"2016-07-07",31.39,31.42,30.84,31.22,3399177
"2016-07-14",31.57,31.59,31.2,31.31,1720273
