"","KLAC.Open","KLAC.High","KLAC.Low","KLAC.Close","KLAC.Volume"
"2011-09-15",38.98,39.37,38.58,39.13,3031493
"2011-09-22",37.19,37.44,36.28,37.08,4114602
"2011-09-29",39.64,39.87,38.26,39.03,3775249
"2011-10-06",40.04,40.36,39.41,40.08,5592660
"2011-10-13",43.42,44.08,43.42,43.76,3777642
"2011-10-20",42.71,42.82,41.57,42.54,5071683
"2011-10-27",46.52,48,46.52,47.31,4472278
"2011-11-03",46.24,47.32,45.06,47.26,3039043
"2011-11-10",46.19,46.74,45.37,46.35,2685537
"2011-11-17",47.37,47.37,44.85,45.49,5061356
"2011-12-01",46.09,47.35,45.61,47.23,3000564
"2011-12-08",48.66,49.31,47.95,48.05,2847345
"2011-12-15",47.83,47.83,45.78,45.96,3274329
"2011-12-22",47.04,48.28,46.82,48.14,2134932
"2011-12-29",48.5,48.85,48.28,48.78,1043499
"2012-01-05",46.85,47.57,46.75,47.52,3034391
"2012-01-12",49.39,49.53,48.73,48.8,2937250
"2012-01-19",50.02,51.45,50.02,51.03,4332813
"2012-01-26",51.26,52.11,50.03,50.26,3879832
"2012-02-02",51.81,51.99,51.48,51.53,1869854
"2012-02-09",51.5,51.5,50.55,50.77,1943212
"2012-02-16",49.14,50.84,49.03,50.68,2691235
"2012-02-23",48.44,48.75,47.96,48.55,2177355
"2012-03-01",48.53,48.87,47.89,48.08,2343364
"2012-03-08",47.9,48.03,47.52,47.95,2831871
"2012-03-15",50.8,52.08,50.78,51.88,3439486
"2012-03-22",52.38,52.74,52.06,52.28,2630845
"2012-03-29",53.63,54.19,53.26,54.1,2050302
"2012-04-05",52.91,53.74,52.85,53.66,1246218
"2012-04-12",53.5,54.19,52.67,53.73,1921735
"2012-04-19",53.49,54.51,52.93,53.37,1720028
"2012-04-26",53.42,55.43,53.42,55.11,5189420
"2012-05-03",51.89,51.89,50.59,50.82,2395638
"2012-05-10",50.07,50.38,49.55,50,3107968
"2012-05-17",47.11,47.48,46.24,46.24,2854587
"2012-05-24",46.13,46.13,45.27,45.74,1758990
"2012-05-31",45.86,46.08,45,45.83,2184159
"2012-06-07",46.95,47.07,45.89,45.94,1936510
"2012-06-14",47.53,47.82,46.79,47.31,1638438
"2012-06-21",49.56,49.8,48.24,48.42,2086725
"2012-06-28",47.91,48,46.9,47.5,1482823
"2012-07-05",48.6,49.17,48.16,48.8,1654932
"2012-07-12",45.16,45.9,44.79,45.62,2028960
"2012-07-19",48.88,49.35,48.55,49.34,2314559
"2012-07-26",49.7,50.63,48.77,49.66,2754717
"2012-08-02",50.71,52.34,50.48,51.6,2745919
"2012-08-09",52.65,53.36,52.58,53.06,1529845
"2012-08-16",52.88,53.5,52.52,53.31,1776662
"2012-08-23",53.03,53.45,52.9,53.06,1401192
"2012-08-30",51.29,51.77,50.87,50.89,2155113
"2012-09-06",51.6,52.49,51.52,52.42,1600224
"2012-09-13",51.48,51.64,50.74,51.48,2710685
"2012-09-20",48.19,48.19,47.39,47.59,3402385
"2012-09-27",47.06,47.98,46.62,47.9,3198233
"2012-10-04",47.39,47.67,47.06,47.15,1670076
"2012-10-11",45.62,45.75,44.88,44.9,2812979
"2012-10-18",45.88,46.62,45.56,46.57,3292438
"2012-10-25",47.29,47.48,46.22,47.14,4548920
"2012-11-01",46.92,48.79,46.68,48.72,2340857
"2012-11-08",46.83,46.92,45.52,45.66,3519177
"2012-11-15",44.81,45.07,43.75,43.97,3959486
"2012-11-29",45.64,45.88,45.21,45.57,1329724
"2012-12-06",46.42,47.06,46.42,46.96,1168406
"2012-12-13",47.04,47.34,46.25,46.61,1334659
"2012-12-20",48.06,48.7,47.7,48.51,1367384
"2012-12-27",47.7,47.8,46.75,47.43,1491376
"2013-01-03",50,50.18,48.88,49.14,2237839
"2013-01-10",48.12,48.7,48.03,48.59,1530880
"2013-01-17",48.56,52,48.5,51.89,7126077
"2013-01-24",52.22,52.56,51.77,51.97,2200797
"2013-01-31",55.49,55.89,54.83,54.91,2098180
"2013-02-07",56.94,56.94,55.92,56.79,2259676
"2013-02-14",56.01,56.18,55.52,56.1,2182742
"2013-02-21",54.9,55.1,53.53,53.86,3141749
"2013-02-28",54.7,55.27,54.22,54.76,1810556
"2013-03-07",55.24,55.55,54.87,55.04,1422428
"2013-03-14",55,55.71,54.87,54.93,1222907
"2013-03-21",51.2,51.71,51,51.26,1842722
"2013-03-28",51.53,52.8,51.53,52.74,1554841
"2013-04-04",51.27,51.81,51.1,51.54,1218278
"2013-04-11",54.03,54.93,53.73,53.8,1602048
"2013-04-18",53.32,53.93,52.73,52.87,2136963
"2013-04-25",55.8,57,55.62,55.9,2457561
"2013-05-02",53.59,54.1,53.49,53.89,2040793
"2013-05-09",54.59,54.97,54.01,54.2,1970514
"2013-05-16",55.26,55.69,55,55.21,2464596
"2013-05-23",55.07,55.37,54.37,54.94,2324040
"2013-05-30",55.63,56.8,55.5,56.51,2102557
"2013-06-06",56.69,56.93,55.67,56.08,970939
