"","KMB.Open","KMB.High","KMB.Low","KMB.Close","KMB.Volume"
"2011-09-15",68.48,68.76,68.06,68.76,2490177
"2011-09-22",68.22,69.37,67.83,69.2,5510812
"2011-09-29",70.59,71.35,70.49,71.23,4617975
"2011-10-06",70.29,71.01,69.84,70.98,3078310
"2011-10-13",71.59,71.86,71.03,71.4,1896997
"2011-10-20",71.73,72.19,71.56,71.7,2212364
"2011-10-27",70.95,71.38,70.1,71.02,3771389
"2011-11-03",69.5,69.78,68.95,69.69,1858585
"2011-11-10",70.41,70.58,69.8,70.45,1644340
"2011-11-17",70.15,70.55,69.55,70.03,3041363
"2011-12-01",71.24,71.62,71.03,71.3,2745695
"2011-12-08",70.44,70.57,69.66,69.82,2042373
"2011-12-15",70.54,71.4,70.35,71.25,2229877
"2011-12-22",73.06,73.23,72.67,72.92,1616738
"2011-12-29",73.67,74.06,73.57,74,1230862
"2012-01-05",73,73.17,72.5,72.79,2473145
"2012-01-12",72.53,72.94,72.36,72.84,2085652
"2012-01-19",74,74.2,73.64,74.16,2517409
"2012-01-26",71.85,72.43,71.66,71.98,2640928
"2012-02-02",72.26,72.44,71.95,72.31,1799259
"2012-02-09",71.7,71.9,71.4,71.88,1698383
"2012-02-16",71.5,71.72,71.25,71.43,2116942
"2012-02-23",71.07,72.01,71.06,71.9,1919004
"2012-03-01",72.76,73,71.86,72.17,2651256
"2012-03-08",71.76,72,71.58,71.79,2038840
"2012-03-15",72.77,73.1,72.51,72.92,2064798
"2012-03-22",73.3,73.53,73.12,73.36,1850473
"2012-03-29",73.77,73.95,73.24,73.84,2446876
"2012-04-05",74.12,74.41,73.82,74.37,1558246
"2012-04-12",73.92,74.26,73.56,74.17,1545105
"2012-04-19",75.63,75.77,74.98,75.27,2269736
"2012-04-26",78.53,79.25,78.47,79.04,2348192
"2012-05-03",78.26,79.02,78.26,78.74,3010756
"2012-05-10",79.88,79.93,79.53,79.74,2443785
"2012-05-17",79.89,79.94,79.01,79.01,1981144
"2012-05-24",78.48,79.35,78.44,79.21,7736119
"2012-05-31",79.35,79.75,79.14,79.35,2320729
"2012-06-07",80.5,80.8,80.19,80.6,4336764
"2012-06-14",81.88,82.58,81.49,82.57,2465215
"2012-06-21",81.74,81.83,80.61,80.71,2852307
"2012-06-28",81.66,82.59,81.3,82.56,1898954
"2012-07-05",84.11,84.21,83.81,84.1,1590149
"2012-07-12",84.3,84.58,84.03,84.33,2259273
"2012-07-19",86.08,86.24,85.44,85.88,1815413
"2012-07-26",84,86.25,83.88,85.72,2840162
"2012-08-02",87.32,87.58,86.37,86.88,2939244
"2012-08-09",83,83.25,82.67,82.85,2704081
"2012-08-16",82.9,83.58,82.8,83.45,1888601
