"","KO.Open","KO.High","KO.Low","KO.Close","KO.Volume"
"2014-09-15",41.45,41.58,41.33,41.5,12259597
"2014-09-22",41.85,42.25,41.73,42.22,11518108
"2014-09-29",41.9,42.26,41.88,42.25,12446707
"2014-10-06",43.03,43.68,42.97,43.6,20331446
"2014-10-13",44.28,44.63,44.03,44.07,20183940
"2014-10-20",42.75,43.47,42.71,43.29,17647782
"2014-10-27",40.7,40.9,40.56,40.76,17222528
"2014-11-03",41.79,42.28,41.59,41.81,13239536
"2014-11-10",42.25,42.57,42.09,42.39,9088938
"2014-11-17",42.75,42.99,42.73,42.92,10663996
"2014-11-24",44.51,44.78,44.2,44.27,12890827
"2014-12-01",44.18,44.76,44.13,44.55,10065657
"2014-12-08",43.51,43.63,43.09,43.14,12806339
"2014-12-15",41.13,41.18,40.56,40.57,23378508
"2014-12-22",42.14,42.44,42.09,42.35,11190862
"2014-12-29",42.8,43.06,42.49,42.86,8694509
"2015-01-05",42.69,42.97,42.08,42.14,26292592
"2015-01-12",43.07,43.2,42.46,42.64,11415829
"2015-01-26",43.18,43.23,42.83,43,11151861
"2015-02-02",41.21,41.63,40.9,41.59,15197517
"2015-02-09",41.38,41.45,41.04,41.23,13371066
"2015-02-23",41.71,42.17,41.69,41.85,11830339
"2015-03-02",43.12,43.28,43.08,43.2,13514600
"2015-03-09",41.53,41.55,41.32,41.39,10123274
"2015-03-16",40,40.35,39.99,40.29,15238783
"2015-03-23",40.64,40.94,40.5,40.62,17060523
"2015-03-30",40.11,40.61,39.94,40.51,12561436
"2015-04-06",40.77,41.61,40.59,41.17,19843401
"2015-04-13",40.97,40.97,40.7,40.7,9616271
"2015-04-20",40.42,40.9,40.41,40.66,13023939
"2015-04-27",41,41.15,40.78,40.83,10044553
"2015-05-04",40.88,41.1,40.77,40.96,10204805
"2015-05-11",40.98,41.39,40.88,40.94,10113526
"2015-05-18",41.49,41.49,41.25,41.32,11511687
"2015-06-01",41.36,41.4,40.88,40.94,12684052
"2015-06-08",40.1,40.26,40.02,40.16,14339260
"2015-06-15",39.83,39.86,39.57,39.59,11364793
"2015-06-22",40.51,40.81,40.46,40.48,8775913
"2015-06-29",39.8,39.98,39.4,39.4,15500771
"2015-07-06",39.32,39.6,39.22,39.42,10252593
"2015-07-13",40.56,40.77,40.49,40.66,9854203
"2015-07-20",41.35,41.54,41.22,41.38,10024168
"2015-07-27",40.28,40.58,40.16,40.54,10945666
"2015-08-03",40.85,41.55,40.84,41.54,14672571
"2015-08-10",41.89,41.99,41.58,41.68,9501875
"2015-08-17",41.03,41.45,40.97,41.35,8272813
"2015-08-24",37.99,38.94,36.56,38.38,43576384
"2015-08-31",39.15,39.45,39.05,39.32,12587993
"2015-09-14",38.22,38.22,37.85,38.1,8947041
"2015-09-21",39.05,39.31,38.94,39.19,12555386
"2015-09-28",39.52,39.82,39.33,39.53,19307154
"2015-10-05",40.45,41.05,40.43,41.01,15389278
"2015-10-12",41.83,42.29,41.81,42,12290688
"2015-10-19",41.9,42.06,41.8,41.99,15511067
"2015-10-26",42.76,42.89,42.46,42.59,14749340
"2015-11-02",42.32,42.36,41.9,42.24,16191517
"2015-11-09",41.7,41.79,41.34,41.54,10810596
"2015-11-16",41.43,42,41.39,41.96,10882140
"2015-11-23",42.55,43.18,42.53,42.96,13201960
"2015-11-30",43.12,43.15,42.6,42.62,15589785
"2015-12-07",43.31,43.44,43,43.2,12030718
"2015-12-14",42.31,42.76,41.97,42.45,20010489
"2015-12-21",42.82,42.94,42.46,42.78,10444353
"2015-12-28",43.44,43.52,43.31,43.49,6326143
"2016-01-04",42.34,42.5,41.96,42.4,15995580
"2016-01-11",41.58,41.86,41.29,41.58,15815238
"2016-01-25",42.24,42.5,41.93,42.16,12417205
"2016-02-01",42.6,43.15,42.57,43,17057030
"2016-02-08",42.17,42.7,41.9,42.65,17212266
"2016-02-22",43.76,44.16,43.63,43.94,20665831
"2016-02-29",43.17,43.61,42.92,43.13,14978142
"2016-03-07",43.91,44.14,43.86,44.01,10676088
"2016-03-14",45.04,45.42,45.04,45.29,13180200
"2016-03-21",45.42,45.87,45.36,45.67,9729114
"2016-03-28",45.56,45.93,45.51,45.8,13301621
"2016-04-04",46.84,46.93,46.5,46.89,10617685
"2016-04-11",46.9,47.13,46.41,46.44,11853461
"2016-04-18",46.13,46.28,45.82,46.22,11536795
"2016-04-25",44.5,44.72,44.38,44.71,11169758
"2016-05-02",44.57,45.19,44.57,44.98,12513205
"2016-05-09",45.32,45.5,45.17,45.24,8110493
"2016-05-16",45.16,45.73,45.14,45.62,9398662
"2016-05-23",44.07,44.16,43.94,43.97,13547854
"2016-06-06",45.09,45.48,45.08,45.37,10310560
"2016-06-13",45.48,45.67,45.09,45.12,10613533
"2016-06-20",45.09,45.31,44.96,44.98,10712366
"2016-06-27",43.67,43.88,43.32,43.78,15805581
"2016-07-11",45.35,45.77,45.11,45.57,10937780
"2016-07-18",45.69,45.7,45.48,45.63,7958371
"2016-07-25",45.81,45.83,45.47,45.57,9134338
"2016-08-01",43.69,43.83,43.43,43.45,12349682
"2016-08-08",43.43,43.52,43.22,43.44,8680309
"2016-08-15",44.1,44.33,44.01,44.24,10390642
"2016-08-22",43.94,43.94,43.72,43.74,8687524
"2016-08-29",43.34,43.61,43.33,43.54,9544573
"2016-09-12",42.36,43.23,42.34,43.19,15932296
