"","KR.Open","KR.High","KR.Low","KR.Close","KR.Volume"
"2011-09-15",11.2,11.38,11.09,11.3,15858032
"2011-09-22",10.67,10.94,10.66,10.86,19072862
"2011-09-29",11.12,11.2,10.98,11.11,13145582
"2011-10-06",11.08,11.39,11.06,11.39,12194152
"2011-10-13",11.22,11.47,11.12,11.26,13717870
"2011-10-20",11.38,11.47,11.18,11.36,7555324
"2011-10-27",11.71,11.8,11.6,11.74,11852298
"2011-11-03",11.34,11.35,11.16,11.32,13384380
"2011-11-10",11.42,11.53,11.32,11.46,6497528
"2011-11-17",11.24,11.31,11,11.06,13669258
"2011-12-01",11.86,11.86,11.47,11.68,19840934
"2011-12-08",11.82,11.86,11.73,11.76,7543426
"2011-12-15",11.84,11.96,11.84,11.9,10458938
"2011-12-22",12.26,12.26,12.05,12.08,7999506
"2011-12-29",12.22,12.25,12.18,12.22,3437594
"2012-01-05",12.14,12.17,12,12.14,8526626
"2012-01-12",12.02,12.08,11.9,11.99,8518092
"2012-01-19",12.09,12.1,11.99,12.03,11781612
"2012-01-26",12.36,12.4,12.24,12.28,7285230
"2012-02-02",11.92,12.04,11.86,11.98,10129118
"2012-02-09",11.84,11.93,11.78,11.79,16175310
"2012-02-16",11.88,11.94,11.82,11.94,5760988
"2012-02-23",11.8,11.84,11.46,11.49,22362670
"2012-03-01",12.26,12.39,12.06,12.22,26962662
"2012-03-08",12.05,12.18,12.02,12.17,8951954
"2012-03-15",12.16,12.2,12.08,12.2,6918104
"2012-03-22",12.08,12.12,11.98,12,11437994
"2012-03-29",12.05,12.14,12,12.11,11097900
"2012-04-05",11.81,11.92,11.76,11.92,12320340
"2012-04-12",11.72,11.82,11.67,11.81,9263846
"2012-04-19",11.78,11.79,11.58,11.6,11952766
"2012-04-26",11.6,11.7,11.5,11.64,7982482
"2012-05-03",11.68,11.74,11.6,11.62,6983234
"2012-05-10",11.44,11.56,11.42,11.54,8529842
"2012-05-17",11.1,11.12,10.96,10.96,7580912
"2012-05-24",11.08,11.15,11,11.08,9903664
"2012-05-31",11.15,11.19,10.98,11,13182984
"2012-06-07",11.06,11.1,10.87,10.87,14692200
"2012-06-14",11.06,11.3,10.92,11.29,35212078
"2012-06-21",11.56,11.6,11.46,11.52,13147294
"2012-06-28",11.34,11.48,11.26,11.46,10490508
"2012-07-05",11.44,11.46,11.3,11.31,14324900
"2012-07-12",10.92,11.12,10.67,10.98,33367044
"2012-07-19",11.04,11.07,10.76,10.8,20066452
"2012-07-26",10.69,10.84,10.68,10.76,12457750
"2012-08-02",11.06,11.09,10.9,10.94,11629162
"2012-08-09",11.36,11.36,11.22,11.26,8332570
"2012-08-16",11.02,11.11,10.98,11.06,8175266
"2012-08-23",10.94,10.96,10.84,10.84,7069558
"2012-08-30",11.07,11.14,11.02,11.1,6981560
"2012-09-06",11.32,11.6,11.22,11.55,22553066
"2012-09-13",11.94,12.02,11.8,11.94,20163182
"2012-09-20",11.96,12.01,11.92,11.95,9935664
"2012-09-27",11.8,11.83,11.72,11.79,6062668
