"","LB.Open","LB.High","LB.Low","LB.Close","LB.Volume"
"2011-09-15",38.8,39.92,38.37,39.7,4213023
"2011-09-22",38.25,39.52,38,39.15,3867451
"2011-09-29",41.66,41.71,38.53,39.93,3494856
"2011-10-06",39.85,40.66,39.41,40.59,3787935
"2011-10-13",42.23,42.67,41.78,42,1533317
"2011-10-20",41.99,42.69,41.64,41.95,3793868
"2011-10-27",44.09,45.45,43.88,45.22,3376036
"2011-11-03",41.39,43.18,39.83,42.96,7250117
"2011-11-10",41.94,42.52,41.37,42.31,2537550
"2011-11-17",43.2,43.69,41.29,41.6,3866948
"2011-12-01",43.37,43.37,42.07,42.61,4799337
"2011-12-08",41.88,41.9,40.68,40.93,3958536
"2011-12-15",39.64,39.64,38.46,38.49,3387220
"2011-12-22",39.28,39.72,39.08,39.57,2473528
"2011-12-29",40.86,40.96,40.41,40.73,1700464
"2012-01-05",39.84,39.84,39.1,39.34,8052910
"2012-01-12",39.76,40.78,39.66,40.3,4338974
"2012-01-19",41.65,41.91,41.22,41.57,2350560
"2012-01-26",42.25,42.25,40.97,41.26,2199746
"2012-02-02",42.79,44.16,42.74,43.51,4666727
"2012-02-09",44.82,45.17,44.58,45.07,2652369
"2012-02-16",45.22,46.07,45.16,45.94,2371340
"2012-02-23",44.78,46.11,44.45,46.01,5167286
"2012-03-01",46.3,46.52,45.38,46.45,4663211
"2012-03-08",46.23,46.51,45.87,46.14,2007677
"2012-03-15",47.36,47.55,46.61,47.53,2027920
"2012-03-22",47.93,49.09,47.82,49.01,3378174
"2012-03-29",48.26,48.52,47.87,48.29,2723456
"2012-04-05",48.11,48.8,47.75,48.25,3815464
"2012-04-12",47.5,48,47.2,47.81,1691182
"2012-04-19",49.24,49.37,48.43,49.04,3476582
"2012-04-26",49.37,50.51,49.29,50.25,1979727
"2012-05-03",50.43,51.84,49.87,51.7,4559479
"2012-05-10",48.79,49.28,48.38,48.67,1484671
"2012-05-17",47.18,48.18,45.76,45.86,6019387
"2012-05-24",45.79,46.11,45.46,45.94,2530867
"2012-05-31",45.79,45.89,44.12,44.36,9984330
"2012-06-07",42.95,43.21,41.86,41.86,3251753
"2012-06-14",42.12,42.49,41.76,42.29,2464430
"2012-06-21",43.56,43.56,41.82,41.85,2555713
"2012-06-28",40.39,41.39,40.32,41.16,2618070
"2012-07-05",44.39,47.44,44.32,46.12,5621433
"2012-07-12",44.88,45.44,44.27,45.16,2515834
"2012-07-19",46.95,47.3,46.59,47.14,1573009
"2012-07-26",46.4,46.57,45.48,46.04,1380435
"2012-08-02",46.32,47.79,46.3,47.72,3998431
"2012-08-09",49.62,50.01,49.05,49.55,3242038
"2012-08-16",48.2,49.35,47.33,48.86,10613493
"2012-08-23",48.03,48.08,47.64,47.77,4420898
"2012-08-30",48.02,48.29,47.51,47.9,1603219
"2012-09-06",48.59,48.87,48.39,48.81,1752398
"2012-09-13",48.96,49.88,48.76,49.8,2143814
"2012-09-20",50.18,51.82,50.03,51.75,3946457
"2012-09-27",49.43,49.87,49.09,49.64,1282218
"2012-10-04",50.18,51.04,49.95,50.23,2791473
"2012-10-11",49.18,49.37,48.5,48.64,1480888
"2012-10-18",48.76,49.26,48.65,49.01,1981463
"2012-10-25",48.08,48.49,47.72,48.27,1723554
"2012-11-01",46.48,47.72,46.23,47.57,3779730
"2012-11-08",47.37,47.38,46.39,46.45,2591299
"2012-11-15",45.82,46.26,44.93,45.5,3322968
"2012-11-29",50.95,51.66,50.86,51.58,3392922
"2012-12-06",51.06,51.66,50.92,51.29,1639445
"2012-12-13",50.23,50.75,49.92,50.21,2139286
"2012-12-20",48.36,48.68,48.03,48.67,2082085
"2012-12-27",45.85,46.48,45.26,46.41,2673985
"2013-01-03",44.76,45.36,44,44.71,9260721
"2013-01-10",44.44,44.44,43.72,44.3,5336522
"2013-01-17",46.73,47.42,46.46,46.94,2990011
"2013-01-24",47.03,48.24,47.03,47.69,3375557
"2013-01-31",47.85,48.66,47.77,48.02,6483169
"2013-02-07",46.73,47.01,45.68,45.68,5925170
