"","LH.Open","LH.High","LH.Low","LH.Close","LH.Volume"
"2011-09-15",83.4,83.77,81.01,82.42,1150398
"2011-09-22",78.62,79.51,78,78.86,1266448
"2011-09-29",81.94,81.94,79.33,80.6,1120991
"2011-10-06",76.22,78.16,76.21,78.09,1833165
"2011-10-13",80.35,80.35,78,78.76,782073
"2011-10-20",81.86,83.02,78.38,81.23,1765878
"2011-10-27",85.05,85.75,83.95,85.54,1027984
"2011-11-03",82.69,83.18,82.03,82.67,562730
"2011-11-10",81.54,82.48,80.47,81.97,1289514
"2011-11-17",82.27,82.44,80.06,80.57,952218
"2011-12-01",85.53,87.18,85.18,86.1,515215
"2011-12-08",84.93,85.26,82.79,82.92,691238
"2011-12-15",80.86,82.47,80.52,81.53,549875
"2011-12-22",84.79,86.99,84.56,86.87,751790
"2011-12-29",86.15,86.64,85.77,86.46,480901
"2012-01-05",86.2,86.93,85.58,86.87,641226
"2012-01-12",87.39,88.14,87.15,87.57,700374
"2012-01-19",88.2,88.89,87.61,88.83,894246
"2012-01-26",91.59,92.37,90.61,91.06,878241
"2012-02-02",92.5,92.63,91.72,92.42,514963
"2012-02-09",91.84,92.2,91.2,92.11,661078
"2012-02-16",87.46,88.33,87.04,88.07,840506
"2012-02-23",87.87,88.55,87.71,88,567217
"2012-03-01",89.92,90.14,88.4,89.06,1278088
"2012-03-08",89.23,89.38,88.64,88.64,756016
"2012-03-15",90.25,90.81,89.45,90.6,588903
"2012-03-22",90.76,91.09,90.06,90.08,763968
"2012-03-29",90.69,91.5,90.19,91.37,779171
"2012-04-05",92.73,93.42,92.4,93.24,437959
"2012-04-12",89.8,89.93,88.16,89.52,1955748
"2012-04-19",89.92,89.92,87.89,88.83,1257779
"2012-04-26",87.24,88.28,87.04,87.55,832247
"2012-05-03",88.41,88.54,86.82,87.13,741761
"2012-05-10",86.8,87.36,85.71,85.87,579346
"2012-05-17",86.76,87.33,85.45,85.45,676932
"2012-05-24",84.51,85.4,83.99,84.86,540918
"2012-05-31",84.94,85.12,83.23,83.28,1506335
"2012-06-07",85.48,85.74,84.9,85.05,616507
"2012-06-14",86.29,87.39,85.56,87.09,452394
"2012-06-21",89.7,90.27,87.55,87.68,769832
"2012-06-28",89.07,92.5,88.64,92.04,2372459
"2012-07-05",92.8,92.99,91.67,91.88,643954
"2012-07-12",92.7,94.02,92.28,93.68,998772
"2012-07-19",89.36,89.5,87.07,88.12,2569887
"2012-07-26",85.1,85.5,84.56,85,889980
"2012-08-02",86.67,87.45,85.47,86.25,1279660
"2012-08-09",88.71,89.06,88.18,88.44,901148
"2012-08-16",88.23,89.26,88.16,89.1,438979
"2012-08-23",88.17,88.27,87.34,87.51,405328
"2012-08-30",87.99,88.12,87.43,87.43,459999
"2012-09-06",89.01,90.58,89.01,89.5,797139
"2012-09-13",88.87,90.55,88.74,90.46,560537
"2012-09-20",90.72,91.19,90.32,90.7,409127
"2012-09-27",90.45,91.79,90.4,91.61,471487
"2012-10-04",92.64,93.65,91.63,93.64,482551
"2012-10-11",92.82,93.81,92.69,93.29,482950
"2012-10-18",89.29,89.9,86.52,88.81,2489254
"2012-10-25",85.81,86,85.02,85.62,526644
"2012-11-01",85.01,85.63,84.6,85.34,1358368
"2012-11-08",84.81,85.27,84.24,84.26,835029
"2012-11-15",82.66,84.29,82.16,83.06,787634
"2012-11-29",83.53,84.68,83.43,84.21,548726
"2012-12-06",84.45,84.72,84.36,84.71,444425
"2012-12-13",87.23,87.77,87.01,87.38,806007
"2012-12-20",87.95,88.24,87.19,87.35,781297
"2012-12-27",86.54,86.95,86.26,86.72,450417
"2013-01-03",87.5,87.89,87.37,87.7,556305
"2013-01-10",87.33,87.92,87.03,87.41,810266
"2013-01-17",87.79,88.45,87.5,88.27,465348
"2013-01-24",87.36,88.26,87.36,88,1212963
"2013-01-31",89.62,89.94,89.32,89.5,839523
"2013-02-07",91,91.84,90.89,91.63,1393572
"2013-02-14",89.64,90.06,89.05,89.19,694397
"2013-02-21",89.54,89.72,88.83,89.13,425853
"2013-02-28",89,89.03,88.54,88.6,949934
"2013-03-07",89.25,90.06,89.22,89.53,589129
"2013-03-14",89.13,90.08,89.02,89.75,753774
"2013-03-21",88.07,88.29,87.65,87.83,777821
"2013-03-28",89.25,90.33,89.12,90.2,1297003
