"","LKQ.Open","LKQ.High","LKQ.Low","LKQ.Close","LKQ.Volume"
"2011-09-15",13.2,13.53,13.15,13.48,1346566
"2011-09-22",11.84,12.12,11.54,11.76,1123262
"2011-09-29",12.42,12.58,12.16,12.51,1135748
"2011-10-06",12.99,13.65,12.85,13.5,2513346
"2011-10-13",14.15,14.24,13.95,14.17,797248
"2011-10-20",13.96,13.98,13.37,13.78,1710236
"2011-10-27",14.62,15.1,14.48,14.94,2942742
"2011-11-03",14.53,14.66,14.14,14.58,1111514
"2011-11-10",14.36,14.44,14.13,14.34,985556
"2011-11-17",14.65,14.78,14.33,14.44,924466
"2011-12-01",15.14,15.62,14.92,14.92,2381010
"2011-12-08",14.88,14.98,14.78,14.8,1202482
"2011-12-15",14.27,14.58,14.09,14.5,1676594
"2011-12-22",15.12,15.17,14.76,14.98,1373406
"2011-12-29",15,15.17,14.91,15.12,1040818
"2012-01-05",15.37,15.86,15.28,15.8,1847462
"2012-01-12",16.05,16.12,15.88,16,1378794
"2012-01-19",16.16,16.57,16.14,16.28,1342974
"2012-01-26",16.38,16.45,16.18,16.25,572544
"2012-02-02",16.68,16.78,16.3,16.34,1371118
"2012-02-09",16.12,16.21,15.89,16.18,1184256
"2012-02-16",15.96,16.48,15.9,16.34,1349406
"2012-02-23",16,16.7,15.9,16.3,2404020
"2012-03-01",15.8,16.28,15.8,16.22,1069464
"2012-03-08",15.6,15.74,15.49,15.64,1117208
"2012-03-15",15.74,15.88,15.6,15.65,694494
"2012-03-22",15.63,15.7,15.5,15.58,1445476
"2012-03-29",15.78,15.8,15.58,15.74,911180
"2012-04-05",15.44,15.54,15.32,15.42,1085818
"2012-04-12",14.9,15.12,14.84,15.05,1213664
"2012-04-19",15.04,15.13,14.94,15.02,1919380
"2012-04-26",15.28,16.76,15.2,16.74,4573200
"2012-05-03",17.2,17.36,17.11,17.26,1534020
"2012-05-10",17.58,17.65,17.38,17.56,1000624
"2012-05-17",18.16,18.17,17.4,17.41,2415596
"2012-05-24",17.61,17.94,17.48,17.84,1901766
"2012-05-31",18.17,18.31,17.88,18.22,1496032
"2012-06-07",18,18.18,17.93,18.03,1183624
"2012-06-14",17.91,18,17.5,17.64,797270
"2012-06-21",18.4,18.44,17.65,17.8,1398622
"2012-06-28",16.32,16.38,15.72,16,5318788
"2012-07-05",17.3,17.43,16.94,17.14,1587122
"2012-07-12",16.89,16.9,16.6,16.71,1405214
"2012-07-19",17.5,17.76,17.46,17.62,1115616
"2012-07-26",18.5,18.5,17.08,17.76,2931672
"2012-08-02",17.38,17.73,17.18,17.51,985092
"2012-08-09",18.62,19.16,18.58,18.86,2276424
"2012-08-16",19,19.27,18.62,19.1,1045656
"2012-08-23",19.34,19.6,19.27,19.48,1856280
"2012-08-30",19.28,19.34,18.83,18.9,652110
"2012-09-06",19.38,19.62,19,19.48,1033906
"2012-09-13",19.68,19.68,19.25,19.46,1496982
"2012-09-20",18.66,18.97,18.6,18.9,1060917
"2012-09-27",18.82,18.99,18.75,18.84,748244
"2012-10-04",19.06,19.35,19.06,19.28,1083210
"2012-10-11",19.33,19.82,19.3,19.69,1526840
"2012-10-18",20.9,21.22,20.55,20.8,1687322
"2012-10-25",19.59,20.61,19.5,20.05,6374838
"2012-11-01",20.87,21.9,20.81,21.72,2880149
"2012-11-08",21.39,21.64,21.19,21.36,1319073
"2012-11-15",20.42,20.72,20.25,20.64,2199060
