"","LLY.Open","LLY.High","LLY.Low","LLY.Close","LLY.Volume"
"2011-09-15",37.61,37.61,36.93,37.44,8448477
"2011-09-22",36.46,36.7,36.1,36.56,9340643
"2011-09-29",37.67,38,36.82,37.25,13519475
"2011-10-06",36.93,37.28,36.76,37.23,6733288
"2011-10-13",37.9,38.14,37.43,38,5860908
"2011-10-20",38.52,38.86,38.02,38.61,8612618
"2011-10-27",38.41,38.43,37.74,37.87,9120112
"2011-11-03",37.73,38.12,37.62,38.05,25756652
"2011-11-10",37.71,37.81,37.18,37.23,8294477
"2011-11-17",36.9,37.1,36.51,36.81,5687790
"2011-12-01",37.71,37.92,37.56,37.64,6251603
"2011-12-08",39.4,39.48,38.8,38.89,8934700
"2011-12-15",40.43,41.37,40.34,41.22,13059020
"2011-12-22",41.77,41.86,41.28,41.46,4903967
"2011-12-29",41.44,41.66,41.42,41.5,4186328
"2012-01-05",39.43,40.37,39.25,40.3,14691075
"2012-01-12",39.98,40.26,39.98,40.18,4299536
"2012-01-19",40.28,40.39,40.07,40.17,7180418
"2012-01-26",39.91,40.02,39.34,39.44,8691156
"2012-02-02",39.93,40,39.25,39.6,6862877
"2012-02-09",39.74,39.83,39.46,39.52,31139792
"2012-02-16",38.57,38.74,38.41,38.72,3825267
"2012-02-23",38.72,38.88,38.62,38.79,3696773
"2012-03-01",39.17,39.41,39.17,39.35,4590584
"2012-03-08",38.97,39.28,38.97,39.19,4477981
"2012-03-15",40.24,40.41,40.06,40.28,3802396
"2012-03-22",39.57,39.85,39.47,39.81,3949318
"2012-03-29",40.05,40.09,39.66,39.96,5311444
"2012-04-05",40.13,40.5,40.1,40.48,4379361
"2012-04-12",39.55,39.62,39.34,39.58,6299799
"2012-04-19",39.75,39.84,39.58,39.75,4995514
"2012-04-26",40.78,41,40.6,40.88,4763682
"2012-05-03",41.49,41.5,41.2,41.27,5051198
"2012-05-10",41.47,41.82,41.36,41.75,6195161
"2012-05-17",40.73,40.94,40.53,40.53,5824405
"2012-05-24",40.71,41.16,40.64,41.16,5630255
"2012-05-31",41.08,41.26,40.78,40.95,6575612
"2012-06-07",41.22,41.5,41.12,41.27,7191401
"2012-06-14",41.6,41.99,41.5,41.81,5375588
"2012-06-21",42.19,42.38,41.71,41.76,4243175
"2012-06-28",41.96,42.14,41.41,42.1,5074943
"2012-07-05",43.05,43.06,42.8,42.85,3760182
"2012-07-12",42.67,42.93,42.51,42.84,4075587
"2012-07-19",44.52,44.6,44.39,44.4,4592023
"2012-07-26",43.72,43.87,43.37,43.61,6966504
"2012-08-02",43.68,43.94,43.16,43.32,6741974
"2012-08-09",42.81,42.95,42.55,42.72,5164247
"2012-08-16",42.96,43.02,42.64,42.75,3271586
"2012-08-23",42.16,42.48,42.12,42.4,4589593
"2012-08-30",45,45,44.63,44.9,5234435
"2012-09-06",45.98,46.86,45.98,46.81,8553515
"2012-09-13",46.62,47.26,46.31,47.15,5501283
"2012-09-20",46.77,47.1,46.75,47.02,4905687
"2012-09-27",47.36,47.72,47.1,47.64,5020282
"2012-10-04",48.46,48.95,48.42,48.76,7990639
"2012-10-11",50.55,50.87,50.3,50.6,6467418
"2012-10-18",53.46,53.86,53.03,53.81,7926215
"2012-10-25",50.61,51.19,50.43,51.08,7109917
"2012-11-01",48.89,49.69,48.16,49.1,8202012
"2012-11-08",48.12,48.22,47.45,47.47,23062344
"2012-11-15",46.17,46.41,44.88,45.96,6868049
"2012-11-29",48.29,48.77,48.23,48.58,4393209
"2012-12-06",49.63,49.65,49.25,49.4,5151057
"2012-12-13",49.18,49.27,47.98,48.23,10167013
"2012-12-20",48.89,49.35,48.71,49.25,6572112
"2012-12-27",48.98,49.39,48.52,48.97,4349059
"2013-01-03",49.52,49.84,49.21,49.72,7448646
"2013-01-10",53.25,53.53,52.87,53.25,6324303
"2013-01-17",52.61,53.47,52.52,53.33,4888818
"2013-01-24",52.6,53.26,52.6,53.16,6719077
"2013-01-31",54.07,54.16,53.21,53.69,5123325
"2013-02-07",53.85,53.92,53.22,53.78,5233841
"2013-02-14",53.22,53.58,53.18,53.5,4278087
"2013-02-21",54.11,54.25,53.93,54.02,5514475
"2013-02-28",54.68,54.98,54.58,54.66,5885935
"2013-03-07",55.09,55.56,55.08,55.35,3605916
"2013-03-14",55.46,55.65,54.81,55.07,5361792
"2013-03-21",55.04,55.29,54.88,55.08,2702413
"2013-03-28",56.51,56.94,56.32,56.79,4223262
"2013-04-04",56.85,57.28,56.56,56.93,3017229
"2013-04-11",57.65,58.26,57.58,58,4048803
"2013-04-18",57.48,57.51,56.17,56.29,4098568
"2013-04-25",56.38,56.5,55.02,56.43,7431363
"2013-05-02",54.32,54.83,54.15,54.7,4064282
"2013-05-09",54.58,54.94,54.35,54.56,12818502
"2013-05-16",56.56,56.56,55.82,55.94,3819805
"2013-05-23",54.67,55.3,54.51,54.74,3952981
"2013-05-30",53.93,54.62,53.79,54.08,4393920
"2013-06-06",51.89,52.43,51.34,52.09,4977736
"2013-06-13",51.68,51.89,50.83,51.85,7100942
"2013-06-20",50.96,50.96,49.21,49.41,7954603
"2013-06-27",50.11,50.33,49.72,49.72,3657981
"2013-07-11",52.06,52.06,51.43,51.54,3923483
"2013-07-18",50.63,50.67,49.83,49.92,6040760
"2013-07-25",52.41,52.64,51.88,52.59,4085633
"2013-08-01",53.43,53.68,53.11,53.5,3297854
"2013-08-08",53.88,53.92,53.22,53.57,17504418
"2013-08-15",53.76,53.93,53.27,53.39,4509053
"2013-08-22",52.4,52.76,52.31,52.46,2388562
"2013-08-29",51.26,51.74,51.1,51.45,2305040
"2013-09-05",52.29,52.35,51.92,52.21,2424365
"2013-09-12",52.9,53.22,52.76,52.91,3094154
"2013-09-19",53.9,54.12,53.63,53.86,3410258
"2013-09-26",51.2,51.95,50.15,51.04,14551449
"2013-10-03",50.25,50.29,48.5,48.8,15008924
"2013-10-10",48.82,49.16,48.51,49.15,6286186
"2013-10-17",48.91,49.76,48.91,49.7,5555781
"2013-10-24",50.82,51,50.36,50.55,5580417
"2013-10-31",49.27,50.21,49.22,49.82,6757461
"2013-11-07",50.55,50.62,49.97,50.01,18678429
"2013-11-14",50.5,51.14,50.49,51.03,5480231
"2013-11-21",50.71,50.82,50.29,50.49,4749322
"2013-12-05",49.83,50.18,49.73,49.96,3716748
"2013-12-12",49.8,49.95,49.14,49.23,5274409
"2013-12-19",50.19,50.51,49.89,50.14,5356428
