"","LNT.Open","LNT.High","LNT.Low","LNT.Close","LNT.Volume"
"2011-09-15",19.82,19.92,19.68,19.86,744840
"2011-09-22",19.1,19.27,18.95,19.18,1262564
"2011-09-29",19.54,19.56,19.18,19.44,1276684
"2011-10-06",18.98,19.38,18.92,19.34,1034264
"2011-10-13",19.8,20.12,19.74,19.95,1508844
"2011-10-20",20.35,20.46,20.18,20.34,1001648
"2011-10-27",20.75,20.75,20.47,20.54,3100306
"2011-11-03",20.01,20.73,19.94,20.68,1667326
"2011-11-10",20.9,21,20.61,20.7,2149904
"2011-11-17",20.94,21.1,20.74,20.86,1238778
"2011-12-01",21.04,21.22,20.98,21.1,1072766
"2011-12-08",21.04,21.04,20.76,20.81,1399534
"2011-12-15",20.86,21.11,20.83,21.06,1772608
"2011-12-22",21.82,21.86,21.62,21.66,1074112
"2011-12-29",22.04,22.2,22.04,22.16,448868
"2012-01-05",21.6,21.9,21.51,21.83,2704444
"2012-01-12",21.58,21.65,21.44,21.46,1086494
"2012-01-19",21.62,21.62,21.26,21.3,1086248
"2012-01-26",21.6,21.82,21.51,21.61,1214004
"2012-02-02",21.42,21.46,21.26,21.38,715926
"2012-02-09",21.72,21.77,21.53,21.68,912304
"2012-02-16",21.4,21.78,21.38,21.55,1216348
"2012-02-23",21.56,21.6,21.4,21.57,837464
"2012-03-01",21.31,21.42,21.22,21.36,1280528
"2012-03-08",21.6,21.6,21.43,21.55,1051910
"2012-03-15",21.44,21.54,21.26,21.47,1123738
"2012-03-22",21.26,21.29,21.1,21.19,833014
"2012-03-29",21.52,21.8,21.34,21.8,1499290
"2012-04-05",21.6,21.66,21.45,21.49,993780
"2012-04-12",21.17,21.47,21.14,21.42,1766644
"2012-04-19",21.8,21.9,21.64,21.74,1776120
"2012-04-26",22.27,22.5,22.2,22.39,1434034
"2012-05-03",22.62,22.77,22.3,22.33,1710414
"2012-05-10",22.06,22.26,21.93,22.18,1529444
"2012-05-17",22.23,22.23,21.87,21.9,1587068
"2012-05-24",21.85,22.02,21.75,21.96,711426
"2012-05-31",21.8,22.01,21.79,21.84,1967430
"2012-06-07",22.37,22.47,22.3,22.34,1172982
"2012-06-14",22.55,22.68,22.45,22.56,1029682
"2012-06-21",22.54,22.66,22.23,22.32,983270
"2012-06-28",22.4,22.6,22.2,22.6,843566
"2012-07-05",22.89,22.95,22.82,22.83,563144
"2012-07-12",22.73,22.94,22.67,22.88,570966
"2012-07-19",23.64,23.75,23.46,23.62,744082
"2012-07-26",23.34,23.54,23.32,23.49,667798
"2012-08-02",23.16,23.29,22.97,23.28,1171024
"2012-08-09",23.13,23.22,22.95,22.98,657786
"2012-08-16",23.12,23.22,22.98,23.02,644102
"2012-08-23",22.69,22.69,22.26,22.31,870748
"2012-08-30",22.1,22.16,22.04,22.12,596062
"2012-09-06",22.31,22.66,22.26,22.66,1276128
"2012-09-13",22.12,22.34,22.08,22.32,544960
"2012-09-20",21.84,21.88,21.78,21.79,706120
"2012-09-27",21.96,21.96,21.58,21.62,1063184
"2012-10-04",22.18,22.26,22.13,22.26,831862
"2012-10-11",22.16,22.31,22.06,22.2,578990
"2012-10-18",22.62,22.72,22.58,22.65,463132
"2012-10-25",22.26,22.34,22.08,22.24,471398
"2012-11-01",22.36,22.49,22.16,22.42,1361834
"2012-11-08",21.44,21.68,21.38,21.38,1052676
"2012-11-15",21.46,21.5,21.1,21.19,1207790
"2012-11-29",22.18,22.24,21.92,22.2,702818
"2012-12-06",22.36,22.42,22.22,22.28,539204
"2012-12-13",22.19,22.26,22.06,22.12,606248
"2012-12-20",22.43,22.5,22.25,22.43,706322
"2012-12-27",21.96,22.05,21.74,21.94,622612
"2013-01-03",22.52,22.66,22.46,22.58,776468
"2013-01-10",22.74,22.85,22.66,22.84,781556
"2013-01-17",22.75,22.87,22.66,22.82,994232
"2013-01-24",22.95,23.06,22.9,22.94,1035406
"2013-01-31",22.94,22.99,22.8,22.92,1084050
"2013-02-07",23.05,23.2,23,23.15,456822
"2013-02-14",23.26,23.56,23.13,23.5,1191670
"2013-02-21",23.77,23.84,23.67,23.79,1102238
"2013-02-28",23.88,24,23.74,23.84,1141338
"2013-03-07",24.18,24.2,23.85,23.86,1078884
"2013-03-14",24.31,24.42,24.25,24.38,721224
"2013-03-21",24.44,24.54,24.38,24.44,554348
"2013-03-28",24.68,25.12,24.66,25.09,918198
"2013-04-04",24.88,25.1,24.8,25.09,751040
"2013-04-11",25.7,25.78,25.62,25.75,720378
"2013-04-18",25.7,25.82,25.48,25.59,1078414
"2013-04-25",26.22,26.52,26.16,26.2,1577170
"2013-05-02",26.42,26.56,26.36,26.46,524992
"2013-05-09",26.32,26.4,25.8,25.86,694184
"2013-05-16",26.39,26.39,26.12,26.16,396030
"2013-05-23",25.56,25.56,24.9,25.51,1200724
"2013-05-30",24.9,25.44,24.9,24.92,1410600
"2013-06-06",24.3,24.52,24.24,24.52,1143762
"2013-06-13",24.26,24.74,24.18,24.68,391470
"2013-06-20",24.26,24.3,23.58,23.66,1129812
"2013-06-27",24.76,25.08,24.76,24.98,827518
"2013-07-11",26,26.18,25.95,26.18,757084
