"","LOW.Open","LOW.High","LOW.Low","LOW.Close","LOW.Volume"
"2014-09-15",52.95,53.24,52.71,53.13,4418159
"2014-09-22",53.92,53.92,53.3,53.46,3885203
"2014-09-29",52.97,53.44,52.76,53.35,4371253
"2014-10-06",53.77,54.12,53.38,53.6,3237135
"2014-10-13",53.5,53.65,52.36,52.47,8235885
"2014-10-20",52.35,53.63,52.35,53.49,5876152
"2014-10-27",55.21,55.83,55.21,55.47,3365380
"2014-11-03",57.2,57.5,56.93,57.45,5337193
"2014-11-10",57.69,58.01,57.53,57.83,3271920
"2014-11-17",58.52,59.16,58.48,58.89,4721901
"2014-11-24",63.47,63.86,63.23,63.64,4630041
"2014-12-01",63.55,63.87,62.91,63.16,4908211
"2014-12-08",64.82,66.31,64.78,66.09,6447926
"2014-12-15",65.79,65.96,64.45,65.32,5555885
"2014-12-22",67.17,67.87,67.01,67.84,4343813
"2014-12-29",67.25,68.74,67.17,68.57,2937716
"2015-01-05",67.19,67.38,65.89,66.08,7337721
"2015-01-12",68.61,68.72,67.64,67.85,4604788
"2015-01-26",69.69,70.5,69.42,70.44,5064043
"2015-02-02",67.58,68.49,66.16,68.41,5695299
"2015-02-09",71.45,71.83,70.76,70.95,2800884
"2015-02-23",73.93,74.34,73.27,73.73,4902878
"2015-03-02",73.52,75.2,73.52,75.09,5187167
"2015-03-09",73.53,74.42,73.42,74.26,3292103
"2015-03-16",74.69,75.55,74.69,75.44,4163316
"2015-03-23",75.55,76.17,75.14,75.37,5934566
"2015-03-30",73.85,74.99,73.82,74.8,3959651
"2015-04-06",74.23,75.64,74.21,75.06,4714957
"2015-04-13",75,75.24,73.77,73.81,3448935
"2015-04-20",72.89,73.13,72.55,72.63,3610914
"2015-04-27",73.57,73.57,71.79,71.84,5629062
"2015-05-04",70.89,71.41,70.57,71.25,4889699
"2015-05-11",73.03,73.93,72.96,73.22,3940413
"2015-05-18",73.22,73.28,72.62,73.06,4982877
"2015-06-01",69.96,70.39,69.7,70.14,4165401
"2015-06-08",69.7,69.94,68.68,68.68,4432966
"2015-06-15",68.86,69.19,68.48,69.11,4988984
"2015-06-22",70.49,70.74,70.06,70.29,4052755
"2015-06-29",68.3,69.09,67.5,67.53,5311192
"2015-07-06",66.33,66.8,65.98,66.25,10279923
"2015-07-13",68.4,68.66,68.05,68.3,4158345
"2015-07-20",66.5,67.1,66,66.7,5333004
"2015-07-27",67.04,67.42,66.72,67.04,3422463
"2015-08-03",69.17,69.35,68.32,68.91,5576824
"2015-08-10",69.98,70.18,69.42,69.57,5759443
"2015-08-17",71.87,72.58,71.4,72.48,5238469
"2015-08-24",67.61,70.07,64.22,68.31,10793898
"2015-08-31",68.5,69.46,68.24,69.17,6768268
"2015-09-14",68.6,69,67.98,68.15,2645039
"2015-09-21",68.39,70.03,68.32,69.6,5258449
"2015-09-28",68.44,68.99,67.05,67.15,5561825
"2015-10-05",70.85,71.85,70.65,71.77,4425104
"2015-10-12",73.19,73.98,73.11,73.81,2782548
"2015-10-19",72.37,73.45,72.27,73.43,3765576
"2015-10-26",73.62,74.42,73,74.16,4074394
"2015-11-02",73.9,74.29,73.05,73.77,3879786
"2015-11-09",72.99,73.12,71.47,72.02,5619084
"2015-11-16",69.86,71.71,69.75,71.64,5578341
"2015-11-23",75.78,77.26,75.78,76.67,4952847
"2015-11-30",77.39,77.47,76.43,76.6,6093929
"2015-12-07",76.46,76.72,75.73,76.45,3277939
"2015-12-14",75.26,75.96,74.77,75.65,4421972
"2015-12-21",74.5,75.1,74.04,74.89,3418518
"2015-12-28",75.99,76.56,75.86,76.44,2860347
"2016-01-04",74.69,75.57,74.5,75.28,5853654
"2016-01-11",71.45,73.09,71.29,72.68,5443251
"2016-01-25",70.66,71,69.84,69.9,5622945
"2016-02-01",70.54,72.89,70.54,72.66,5208631
"2016-02-08",65.38,65.39,62.62,63.55,8300772
"2016-02-22",69.05,69.87,68.82,69.47,6001393
"2016-02-29",68.84,69.75,67.47,67.53,5958794
"2016-03-07",69.85,71.2,69.83,70.77,4727908
"2016-03-14",72,73.1,71.96,72.75,4118967
"2016-03-21",74.65,75.36,74.3,75.22,5376194
"2016-03-28",74.87,75.29,74.69,74.99,2922184
"2016-04-04",77.5,77.5,76.05,76.18,3840372
"2016-04-11",75.09,76.08,75.01,75.15,3841594
"2016-04-18",77.12,77.63,76.89,77.36,3613143
"2016-04-25",75.67,76.19,75.4,76.19,3250786
"2016-05-02",75.33,76.73,75.02,76.14,4248644
"2016-05-09",75.8,76.34,75.52,75.84,3145965
"2016-05-16",75.02,77.36,75.01,77,6812731
"2016-05-23",79.6,79.96,78.79,78.87,5113634
"2016-06-06",79.15,79.26,77.96,78.45,6643199
"2016-06-13",78.29,78.45,77.42,77.5,4729576
"2016-06-20",78.94,79.5,78.51,78.59,4146570
"2016-06-27",76.35,76.66,75.35,76.32,5792486
"2016-07-11",82.68,83.26,82.68,82.8,3479377
"2016-07-18",81.89,82.51,81.57,81.92,3727951
"2016-07-25",80.86,81.18,80.43,80.99,2865518
"2016-08-01",81.91,82.54,81.71,82.31,2912814
"2016-08-08",81.72,81.88,81.3,81.62,2410768
"2016-08-15",82.09,82.68,81.31,81.54,5315403
"2016-08-22",78,78.58,77.2,77.29,4502677
"2016-08-29",76.91,77.34,76.75,77.18,4544191
"2016-09-12",71.2,72.66,70.86,72.5,6165832
