"","LUK.Open","LUK.High","LUK.Low","LUK.Close","LUK.Volume"
"2011-09-15",28.86,28.93,28.2,28.58,821025
"2011-09-22",24.27,24.81,23.15,23.57,2363397
"2011-09-29",23.68,23.89,23.17,23.88,1503470
"2011-10-06",23.15,23.78,22.74,23.77,1090623
"2011-10-13",24.45,24.87,23.76,24.75,1464963
"2011-10-20",25.17,25.79,24.75,25.69,1466732
"2011-10-27",27.4,28.8,27.26,28.61,1536975
"2011-11-03",26,26.27,22.6,25.94,6250098
"2011-11-10",23.54,23.9,22.92,23.59,1578657
"2011-11-17",22.92,23.09,21.35,21.81,2887852
"2011-12-01",23.38,23.6,23.13,23.34,1081079
"2011-12-08",23.28,23.38,22.43,22.51,1547519
"2011-12-15",22.45,22.56,21.98,22.09,1250952
"2011-12-22",22.61,23.01,22.56,22.96,869319
"2011-12-29",22.62,22.8,22.41,22.65,950997
"2012-01-05",23.76,24.09,23.29,24.03,966973
"2012-01-12",25.43,25.92,25.12,25.92,1270903
"2012-01-19",26.97,27.32,26.83,27.23,991708
"2012-01-26",28.25,28.63,28.16,28.41,1198387
"2012-02-02",28.59,28.83,28.29,28.53,760446
"2012-02-09",29.52,29.7,29.05,29.42,604318
"2012-02-16",28.44,29.29,28.43,29.08,825135
"2012-02-23",28.49,29.44,28.4,29.36,946684
"2012-03-01",28.63,28.75,28.17,28.38,1149499
"2012-03-08",26.93,27,26.6,26.77,847621
"2012-03-15",27.15,27.41,26.98,27.24,948767
"2012-03-22",27.44,27.48,26.68,26.69,1132895
"2012-03-29",26.59,26.62,25.89,26.34,822957
"2012-04-05",24.65,25.25,24.65,24.87,843598
"2012-04-12",23.9,24.89,23.9,24.85,984813
"2012-04-19",24.2,24.55,24.1,24.32,955111
"2012-04-26",24.63,25.2,24.56,25.04,1103416
"2012-05-03",25.26,25.4,24.79,24.91,1117877
"2012-05-10",24,24.12,23.3,23.39,1453455
"2012-05-17",21.52,21.56,20.84,21.41,6216389
"2012-05-24",21.35,21.38,20.75,20.94,1539082
"2012-05-31",20.79,20.88,20.05,20.32,3185276
"2012-06-07",20.93,21.12,20.41,20.51,984364
"2012-06-14",20.64,20.81,20.47,20.74,814359
"2012-06-21",21.58,21.69,20.74,20.75,824594
"2012-06-28",20.5,20.69,20.12,20.68,644139
"2012-07-05",22.18,22.22,21.35,21.4,1001331
"2012-07-12",21.41,21.6,21.07,21.43,853625
"2012-07-19",21.96,22.18,21.81,21.95,618092
"2012-07-26",21.46,21.75,21.34,21.58,605563
"2012-08-02",21.27,21.42,20.42,20.56,1483787
"2012-08-09",22.19,22.59,22.14,22.22,606221
"2012-08-16",21.95,22.38,21.88,22.22,477191
"2012-08-23",22.17,22.33,21.75,21.78,524021
"2012-08-30",21.86,21.93,21.29,21.29,807426
"2012-09-06",21.13,21.76,21.13,21.51,1002310
"2012-09-13",22.23,22.97,22.06,22.9,949928
"2012-09-20",23.63,23.88,23.27,23.74,769000
"2012-09-27",23.23,23.39,23.09,23.12,996730
"2012-10-04",23.08,23.29,22.99,23.18,676631
"2012-10-11",22.47,22.5,22.16,22.25,645261
"2012-10-18",22.88,23.12,22.77,23.08,921215
"2012-10-25",22.51,22.83,22.42,22.81,648412
