"","M.Open","M.High","M.Low","M.Close","M.Volume"
"2011-09-15",26.53,27.49,26.4,27.48,9809722
"2011-09-22",25.21,25.58,24.51,24.99,11526564
"2011-09-29",27.7,27.7,26.5,27.26,8457515
"2011-10-06",25.74,26.47,25.28,26.44,12010890
"2011-10-13",28.12,28.76,28,28.35,7180533
"2011-10-20",29.48,29.67,28.98,29.54,5701968
"2011-10-27",31.45,32.35,30.89,31.92,9532836
"2011-11-03",30.24,31.58,29.46,31.47,12009319
"2011-11-10",31.02,31.39,30.28,30.77,8323635
"2011-11-17",30.79,31.14,30.14,30.42,7546856
"2011-12-01",32.3,33,31.91,32.16,7438258
"2011-12-08",32.56,33.04,32.2,32.29,4553611
"2011-12-15",31.38,31.67,30.92,31.47,5428269
"2011-12-22",32.11,32.35,31.66,31.87,3481087
"2011-12-29",32.61,33,32.3,32.49,3890373
"2012-01-05",32.66,33.98,32.39,33.92,14087399
"2012-01-12",35,35.21,34.66,35.04,4286228
"2012-01-19",35.3,35.92,35.3,35.82,5572083
"2012-01-26",34.35,34.41,32.84,33.27,13138373
"2012-02-02",34.62,35.45,34.28,35.23,11135353
"2012-02-09",35.97,36.23,35.51,36.21,5101950
"2012-02-16",35,35.53,34.77,35.3,4451113
"2012-02-23",37.15,37.5,36.76,36.99,8699721
"2012-03-01",38.27,38.88,37.11,38.85,12925388
"2012-03-08",38.63,39.36,38.32,39.3,5947053
"2012-03-15",39.87,39.89,39.29,39.77,3217538
"2012-03-22",40.08,40.55,39.72,40.06,6181756
"2012-03-29",39.95,40.33,39.63,39.93,4737013
"2012-04-05",40.57,41.27,40.35,40.87,6286894
"2012-04-12",39.39,40.35,39.38,40.33,3742759
"2012-04-19",40.13,40.3,39.34,39.65,4963494
"2012-04-26",39.93,40.99,39.93,40.65,3896475
"2012-05-03",40.6,41.59,40.3,41.55,9278947
"2012-05-10",38.35,38.5,37.43,37.83,7612594
"2012-05-17",37.38,37.87,35.43,35.43,7832117
"2012-05-24",37.29,38.06,37.17,38.02,6752646
