"","MA.Open","MA.High","MA.Low","MA.Close","MA.Volume"
"2011-09-15",33.88,34.96,33.05,34.79,22130800
"2011-09-22",33.2,33.8,32.32,33.1,22185360
"2011-09-29",33.64,33.78,32.15,32.84,10228670
"2011-10-06",31.25,31.89,30.92,31.63,13363660
"2011-10-13",32.71,33.92,32.66,33.6,12992530
"2011-10-20",32.65,32.94,32.25,32.57,12506020
"2011-10-27",33.6,34.96,33.12,34.92,16933030
"2011-11-03",35.54,36.8,35.5,36.66,14511320
"2011-11-10",36.22,36.27,35.54,36.01,6777470
"2011-11-17",36.19,36.68,35.66,35.94,11422740
"2011-12-01",37.24,38.2,37.24,38.1,12154050
"2011-12-08",37.33,37.81,36.89,36.93,8544270
"2011-12-15",36.79,36.8,35.9,35.92,7663240
"2011-12-22",37.47,37.66,36.76,37.12,9339960
"2011-12-29",37.4,37.84,37.37,37.83,4873810
"2012-01-05",35.38,35.56,35.05,35.24,14756790
"2012-01-12",34.15,34.48,33.96,34.33,13261680
"2012-01-19",35.55,35.6,35.05,35.29,8856770
"2012-01-26",34.9,35.49,34.72,34.78,9231400
"2012-02-02",36.72,38.42,36.72,38.16,35025770
"2012-02-09",40,40.18,39.43,39.64,9999020
"2012-02-16",39.41,39.59,38.98,39.32,7222570
"2012-02-23",40.68,40.78,40.42,40.61,8215120
"2012-03-01",42.25,42.33,41.7,42.04,8725790
"2012-03-08",41.45,41.89,41.36,41.73,7094890
"2012-03-15",42.14,42.3,41.8,41.96,5888500
"2012-03-22",41.74,42.13,41.5,41.68,6305030
"2012-03-29",42.46,42.83,42.16,42.82,5093590
"2012-04-05",43.05,44.22,42.87,43.98,8505980
"2012-04-12",43.05,43.42,42.97,43.4,5311240
"2012-04-19",43.72,44.08,43.23,43.68,6879980
"2012-04-26",44.45,45.65,44.45,45.4,10411030
"2012-05-03",45.3,45.48,43.97,44.24,15136520
"2012-05-10",42.58,42.94,41.83,42.3,11560600
"2012-05-17",41.38,41.38,39.85,39.86,12022680
"2012-05-24",42.01,42.88,41.61,41.98,10809710
"2012-05-31",41.23,41.3,39.9,40.65,10661090
"2012-06-07",42.45,42.51,41.4,41.57,9437470
"2012-06-14",40.96,42,40.95,41.9,7451770
"2012-06-21",42.88,43.27,42.1,42.12,5543250
"2012-06-28",42.93,43.04,41.68,42.13,9628840
"2012-07-05",44.04,44.5,43.84,44.4,5974370
"2012-07-12",41.6,42.66,41.45,42.42,7645400
"2012-07-19",43.82,43.9,42.79,42.79,8194870
"2012-07-26",41.88,42.74,41.76,42.38,7061210
"2012-08-02",42.58,42.91,41.81,42.34,11443400
"2012-08-09",42.4,42.79,42.06,42.59,7073020
"2012-08-16",42.72,43.09,42.6,42.85,4133770
"2012-08-23",42.09,42.28,41.67,41.83,5743400
"2012-08-30",42.25,42.4,42.03,42.1,3800500
"2012-09-06",42.5,43.26,42.26,43.26,9616790
"2012-09-13",44.64,45.66,44.59,45.53,8120310
"2012-09-20",44.75,45.93,44.72,45.42,11338200
"2012-09-27",44.76,45.22,44.7,45.22,4341530
"2012-10-04",47.28,47.5,47.14,47.49,6339480
"2012-10-11",46.72,47.58,46.5,47.26,12625060
"2012-10-18",48.25,48.56,47.44,47.58,8792490
"2012-10-25",45.65,45.86,44.74,44.94,8937260
"2012-11-01",46.34,47.5,46.21,46.87,9364510
"2012-11-08",46.43,46.82,46.18,46.18,6202770
"2012-11-15",46.29,46.29,45.36,45.72,7073290
"2012-11-29",48.42,49.08,48.32,48.62,9079270
"2012-12-06",47.58,48.09,47.39,48.09,5980120
"2012-12-13",48.59,48.76,48.25,48.44,5679710
"2012-12-20",49.22,49.86,48.95,49.85,9395540
"2012-12-27",48.6,49.29,48.11,48.79,6250220
"2013-01-03",51.05,51.55,50.82,51.1,9451930
"2013-01-10",53.25,53.25,52.43,52.76,12563050
"2013-01-17",52.47,52.67,52.13,52.34,5249980
"2013-01-24",51.79,52.57,51.77,52.23,5868550
"2013-01-31",53.2,53.54,51.3,51.84,20412670
"2013-02-07",52.19,52.33,51.62,51.96,6517940
"2013-02-14",51.62,52.33,51.62,52.22,6655150
"2013-02-21",51.4,52.09,51.06,51.96,6813240
"2013-02-28",51.52,52.14,51.34,51.78,6149710
"2013-03-07",52.77,53,52.57,52.67,6688280
"2013-03-14",52.86,53.12,52.67,52.72,5566830
"2013-03-21",51.64,51.77,51.32,51.4,5504200
"2013-03-28",53.84,54.2,53.69,54.11,6691330
"2013-04-04",53.28,53.56,53.01,53.42,4433080
"2013-04-11",53.44,54.23,53.26,54.12,5678360
"2013-04-18",52.58,52.65,52.1,52.1,6433960
"2013-04-25",53.41,53.9,52.52,53.51,3786440
"2013-05-02",53.6,54.73,53.57,54.55,9469350
"2013-05-09",55.3,55.62,54.99,55.19,4386870
"2013-05-16",57.29,57.37,57.01,57.01,4408210
"2013-05-23",56.98,57.7,56.84,56.97,6568320
"2013-05-30",57.36,58.26,57.2,57.62,3783120
"2013-06-06",55.78,56.52,55.71,56.5,4399200
"2013-06-13",55.76,57.55,55.71,57.37,8608440
"2013-06-20",57.96,58.57,57.22,57.27,9214350
"2013-06-27",57.15,57.74,57,57.07,5941920
"2013-07-11",59.68,60.16,59.22,60.1,4653330
"2013-07-18",59.6,60.07,59.45,59.69,3487820
"2013-07-25",59.42,60.19,59.41,59.9,7276720
"2013-08-01",61.87,64.96,61.87,64.64,30348990
"2013-08-08",64.91,65,64.15,64.58,4531630
"2013-08-15",62.39,62.48,61.56,61.87,5328930
"2013-08-22",62.3,62.3,61.69,62.11,3926260
"2013-08-29",61.05,61.84,61.04,61.26,5059840
"2013-09-05",62.3,63.16,62.25,62.9,3821780
"2013-09-12",66.18,67.23,65.45,66.75,10872220
"2013-09-19",69.18,69.5,68.51,68.64,5098660
"2013-09-26",67.52,67.98,67.25,67.76,3814720
"2013-10-03",67.32,67.59,66.4,66.91,5546890
"2013-10-10",66.83,67.86,66.69,67.86,4913400
"2013-10-17",69.27,70.5,69.26,70.46,5421320
"2013-10-24",71.46,72.7,71.4,72.47,4019740
"2013-10-31",73,73.46,70.74,71.71,10221030
"2013-11-07",73.74,73.76,71.96,72.13,4742650
"2013-11-14",73.5,74.4,73.46,74.35,3383870
"2013-11-21",74.48,74.96,74.48,74.7,3684630
"2013-12-05",75.02,75.49,74.7,75.15,3598480
"2013-12-12",79.1,79.15,78.13,78.25,10078920
"2013-12-19",80.2,80.92,79.9,80.54,9531060
"2013-12-26",81.5,82.19,81.42,82.19,5942890
"2014-01-02",83.74,83.8,83.01,83.41,7408790
"2014-01-09",84,84.42,83.62,84.36,7212580
"2014-01-16",82.48,82.8,82.24,82.55,4965690
"2014-01-23",83.8,83.81,81.92,82.36,6595431
"2014-01-30",80.45,80.55,78.24,79.76,8749157
"2014-02-06",73.23,74.91,73.14,74.9,6805661
"2014-02-13",75.48,76.64,75.13,76.53,4912964
"2014-02-20",76.88,76.88,74.85,75.86,8723584
"2014-02-27",77.34,78.01,77,77.76,4939433
"2014-03-06",78.4,78.71,77.57,77.63,4594433
"2014-03-13",78.38,78.77,76.54,76.62,6521375
"2014-03-20",78.21,78.65,77.61,78.41,5197964
"2014-03-27",73.54,73.62,72.35,73.34,7690125
"2014-04-03",75.04,75.55,74.24,74.53,4133295
"2014-04-10",73.67,74.32,70.95,71.17,8984297
"2014-04-17",74.07,74.82,73.61,74.13,5552348
"2014-04-24",73.71,74.72,73.33,74.35,5195169
"2014-05-01",75.57,76.71,74.05,74.22,9752820
"2014-05-08",73.87,75.47,73.5,74.24,4628491
"2014-05-15",74,74.24,72.88,73.08,4306940
"2014-05-22",75.81,76.22,75.1,75.75,4625410
"2014-05-29",77.05,77.23,76.51,76.79,3375589
"2014-06-05",76.32,77.17,76.14,76.84,2684380
"2014-06-12",76.98,77.14,75.46,75.72,3844890
"2014-06-19",75.08,75.42,74.1,74.27,5504688
"2014-06-26",73.26,73.28,72.56,72.77,4085460
"2014-07-03",76.6,76.9,76.35,76.74,3213435
"2014-07-10",75.65,75.96,74.75,75.47,3318037
"2014-07-17",77.31,77.87,76.25,76.39,5476388
"2014-07-24",77.93,78.06,76.92,77.57,5153756
"2014-07-31",76.3,76.32,73.81,74.15,7394975
"2014-08-07",75.54,75.68,73.82,74.06,4714460
"2014-08-14",76.6,76.61,75.66,76.05,2411679
"2014-08-21",76.51,77.12,76.29,76.99,2694676
"2014-08-28",76.09,76.43,75.66,76.16,2991654
"2014-09-04",76.03,76.82,76,76.38,2680393
"2014-09-11",76.32,76.45,75.41,75.62,4673567
"2014-09-18",76.64,77.81,76.23,77.8,5790199
"2014-09-25",76.54,76.64,74.72,74.72,5010437
"2014-10-02",72.87,73.73,72.59,73.42,5607133
"2014-10-09",73.98,73.98,71.81,71.83,5791587
"2014-10-16",70.08,71.49,69.85,70.86,9417977
"2014-10-23",74.1,74.66,73.77,74.09,3604101
"2014-10-30",78.35,83.22,78.3,83.13,16292387
"2014-11-06",86,86.38,85.49,85.75,5147915
"2014-11-13",84.54,84.74,83.74,84.2,3096547
"2014-11-20",83.5,84.85,83.29,84.6,3452204
"2014-12-04",88.38,89.44,88.14,88.77,3528371
"2014-12-11",86.76,88.18,86.75,87.69,4078480
"2014-12-18",86.12,86.92,85.4,86.92,6442059
"2015-01-08",85.19,85.62,85.03,85.53,5174184
"2015-01-15",83.8,84.13,82.18,82.25,4331532
"2015-01-22",83.36,84.53,82.5,84.38,4796164
"2015-01-29",80.3,81.55,79.82,81.38,6277176
"2015-02-05",84.58,85.91,84,85.82,5426512
"2015-02-12",85.43,87.98,85.31,87.52,7053465
"2015-02-19",87.64,89.43,87.58,89.2,5271748
"2015-02-26",92.89,93,91.06,91.26,5666718
"2015-03-05",92,92.95,91.45,92.81,4651263
"2015-03-12",87.73,89.51,87.68,89.25,7035486
"2015-03-19",88.85,89.67,88.64,89.02,3172466
"2015-03-26",86.71,88.3,86.56,87.93,4141810
"2015-04-02",86.92,87.86,86.67,87.03,4628750
"2015-04-09",89.1,89.7,88.14,89.06,3482136
"2015-04-16",88.95,89.18,88.59,88.72,2952063
"2015-04-23",91.2,91.4,90.18,90.88,4323266
"2015-04-30",90.25,91.39,89.66,90.21,7470749
"2015-05-07",90.71,92.16,90.35,92.05,4370405
"2015-05-14",93.1,93.9,92.8,93.84,3467382
"2015-05-21",93.09,93.35,92.73,92.9,2890989
"2015-05-28",92.6,92.96,92.11,92.82,1778401
"2015-06-04",92.95,93.66,92.32,92.57,3320325
"2015-06-11",94.35,95.13,93.98,94.5,3403628
"2015-06-18",94.57,96.31,94.54,96.05,4207959
"2015-06-25",95.87,95.87,94.28,94.46,3214916
"2015-07-02",94.49,94.76,93.9,94.24,3034670
"2015-07-09",93.73,94.14,92.99,93.04,2985972
"2015-07-16",95.75,95.97,95.46,95.82,3100388
"2015-07-23",96.9,96.97,94.86,95.16,4896923
"2015-07-30",96.64,98.82,96.11,98.41,4407280
"2015-08-06",98.56,98.61,96.92,97.16,4110869
"2015-08-13",97.29,97.9,96.58,97.23,2441036
"2015-08-20",95.97,96.12,94.52,94.56,4838809
"2015-08-27",93.15,94.21,92.05,94.05,5433706
"2015-09-03",90.99,92.35,90.94,91.65,3615661
"2015-09-10",89.8,90.69,89.55,89.68,7367040
"2015-09-17",92.65,94.84,92.63,93.21,4581564
"2015-09-24",91.41,91.57,90.11,91.12,3437439
"2015-10-01",90.57,90.88,89.4,90.73,4495919
"2015-10-08",94.7,96,94.65,95.87,2958507
"2015-10-15",95.96,97.16,95.52,97.16,2896993
"2015-10-22",97.44,98.74,97.16,98.02,4031062
"2015-10-29",99.88,101.65,99,100.59,4938228
"2015-11-05",100,101.2,99.81,100.69,3032130
"2015-11-12",100.81,100.81,98.26,98.28,5130962
"2015-11-19",99.01,99.26,98.35,98.93,2980384
"2015-12-03",97.33,97.95,95.7,95.96,3479181
"2015-12-10",98.12,98.66,97.45,97.61,2907952
"2015-12-17",100.54,100.8,99.26,99.33,4581159
"2015-12-24",98.78,99.11,98.31,98.59,932729
"2015-12-31",98.25,98.86,97.36,97.36,3219188
"2016-01-07",91.56,92.37,90.68,91.64,6599969
"2016-01-14",89.4,91.69,89.16,90.71,6235832
"2016-01-21",85.23,87.53,84.56,86.12,5989222
"2016-01-28",85.34,85.65,83.35,83.43,9161089
"2016-02-04",86.24,86.87,85.74,86.33,4472551
"2016-02-11",80.15,82.79,79.98,82.11,6248262
"2016-02-18",86.58,87.45,85.83,86.04,3551564
"2016-02-25",86.55,87.43,85.52,87.42,3280504
"2016-03-03",89.73,90.14,88.92,89.74,4202492
"2016-03-10",87.66,88.2,85.93,86.89,3239083
"2016-03-17",89.92,91.66,89.66,91.41,4558949
"2016-03-24",91.3,91.97,91.3,91.91,2618718
"2016-03-31",93.68,94.94,93.52,94.5,5069802
"2016-04-07",94.17,94.26,93.04,93.51,3034019
"2016-04-14",95.72,96.77,95.41,96.17,3292086
"2016-04-21",97.95,98.09,97.35,97.54,2911501
"2016-04-28",97.94,100,96.73,97.18,6259771
"2016-05-05",96.34,96.83,95.96,96.19,2848625
"2016-05-12",96.74,96.82,95.24,95.85,4216784
"2016-05-19",95.14,95.5,94.08,94.7,2264564
"2016-05-26",96.54,96.73,96.07,96.38,1738274
"2016-06-02",96.27,96.88,96,96.88,2662326
"2016-06-09",97.51,97.63,96.98,97.02,2044859
"2016-06-16",92.93,94.09,92.05,94.08,4976282
"2016-06-23",95.15,95.71,94.61,95.71,2992894
"2016-06-30",92.61,92.74,87.59,88.06,12706790
"2016-07-07",86.95,88.32,86.95,87.81,4707218
"2016-07-14",91.32,91.65,90.5,91.45,4240864
"2016-07-21",93,93.67,92.02,92.46,4344430
"2016-07-28",95,96.5,94.56,96.01,5209419
"2016-08-04",95.09,96.05,94.8,95.91,2875582
"2016-08-11",96.5,96.92,96.17,96.53,2971127
"2016-08-18",95.3,95.87,95.07,95.27,3134607
