"","MCD.Open","MCD.High","MCD.Low","MCD.Close","MCD.Volume"
"2014-09-15",93.26,93.91,93.25,93.47,6254980
"2014-09-22",94.12,94.47,93.82,93.93,4875669
"2014-09-29",94.26,97.3,93.98,96.22,16489076
"2014-10-06",94.36,94.43,93.69,93.84,4278576
"2014-10-13",92.13,92.42,90.66,90.73,6182343
"2014-10-20",90.96,91.59,90.71,91.59,5408134
"2014-10-27",91.52,92.09,91.5,92.01,4078298
"2014-11-03",93.78,93.78,93.02,93.61,4069904
"2014-11-10",95.56,95.69,94.98,95.11,5123874
"2014-11-17",96.06,96.08,95.6,95.97,3596519
"2014-11-24",96.83,97.42,96.53,97.17,5222895
"2014-12-01",96.15,96.94,95.64,95.78,5273749
"2014-12-08",93.41,97.5,92.23,92.61,11792656
"2014-12-15",90.96,91.1,88.25,88.46,10121636
"2014-12-22",93.28,94.02,93.03,93.89,5342248
"2014-12-29",94.32,95.46,94.26,95.04,4183224
"2015-01-05",93.3,93.68,92.22,92.23,6211872
"2015-01-12",93.53,93.81,92.6,93.01,3989585
"2015-01-26",89.39,90.7,89.29,90.67,7753275
"2015-02-02",92.05,92.66,91.43,92.51,6751432
"2015-02-09",93.3,93.45,92.54,92.72,8203013
"2015-02-23",94.12,94.41,93.95,94.31,5681950
"2015-03-02",98.62,101.09,98.31,100,12363347
"2015-03-09",96.81,98.25,96.81,97.71,8460337
"2015-03-16",96.93,97.47,96.74,97.15,4772244
"2015-03-23",96.8,99.12,96.8,98.62,9232037
"2015-03-30",97.43,98.32,97.37,97.88,4074543
"2015-04-06",95.75,96.82,95.45,96.28,4501296
"2015-04-13",97.41,97.75,97.07,97.44,5197891
"2015-04-20",95,96.26,95,96.18,4382441
"2015-04-27",98.74,98.94,96.26,96.44,7282677
"2015-05-04",96.57,98.63,96.05,96.13,8426262
"2015-05-11",98.07,98.39,97.15,97.51,4123700
"2015-05-18",97.97,98.25,97.62,98.02,4100835
"2015-06-01",95.84,96.91,95.84,96.22,4919173
"2015-06-08",96,96.04,95.25,95.32,4594648
"2015-06-15",94.74,95,94.02,94.3,5861757
"2015-06-22",96.31,97.03,96.14,96.87,3893258
"2015-06-29",96.62,97.23,95.42,95.44,8412817
"2015-07-06",95.89,96.28,95.25,95.65,3852466
"2015-07-13",98,98.5,97.7,98.43,4578676
"2015-07-20",97.78,98.21,97.4,97.49,4947041
"2015-07-27",96,96.75,95.7,96.04,5818602
"2015-08-03",100,100.18,99.02,99.42,4427299
"2015-08-10",99.49,99.95,98.87,99.39,3994544
"2015-08-17",99,100.91,98.92,100.66,5204060
"2015-08-24",91.58,95.88,87.5,92.87,13732868
"2015-08-31",95.77,95.88,94.85,95.02,4672190
"2015-09-14",97.36,97.66,96.63,96.97,4557201
"2015-09-21",97.48,98.17,97.01,97.9,4530717
"2015-09-28",97,97.74,95.78,95.96,6454900
"2015-10-05",100.27,101.64,100.2,101.17,5894664
"2015-10-12",102.68,103.31,102.51,103.24,3321015
"2015-10-19",104.24,105.15,104.15,104.49,6742684
"2015-10-26",112.23,113.96,111.82,112.18,11274400
"2015-11-02",112.46,112.84,111.23,112.11,5599082
"2015-11-09",113.45,113.48,112.4,112.93,8420732
"2015-11-16",109.85,111.06,109.6,111.06,6729554
"2015-11-23",114.01,114.9,113.91,114.47,4941241
"2015-11-30",114.38,114.49,113.56,114.16,7368118
"2015-12-07",115.81,116.51,115.75,116.42,4810666
"2015-12-14",116.17,117.07,114.65,116.26,7642742
"2015-12-21",116.96,117.74,116.61,117.69,3344606
"2015-12-28",118.1,118.9,118.05,118.75,2777327
"2016-01-04",117.25,117.73,115.87,117.58,9694609
"2016-01-11",115.65,117.06,115.58,116.69,6392820
"2016-01-25",121.85,121.9,118.2,119.2,15108925
"2016-02-01",123.08,124.83,123.02,124.61,6186614
"2016-02-08",114.05,116.36,112.71,116.05,11299518
"2016-02-22",117.33,118.16,116.87,117.67,6187593
"2016-02-29",116.8,118.36,116.71,117.19,6265988
"2016-03-07",117.03,117.57,116.12,117.15,5635944
"2016-03-14",121.81,123.49,121.45,122.9,7910720
"2016-03-21",123.66,124.5,123.05,123.81,4041301
"2016-03-28",124,124.2,123.12,123.17,4775803
"2016-04-04",127.05,127.87,126.88,127.57,4238231
"2016-04-11",128.35,128.69,127.45,127.56,6967387
"2016-04-18",127.95,128.91,127.68,128.85,4524251
"2016-04-25",125.07,127.53,125.01,127.46,6975113
"2016-05-02",126.65,128.22,126.5,128.2,4823184
"2016-05-09",130.65,131.5,130.35,130.83,5004256
"2016-05-16",128.51,129.73,128.05,129.64,4343215
"2016-05-23",122.76,123.73,122.47,122.81,7077225
"2016-06-06",121.79,122.17,121.2,122,4901956
"2016-06-13",121.95,123.96,121.85,122.99,5436736
"2016-06-20",123.32,124.08,123.27,123.42,5951035
"2016-06-27",118.16,118.16,116.08,116.3,14159800
"2016-07-11",121.69,122.12,121.46,122,4266347
"2016-07-18",124,124,123.39,123.8,5254727
"2016-07-25",127.95,127.95,126.86,127.4,6210059
"2016-08-01",117.88,118.39,117.74,118.01,4208757
"2016-08-08",119.17,119.37,118.2,118.29,3589327
"2016-08-15",119.02,119.25,118.52,118.52,3391619
"2016-08-22",115,115.73,114.65,115.42,4484694
"2016-08-29",114.6,115.65,114.5,115.41,4982952
"2016-09-12",114.47,116.18,114.13,115.95,5014014
