"","MCK.Open","MCK.High","MCK.Low","MCK.Close","MCK.Volume"
"2011-09-15",76.24,76.38,74,75.44,1989294
"2011-09-22",72.84,73.83,72.25,73.56,1699294
"2011-09-29",75.83,76.87,74.04,74.78,2403491
"2011-10-06",69.64,70.23,66.61,70.08,4239457
"2011-10-13",73.31,73.93,72.49,73.87,1293685
"2011-10-20",73.01,73.43,71.67,72.85,1460300
"2011-10-27",83.43,85.7,82.72,84.99,3160643
"2011-11-03",80.47,82.24,80.47,81.66,1954422
"2011-11-10",80.25,82.22,80.07,81.74,1959413
"2011-11-17",80.8,81.13,79.59,80.43,1359818
"2011-12-01",81.46,82.26,81.26,81.7,1550328
"2011-12-08",80.51,80.7,78.5,78.63,1252334
"2011-12-15",77.08,77.88,76.81,76.91,1265345
"2011-12-22",77.81,78.64,77.69,78.35,706254
"2011-12-29",77.56,78.4,77.41,78.28,1027834
"2012-01-05",78.62,78.69,77.7,77.82,2443631
"2012-01-12",79.11,79.16,78.13,78.15,1248398
"2012-01-19",75.96,76.12,74.89,75.89,3286142
"2012-01-26",77.9,79.09,77.27,78.56,3235602
"2012-02-02",82.73,82.74,81.75,82.33,1670849
"2012-02-09",82.79,82.79,81.78,82.19,1096326
"2012-02-16",81.32,81.32,80.61,81.01,1496797
"2012-02-23",80.85,81.44,80.7,81.1,1094463
"2012-03-01",83.49,84.06,83.07,83.92,1856072
"2012-03-08",83.43,85.9,83.33,85.56,2434886
"2012-03-15",87.23,87.47,86.55,87.47,1207182
"2012-03-22",86.02,86.67,85.99,86.18,1998872
"2012-03-29",87.55,88.68,87.35,88.59,1422389
"2012-04-05",87.53,88.12,87.33,87.83,1122337
"2012-04-12",90.81,92.69,90.5,91.34,7397011
"2012-04-19",91.34,91.48,89.99,90.57,1680045
"2012-04-26",91.41,92.12,90.77,91.27,2276640
"2012-05-03",90.18,91.26,89.78,90.59,1871456
"2012-05-10",89.78,90.24,89.45,89.71,1288393
"2012-05-17",89.17,89.23,87.98,87.99,1566229
"2012-05-24",86.66,87.5,86.39,86.99,1472829
"2012-05-31",86.76,87.92,86.5,87.28,3267849
"2012-06-07",88.63,89.45,87.69,87.77,1656987
"2012-06-14",89.07,90.25,88.9,89.84,1386516
"2012-06-21",93.46,93.46,91.36,91.49,1050230
"2012-06-28",91.84,93.43,91.72,93.27,1592159
"2012-07-05",95.6,95.79,94.36,94.53,1469685
"2012-07-12",93.55,94.1,93.07,93.63,1055043
"2012-07-19",96.66,97.23,96.19,96.25,1065568
"2012-07-26",93.7,94.47,91.31,92.26,3221528
"2012-08-02",88.75,88.75,87.25,87.57,2532081
"2012-08-09",88.48,89.14,88.1,88.6,1117096
"2012-08-16",88.8,88.91,87.97,88.67,1224917
"2012-08-23",86.39,87.15,86.21,86.51,1810393
"2012-08-30",87.55,87.61,86.74,86.81,1272919
"2012-09-06",89.01,89.77,88.87,89.44,1885672
"2012-09-13",87,88.02,86.99,87.95,1690553
"2012-09-20",85.03,86.22,84.65,86.22,2103356
"2012-09-27",88,88.04,86.95,87.15,1560994
"2012-10-04",87.79,90.63,87.52,89.87,3164767
"2012-10-11",89.53,89.76,89,89,681010
"2012-10-18",91.25,91.53,90.96,91.34,654354
"2012-10-25",92,94.51,92,93.16,3268168
"2012-11-01",93.47,94.62,93.18,94.6,1400725
"2012-11-08",94.22,94.5,92.55,92.56,1451971
"2012-11-15",92.26,92.81,91.02,91.31,1365136
"2012-11-29",93.2,94.07,93.08,93.72,987244
"2012-12-06",94.38,94.79,94.1,94.74,791730
"2012-12-13",97.38,98.01,97.01,97.83,1189719
"2012-12-20",98.06,99.11,97.93,99.08,1113464
"2012-12-27",96.6,97.02,95.47,96.42,697045
"2013-01-03",97.76,98.8,97.61,98.74,1039490
"2013-01-10",101.56,102,100.98,101.66,1140344
"2013-01-17",102.2,103.27,102.13,102.94,708779
"2013-01-24",105.16,106.35,105.02,106.19,1385866
"2013-01-31",105.49,105.89,105.17,105.23,1343619
"2013-02-07",102.4,103.38,102.32,103.17,1641539
"2013-02-14",104.61,104.97,104.14,104.21,1676094
"2013-02-21",103,103.38,101.78,102.8,2009037
"2013-02-28",105.66,107.03,105.6,106.13,1993834
"2013-03-07",108.25,109.13,107.83,108.05,1694661
"2013-03-14",110.73,111.55,110.73,111.23,1298756
"2013-03-21",106.77,107.49,106.02,106.7,1051528
"2013-03-28",107.7,108.03,107.31,107.96,1138587
"2013-04-04",107.59,108.79,107.09,107.95,1095349
"2013-04-11",107.65,109.67,107.64,108.78,1163691
"2013-04-18",106.9,106.9,104.94,105.46,1216198
"2013-04-25",107.04,108.16,104.58,104.95,1941881
"2013-05-02",106.25,107.44,105.77,107.44,1286519
"2013-05-09",116.07,116.94,115.17,115.77,1336423
"2013-05-16",115.74,116.32,115.3,115.41,725777
"2013-05-23",116.72,117.75,116.18,117.28,855992
"2013-05-30",114.21,115.42,113.58,114.94,1047644
"2013-06-06",111.79,112.31,111.13,111.81,1047167
"2013-06-13",112.18,113.95,111.31,113.85,769873
"2013-06-20",113.28,113.43,110.42,110.79,1718589
"2013-06-27",115.83,117.21,115.37,115.57,1214952
"2013-07-11",118,118.5,117.76,118.23,734051
"2013-07-18",118.39,119.06,118.01,118.48,714043
