"","MCO.Open","MCO.High","MCO.Low","MCO.Close","MCO.Volume"
"2011-09-15",32.07,32.46,31.77,32.4,2265320
"2011-09-22",30.56,31.24,29.56,30.43,5265803
"2011-09-29",31.44,31.64,30.21,30.95,3097319
"2011-10-06",30.37,31.57,30,31.54,2431508
"2011-10-13",31.69,31.74,31.22,31.57,1173276
"2011-10-20",32,32.04,30.73,30.93,2941532
"2011-10-27",34.63,37.15,34.5,36.75,5843470
"2011-11-03",35.19,35.74,34.35,35.57,2728966
"2011-11-10",34.48,35,33.75,34.17,1498246
"2011-11-17",32.87,33.12,32.36,32.55,4210188
"2011-12-01",34.71,34.94,34.31,34.79,1481106
"2011-12-08",35.04,35.27,34.72,34.83,3156876
"2011-12-15",33.33,33.36,32.27,32.35,3798750
"2011-12-22",34,34.32,33.79,34.25,1491392
"2011-12-29",33.83,34.18,33.7,34.11,1100642
"2012-01-05",34.68,35.69,34.66,35.69,1699623
"2012-01-12",35.95,36.75,35.9,36.72,2457616
"2012-01-19",35.73,36.67,35.65,36.55,1495433
"2012-01-26",38.5,38.78,37.86,38.06,1906708
"2012-02-02",37.8,38.03,37.38,37.46,1425306
"2012-02-09",38.45,38.57,37.98,38.37,2772157
"2012-02-16",38.2,38.61,38.06,38.45,1265292
"2012-02-23",38.66,39.18,38.49,39.15,953857
"2012-03-01",38.38,39.29,38.38,39.23,1182472
"2012-03-08",37.63,38.58,37.55,38.53,1051656
"2012-03-15",41.53,42.04,41.4,42.03,1563858
"2012-03-22",41.38,41.79,41.18,41.47,897554
"2012-03-29",41.63,41.64,41.11,41.52,916367
"2012-04-05",42.01,42.41,41.84,42.32,981124
"2012-04-12",42,43.02,41.88,42.91,1372784
"2012-04-19",42.28,42.41,41.08,41.22,2393292
"2012-04-26",42,42.56,41.29,41.61,2613824
"2012-05-03",40.21,40.34,39.44,39.48,1592554
"2012-05-10",38.75,38.87,38.19,38.34,1028600
"2012-05-17",37.15,37.26,35.74,35.78,2821120
"2012-05-24",36.69,37.26,36.64,37.25,2033198
"2012-05-31",36.72,37.04,36.16,36.59,1785814
"2012-06-07",37.22,37.42,36.36,36.45,1213999
"2012-06-14",35.42,35.52,34.7,35.08,2574790
"2012-06-21",36.17,36.28,34.71,34.75,1569246
"2012-06-28",35.05,35.56,34.94,35.55,1367633
"2012-07-05",36.94,37.08,36.31,36.7,1488565
"2012-07-12",36.45,36.53,35.93,36,1610823
"2012-07-19",36.78,37.12,36.44,36.99,1148886
"2012-07-26",36.85,40.39,36.85,40.09,4191579
"2012-08-02",39.88,40.48,39.5,39.84,1627065
"2012-08-09",39.86,40.31,39.59,39.6,1315201
"2012-08-16",38.97,39.31,38.86,39.22,1326345
"2012-08-23",38.43,38.83,38.13,38.28,930691
"2012-08-30",38.54,39.25,38.52,39.06,1236379
"2012-09-06",39.78,41.36,39.78,41.25,2389245
"2012-09-13",43.6,43.8,42.95,43.75,2400462
"2012-09-20",44.71,45.43,44.41,45.39,2626188
"2012-09-27",44.31,44.97,44.25,44.5,1558060
"2012-10-04",45.04,45.34,44.8,45.24,1120813
"2012-10-11",44.37,44.84,44.07,44.37,1296789
"2012-10-18",45.81,46.64,45.81,46.58,2021566
"2012-10-25",45.59,46,45.24,45.72,2025635
"2012-11-01",48.44,49.26,48,48.92,1457639
"2012-11-08",46.3,46.63,45.96,45.98,1201662
"2012-11-15",45.74,46.59,45.73,46.05,1428926
"2012-11-29",47.53,48.66,47.49,48.13,1785481
"2012-12-06",49.49,49.74,49,49.42,1498214
"2012-12-13",49.32,49.32,48.37,48.41,1027147
"2012-12-20",51.53,51.63,50.88,51.23,3651033
"2012-12-27",50.1,50.16,49.12,49.86,971887
"2013-01-03",51.67,52.48,51.63,51.98,2874182
"2013-01-10",53.55,53.55,52.92,53.08,2455938
"2013-01-17",53.38,53.52,53.01,53.45,2097475
"2013-01-24",53.44,54.48,53.38,53.96,2068493
"2013-01-31",54.8,55.04,54.54,54.82,1812657
"2013-02-07",47.84,47.87,45.73,46.99,9666377
"2013-02-14",46.88,47.49,46.5,46.68,2915537
"2013-02-21",47.33,47.81,47.01,47.47,1814668
"2013-02-28",48.29,48.51,47.88,48.06,2771268
"2013-03-07",50.37,50.56,50.07,50.23,1340981
"2013-03-14",51.74,51.97,51.4,51.5,931292
"2013-03-21",51.38,51.92,51.04,51.32,811115
"2013-03-28",52.56,53.37,52.25,53.32,1511774
"2013-04-04",52.16,53.3,52,52.8,983290
"2013-04-11",54.06,54.89,53.23,54.36,1197819
"2013-04-18",54.72,54.98,53.87,54.23,1203087
"2013-04-25",54.41,55.3,54.36,55.05,1120594
"2013-05-02",60.47,61.06,60.15,60.55,4352473
"2013-05-09",63.84,64.36,63.84,64.17,1947214
"2013-05-16",67.16,67.6,66.72,66.81,988516
"2013-05-23",66.16,67.19,65.8,66.57,1296111
"2013-05-30",67.08,68.06,66.79,67.6,941479
"2013-06-06",63.8,65.03,63.37,64.96,1441875
"2013-06-13",61.04,63.08,60.51,62.86,1638087
"2013-06-20",60.36,60.84,58.66,58.8,1990528
"2013-06-27",59.3,61.01,58.82,60.83,1672131
"2013-07-11",61.25,62.25,60.92,61.34,2107550
"2013-07-18",60.88,61.87,60.81,61.75,985151
"2013-07-25",64.37,64.86,63.78,64.56,1510056
"2013-08-01",68.31,69.29,68.17,68.91,1215307
"2013-08-08",70.88,70.88,68.79,69.32,1434485
"2013-08-15",64.75,64.93,63.7,64.35,1825694
"2013-08-22",63.46,65.69,63.35,65.19,810079
"2013-08-29",63.42,64.65,63.42,64.06,577814
"2013-09-05",64,64.46,63.54,63.62,942701
"2013-09-12",67.86,67.97,67.35,67.51,945862
"2013-09-19",71.42,71.74,71.06,71.49,1299398
"2013-09-26",70.58,70.9,69.8,70.76,857869
"2013-10-03",70.67,71.26,69.58,70.02,735235
"2013-10-10",70.88,71.91,70.72,71.44,1114343
"2013-10-17",71.44,72,71.07,71.96,800759
"2013-10-24",72.06,73.2,72.06,73.2,1131842
"2013-10-31",71.24,71.61,70.31,70.66,1357298
"2013-11-07",72.29,72.77,71.18,71.38,846539
"2013-11-14",69.98,74.04,69.98,73.94,500299
"2013-11-21",74.24,74.94,74.14,74.31,960804
"2013-12-05",72.7,73.46,72.3,72.39,1046873
"2013-12-12",72.26,72.93,71.64,71.71,810545
"2013-12-19",74.74,75.18,74.03,74.2,719119
"2013-12-26",77.41,77.81,76.71,77.68,326692
"2014-01-02",77.86,77.96,76.42,77.32,950687
"2014-01-09",76.46,76.6,75.48,76.56,957632
"2014-01-16",76.4,76.7,75.47,76.1,654470
"2014-01-23",75.96,76.18,75.39,75.47,736891
"2014-01-30",73.86,75.38,73.86,75.17,641415
"2014-02-06",74.7,77.58,74.62,76.77,1238840
"2014-02-13",78.89,79.67,78.89,79.45,952802
"2014-02-20",79.33,79.5,78.51,78.93,1306547
"2014-02-27",78.87,79.18,78.44,78.89,1102025
"2014-03-06",82.12,82.95,82.06,82.85,840477
"2014-03-13",83.48,83.58,79.18,79.46,2326346
"2014-03-20",80.95,81.48,79.24,80.93,1110712
"2014-03-27",78.18,78.69,77.38,77.76,1275243
"2014-04-03",80.56,81.12,79.92,80.19,717665
"2014-04-10",79.66,79.89,76.6,76.6,1077046
"2014-04-17",77.66,79.44,77.62,78.85,944022
"2014-04-24",81.51,81.67,79.31,79.65,997523
"2014-05-01",78.31,78.72,77.54,78.26,960286
"2014-05-08",82.01,83.26,81.57,81.82,1128405
"2014-05-15",82.61,82.74,80.53,81.07,2051240
"2014-05-22",81.5,82.05,81.48,81.89,1032907
"2014-05-29",86,86.04,84.98,85.09,1641345
"2014-06-05",85.58,86.48,85.34,86.32,562296
"2014-06-12",85.41,86.77,85.41,85.83,524051
"2014-06-19",88.41,89.08,84.54,85.7,610313
"2014-06-26",86.67,87.06,85.95,86.99,641009
"2014-07-03",89.52,90.12,89.23,90.02,488308
"2014-07-10",87.59,88.65,87.52,88.5,574923
"2014-07-17",89.87,90.43,89.05,89.15,520539
"2014-07-24",91.75,92.54,90.81,92.48,883608
"2014-07-31",89.45,89.66,86.89,87,1201483
"2014-08-07",87.8,87.97,86.67,86.93,1015215
"2014-08-14",91.2,91.84,90.96,91.7,729740
"2014-08-21",91.99,92.85,91.91,92.55,625554
"2014-08-28",92.6,93.1,92.1,92.73,449596
"2014-09-04",93.48,94.64,92.97,94.11,727519
"2014-09-11",95.36,96.02,95.3,95.78,794545
"2014-09-18",96.01,96.01,94.94,95.25,1329792
"2014-09-25",94.26,94.28,92.38,92.38,928738
"2014-10-02",92.53,92.94,92.01,92.43,1275323
"2014-10-09",96.35,96.39,94.25,94.67,1790794
"2014-10-16",89.68,90.95,89.04,90.19,1428770
"2014-10-23",95.24,95.3,94.03,94.55,1245659
"2014-10-30",97.24,98.56,96.55,98.1,733033
"2014-11-06",99.35,99.83,98.84,98.99,979907
"2014-11-13",100.25,101.11,100.18,100.9,1224214
"2014-11-20",100.03,100.7,99.86,100.45,624506
"2014-12-04",99.79,100.32,98.77,98.97,1329613
"2014-12-11",96.34,97.08,95.98,96.17,1505459
"2014-12-18",98.01,98.03,96.83,97.75,1210541
"2015-01-08",94.92,95.96,94.92,95.36,1187549
"2015-01-15",93.92,94.37,92.65,92.67,1461486
"2015-01-22",93.25,94.49,91.95,94.36,1604294
"2015-01-29",90.51,92.59,90.33,92.35,1193035
"2015-02-05",92.48,93.36,92.02,93.27,957474
"2015-02-12",97.78,98.55,97.76,98.21,1328128
"2015-02-19",97.74,98.14,97.02,97.1,781190
"2015-02-26",97.31,97.45,96.39,96.87,780459
"2015-03-05",95.04,96.32,95,96.12,1091939
"2015-03-12",96.26,98.33,96.19,98.3,1073735
"2015-03-19",102.79,103.39,101.95,102.47,1218777
"2015-03-26",101.7,102.4,101.16,102.09,1077068
"2015-04-02",104.15,105.7,103.92,104.7,793481
"2015-04-09",105.06,106.11,104.49,105.85,487662
"2015-04-16",105.66,105.97,104.94,105.22,622701
"2015-04-23",106.78,107.99,106.33,107.76,513586
"2015-04-30",107.3,107.84,106.56,107.52,1473100
"2015-05-07",106.46,107.11,105.96,107.01,1002305
"2015-05-14",107.7,108.91,107.18,108.73,913116
"2015-05-21",109.94,110.24,108.84,109.89,746324
"2015-05-28",108.59,109.27,108.18,108.83,530099
"2015-06-04",108.76,109.17,107.5,107.65,622445
"2015-06-11",107.82,108.77,107.4,108.75,882703
"2015-06-18",108.84,110.29,108.29,110,1698788
"2015-06-25",110.04,110.31,109.23,109.24,470860
"2015-07-02",109.29,109.31,108.12,108.71,565972
"2015-07-09",109.33,110,107.94,108.38,929842
"2015-07-16",112.99,113.33,112.7,112.75,853380
"2015-07-23",112.46,112.74,111.23,111.76,869053
"2015-07-30",110.21,111.76,109.73,111.53,643481
"2015-08-06",111.87,111.87,110.14,110.31,573239
"2015-08-13",109.66,110.61,109.24,110.18,711461
"2015-08-20",109.53,109.78,107.54,107.57,785959
"2015-08-27",103.55,104.86,102.76,104.57,1259327
"2015-09-03",100.84,102.34,100.61,100.94,1020902
"2015-09-10",99.86,101.49,99.86,100.82,1075488
"2015-09-17",103.07,103.91,102,102.31,864958
"2015-09-24",100.1,100.38,98.71,99.94,1099831
"2015-10-01",98.04,98.76,96.23,97.49,1457963
"2015-10-08",99.22,99.6,98.07,98.38,1922781
"2015-10-15",98.59,100.05,97.65,100.04,699730
"2015-10-22",98.09,99.57,98.07,99.02,799605
"2015-10-29",100.14,101.8,99.61,101.53,930591
"2015-11-05",100.11,101.92,99.39,101.6,1239267
"2015-11-12",99.87,101.11,99.03,99.4,2966025
"2015-11-19",103.26,103.68,102.7,103.43,995590
"2015-12-03",103.13,103.35,101.09,101.36,1980457
"2015-12-10",99.7,100.26,99.38,99.53,670922
"2015-12-17",99.58,100.39,97.82,97.88,923067
"2015-12-24",99.4,100.66,99.24,100.11,240221
"2015-12-31",100.8,101.86,100.32,100.34,595988
"2016-01-07",94.07,94.61,92.1,92.72,2793005
"2016-01-14",87.61,88.8,86.37,88.12,3387270
"2016-01-21",86.57,87.61,85.59,85.8,1295204
"2016-01-28",88.77,89.1,86.79,87.13,1357915
"2016-02-04",85.44,87.5,85.44,87.11,2632148
"2016-02-11",78.23,79.87,77.76,78.45,2253164
"2016-02-18",85.65,86.2,84.64,85.73,1155925
"2016-02-25",86.72,88.67,86.72,88.64,1238898
"2016-03-03",91.99,95.02,90.91,94.86,2190820
"2016-03-10",93.14,94.79,92.24,93.13,1555293
