"","MDT.Open","MDT.High","MDT.Low","MDT.Close","MDT.Volume"
"2015-01-29",73.12,73.38,72.11,73.01,11889863
"2015-02-05",75.13,75.46,74.71,75.32,5737695
"2015-02-12",74.81,75.04,74.3,74.93,5542758
"2015-02-19",78.59,78.59,77.85,78.13,6900528
"2015-02-26",78.74,78.99,78.38,78.81,5413486
"2015-03-05",78.38,78.96,78.04,78.5,5780484
"2015-03-12",75.89,76.83,75.8,76.76,4014435
"2015-03-19",78.27,78.27,77.27,77.66,4793989
"2015-03-26",76.94,77.47,76.51,76.61,5591779
"2015-04-02",76.01,77.12,75.83,76.87,5113560
"2015-04-09",76.34,77.2,76.08,77.13,4888867
"2015-04-16",77.78,77.98,76.95,77.02,4201189
"2015-04-23",77.76,78.97,77.55,78.5,4702394
"2015-04-30",75.26,75.63,74.12,74.45,6331538
"2015-05-07",74.15,74.81,74.09,74.6,5003741
"2015-05-14",75.35,76.56,75.16,76.26,3877240
"2015-05-21",78.68,78.7,78.29,78.41,3537645
"2015-05-28",77.28,77.84,76.94,77.21,4065912
"2015-06-04",76.36,76.83,75.64,76.04,8645611
"2015-06-11",76.4,76.62,76.08,76.22,5205400
"2015-06-18",75.76,76.94,75.76,76.72,4598214
"2015-06-25",75.55,76.49,75.2,75.48,5506285
"2015-07-02",74.26,74.35,73.48,73.81,4589462
"2015-07-09",73.81,74.2,73.09,73.09,7005613
"2015-07-16",76.62,77.05,76.57,76.8,4847274
"2015-07-23",76.74,77.18,76.45,76.8,3647885
"2015-07-30",77.65,78.41,77.4,78.28,3842567
"2015-08-06",78.6,78.8,77.13,77.41,4263268
"2015-08-13",77.32,77.81,76.99,77.48,2989722
"2015-08-20",76.61,77.01,76.44,76.49,5062001
"2015-08-27",73.8,73.86,71.94,73.52,8586483
"2015-09-03",72.15,72.5,69.83,69.98,9500931
"2015-09-10",69.67,70.71,69.21,70.01,6211590
"2015-09-17",70.23,71.85,70.13,70.81,5895706
"2015-09-24",68.58,68.88,67.86,68.38,6803789
"2015-10-01",66.86,68.48,66.35,68.4,10971170
"2015-10-08",70.34,72.18,70.12,72.05,6663141
"2015-10-15",72.45,73.45,71.72,73.43,5925582
"2015-10-22",73.72,73.84,72.65,73.07,5641319
"2015-10-29",73.48,74.12,73.26,73.76,3808923
"2015-11-05",76,76.43,75.59,76.17,3776409
"2015-11-12",75.62,75.62,74.19,74.21,5027226
"2015-11-19",77.37,77.49,75.68,75.75,6832549
"2015-12-03",76.69,78.61,76.41,76.67,11676750
"2015-12-10",77.72,78.28,77.19,77.44,4995082
"2015-12-17",78.5,78.92,77.87,77.9,4991587
"2015-12-24",77.51,78.07,77.51,77.63,1453116
"2015-12-31",77.06,77.67,76.84,76.92,2967387
"2016-01-07",74.63,75.64,74.36,74.41,6243672
"2016-01-14",74.83,75.77,74.29,74.79,8373079
"2016-01-21",74.77,75.63,73.6,74.6,7603039
"2016-01-28",75.96,76.17,73.62,73.91,6627255
"2016-02-04",76.1,76.26,75.01,76.2,5371590
"2016-02-11",73.21,73.71,72.12,72.62,5529110
"2016-02-18",75.53,75.92,74.79,74.97,4359001
"2016-02-25",76.68,77.7,76.31,77.66,4595150
"2016-03-03",74.34,74.97,73.64,74.92,5290008
"2016-03-10",75.65,76.8,75.36,76.27,3955718
"2016-03-17",76.91,77.06,74.85,75.5,6610071
"2016-03-24",74.02,74.23,73.47,73.97,3883640
"2016-03-31",75.42,75.55,74.83,75,4527254
"2016-04-07",77.31,77.46,75.74,76.14,4961224
"2016-04-14",77.5,77.79,77.02,77.37,3620649
"2016-04-21",78.58,79,78.05,78.52,4213397
"2016-04-28",78.97,80.74,78.86,79.78,7245348
"2016-05-05",79.14,79.91,79.1,79.5,5922889
"2016-05-12",81.17,81.67,80.82,81.34,4716066
"2016-05-19",80.43,80.67,79.64,80,5094382
"2016-05-26",81.01,81.4,80.9,81.18,4011519
"2016-06-02",80.51,83.29,80.36,82.99,8854478
"2016-06-09",84.5,85.87,84.47,85.78,7088795
"2016-06-16",84.23,84.75,83.59,84.59,4014003
"2016-06-23",85.1,85.77,84.65,85.77,5672501
"2016-06-30",85.75,86.91,85.71,86.77,6355632
"2016-07-07",87.17,88.1,87.13,87.49,4697510
"2016-07-14",89.19,89.24,88.66,88.83,3675967
"2016-07-21",88.42,88.66,87.84,87.94,4003074
"2016-07-28",87.42,88.18,86.96,87.42,2941265
"2016-08-04",86.57,86.95,86.16,86.76,3560925
"2016-08-11",87.32,87.94,87.11,87.8,2919592
"2016-08-18",87,87.22,86.38,87.08,4131994
"2016-08-25",85.99,86.32,84.28,85.39,7285270
"2016-09-01",87.09,87.21,86.32,86.98,3116760
"2016-09-08",85.77,86.63,85.77,86.26,4187541
"2016-09-15",84.66,86,84.38,85.66,4703058
