"","MHK.Open","MHK.High","MHK.Low","MHK.Close","MHK.Volume"
"2011-09-15",46.01,46.65,44.76,45.37,797751
"2011-09-22",40.86,41.13,39.93,40.95,1175058
"2011-09-29",44.91,45.49,43.77,45,790023
"2011-10-06",46.19,47.91,45.8,47.88,445332
"2011-10-13",48.57,49.35,47.89,49.13,732624
"2011-10-20",50.99,52.31,50.54,51.95,594273
"2011-10-27",56.3,57.06,55.33,55.82,770455
"2011-11-03",52.98,53.11,50.72,52.38,824951
"2011-11-10",52.36,52.87,51.59,52.21,498621
"2011-11-17",52.5,53.39,51.64,52.05,384190
"2011-12-01",54.69,55.93,54.18,54.79,467541
"2011-12-08",56.86,57.06,55.25,55.62,600414
"2011-12-15",52.97,53.8,52.63,53.43,371380
"2011-12-22",57.35,60.62,57.16,60.17,881288
"2011-12-29",60.67,61.1,59.74,60.67,566795
"2012-01-05",59.26,60.1,57.62,59.97,1562601
"2012-01-12",63.14,63.47,61.75,62.97,329292
"2012-01-19",65.14,65.5,64.03,65.18,608517
"2012-01-26",63.91,64.24,62.6,63.36,455885
"2012-02-02",63.52,64.24,63.07,63.4,380884
"2012-02-09",66.05,66.48,64.95,66.25,436044
"2012-02-16",66,66.79,65.14,65.51,410907
"2012-02-23",64.99,65.24,63.33,64.01,1520818
"2012-03-01",65.1,65.68,62.81,62.83,678123
"2012-03-08",61.14,62.86,60.95,62.56,471080
"2012-03-15",65.9,67.44,65.6,67.22,400440
"2012-03-22",65.16,65.94,64.61,65.76,442755
"2012-03-29",66.45,66.51,64.88,66.31,554322
"2012-04-05",66.38,67,66.32,66.61,338668
"2012-04-12",62.3,63.42,62.12,63.12,548072
"2012-04-19",63.24,63.55,61.8,62.74,539033
"2012-04-26",64.63,67.19,64.5,67.04,1073163
"2012-05-03",69.88,70.4,68.2,68.5,764689
"2012-05-10",72.74,73.94,72.32,73.71,1601985
"2012-05-17",71.21,71.21,67.84,67.93,674762
"2012-05-24",70.02,70.54,69.02,70.04,526751
"2012-05-31",68,68.63,66.42,68.1,676869
"2012-06-07",67.71,68.45,66.66,67.13,485916
"2012-06-14",65.53,66.77,64.84,66.31,350194
"2012-06-21",68,68.32,65.26,65.32,433420
"2012-06-28",65.38,66.94,64.83,66.93,274463
"2012-07-05",69.88,70.5,69.19,69.93,393207
"2012-07-12",66.99,69.42,66.14,69,534145
"2012-07-19",71.75,72.75,69.8,72.55,716278
"2012-07-26",69.87,70.93,69.46,70.65,685828
"2012-08-02",64.69,66.08,64.22,66.02,891691
"2012-08-09",71.29,73.2,70.94,72.42,379029
"2012-08-16",72.65,74.44,72.34,74.18,628216
"2012-08-23",72.23,73.74,71.59,71.99,620450
"2012-08-30",71.77,72.35,71.01,72.05,204031
"2012-09-06",73.6,74.59,73.41,74.21,598322
"2012-09-13",74.47,77.76,73.83,77.6,713468
"2012-09-20",78.81,80,78.23,79.59,504609
"2012-09-27",78.74,79.85,77.71,79.53,386202
"2012-10-04",80.83,81.26,80.1,80.45,352937
"2012-10-11",79.46,79.46,77.88,78.3,356224
"2012-10-18",81.63,82.61,81.31,82.42,377933
"2012-10-25",82.32,82.95,80.04,80.99,324435
"2012-11-01",85,86.64,83.67,84.9,1006477
"2012-11-08",85.72,86.56,85.32,85.76,378776
"2012-11-15",82.21,82.8,79.82,80.27,1162425
"2012-11-29",85.38,86.7,85.34,85.95,489982
"2012-12-06",83.18,83.76,81.89,83.38,978019
"2012-12-13",81.84,82.35,80.63,81.47,294940
"2012-12-20",84.57,87.93,84.46,87.04,886780
"2012-12-27",89.65,90.12,88.41,89.82,741726
"2013-01-03",93,94.15,92.66,93.27,808982
"2013-01-10",95,95,93.38,94.43,912358
"2013-01-17",95.11,97.05,94.69,96.88,839761
"2013-01-24",98.4,101.2,98.4,100.7,1208862
"2013-01-31",101.5,102.34,100.63,101.66,630933
"2013-02-07",103.17,103.17,100.52,101.74,720971
"2013-02-14",107.34,108.8,106.86,107.05,448157
"2013-02-21",104,105,100.96,102.21,1759249
"2013-02-28",106.13,107.96,105.71,106.02,769506
"2013-03-07",111.28,112.25,110.77,111.96,621263
"2013-03-14",112.74,113.54,112.39,113.52,752669
"2013-03-21",113.38,114.06,110.88,111.29,548245
"2013-03-28",112.67,114.08,112.35,113.12,498174
"2013-04-04",109.66,110.5,108.07,108.73,584816
"2013-04-11",114.45,117.22,114.05,116.63,653297
"2013-04-18",110.94,111.23,108.32,108.58,361244
"2013-04-25",114.34,115.91,113.42,113.75,461252
"2013-05-02",108.95,109.97,106.39,108.54,1663830
"2013-05-09",116.57,118.43,116.57,117.66,954185
"2013-05-16",119,119.64,116.75,116.85,577729
"2013-05-23",112.76,115.52,111.81,114.25,622119
"2013-05-30",113.87,114.98,112.91,113.35,889795
"2013-06-06",106.47,109.9,106,109.85,762588
"2013-06-13",106.34,111.6,106.34,111.16,632040
"2013-06-20",112.9,113.35,108.89,109.89,937355
"2013-06-27",111.73,114.01,110.61,113.67,486421
"2013-07-11",116.42,117.24,114.52,116.46,655567
"2013-07-18",117.75,119.19,116.83,117.6,1096015
"2013-07-25",114.2,115.84,112.58,115.02,926244
"2013-08-01",119.98,123.06,119.98,121.29,1114460
"2013-08-08",128.73,129.2,127.06,128.47,515399
"2013-08-15",121.69,122.54,120.16,122.09,802638
"2013-08-22",123.42,126.24,123.11,125.33,590252
"2013-08-29",119.68,122.11,119.06,120.07,1168555
"2013-09-05",117.77,118.83,117.11,117.19,603510
"2013-09-12",127.19,129.9,126.53,126.87,727182
"2013-09-19",133.85,134.75,132.42,133.52,761388
"2013-09-26",129.76,130.44,127.75,129.54,402998
"2013-10-03",133.57,134.27,129.88,130.87,752721
"2013-10-10",127.14,128.88,126.91,128.88,665725
"2013-10-17",132.06,125.59,119.59,124.96,1704828
"2013-10-24",127.97,132.26,127.94,131.73,1053241
"2013-10-31",133.16,133.97,130.79,132.42,1384169
"2013-11-07",135.88,136.84,133.51,133.62,735054
"2013-11-14",139.51,143.94,139.34,142.46,735210
"2013-11-21",139.22,143.78,139.06,143.58,598183
"2013-12-05",135.64,137.58,134.04,137.47,717041
"2013-12-12",141.43,141.86,139.93,140.64,1341372
"2013-12-19",145.53,146,142.56,143.5,843281
"2013-12-26",146.79,147.33,145.61,146.33,448075
"2014-01-02",148.72,149.66,147.78,149.11,676997
"2014-01-09",148.12,148.31,145.58,146.03,751083
"2014-01-16",149.07,150.2,148.03,149.58,923725
"2014-01-23",155.48,155.48,145.8,147.85,937974
"2014-01-30",143.55,143.7,139.75,141.14,1136364
"2014-02-06",141.74,146.52,141.7,145.56,957659
"2014-02-13",143.49,146.03,142.94,145.68,1043285
"2014-02-20",143.78,146.05,142.88,145.94,1451400
"2014-02-27",142.92,144.57,142.47,143.78,1018605
"2014-03-06",142.91,144.77,142.91,144.51,683743
