"","MKC.Open","MKC.High","MKC.Low","MKC.Close","MKC.Volume"
"2011-09-15",46.65,46.93,46.28,46.93,427928
"2011-09-22",44.72,45.83,43.62,45.65,1745230
"2011-09-29",46.86,46.89,45.65,46.33,995586
"2011-10-06",46.09,46.71,45.73,46.69,498385
"2011-10-13",47.08,47.41,46.59,46.73,516623
"2011-10-20",48.42,48.63,47.97,48.59,569105
"2011-10-27",49.7,49.78,49.14,49.46,627202
"2011-11-03",49.03,50,48.98,49.91,873895
"2011-11-10",48.84,48.96,48.32,48.82,417096
"2011-11-17",48.63,48.97,47.97,48.21,577852
"2011-12-01",48.54,49.12,48.44,48.54,751532
"2011-12-08",49.28,49.35,48.87,48.97,655727
"2011-12-15",49.27,49.44,49.05,49.33,543133
"2011-12-22",50.33,50.33,49.74,49.89,558484
"2011-12-29",50.42,50.8,50.4,50.79,227920
"2012-01-05",50.14,50.57,50.04,50.38,525422
"2012-01-12",51.28,51.42,51.04,51.24,263387
"2012-01-19",52,52.21,51.49,52.07,469579
"2012-01-26",50.5,51.58,50.48,51.07,892121
"2012-02-02",51,51.64,50.98,51.35,581198
"2012-02-09",50.69,50.78,50.29,50.62,659627
"2012-02-16",50.18,50.6,49.87,50.47,533628
"2012-02-23",49.98,50.23,49.89,50.13,499885
"2012-03-01",50.45,50.7,50.26,50.43,690165
"2012-03-08",51,51,50.62,50.78,406459
"2012-03-15",51.35,51.71,51.33,51.68,361837
"2012-03-22",51.58,52.16,51.52,52.07,416430
"2012-03-29",54.12,54.36,53.93,54.1,1227350
"2012-04-05",54.25,54.49,53.93,54.4,806812
"2012-04-12",53.96,54.01,53.62,54.01,413155
"2012-04-19",54.56,54.99,54.38,54.94,525388
"2012-04-26",55.1,55.75,54.96,55.58,436158
"2012-05-03",55.74,56.06,55.57,55.72,400204
"2012-05-10",56.55,57.13,56.42,56.88,515453
"2012-05-17",57.48,57.58,56.71,56.71,382631
"2012-05-24",56.61,57.07,56.55,56.82,585955
"2012-05-31",56.47,56.82,56.17,56.36,785685
"2012-06-07",55.85,56.19,55.37,55.52,2294974
"2012-06-14",56.38,56.78,56.31,56.64,403280
"2012-06-21",58.87,58.93,57.69,57.74,525977
"2012-06-28",58.68,59.18,58.44,59.06,1046340
"2012-07-05",61.36,61.69,61.07,61.67,994498
"2012-07-12",60.56,60.9,60.26,60.56,696555
"2012-07-19",60.94,61.42,60.77,61.27,719532
"2012-07-26",60.23,60.82,60.14,60.62,378741
"2012-08-02",60.28,60.36,59.5,60.05,345339
"2012-08-09",60.15,60.28,59.73,59.97,241526
"2012-08-16",59.63,59.84,59.29,59.84,620793
"2012-08-23",60.32,60.65,60.16,60.49,283348
"2012-08-30",61.28,61.41,60.88,60.96,272673
"2012-09-06",62.85,63.66,62.5,63.41,685725
"2012-09-13",62.24,63.3,62.14,63.22,438173
"2012-09-20",63.2,63.85,63.15,63.37,454492
"2012-09-27",61.8,62.4,60.06,61.75,1216286
"2012-10-04",62.9,63.07,62.53,62.71,293791
"2012-10-11",62.12,62.36,61.74,62,331380
"2012-10-18",62.65,62.99,62.37,62.84,281009
"2012-10-25",61.95,62.39,61.66,61.94,442030
"2012-11-01",61.63,61.8,61.15,61.2,459776
"2012-11-08",61.38,62.16,61.16,61.85,884638
"2012-11-15",62.64,63.53,62.48,63.46,894185
"2012-11-29",64.53,64.95,64.18,64.6,1349263
"2012-12-06",64.26,64.32,63.77,64.09,500303
"2012-12-13",64.87,64.87,64.52,64.68,359157
"2012-12-20",64.62,64.95,64.33,64.8,653845
"2012-12-27",63.34,63.35,62.56,63.11,400137
"2013-01-03",65.06,65.13,64.71,65.01,515533
"2013-01-10",65.52,65.52,64.4,64.68,1051761
"2013-01-17",65.63,66.5,65.56,66.29,477660
"2013-01-24",62.96,63.1,60.82,62.37,3963716
"2013-01-31",62.37,62.61,62.1,62.35,1219962
"2013-02-07",63.38,63.79,63.08,63.37,1076420
"2013-02-14",64.25,64.92,64.23,64.39,1003324
"2013-02-21",65.08,65.78,64.97,65.35,997858
"2013-02-28",67.31,67.66,66.92,67.27,1342332
"2013-03-07",69.96,70.44,69.84,70.15,751478
"2013-03-14",70.51,71.11,70.4,71.01,557153
"2013-03-21",71.66,71.79,71.18,71.26,394914
"2013-03-28",72.98,73.69,72.84,73.55,754112
"2013-04-04",71.98,72.39,71.41,71.68,692770
"2013-04-11",71.32,71.85,71.1,71.25,511068
"2013-04-18",71.45,71.92,71.34,71.46,546581
"2013-04-25",71.79,72.16,71.6,71.74,477032
"2013-05-02",71.81,72.85,71.81,72.67,408613
"2013-05-09",73.05,73.36,72.63,72.83,621104
"2013-05-16",74.58,74.99,74.44,74.51,463649
"2013-05-23",73.65,73.96,73.3,73.71,508474
"2013-05-30",71.95,72.02,71.15,71.17,767356
"2013-06-06",69,69.7,68.68,69.7,912906
"2013-06-13",71.51,72.31,71,72.13,523760
"2013-06-20",71.59,71.71,69.9,70,824973
"2013-06-27",71,71.94,69.6,70.59,1204228
"2013-07-11",71.34,72.21,71.13,72.04,829176
"2013-07-18",71.94,72.42,71.69,72.25,406299
"2013-07-25",71.41,72.29,71.36,72.21,330174
"2013-08-01",72.06,72.64,71.97,72.54,520075
"2013-08-08",72.69,73.34,72.41,73.11,347559
"2013-08-15",71.8,71.8,70.67,70.84,355836
"2013-08-22",69.96,70.61,69.58,70.31,210596
"2013-08-29",66.98,67.74,66.67,67.61,418140
