"","MMC.Open","MMC.High","MMC.Low","MMC.Close","MMC.Volume"
"2011-09-15",28.56,28.71,28.17,28.68,3013393
"2011-09-22",26.5,26.74,26.13,26.5,4962439
"2011-09-29",27.12,27.45,26.67,27.09,4013693
"2011-10-06",26.91,27.3,26.67,27.17,4914300
"2011-10-13",27.32,28.21,27.12,27.99,3776448
"2011-10-20",28.29,29.05,28.12,29,4439207
"2011-10-27",31.26,31.93,31.11,31.79,4156074
"2011-11-03",31.28,31.28,30.58,30.77,3732025
"2011-11-10",30.53,30.64,30.2,30.46,2325564
"2011-11-17",29.73,29.85,29.04,29.27,3852892
"2011-12-01",30.18,30.5,29.99,30.37,2724460
"2011-12-08",30.85,30.87,30.54,30.59,4356521
"2011-12-15",31,31,30.5,30.51,2887132
"2011-12-22",31.2,31.38,31.03,31.26,1775846
"2011-12-29",31.76,32,31.69,32,1616280
"2012-01-05",31.23,31.33,30.99,31.15,2980114
"2012-01-12",31.27,31.48,31.12,31.37,7930615
"2012-01-19",31.61,31.62,31.17,31.49,3017611
"2012-01-26",31.54,31.8,31.3,31.77,2645906
"2012-02-02",32.22,32.22,31.83,31.92,2233030
"2012-02-09",32.43,32.65,32.31,32.45,2303108
"2012-02-16",31.36,31.73,31.29,31.5,2897650
"2012-02-23",31.7,32.13,31.64,32,2321385
"2012-03-01",31.24,32.05,31.24,32.02,4178978
"2012-03-08",31.95,32.26,31.84,32.25,3677897
"2012-03-15",32.95,33.31,32.73,33.31,2732009
"2012-03-22",32.62,32.74,32.34,32.36,2122156
"2012-03-29",32.93,32.93,32.58,32.77,1974653
"2012-04-05",32.28,32.33,32.09,32.31,1388682
"2012-04-12",31.87,32.06,31.76,32.02,2050729
"2012-04-19",32.61,32.92,32.54,32.89,2600250
"2012-04-26",32.9,33.34,32.69,33.26,2304364
"2012-05-03",34.1,34.43,33.98,34.35,3229108
"2012-05-10",33.66,33.7,33.3,33.31,5057061
"2012-05-17",32.31,32.48,31.96,31.96,2406110
"2012-05-24",32.29,32.49,32.08,32.47,2190015
"2012-05-31",31.92,32.17,31.67,31.98,4672895
"2012-06-07",32.8,32.88,32.11,32.16,6190961
"2012-06-14",31.69,31.96,31.59,31.86,1631436
"2012-06-21",31.49,31.51,30.8,30.8,2491607
"2012-06-28",30.9,31.53,30.9,31.52,3141456
"2012-07-05",32.38,32.86,32.22,32.68,3094686
"2012-07-12",31.84,32.04,31.63,31.88,1623889
"2012-07-19",32.71,32.91,32.47,32.8,3671126
"2012-07-26",32.22,32.48,32.03,32.28,1612114
"2012-08-02",32.85,33.09,32.66,32.94,1974822
"2012-08-09",33.95,34.12,33.63,33.84,1997085
"2012-08-16",33.96,34.24,33.87,34.16,1987355
"2012-08-23",33.76,33.89,33.64,33.74,1583109
"2012-08-30",33.83,33.94,33.55,33.82,1134307
"2012-09-06",34.01,34.38,34.01,34.35,2150769
"2012-09-13",34.05,34.73,33.9,34.68,2679582
"2012-09-20",34.34,34.37,34.08,34.37,1646015
"2012-09-27",33.99,34.01,33.65,33.81,3021472
"2012-10-04",34.4,34.56,34.27,34.55,1899394
"2012-10-11",34.41,34.5,34.32,34.38,1586729
"2012-10-18",34.91,35.19,34.91,34.98,2331842
"2012-10-25",33.43,33.61,33.09,33.39,2257013
"2012-11-01",34.02,34.63,34,34.62,2492992
"2012-11-08",34.39,34.65,34.14,34.14,1858610
"2012-11-15",34.11,34.4,33.96,34.28,2990317
"2012-11-29",35.31,35.41,35.14,35.2,2225508
"2012-12-06",35.22,35.24,35.01,35.11,1889377
"2012-12-13",34.73,34.83,34.42,34.44,1692670
"2012-12-20",34.7,35.28,34.67,35.26,2968662
"2012-12-27",34.61,34.74,34.2,34.54,2070700
"2013-01-03",35.47,35.59,35.25,35.49,2402110
"2013-01-10",35.08,35.13,34.86,35.13,2034128
"2013-01-17",34.89,34.98,34.73,34.91,2722361
"2013-01-24",35.02,35.13,34.8,34.88,3110389
"2013-01-31",34.91,35.55,34.91,35.48,11888970
"2013-02-07",36.8,36.83,36.29,36.56,3585005
"2013-02-14",36.1,36.3,36,36.07,3421396
"2013-02-21",36.11,36.37,36.02,36.28,3161438
"2013-02-28",36.72,37.24,36.7,37.14,6424367
"2013-03-07",37.16,37.23,36.91,36.96,2718305
"2013-03-14",37,37.18,36.94,37.05,2712271
"2013-03-21",37.33,37.42,37.08,37.13,1988951
"2013-03-28",37.98,38,37.76,37.97,1961340
"2013-04-04",37.4,37.75,37.38,37.62,2070420
"2013-04-11",37.62,38.63,37.61,38.46,4990476
"2013-04-18",37.68,37.79,37,37,3333014
"2013-04-25",37.51,37.62,37.32,37.58,2418528
"2013-05-02",37.82,38.85,37.46,38.57,2947894
"2013-05-09",39.58,39.85,39.3,39.4,2302953
"2013-05-16",40.61,40.95,40.58,40.79,2724917
"2013-05-23",40.55,40.91,40.38,40.47,2536714
"2013-05-30",40.18,40.74,40.17,40.52,1626399
"2013-06-06",37.47,39.98,37.47,39.96,2307600
"2013-06-13",39.81,40.38,39.59,40.31,1992601
"2013-06-20",39.19,39.4,38.83,38.9,3129063
"2013-06-27",40.09,40.33,39.87,40.29,2264897
"2013-07-11",41.26,41.88,41.24,41.82,2668137
"2013-07-18",41.51,41.98,41.47,41.83,1474096
"2013-07-25",41.49,41.9,41.43,41.84,1971306
"2013-08-01",42.15,42.64,42.14,42.51,1444032
"2013-08-08",41.75,41.97,41.48,41.94,1763066
"2013-08-15",41.8,42,41.46,41.57,2005880
"2013-08-22",42,42.82,41.93,42.72,2272234
"2013-08-29",41.09,41.82,41.05,41.52,2016039
"2013-09-05",41.49,41.64,41.26,41.36,1920798
"2013-09-12",42.3,42.54,42.16,42.45,2617561
"2013-09-19",43.89,44.32,43.76,44.13,2978708
"2013-09-26",44,44.34,43.79,43.97,2166399
"2013-10-03",43.57,43.61,42.89,43.23,2358111
"2013-10-10",42.72,43.21,42.72,43.13,2981342
"2013-10-17",44.65,45.37,44.63,45.3,3013875
"2013-10-24",46,46.31,45.86,46.03,2491768
"2013-10-31",46.25,46.28,45.8,45.8,2131811
"2013-11-07",46.19,46.44,45.64,45.66,1910930
"2013-11-14",46.55,47,46.51,46.96,1491219
"2013-11-21",47.26,47.81,47.17,47.79,2043568
"2013-12-05",47.09,47.5,47.03,47.2,2084010
"2013-12-12",47.39,47.54,47.24,47.32,1708072
"2013-12-19",47.97,48.2,47.71,48.07,1372270
"2013-12-26",48.38,48.51,48.15,48.33,1322275
"2014-01-02",48.01,48.15,47.61,47.72,1383352
"2014-01-09",48.22,48.58,48.2,48.55,1479401
"2014-01-16",48.3,48.57,48.22,48.54,1517572
"2014-01-23",48.19,48.46,47.58,47.71,1867105
"2014-01-30",46.11,46.41,45.79,46.31,2717395
"2014-02-06",44.72,44.86,44.25,44.4,4096007
"2014-02-13",46.41,47.33,46.41,47.29,1364939
"2014-02-20",47.61,48.15,47.58,48.1,2041185
"2014-02-27",47.51,48.11,47.5,48.01,2530195
"2014-03-06",49,49.35,48.86,49.28,2260506
"2014-03-13",49.39,49.47,49.01,49.32,3877053
"2014-03-20",49.46,49.83,49.29,49.73,2051480
"2014-03-27",48.97,49.11,48.54,48.62,2390496
"2014-04-03",49.93,49.97,49.56,49.81,1262013
"2014-04-10",48.6,48.65,47.22,47.43,2408655
"2014-04-17",48.23,48.54,48.06,48.27,1343191
"2014-04-24",48.68,48.76,48.35,48.5,2100089
"2014-05-01",49.33,49.73,49,49.17,2455002
"2014-05-08",48.72,49.08,48.4,48.57,2555672
"2014-05-15",48.68,48.88,48.17,48.82,2644393
"2014-05-22",49.55,49.68,49.31,49.67,1921243
"2014-05-29",49.95,50.07,49.79,50.03,2256502
"2014-06-05",50.85,50.85,50.44,50.72,1850213
"2014-06-12",51.03,51.05,50.43,50.66,2785958
"2014-06-19",52.13,52.13,51.71,51.84,1916740
"2014-06-26",52.1,52.1,51.64,51.84,1480276
"2014-07-03",51.83,52.05,51.78,52.02,1470817
"2014-07-10",51.3,51.84,51.22,51.75,1814227
"2014-07-17",51.84,52.22,51.64,51.66,1572087
"2014-07-24",52.5,52.76,52.37,52.72,1866247
"2014-07-31",51.62,51.79,50.74,50.77,2378683
"2014-08-07",50.97,51.22,50.6,50.72,1942623
"2014-08-14",51.81,51.95,51.72,51.77,1322714
"2014-08-21",52.31,52.39,52.11,52.27,1419550
"2014-08-28",52.42,53.05,52.34,52.91,1660419
"2014-09-04",52.97,53.37,52.94,53.04,1083009
"2014-09-11",52.55,52.98,52.5,52.77,1653234
"2014-09-18",53.26,53.57,53.22,53.5,1464419
"2014-09-25",52.04,52.37,51.65,51.9,2226599
"2014-10-02",51.69,51.97,51.47,51.71,1464204
"2014-10-09",51.18,51.48,50.07,50.07,4944523
"2014-10-16",48.71,49.84,48.71,49.71,3425468
"2014-10-23",51.66,51.66,51.06,51.17,1591878
"2014-10-30",52.84,53.6,50.78,53.35,1441822
"2014-11-06",55.61,55.91,55.24,55.87,1410979
"2014-11-13",55.98,56.29,55.78,55.96,1367445
"2014-11-20",55.47,55.96,55.47,55.84,972168
"2014-12-04",57.35,58,57.35,58,1978983
"2014-12-11",57.72,58.34,57.23,57.35,2200591
"2014-12-18",57.61,57.83,57.29,57.83,2486695
"2015-01-08",57.05,57.65,57.03,57.5,1264479
"2015-01-15",55.99,56.37,55.56,55.71,1641284
"2015-01-22",56.55,57.22,56.03,57.15,1688379
"2015-01-29",54.4,54.71,54.08,54.66,2423529
"2015-02-05",55.27,55.84,54.9,55.82,2416062
"2015-02-12",56.17,56.56,56.15,56.53,1881303
"2015-02-19",56.89,57.13,56.79,57.09,1739072
"2015-02-26",57.14,57.31,56.81,57.01,2047254
"2015-03-05",56.48,57.03,56.46,56.99,1640263
"2015-03-12",55.98,56.57,55.91,56.47,2880376
"2015-03-19",57.74,57.78,57.14,57.51,1736133
"2015-03-26",55.62,55.98,55.47,55.6,1453604
