"","MMM.Open","MMM.High","MMM.Low","MMM.Close","MMM.Volume"
"2011-09-15",80.18,81.03,79.48,80.63,4222294
"2011-09-22",74.82,74.9,72,72.9,10108456
"2011-09-29",74.97,75.68,73.5,74.53,5633718
"2011-10-06",72.72,74.69,72,74.65,4835766
"2011-10-13",78.27,78.4,76.67,77.8,3726920
"2011-10-20",77.77,79.06,77.11,78.68,4087206
"2011-10-27",79.51,82.33,78.92,81.41,7414366
"2011-11-03",78.86,79.82,77.89,79.64,4338315
"2011-11-10",80.31,81.16,79.65,80.32,4646259
"2011-11-17",81.53,81.67,79.67,80.43,5077871
"2011-12-01",81.25,81.31,80.25,80.3,3867054
"2011-12-08",81.83,82.14,80.26,80.46,3982479
"2011-12-15",79.43,79.78,78.6,78.86,3246908
"2011-12-22",80.27,81.18,79.93,80.97,3164166
"2011-12-29",81.37,82.2,81.19,82.11,1935126
"2012-01-05",83.53,83.87,82.7,83.8,3116399
"2012-01-12",84.37,84.64,83.76,84.28,3650176
"2012-01-19",85.1,86.23,84.92,85.8,3413676
"2012-01-26",87.51,87.99,87,87.58,4898806
"2012-02-02",87.25,87.77,87.06,87.43,2288113
"2012-02-09",87.54,88.18,87.46,88.02,3031603
"2012-02-16",86.99,87.76,86.96,87.65,2548732
"2012-02-23",87.88,88.18,87.27,87.9,3531277
"2012-03-01",87.72,88.22,87.17,87.49,2525767
"2012-03-08",86.06,86.94,85.98,86.71,2603177
"2012-03-15",89,90,88.82,90,3252131
"2012-03-22",88.5,88.78,87.72,88.57,3064169
"2012-03-29",87.88,88.82,87.72,88.77,2207090
"2012-04-05",87.36,87.79,86.97,87.27,2048367
"2012-04-12",85.71,86.93,85.08,86.86,2475912
"2012-04-19",87.19,87.55,86.13,86.8,2564935
"2012-04-26",88.6,89.56,88.51,89.32,2751189
"2012-05-03",89.5,89.85,89.11,89.39,2343521
"2012-05-10",87.14,87.69,86.88,87.13,2828485
"2012-05-17",85.56,85.64,84.25,84.34,2777178
"2012-05-24",84.96,85,84.03,84.98,2322017
"2012-05-31",84.45,85.05,83.87,84.41,3688899
"2012-06-07",85.59,86.19,85.33,85.5,3032459
"2012-06-14",86.31,87.23,86.06,86.86,3334881
"2012-06-21",88.04,88.38,86.62,86.73,3722791
"2012-06-28",86.36,87.25,85.98,87.16,3267026
"2012-07-05",89.2,89.95,88.86,89.57,1924707
"2012-07-12",86.6,86.97,85.34,86.41,4938263
"2012-07-19",90.87,91.2,90.4,90.83,3355083
"2012-07-26",90,92,89.53,90.59,4759333
"2012-08-02",90.11,90.73,89.23,90.08,2949706
"2012-08-09",91.5,92.07,91.33,91.59,1834838
"2012-08-16",92.75,93.87,92.21,93.74,3395145
"2012-08-23",92.65,92.68,91.79,91.98,1823757
"2012-08-30",92.05,92.15,91.3,91.76,1729576
"2012-09-06",92.37,93.38,92.06,93.28,3223309
"2012-09-13",90.92,92.43,90.46,92.06,2734203
"2012-09-20",93.2,93.63,92.91,93.58,2075529
"2012-09-27",92.89,93.21,91.96,92.82,2081502
"2012-10-04",94.05,94.53,93.66,94.43,2531459
"2012-10-11",93.86,93.87,92.78,92.83,2429144
"2012-10-18",94.68,95,94.17,94.74,2538733
"2012-10-25",88.57,88.84,87.41,87.81,4613856
"2012-11-01",87.94,89.4,87.84,89.25,3306723
"2012-11-08",89.11,89.83,88.46,88.55,3006022
"2012-11-15",86.74,88.29,86.74,88.02,3291663
"2012-11-29",91.35,91.97,90.51,90.65,2363932
"2012-12-06",90.8,91.09,90.31,90.95,2027626
"2012-12-13",92.95,93.45,92.16,92.5,2621381
"2012-12-20",93.35,94.14,93.21,94.13,3290140
"2012-12-27",93.11,93.17,91.67,92.64,2360928
"2013-01-03",94.34,94.93,94.13,94.67,2704535
"2013-01-10",96.71,96.99,96.33,96.89,2600506
"2013-01-17",97.79,98.5,97.51,98.08,2804355
"2013-01-24",99.38,99.82,98.8,99.67,3818233
"2013-01-31",100.69,100.95,100.07,100.55,3765334
"2013-02-07",102.65,102.74,101.46,102.22,2277503
"2013-02-14",102.43,103.14,102.22,102.78,2217419
"2013-02-21",102.88,103.14,102.39,102.72,2758728
"2013-02-28",103.6,104.56,103.14,104,2871517
"2013-03-07",104.8,105.16,104.49,104.54,1878552
"2013-03-14",105.33,106.02,105.26,106.02,2207208
"2013-03-21",105.39,105.46,104.72,104.94,1937925
"2013-03-28",105.67,106.34,105.28,106.31,2276617
"2013-04-04",105.82,106.22,105.3,105.82,1771217
"2013-04-11",107.86,108.72,107.86,108.25,2138177
"2013-04-18",105.84,105.97,104.28,104.98,3145693
"2013-04-25",104.46,105.64,103.5,104.88,9027591
"2013-05-02",105.04,106.38,104.91,106.04,3120040
"2013-05-09",108.11,110.51,108.11,109.92,4486923
"2013-05-16",111.21,111.7,110.95,111.07,2686408
"2013-05-23",110.06,110.7,109.58,110.41,2568315
"2013-05-30",111.34,112,111.01,111.42,2599268
"2013-06-06",108.46,108.78,107.64,108.67,2681195
"2013-06-13",108.95,111.44,108.58,111.2,2604119
"2013-06-20",110.71,110.76,108.52,108.78,2975586
"2013-06-27",110.54,110.9,109.97,110.24,2232561
"2013-07-11",114.36,114.75,114.17,114.53,2387481
"2013-07-18",114.61,115.75,114.57,115.48,2945741
"2013-07-25",115.3,116.9,114.84,116.55,3346643
"2013-08-01",118.38,119.26,118.27,118.41,2996921
"2013-08-08",118.27,119,117.64,118.68,2380613
"2013-08-15",116.92,116.92,115.64,115.85,1994897
"2013-08-22",113.61,114.89,113.34,114.67,2002010
"2013-08-29",112.87,113.83,112.58,113.32,1457228
"2013-09-05",114.35,115.12,114.03,114.87,1954308
"2013-09-12",118.8,118.91,118,118.2,2399833
"2013-09-19",121.15,122.27,121.15,121.57,2912330
"2013-09-26",120.6,121,119.92,120.66,2240949
"2013-10-03",118.71,119.11,117.89,118.55,2525828
"2013-10-10",118.6,119.34,118.32,119.34,2688938
"2013-10-17",120.74,122.87,120.71,122.62,2791719
"2013-10-24",122.96,124.96,122.7,123.49,3851061
"2013-10-31",124.97,126.38,124.95,125.85,2331692
"2013-11-07",127.15,127.88,126.23,126.41,3188896
"2013-11-14",128.97,130.12,128.8,129.79,2569809
"2013-11-21",129.69,130.41,129.59,130.35,1576647
"2013-12-05",126.4,127.65,126.22,126.83,2842740
"2013-12-12",126.63,127.39,125.98,126.58,2486721
"2013-12-19",135.06,136.52,134.73,136.41,4081024
"2013-12-26",137.3,138.68,137.03,138.29,2158185
"2014-01-02",138.05,139,137.61,138.13,3053521
"2014-01-09",137.02,137.43,136.2,136.45,2539952
"2014-01-16",137.74,138.5,137.63,138.16,1792677
"2014-01-23",135.64,135.66,133.95,134.71,2720254
"2014-01-30",129.96,129.96,126.53,128.05,4103794
"2014-02-06",127.6,129.2,127.1,128.9,3828431
"2014-02-13",129.29,130.38,128.66,130.14,2850607
"2014-02-20",130.65,132.03,130.05,131.56,2155829
"2014-02-27",132.63,134.58,132,134.34,3123972
"2014-03-06",134.37,134.74,134.02,134.08,2236816
"2014-03-13",133.19,133.67,130.64,130.81,2520817
"2014-03-20",131.15,132.85,130.86,132.43,2577475
"2014-03-27",132.82,133.49,132.18,132.84,2409787
"2014-04-03",136.22,137.19,135.7,136.14,2677221
"2014-04-10",135.73,136.43,133.9,133.97,2857305
"2014-04-17",137.3,138.25,137.25,137.73,2645619
"2014-04-24",136.38,136.99,135,136.65,2847809
"2014-05-01",139.5,141.49,139.12,140.81,3997985
"2014-05-08",140.88,142.12,140.51,140.83,1939407
"2014-05-15",141.56,141.74,140.02,140.98,2388376
"2014-05-22",140.71,140.96,140.26,140.31,1550242
"2014-05-29",141.5,142.43,141.19,142.39,1624138
"2014-06-05",142.76,143.74,141.9,143.71,1542282
"2014-06-12",144.95,144.95,142.78,143.07,1839500
"2014-06-19",144.53,144.72,143.99,144.49,1560479
"2014-06-26",143.75,143.99,142.56,143.73,1490908
"2014-07-03",145.25,145.73,145,145.41,1142241
"2014-07-10",143.5,144.2,143.24,143.89,2070061
"2014-07-17",145.33,145.67,143.45,143.54,2778988
"2014-07-24",145.51,146.43,144.47,145.13,2580146
"2014-07-31",143.33,143.55,140.6,140.89,3572440
"2014-08-07",140.05,140.37,138.96,139.13,1892551
"2014-08-14",142,142.39,141.85,142.34,1586871
"2014-08-21",144.78,144.99,144.35,144.5,1475752
"2014-08-28",143.32,144.12,143.02,143.98,1314062
"2014-09-04",144.21,144.65,143.34,143.61,1549930
"2014-09-11",143.99,144.38,143.6,144.35,1465360
"2014-09-18",145.7,147.06,145.69,146.84,2367082
"2014-09-25",144.41,144.46,142.07,142.48,2764211
"2014-10-02",138.57,139.32,137.95,138.67,3223934
"2014-10-09",141.15,141.5,138.33,138.64,3769325
"2014-10-16",133.42,135.97,132.75,135.05,3497195
"2014-10-23",141.92,147.92,141.92,145.05,7428392
"2014-10-30",150.49,152.4,150,152.1,1836508
"2014-11-06",155.69,156.68,155.21,156.05,2067172
"2014-11-13",158,159.07,157.48,158.35,2375052
"2014-11-20",158.19,159.55,157.84,159.36,1748983
"2014-12-04",162,162.92,160.9,162.26,2165107
"2014-12-11",159.18,160.22,158.42,159.15,2437334
"2014-12-18",162.4,165.3,162,165.3,3359781
"2015-01-08",160.65,163.69,160.52,163.63,3149592
"2015-01-15",160.89,161.44,159.37,159.66,1881406
"2015-01-22",163.26,165.99,162.13,165.89,2225819
"2015-01-29",164.07,166.16,162.88,166.13,2674618
"2015-02-05",165.31,166.59,164.75,166.55,2050539
"2015-02-12",164.93,165.95,164.85,165.91,1615661
"2015-02-19",167.4,167.55,166.58,167.09,1648814
"2015-02-26",168.85,169.98,168.64,169.61,1789370
