"","MO.Open","MO.High","MO.Low","MO.Close","MO.Volume"
"2014-09-15",43.6,44.5,43.37,44.27,11428134
"2014-09-22",45.03,45.45,44.97,45.35,7470481
"2014-09-29",45.63,46.09,45.47,46.04,7478878
"2014-10-06",46.39,46.6,46.06,46.51,6741513
"2014-10-13",46.56,46.93,46.05,46.05,8658110
"2014-10-20",45.72,46.5,45.61,46.42,5280721
"2014-10-27",47.55,47.94,47.49,47.64,4350286
"2014-11-03",48.29,49.07,48.29,48.92,5339784
"2014-11-10",49.92,50.09,49.6,49.87,8124600
"2014-11-17",48.74,49.13,48.7,49.05,6026836
"2014-11-24",49.52,49.76,49.22,49.25,5589054
"2014-12-01",50.13,50.5,50.11,50.3,6171831
"2014-12-08",51.11,51.54,50.82,50.93,5875650
"2014-12-15",49.85,50.12,49.15,49.51,8122023
"2014-12-22",49.98,50.3,49.81,50.2,8944918
"2014-12-29",50.36,50.46,49.98,50.23,4029574
"2015-01-05",48.64,48.99,48.52,48.69,6900488
"2015-01-12",50.79,51.2,50.7,50.92,6369566
"2015-01-26",54.21,54.46,53.85,54.44,6149617
"2015-02-02",53.25,53.84,52.98,53.8,9183582
"2015-02-09",53.16,53.49,52.91,53.16,5816393
"2015-02-23",55.74,55.9,55.47,55.51,5265719
"2015-03-02",56.43,56.7,56.24,56.5,4931427
"2015-03-09",53.72,53.95,53.4,53.83,6262492
"2015-03-16",51.76,52.09,51.7,52.09,7626157
"2015-03-23",51.31,51.97,51.31,51.62,8649536
"2015-03-30",50.71,50.8,50.35,50.53,7215849
"2015-04-06",51.02,51.91,51.01,51.49,7575027
"2015-04-13",52.35,52.47,51.7,51.77,6731107
"2015-04-20",52,52.84,52,52.63,8742737
"2015-04-27",52.14,52.15,51.3,51.4,6451811
"2015-05-04",50.9,50.9,50.45,50.68,4963139
"2015-05-11",52.2,52.31,51.29,51.34,5396488
"2015-05-18",52.61,52.8,51.93,51.95,4937675
"2015-06-01",51.29,51.48,50.85,51.2,3842166
"2015-06-08",48.17,48.51,47.78,48.32,7983769
"2015-06-15",47.71,48.12,47.52,47.54,6494875
"2015-06-22",49.58,49.88,49.54,49.79,5805160
"2015-06-29",49.25,49.51,48.64,48.67,7300125
"2015-07-06",48.88,49.89,48.76,49.87,7862679
"2015-07-13",51.56,51.8,51.26,51.33,8124428
"2015-07-20",53.24,53.84,53.23,53.71,6572635
"2015-07-27",53.53,54.13,53.51,53.95,5979930
"2015-08-03",54.43,54.68,54.1,54.66,4055023
"2015-08-10",55.7,55.98,55.51,55.71,4658444
"2015-08-17",55.5,55.77,55.1,55.67,3382561
"2015-08-24",48.71,51.14,47.41,52.14,17068712
"2015-08-31",53.97,54.12,53.5,53.58,4984574
"2015-09-14",52.72,52.8,52.15,52.45,5550000
"2015-09-21",54.49,54.96,54.28,54.79,3959261
"2015-09-28",54.34,55.5,54.3,54.63,7852423
"2015-10-05",55.24,55.75,55.01,55.73,8512457
"2015-10-12",56.85,57.67,56.81,57.46,5961651
"2015-10-19",58.67,59.72,58.42,59.66,6310459
"2015-10-26",61.36,61.58,60.94,61.4,5091574
"2015-11-02",60.82,60.89,59.99,60.5,5898915
"2015-11-09",56.78,57.38,56.58,57.08,6242742
"2015-11-16",56.28,56.92,56.25,56.77,5120570
"2015-11-23",57.32,57.84,57.14,57.62,4470528
"2015-11-30",57.96,58.5,57.5,57.6,7138277
"2015-12-07",58.59,58.91,58.07,58.27,4262020
"2015-12-14",56.39,57.58,56.17,57.52,6415403
"2015-12-21",57.43,57.72,56.64,57.44,7881727
"2015-12-28",58.11,58.44,57.83,58.27,3376916
"2016-01-04",57.54,57.58,56.56,57.39,6744384
"2016-01-11",58.68,59.74,58.68,59.46,8228819
"2016-01-25",58.49,59.14,58.27,58.4,6644104
"2016-02-01",60.73,61.38,60.7,60.94,5998879
"2016-02-08",59.11,60.42,59,60.12,7876085
"2016-02-22",61.02,61.36,60.71,61.21,4509255
"2016-02-29",61.51,62.24,61.27,61.57,6018988
"2016-03-07",62.86,63.08,61.6,61.81,9968670
"2016-03-14",62.14,62.3,61.57,62.01,4747577
"2016-03-21",61.45,62,61.06,61.72,4074161
"2016-03-28",60.87,61.85,60.85,61.63,4447660
"2016-04-04",63.03,63.3,62.67,63.23,5082303
"2016-04-11",64.11,64.16,63.22,63.31,5865855
"2016-04-18",61.63,62.42,61.58,62.17,4341514
"2016-04-25",60.5,61.23,60.19,61.22,4757256
"2016-05-02",62.83,63.42,62.6,63.12,4717576
"2016-05-09",63.16,63.78,62.92,63.66,6733392
"2016-05-16",64.3,64.93,63.66,64.76,4792414
"2016-05-23",62.99,63.35,62.81,63.24,3702198
"2016-06-06",65.46,65.65,64.88,65.2,4813414
"2016-06-13",65.5,65.9,64.81,64.84,7761099
"2016-06-20",65.77,66.18,65.57,65.88,5787250
"2016-06-27",67.07,67.98,66.95,67.93,11198743
"2016-07-11",69.9,70.06,69.13,69.87,5101639
"2016-07-18",69.31,69.42,68.82,69.17,4569994
"2016-07-25",68.78,68.94,68.44,68.8,3916722
"2016-08-01",67.66,68,67.23,67.65,5038150
"2016-08-08",66.32,66.65,65.7,66.49,4947264
"2016-08-15",66.67,66.69,66.25,66.26,4072505
"2016-08-22",66.39,66.47,66.09,66.34,2963093
"2016-08-29",65.83,66.14,65.72,66.1,3616771
"2016-09-12",63.52,64.81,63.51,64.67,8601886
