"","MON.Open","MON.High","MON.Low","MON.Close","MON.Volume"
"2011-09-15",69.99,70.46,69.45,70.35,5369172
"2011-09-22",63.67,64.85,62.4,64.32,6991824
"2011-09-29",64.12,64.53,61.87,63.15,5372225
"2011-10-06",67.5,71.68,67.39,71.29,12635519
"2011-10-13",72.97,73.5,71.72,73.18,5225396
"2011-10-20",72.15,74.22,71.94,73.67,3518427
"2011-10-27",75.5,78.71,74.9,77.97,6546963
"2011-11-03",73.23,73.35,71.46,73.12,3073254
"2011-11-10",72.49,73.98,71.53,73.51,4429735
"2011-11-17",72.61,72.63,69.68,70.49,5459400
"2011-12-01",73.56,74.33,72.82,73.2,2395129
"2011-12-08",71.54,71.85,69.7,69.89,3575881
"2011-12-15",68.23,68.95,67.72,68.41,2953642
"2011-12-22",70.61,71.06,70.25,70.63,1951554
"2011-12-29",69.4,70.75,69.24,70.45,1726782
"2012-01-05",74.26,77.25,74.1,76.68,10379566
"2012-01-12",79.37,81,79.28,80.27,7638947
"2012-01-19",81.02,81.11,79.42,80.35,4013967
"2012-01-26",81.26,81.8,80.59,81.15,2936773
"2012-02-02",83.62,83.69,81.97,82.13,3084498
"2012-02-09",79.24,79.34,77.26,78.33,4325393
"2012-02-16",77.42,79.34,77.03,79.01,3101304
"2012-02-23",79.11,79.62,77.14,77.78,4946693
"2012-03-01",77.82,80.8,77.62,80.15,4581767
"2012-03-08",78.46,80.02,78.46,79.75,2605257
"2012-03-15",78.59,79.53,78.59,79.3,3104924
"2012-03-22",78.26,79.23,78.06,78.37,2138549
"2012-03-29",78.38,79.16,77.99,78.91,2455970
"2012-04-05",80.49,81.78,78.56,79.02,5258081
"2012-04-12",76.06,78.74,76.06,78.34,4709076
"2012-04-19",76.83,77.44,76.16,76.79,1811654
"2012-04-26",76.73,77.15,76.43,76.93,1790468
"2012-05-03",75.78,76.37,75.05,75.16,2837754
"2012-05-10",72.8,72.82,71.41,71.71,4100203
"2012-05-17",71.56,71.64,70.02,70.14,2970299
"2012-05-24",72.52,73.99,72.48,73.94,3743585
"2012-05-31",76.89,77.81,75.4,77.2,4666064
"2012-06-07",79.85,80.32,78.45,78.61,3527365
"2012-06-14",77.79,78.89,77.59,78.69,2564946
"2012-06-21",79.74,79.79,77.67,77.78,2309198
"2012-06-28",80.3,80.67,79.21,80.25,3980815
"2012-07-05",82.01,83.6,82.01,83.04,1919892
"2012-07-12",82.3,83.5,81.72,82.66,3200048
"2012-07-19",86.46,86.93,86,86.78,3260106
"2012-07-26",85.9,86.58,85.16,85.6,2560229
"2012-08-02",85.98,87.97,85.7,87.38,3580078
"2012-08-09",88.48,89.45,88.25,88.62,3627960
"2012-08-16",86.87,88.96,86.61,88.32,3211576
"2012-08-23",87.53,87.72,85.58,85.83,2599260
"2012-08-30",87.38,87.63,86.84,87.17,2258133
"2012-09-06",88.1,89.69,87.61,89.44,2949993
"2012-09-13",88.06,90,88.06,89.9,2615329
"2012-09-20",90.79,91.43,89.72,91.06,3540740
"2012-09-27",90.73,91.78,90.22,91.36,3311760
"2012-10-04",89.06,91.27,88.83,90.64,3880511
"2012-10-11",89.77,90,88.28,88.49,3168996
"2012-10-18",89.51,90.72,88.53,89.98,2407438
"2012-10-25",86.96,87.36,85.93,86.49,1731049
"2012-11-01",86.11,87.39,86,86.85,2149896
"2012-11-08",87.16,88.02,86.07,86.33,1356947
"2012-11-15",83.78,85.43,82.7,84.66,3786007
"2012-11-29",91.83,93,91.47,92.08,2449141
"2012-12-06",89.63,90.01,88.97,89.97,1757620
"2012-12-13",90.01,90.61,89.08,89.5,1993315
"2012-12-20",91.55,92.57,90.95,92.54,2505476
"2012-12-27",94.21,94.38,92.74,93.99,2810232
"2013-01-03",96.07,96.71,95.04,95.34,2262565
"2013-01-10",100.05,100.06,98.57,99.47,3633015
"2013-01-17",102.29,102.29,101.28,101.32,2720525
"2013-01-24",102.99,104.19,102.72,103.62,2820309
"2013-01-31",101.49,102.98,101,101.35,2594126
"2013-02-07",101.3,101.5,99.52,100.57,2818397
"2013-02-14",102.21,102.29,101.45,102,1994635
"2013-02-21",98.5,99.72,97.9,98.71,3415630
"2013-02-28",100.61,101.59,100.18,101.03,2167599
"2013-03-07",102.35,103.38,102.35,102.91,1457999
"2013-03-14",103.7,104.29,103.7,104.1,1601928
"2013-03-21",102.92,102.92,100.99,101.05,1967725
"2013-03-28",105.3,105.82,104.51,105.63,2774666
"2013-04-04",104.86,107.24,104.37,105.74,3273148
"2013-04-11",105.67,107.18,105.32,107.1,2834827
"2013-04-18",104.03,104.09,101.53,102.12,2710097
"2013-04-25",104.73,106.47,104.5,105.93,2671785
"2013-05-02",104.88,106.21,104.18,106.11,1873416
"2013-05-09",108.35,108.63,107.12,107.46,1570362
"2013-05-16",108.76,109,107.56,107.67,1578763
"2013-05-23",103.38,105.87,103.31,104.99,2814512
"2013-05-30",104.68,105.52,104.64,104.97,1838668
"2013-06-06",99.13,99.94,97.05,98.72,3469479
"2013-06-13",103.39,105.45,102.59,105.44,2802843
"2013-06-20",104.85,105.41,103.2,103.45,3054594
"2013-06-27",101.17,101.17,98.59,98.75,3252876
"2013-07-11",102.59,103.54,102.28,103.34,2059246
"2013-07-18",103.03,103.3,102.31,103.03,1751235
"2013-07-25",100.39,101.92,100,100.71,3288236
"2013-08-01",99.53,100.19,97.32,97.37,4249011
"2013-08-08",95.51,97.82,95.25,97.34,3654607
"2013-08-15",96.15,98.17,95.99,98.05,3599901
"2013-08-22",95.25,96.5,94,96.25,2490583
"2013-08-29",97.02,98.25,96.28,97.25,2398429
"2013-09-05",100.8,101.55,100.12,101.49,3630798
"2013-09-12",102.69,103.06,102.43,102.98,1837857
"2013-09-19",107.23,107.73,106.5,106.87,1654302
"2013-09-26",105.74,106.18,105.05,106.14,1766514
"2013-10-03",103.47,105.49,103.45,105.27,4502737
"2013-10-10",104.5,105.47,104.2,105.18,2767896
"2013-10-17",105.12,106.16,105.1,105.6,2891286
"2013-10-24",107.36,107.68,106.11,107.31,1843274
"2013-10-31",105.95,106.61,104.88,104.88,2290696
"2013-11-07",104.62,105.11,103.92,104,3767527
"2013-11-14",109.85,110.87,109.42,110.46,2709930
"2013-11-21",110.63,112.01,109.92,111.91,3003225
