"","MRK.Open","MRK.High","MRK.Low","MRK.Close","MRK.Volume"
"2011-09-15",32.39,32.5,32.03,32.49,12763818
"2011-09-22",31.18,31.48,30.77,31.13,23408816
"2011-09-29",32.35,32.82,32.22,32.66,19306763
"2011-10-06",31.37,31.56,30.99,31.42,18601853
"2011-10-13",32.48,32.87,32.26,32.7,13603484
"2011-10-20",32.7,32.94,32.31,32.8,13569581
"2011-10-27",34.08,34.56,33.82,34.31,20693483
"2011-11-03",34.5,34.73,34.34,34.53,14824646
"2011-11-10",34.57,35.14,34.29,34.97,26443633
"2011-11-17",34.92,35.18,34.42,34.84,16576153
"2011-12-01",35.73,35.99,35.56,35.68,12563760
"2011-12-08",35.67,35.73,35.07,35.19,42406160
"2011-12-15",35.92,36.68,35.89,36.36,31904151
"2011-12-22",37.38,37.75,37.21,37.56,11537493
"2011-12-29",37.6,37.75,37.49,37.73,6860964
"2012-01-05",38.14,39,38.04,38.74,20987580
"2012-01-12",38.62,38.68,38.42,38.61,9934436
"2012-01-19",38.9,39.43,38.73,39.26,16546788
"2012-01-26",38.84,38.94,38.54,38.78,12388751
"2012-02-02",38.94,38.97,38,38.44,20781744
"2012-02-09",38.39,38.52,38.14,38.15,9598420
"2012-02-16",38.08,38.15,37.8,38.14,10432771
"2012-02-23",38.1,38.52,38.1,38.51,10328127
"2012-03-01",38.15,38.16,37.66,37.79,18056283
"2012-03-08",37.62,37.81,37.35,37.4,40922023
"2012-03-15",38.15,38.25,37.95,38.06,12246930
"2012-03-22",37.54,37.93,37.53,37.6,12991568
"2012-03-29",38.17,38.3,37.78,38.01,17588404
"2012-04-05",38.76,38.91,38.59,38.88,13880879
"2012-04-12",38.71,38.71,38.19,38.26,12806341
"2012-04-19",38.55,38.62,38.16,38.36,10740927
"2012-04-26",38.48,38.56,38.29,38.47,10196498
"2012-05-03",39.31,39.38,39.06,39.17,10570138
"2012-05-10",38.3,38.62,38.25,38.39,9453083
"2012-05-17",38.21,38.45,38,38.03,13906165
"2012-05-24",37.4,37.67,37.28,37.6,8651919
"2012-05-31",37.61,37.86,37.25,37.58,13451398
"2012-06-07",38.07,38.47,38.01,38.33,53370853
"2012-06-14",38.52,38.94,38.35,38.79,12909547
"2012-06-21",39.36,39.79,39.29,39.45,17334659
"2012-06-28",40.41,40.7,40.18,40.68,12562415
"2012-07-05",41.67,41.8,41.3,41.63,9251723
"2012-07-12",42.87,43.18,42.76,42.91,45956254
"2012-07-19",43.95,44.03,43.54,43.94,13990036
"2012-07-26",43.05,43.75,42.98,43.33,16303627
"2012-08-02",44.04,44.23,43.52,43.91,9846105
"2012-08-09",43.89,44.32,43.7,44.28,9987174
"2012-08-16",44.02,44.16,43.85,43.94,8395933
"2012-08-23",42.91,42.98,42.61,42.8,10049439
"2012-08-30",42.86,43.27,42.64,43.12,8553699
"2012-09-06",43.65,44.26,43.62,44.24,9876325
"2012-09-13",44.08,44.7,44.01,44.66,11860481
"2012-09-20",44.36,44.97,44.35,44.89,9966232
"2012-09-27",45.07,45.44,45.01,45.23,9834205
"2012-10-04",45.9,46.39,45.85,46.12,8953789
"2012-10-11",45.89,45.92,45.35,45.45,7022626
"2012-10-18",47.29,48,47.28,47.96,10986092
"2012-10-25",46.1,46.34,46.01,46.3,10971507
"2012-11-01",45.75,46.49,45.68,45.94,12165988
"2012-11-08",44.51,44.77,43.84,43.84,16329805
"2012-11-15",42.96,43.14,42.55,42.8,12283747
"2012-11-29",44.95,44.95,44.48,44.71,9555930
"2012-12-06",44.45,44.59,44.38,44.51,8816981
