"","MRO.Open","MRO.High","MRO.Low","MRO.Close","MRO.Volume"
"2011-09-15",24.99,25.74,24.79,25.69,6617325
"2011-09-22",22.84,22.88,21.58,22.05,12991420
"2011-09-29",22.85,22.95,21.79,22.32,8213279
"2011-10-06",22.54,23.22,22.3,23.2,9909733
"2011-10-13",23.5,23.77,22.99,23.65,6328111
"2011-10-20",24.68,24.94,24.13,24.84,5957283
"2011-10-27",27.26,28.05,27,27.76,7524879
"2011-11-03",26.5,26.9,26.08,26.74,7488258
"2011-11-10",27.35,27.68,26.77,27.33,6119118
"2011-11-17",27.53,27.56,26.22,26.46,9243833
"2011-12-01",27.69,28.26,27.59,27.72,5931398
"2011-12-08",28.27,28.31,27.27,27.36,7212416
"2011-12-15",27.31,27.61,27,27.08,8390336
"2011-12-22",28.35,28.99,28.25,28.88,8246629
"2011-12-29",28.99,29.35,28.89,29.3,3473851
"2012-01-05",30.7,31.31,30.48,31.26,7248450
"2012-01-12",30.78,30.96,30.37,30.65,10247510
"2012-01-19",31.96,32.17,31.71,31.97,5888814
"2012-01-26",32.82,32.88,31.37,31.54,7419870
"2012-02-02",31.56,32.18,31.12,31.43,6532845
"2012-02-09",32.79,32.9,32.2,32.6,7468368
"2012-02-16",32.72,33.75,32.53,33.59,6903648
"2012-02-23",34.42,34.99,33.95,34.84,5046847
"2012-03-01",34.03,34.46,33.95,34.26,5927920
"2012-03-08",33.26,33.62,32.98,33.53,5118490
"2012-03-15",33.72,33.82,33.35,33.65,3851863
"2012-03-22",32.84,32.85,32.1,32.22,5982017
"2012-03-29",31.33,31.79,31.02,31.75,4958234
"2012-04-05",30.85,31.02,30.37,30.54,6299977
"2012-04-12",29.28,30.4,29.18,30.34,7097314
"2012-04-19",29.62,29.83,29.27,29.41,4743618
"2012-04-26",29.3,29.96,29.25,29.9,4492586
"2012-05-03",28.84,28.87,27.58,27.65,10505989
"2012-05-10",26.67,27.26,26.54,26.98,11275564
"2012-05-17",24.52,24.72,24.11,24.16,6046759
"2012-05-24",24.6,24.88,24.35,24.88,9374564
"2012-05-31",24.82,25.1,24.22,24.91,8371407
"2012-06-07",25.43,25.73,24.99,25,9683757
"2012-06-14",24.51,24.82,24.32,24.61,5729609
"2012-06-21",24.75,24.8,23.29,23.32,8358413
"2012-06-28",24.23,24.7,24.08,24.66,6451071
"2012-07-05",25.8,25.94,25.41,25.47,5244890
"2012-07-12",24.3,24.46,24.01,24.27,7839516
"2012-07-19",26.91,27,26.64,26.75,10179139
"2012-07-26",25.77,26.36,25.77,26.3,7354874
"2012-08-02",26.35,26.5,25.51,25.73,8622967
"2012-08-09",27.55,27.79,27.24,27.59,5359644
"2012-08-16",27.44,27.65,27.2,27.36,8132654
"2012-08-23",27.66,28.04,27.56,27.7,8661039
"2012-08-30",27.53,27.58,27.17,27.26,4634551
"2012-09-06",27.47,28.5,27.43,28.28,10529261
"2012-09-13",29.13,29.89,28.83,29.85,7929461
"2012-09-20",30.13,30.56,30.01,30.39,6284493
"2012-09-27",29.81,30.06,29.65,30.02,5983990
"2012-10-04",29.63,30.02,29.52,29.84,7599194
"2012-10-11",29.81,29.93,29.3,29.3,6259668
"2012-10-18",31.07,31.59,31.07,31.23,8884838
"2012-10-25",30.16,30.3,29.85,30.2,4818061
"2012-11-01",30.06,30.4,30.05,30.37,4293389
"2012-11-08",30.1,30.2,29.7,29.86,9158373
"2012-11-15",30.02,30.73,29.96,30.53,10563475
"2012-11-29",31.25,31.45,30.59,30.69,6336791
"2012-12-06",30.41,30.73,30.2,30.72,4383153
"2012-12-13",30.48,30.49,30.11,30.19,4412894
"2012-12-20",31.23,31.47,31.12,31.46,3624364
"2012-12-27",30.45,30.51,29.88,30.32,3538887
"2013-01-03",31.56,31.93,31.37,31.59,3656435
"2013-01-10",31.87,32.39,31.85,32.28,4424746
"2013-01-17",32.52,33.36,32.42,33.16,7179776
"2013-01-24",33.73,34.25,33.66,33.77,5171828
"2013-01-31",33.41,33.79,33.12,33.61,4851422
"2013-02-07",34.2,34.49,33.48,34,4927486
"2013-02-14",34.85,35.42,34.78,35.34,5101535
"2013-02-21",34.46,34.56,33.91,34.38,7724846
"2013-02-28",33.47,33.92,33.37,33.5,4419864
"2013-03-07",32.85,33.44,32.72,33.34,5380285
"2013-03-14",34.49,34.85,34.45,34.76,3867426
"2013-03-21",34.43,34.66,34.15,34.15,3846943
"2013-03-28",33.96,34.16,33.64,33.72,4429331
"2013-04-04",33.11,33.15,32.42,32.69,5019106
"2013-04-11",33.98,34.12,33.74,33.8,4022922
"2013-04-18",30.17,30.54,29.74,30.11,5150117
"2013-04-25",31.51,32.48,31.35,31.87,6820402
"2013-05-02",31.97,32.55,31.81,32.46,4213448
"2013-05-09",34.73,35,34.05,34.78,5648091
"2013-05-16",34.9,35.48,34.85,35.15,5597123
"2013-05-23",34.86,35.41,34.61,35.23,5938053
"2013-05-30",35.38,35.44,34.95,35.15,5438804
"2013-06-06",34.14,34.63,33.84,34.63,3286914
"2013-06-13",33.38,34.5,33.35,34.37,5527836
"2013-06-20",35.17,35.26,34.15,34.29,5952168
"2013-06-27",35.57,35.8,34.92,35.12,5082091
"2013-07-11",36.79,36.91,36.33,36.62,2831299
"2013-07-18",36.66,36.99,36.6,36.75,3671311
"2013-07-25",36.68,37.21,36.52,36.8,3609647
"2013-08-01",36.76,37.59,36.76,37.52,3923735
"2013-08-08",35.3,35.37,34.43,34.67,7464742
"2013-08-15",34.42,34.84,34.16,34.65,4428622
"2013-08-22",33.42,33.7,33.2,33.47,4988730
"2013-08-29",34.48,34.89,34.35,34.54,6002146
"2013-09-05",35.6,36.12,35.53,35.89,6788383
"2013-09-12",36.43,36.67,35.92,35.98,6046860
"2013-09-19",36.44,36.5,36.04,36.42,5591295
"2013-09-26",35.78,35.79,34.92,35.28,4004889
"2013-10-03",34.44,34.52,33.99,34.06,5904365
"2013-10-10",34.54,35.09,34.45,35.06,3585459
"2013-10-17",34.74,34.92,34.44,34.9,5141729
"2013-10-24",34.84,35.68,34.7,35.6,4372579
"2013-10-31",35.8,35.8,35.11,35.26,4233020
"2013-11-07",36.52,36.66,35.52,35.73,8826558
"2013-11-14",36.19,36.53,36.05,36.43,4325196
"2013-11-21",37.21,38.18,37.2,37.93,5761602
"2013-12-05",36.68,36.73,36.01,36.31,6858829
"2013-12-12",35.65,36.37,35.61,36.18,6731300
"2013-12-19",34.54,35,34.42,34.91,8155441
"2013-12-26",35.34,35.36,35.17,35.28,1974528
