"","MS.Open","MS.High","MS.Low","MS.Close","MS.Volume"
"2011-09-15",15.86,16.64,15.77,16.59,27521574
"2011-09-22",13.27,13.32,12.49,13.06,63458869
"2011-09-29",14.65,15.16,14.44,15.09,44850183
"2011-10-06",14.46,15.53,13.92,15.18,49445640
"2011-10-13",15.59,15.59,14.8,15.14,30447574
"2011-10-20",16.61,16.77,16,16.61,35384073
"2011-10-27",18.05,19.57,17.9,19.41,64112472
"2011-11-03",17.62,17.75,15.92,16.95,50797133
"2011-11-10",16.28,16.32,15.51,15.86,35153560
"2011-11-17",14.89,14.94,13.98,14.13,45254271
"2011-12-01",14.56,14.9,14.35,14.51,25397713
"2011-12-08",17.12,17.38,15.76,15.88,44159947
"2011-12-15",15.62,15.66,14.98,15.01,28218315
"2011-12-22",15.07,15.95,15.03,15.88,30202998
"2011-12-29",14.92,15.3,14.9,15.24,14007650
"2012-01-05",15.59,16.4,15.43,16.28,30624992
"2012-01-12",17.12,17.32,16.65,17.17,22262431
"2012-01-19",18.43,18.6,18.03,18.28,46373514
"2012-01-26",18.29,18.88,18.06,18.2,22780381
"2012-02-02",19.73,19.74,19.42,19.52,21612050
"2012-02-09",20.54,20.7,20.22,20.34,21034537
"2012-02-16",18.57,19.26,18.2,19.19,33077936
"2012-02-23",18.93,18.98,18.52,18.97,17157305
"2012-03-01",18.74,19.32,18.62,19.19,29817526
"2012-03-08",18.21,18.34,18.02,18.18,17993309
"2012-03-15",18.76,19.54,18.54,19.51,27264836
"2012-03-22",19.81,19.92,19.36,19.59,17655902
"2012-03-29",20.05,20.15,19.38,19.74,21947680
"2012-04-05",18.58,18.87,18.32,18.39,19897165
"2012-04-12",17.62,18.24,17.5,18.22,22665329
"2012-04-19",18.53,18.54,17.77,18.07,49794689
"2012-04-26",16.86,17.36,16.81,17.21,22711476
"2012-05-03",16.97,17.01,16.2,16.23,46958245
"2012-05-10",15.9,15.95,15.51,15.6,23652709
"2012-05-17",13.62,13.93,13.34,13.46,37207021
"2012-05-24",13.46,13.48,13.12,13.31,26219706
"2012-05-31",13.12,13.48,12.9,13.36,29040871
"2012-06-07",14.22,14.27,13.39,13.41,42815746
"2012-06-14",13.66,14.02,13.54,13.93,20311051
"2012-06-21",14.26,14.44,13.87,13.96,35058723
"2012-06-28",13.63,13.93,13.56,13.87,21587005
"2012-07-05",14.95,15.08,14.5,14.51,22543647
"2012-07-12",13.61,13.72,13.5,13.55,19519598
"2012-07-19",13.49,13.73,13,13.25,61251687
"2012-07-26",13.28,13.32,12.86,13,33526091
"2012-08-02",13.13,13.36,12.98,13.03,25873725
"2012-08-09",14.46,14.73,14.36,14.71,13961417
"2012-08-16",14.64,14.79,14.49,14.59,13214858
"2012-08-23",14.86,14.89,14.45,14.5,17990556
"2012-08-30",14.68,14.93,14.61,14.9,20123953
"2012-09-06",15.84,16.36,15.8,16.25,33585506
"2012-09-13",17.32,18.06,17.07,17.9,39768736
"2012-09-20",16.96,17.24,16.84,17.21,25018347
"2012-09-27",16.77,16.97,16.54,16.84,19253298
"2012-10-04",17.27,17.58,17.24,17.47,19628436
"2012-10-11",17.75,17.91,17.68,17.86,16510222
"2012-10-18",18.56,18.57,17.7,17.79,51103661
"2012-10-25",17.44,17.55,16.89,17.1,18874333
"2012-11-01",17.41,17.61,17.32,17.61,25097214
"2012-11-08",16.77,17.01,16.5,16.52,21126399
"2012-11-15",16.41,16.42,16.1,16.26,16268054
