"","MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume"
"2011-09-15",26.73,27.03,26.31,26.99,67809210
"2011-09-22",25.3,25.65,24.6,25.06,96285920
"2011-09-29",25.98,26.17,25.09,25.45,63411976
"2011-10-06",25.9,26.4,25.7,26.34,55113496
"2011-10-13",26.76,27.2,26.62,27.18,43830076
"2011-10-20",27.26,27.34,26.4,27.04,76300104
"2011-10-27",27.13,27.4,26.65,27.25,74515622
"2011-11-03",26.24,26.58,25.98,26.53,65837011
"2011-11-10",26.47,26.5,26.12,26.28,32517281
"2011-11-17",26.01,26.04,25.44,25.54,70977495
"2011-12-01",25.56,25.63,25.2,25.28,48545338
"2011-12-08",25.48,25.72,25.37,25.4,60522185
"2011-12-15",25.72,25.88,25.54,25.56,46217486
"2011-12-22",25.82,25.86,25.48,25.81,35794085
"2011-12-29",25.95,26.05,25.86,26.02,22616883
"2012-01-05",27.38,27.73,27.29,27.68,56082205
"2012-01-12",27.87,28.02,27.64,28,49375477
"2012-01-19",28.16,28.44,28.03,28.12,74053427
"2012-01-26",29.61,29.7,29.4,29.5,49107458
"2012-02-02",29.9,30.17,29.71,29.95,52226255
"2012-02-09",30.68,30.8,30.48,30.77,50481549
"2012-02-16",30.31,31.55,30.3,31.28,94705078
"2012-02-23",31.2,31.59,31,31.37,35035609
"2012-03-01",31.93,32.39,31.85,32.29,77348930
"2012-03-08",32.04,32.21,31.9,32.01,36752011
"2012-03-15",32.79,32.94,32.58,32.85,49070794
"2012-03-22",31.81,32.09,31.79,32,31749516
"2012-03-29",32.06,32.19,31.81,32.12,37038894
"2012-04-05",31.15,31.63,31.05,31.52,50342719
"2012-04-12",30.48,31.04,30.42,30.98,38306010
"2012-04-19",31.13,31.68,30.94,31.01,54781106
"2012-04-26",32.12,32.23,31.92,32.11,40312879
"2012-05-03",31.88,31.9,31.61,31.76,31504327
"2012-05-10",30.86,31.02,30.45,30.74,43839116
"2012-05-17",29.99,30.21,29.71,29.72,48487178
"2012-05-24",29.16,29.3,28.76,29.07,52576022
"2012-05-31",29.3,29.42,28.94,29.19,39142318
"2012-06-07",29.64,29.7,29.17,29.23,37794901
"2012-06-14",29.33,29.46,28.88,29.34,39460156
"2012-06-21",30.96,31.14,30.06,30.14,48461283
"2012-06-28",29.98,30.05,29.42,29.91,45333920
"2012-07-05",30.59,30.78,30.38,30.7,28802821
"2012-07-12",29.15,29.18,28.54,28.63,63530444
"2012-07-19",30.51,30.8,30.38,30.66,46663183
"2012-07-26",29.23,29.5,29.09,29.16,45302964
"2012-08-02",29.21,29.52,28.97,29.19,39523066
"2012-08-09",30.39,30.65,30.3,30.5,24920732
"2012-08-16",30.36,30.94,30.26,30.78,35788904
"2012-08-23",30.39,30.4,30.08,30.26,28356539
"2012-08-30",30.53,30.61,30.22,30.32,23982028
"2012-09-06",30.5,31.36,30.46,31.34,48371613
"2012-09-13",30.89,31.18,30.4,30.94,45052177
"2012-09-20",30.95,31.48,30.91,31.45,45549355
"2012-09-27",30.17,30.4,29.89,30.16,47130850
"2012-10-04",29.97,30.03,29.57,30.03,43640874
