"","MTD.Open","MTD.High","MTD.Low","MTD.Close","MTD.Volume"
"2011-09-15",156.02,157.65,153.78,156.09,217657
"2011-09-22",139.07,139.72,135.5,137.03,380459
"2011-09-29",144.91,146.07,139.64,143.58,282709
"2011-10-06",138.02,142.92,136.34,142.72,215991
"2011-10-13",140.23,142.63,137.57,140.33,141341
"2011-10-20",139.19,142.92,137.34,142.58,231389
"2011-10-27",156.9,159.15,154.66,157.43,179665
"2011-11-03",152.36,155.49,149.71,154.57,414216
"2011-11-10",158.89,161.5,158.87,159.95,116153
"2011-11-17",158.26,159.92,155.28,156.41,134757
"2011-12-01",158,161.15,157.56,158.43,171477
"2011-12-08",156.9,157,151.92,152.3,237693
"2011-12-15",147.84,148.35,144.66,145.38,155304
"2011-12-22",149.33,151.26,149.33,150.25,80479
"2011-12-29",146.24,148.28,144.78,148.03,239439
"2012-01-05",150.93,154.34,150.23,153.91,151244
"2012-01-12",162.94,164.09,161,163.78,126650
"2012-01-19",171.49,173.45,170.68,172.03,181337
"2012-01-26",176.41,177.11,174.31,174.88,141131
"2012-02-02",179.45,180.9,179.1,180.02,84494
"2012-02-09",182.57,186.3,180.65,184.88,415471
"2012-02-16",178.8,181.82,178.07,181.25,171222
"2012-02-23",179.73,181.46,178.48,180.5,92270
"2012-03-01",180.91,184,179.87,183.21,175326
"2012-03-08",176.86,178.59,176.38,177.78,161484
"2012-03-15",177.78,181.91,177.32,181.78,154969
"2012-03-22",182.9,183.29,180.33,183.04,330113
"2012-03-29",183.11,183.35,180.76,183.02,209746
"2012-04-05",181.94,182.47,180.77,181.41,127325
"2012-04-12",174.76,179.94,174.58,179.88,272073
"2012-04-19",178.11,179.36,173.98,176.3,156424
"2012-04-26",177.04,180.06,176.78,179.04,136521
"2012-05-03",184.5,187.97,182.6,183.83,239247
"2012-05-10",171.36,171.86,167.46,168.53,339254
"2012-05-17",164.39,167.49,160.4,160.44,320680
"2012-05-24",164.31,165.55,161.93,163,170226
"2012-05-31",160.31,160.83,155.83,156.12,320200
"2012-06-07",160.63,161.15,156.98,157.26,180938
"2012-06-14",153.79,156.53,152.9,156.37,260834
"2012-06-21",158,159.02,152.5,152.85,205247
"2012-06-28",150.19,152.77,150.19,152.61,380737
"2012-07-05",160.5,162.31,160.06,160.06,282205
"2012-07-12",147.14,149.78,145.79,148.83,282388
"2012-07-19",157.33,158.84,155.67,157.98,198941
"2012-07-26",153.9,155.71,150.27,155.07,290583
"2012-08-02",153.82,156.05,150.87,151.28,300789
"2012-08-09",168.53,170.52,167.05,167.98,184023
"2012-08-16",164,165.93,162.39,165.01,159653
"2012-08-23",163.84,164.9,161.62,162.95,212509
"2012-08-30",163.51,164.84,162.67,164.32,119981
"2012-09-06",165.1,168.49,164.84,167.81,142632
"2012-09-13",170,174.38,168.34,174.24,242699
"2012-09-20",173.24,173.89,170.13,171.93,189920
"2012-09-27",171.5,173.75,171.24,173.11,107306
"2012-10-04",175.09,176.33,174.23,176.06,160764
"2012-10-11",170.22,171.96,169.16,170.48,166863
"2012-10-18",171.99,171.99,164.48,166.66,311375
"2012-10-25",164.98,166.37,163.59,164.85,195890
"2012-11-01",169.37,174.42,168.62,174.05,329116
"2012-11-08",179.09,179.09,174.75,175.17,200440
"2012-11-15",174.35,176.25,172.03,176.25,304852
"2012-11-29",187.5,189.17,185.52,187.08,163138
"2012-12-06",184.96,186.43,183.21,184.62,168814
"2012-12-13",187.75,188.79,186.58,187.53,99399
"2012-12-20",192.08,195.12,191.63,195,158241
"2012-12-27",191.87,192.76,188.41,191.63,122060
"2013-01-03",197.73,198.76,195.81,196.72,117003
"2013-01-10",206.26,206.26,201.31,202.7,245525
"2013-01-17",204.74,208.54,204.23,207.78,188148
"2013-01-24",211.58,212.84,209.1,211.09,177248
"2013-01-31",210.93,214.68,209.99,212.53,93831
"2013-02-07",217.68,221.63,216.53,221.56,236230
"2013-02-14",217.76,218.72,216.2,217.75,96018
"2013-02-21",211.7,214.77,211.7,212.8,83700
"2013-02-28",212,214.98,211.53,212.8,164459
"2013-03-07",215.89,216.31,213.87,215.55,98773
"2013-03-14",218.75,220.22,218.25,220.07,123799
"2013-03-21",220.32,221.99,218.06,219.51,97342
"2013-03-28",212.83,214.07,211.58,213.22,218769
"2013-04-04",207.5,208.2,206.24,207.28,190320
"2013-04-11",210,211.51,207.33,209.53,210368
"2013-04-18",202.42,203.62,200.19,201.45,243485
"2013-04-25",210.46,212.8,209.83,212,155431
"2013-05-02",196,203.61,196,202.7,405825
"2013-05-09",223.95,225.66,221.43,223.41,134165
"2013-05-16",224.88,226.8,220.52,221.19,331498
"2013-05-23",217.51,222.17,216,222.06,138373
"2013-05-30",222.91,225.18,222.52,224.32,202587
"2013-06-06",211.85,215.48,211.85,215.43,185547
"2013-06-13",212.05,215.42,211.83,215.11,197238
"2013-06-20",209.97,211.52,203.49,203.91,227601
"2013-06-27",202.96,203,201.5,202.3,264766
"2013-07-11",216.84,217,211.83,214.92,115977
"2013-07-18",214.51,215.78,211.43,215.17,111535
"2013-07-25",221.75,225,220.43,223.05,231009
"2013-08-01",223.76,229.89,223.3,227.19,201642
"2013-08-08",228.65,229.68,227.42,228.5,176511
"2013-08-15",226.25,228.61,224.61,225.11,85282
"2013-08-22",223.46,231.03,223.28,230.25,79563
"2013-08-29",223.36,227.68,222.38,224.95,111488
"2013-09-05",225.78,226.7,223.82,223.96,89380
"2013-09-12",232.54,236.6,232.36,235.05,92106
"2013-09-19",241.04,241.85,238.95,240.95,76396
"2013-09-26",241.08,243.57,239.48,242.56,86854
"2013-10-03",241.04,242,236.63,238.84,136664
"2013-10-10",237.54,241.2,237.54,240.31,74499
"2013-10-17",240.03,246.11,239.15,245.15,103236
"2013-10-24",245.04,250.5,245.04,249.99,173181
"2013-10-31",248.14,251.13,247.24,247.46,102540
"2013-11-07",247.79,250.03,243.43,244.99,140045
"2013-11-14",239.6,244.2,239.2,243.62,170761
"2013-11-21",249.35,253.31,247.97,253.27,124627
"2013-12-05",236.85,246.21,235.86,245.97,165865
"2013-12-12",239.39,240.72,238.06,240.03,84615
"2013-12-19",245.09,245.09,239.79,240.72,324371
"2013-12-26",243.61,243.61,242.33,242.89,71783
"2014-01-02",241.09,243.19,239.92,241.53,154360
"2014-01-09",250.05,251.22,248.59,249.5,161344
"2014-01-16",252.49,254.73,251.83,254.07,68072
"2014-01-23",255.59,256.94,251.59,253.59,137568
"2014-01-30",249.21,249.62,246.05,249.43,160266
"2014-02-06",242.2,254.96,242.2,254,503073
"2014-02-13",250.73,252.72,250.01,251.92,171926
"2014-02-20",244.87,246.06,243.71,245.04,266494
"2014-02-27",247.09,248.47,246.51,247.28,129671
"2014-03-06",244.94,245.54,243.25,244.58,95208
"2014-03-13",244.72,245.33,238.6,238.92,129272
"2014-03-20",236.63,238.88,236.63,238.4,55895
"2014-03-27",233.8,234.24,230.57,231.19,92561
"2014-04-03",240.6,242.7,239.15,240.04,112402
"2014-04-10",232.81,232.81,224.37,224.37,287932
"2014-04-17",229.03,235.29,228.25,233.5,261264
"2014-04-24",235.66,236.97,231.57,234.1,98687
"2014-05-01",233.49,236.99,231.92,233.15,114947
"2014-05-08",236.61,241.41,235.39,235.85,241125
"2014-05-15",240.47,242.2,238.74,241.64,271199
"2014-05-22",242.67,244.76,241.51,243,73242
"2014-05-29",245.2,247.16,244.28,245.66,120375
"2014-06-05",244.7,249.59,244.7,249.31,99993
"2014-06-12",246.71,248.26,244.44,245.34,155791
"2014-06-19",248.49,249.41,246.21,246.99,99507
"2014-06-26",248.9,249.46,245.61,248.9,75713
"2014-07-03",255.21,258.05,255.21,256.74,48610
"2014-07-10",249.28,251.56,248.68,250.54,87100
"2014-07-17",251.82,253.26,249.6,249.99,102745
"2014-07-24",260.59,260.84,257.9,259.79,154380
