"","MU.Open","MU.High","MU.Low","MU.Close","MU.Volume"
"2011-09-15",7.35,7.42,6.9,7.04,60711445
"2011-09-22",6.28,6.49,6.22,6.43,46338228
"2011-09-29",6.13,6.2,5.61,5.87,50176731
"2011-10-06",4.95,5,4.77,4.96,35914239
"2011-10-13",5.11,5.58,5.1,5.52,37580678
"2011-10-20",5.52,5.64,5.37,5.59,23439849
"2011-10-27",5.7,5.76,5.49,5.7,53865349
"2011-11-03",5.51,5.87,5.36,5.84,32498136
"2011-11-10",5.5,5.55,5.06,5.18,53084737
"2011-11-17",6.91,7,6.28,6.33,96098094
"2011-12-01",5.96,5.98,5.75,5.89,22140000
"2011-12-08",5.97,6.1,5.78,5.82,32615764
"2011-12-15",5.53,5.58,5.48,5.55,17194604
"2011-12-22",5.71,6.55,5.69,6.41,67720560
"2011-12-29",6.18,6.3,6.14,6.27,13904156
"2012-01-05",6.96,7.33,6.9,7.16,53472896
"2012-01-12",7.22,7.32,7.12,7.27,30028444
"2012-01-19",7.73,7.94,7.68,7.88,43925377
"2012-01-26",7.77,7.8,7.45,7.55,42244042
"2012-02-02",7.73,7.81,7.68,7.72,20661784
"2012-02-09",8.2,8.2,7.99,8.16,27442915
"2012-02-16",8.38,8.5,8.3,8.46,18755117
"2012-02-23",8.03,8.03,7.74,7.82,31625489
"2012-03-01",8.59,8.84,8.53,8.71,33729672
"2012-03-08",8.13,8.24,8.01,8.16,18795338
"2012-03-15",8.63,8.88,8.46,8.83,34668015
"2012-03-22",8.73,8.77,8.48,8.71,33388587
"2012-03-29",8.61,8.76,8.41,8.42,45882765
"2012-04-05",7.65,7.78,7.58,7.59,19766007
"2012-04-12",7.28,7.55,7.11,7.14,57618686
"2012-04-19",7.07,7.31,6.96,7,31230562
"2012-04-26",6.5,6.68,6.5,6.6,24063413
"2012-05-03",6.91,6.97,6.42,6.47,34534445
"2012-05-10",6.45,6.47,6.21,6.29,25417309
"2012-05-17",6.16,6.25,5.91,5.95,32696016
"2012-05-24",5.75,5.83,5.67,5.74,22190301
"2012-05-31",5.99,5.99,5.74,5.84,30717858
"2012-06-07",5.87,5.89,5.64,5.67,33187471
"2012-06-14",5.85,5.89,5.65,5.76,32601869
"2012-06-21",5.92,5.97,5.61,5.64,51272135
"2012-06-28",5.63,5.98,5.6,5.97,34680250
"2012-07-05",6.84,6.91,6.66,6.81,21914472
"2012-07-12",6.14,6.18,5.94,6.13,38542643
"2012-07-19",5.9,6.01,5.76,5.78,23679155
"2012-07-26",5.92,6.08,5.89,5.96,22586226
"2012-08-02",6.19,6.3,6.08,6.16,17630912
"2012-08-09",6.82,6.92,6.7,6.81,20530386
"2012-08-16",6.55,6.67,6.51,6.61,15837896
"2012-08-23",6.29,6.3,6.16,6.26,18181206
"2012-08-30",6.21,6.26,6.12,6.18,18493532
"2012-09-06",6.4,6.7,6.39,6.68,45889025
"2012-09-13",6.47,6.66,6.42,6.6,30522317
"2012-09-20",6.58,6.6,6.39,6.45,37503739
"2012-09-27",6.01,6.07,5.9,6.02,38645948
"2012-10-04",5.84,5.89,5.77,5.88,14779066
"2012-10-11",5.77,5.79,5.67,5.75,23650816
"2012-10-18",5.78,5.82,5.65,5.65,16867390
"2012-10-25",5.2,5.71,5.18,5.69,46181906
"2012-11-01",5.52,5.8,5.51,5.78,20758110
"2012-11-08",5.87,5.93,5.66,5.69,30619069
"2012-11-15",5.64,5.64,5.41,5.47,19619942
"2012-11-29",5.8,5.92,5.74,5.91,25012705
"2012-12-06",6.15,6.42,6.1,6.41,30381807
"2012-12-13",6.74,6.8,6.62,6.66,24047592
"2012-12-20",6.84,6.87,6.73,6.79,19996944
"2012-12-27",6.18,6.26,6.07,6.22,18455324
"2013-01-03",6.64,6.97,6.61,6.9,39096948
"2013-01-10",7.37,7.44,7.28,7.42,18692802
"2013-01-17",7.7,7.86,7.7,7.81,28643843
"2013-01-24",7.72,7.89,7.7,7.83,18815942
"2013-01-31",7.64,7.7,7.54,7.56,25680765
"2013-02-07",7.98,8.04,7.63,7.73,58981954
"2013-02-14",7.9,8.09,7.86,8.08,24541544
"2013-02-21",7.82,7.88,7.64,7.68,37874158
"2013-02-28",8.23,8.5,8.22,8.38,44040213
"2013-03-07",8.77,8.94,8.71,8.94,26156740
"2013-03-14",9.62,9.74,9.58,9.68,25198245
"2013-03-21",9.35,9.37,9.07,9.07,39419561
"2013-03-28",10.01,10.03,9.87,9.98,21791558
"2013-04-04",9.09,9.33,9.04,9.31,30485979
