"","MYL.Open","MYL.High","MYL.Low","MYL.Close","MYL.Volume"
"2015-03-05",56.26,58.26,56.09,56.68,4946797
"2015-03-12",59.07,62.45,59.05,62.3,11356372
"2015-03-19",64.44,64.75,62.9,63.94,4970463
"2015-03-26",60.41,63.02,60.02,61.88,5428020
"2015-04-02",58.37,58.65,58.02,58.1,8827694
"2015-04-09",67.95,72.62,67.51,70.1,26635269
"2015-04-16",67.02,68.47,66.15,66.84,9038607
"2015-04-23",72.33,73.82,72.01,73.69,10276903
"2015-04-30",74.45,75.26,71.13,72.26,8070771
"2015-05-07",71.05,71.72,69.62,70.39,9585216
"2015-05-14",71.29,71.68,70.13,71.53,4672369
"2015-05-21",70.16,71.03,69.74,69.94,4578286
"2015-05-28",72.5,73.15,72.08,72.68,4730244
"2015-06-04",72,74.66,71.31,74.28,8875073
"2015-06-11",74.18,74.33,73.63,74.11,3743694
"2015-06-18",71.72,72.99,71.5,72.56,5491773
"2015-06-25",70.9,71.2,69.85,70.36,2530826
"2015-07-02",69.67,70.41,69.34,70.12,2574521
"2015-07-09",69.71,70.53,68.64,70.35,4417719
"2015-07-16",70.46,70.81,68.04,68.44,8372325
"2015-07-23",66.99,68.04,66.36,66.56,5788098
"2015-07-30",57.4,57.6,56.34,56.35,9049062
"2015-08-06",55.35,55.99,52.59,55.4,16214423
"2015-08-13",55.09,55.4,54.17,54.22,5794573
"2015-08-20",54.5,54.83,53.02,53.03,7953302
"2015-08-27",51.52,52.93,50.42,51.49,8209335
"2015-09-03",49.05,49.51,47.24,47.42,6744439
"2015-09-10",47.49,48.26,47.01,47.8,5940526
"2015-09-17",49.55,50.16,48.78,49.37,5144591
"2015-09-24",45.1,45.76,44.22,45.56,7656602
"2015-10-01",40.6,41.62,39.63,41.41,9832134
"2015-10-08",42.38,42.94,41.32,42.67,4917236
"2015-10-15",41.78,42.91,41.58,42.73,7229634
"2015-10-22",40.6,40.6,37.59,39.16,17885498
"2015-10-29",46.68,48.04,45.08,45.78,12876456
"2015-11-05",46.42,46.78,44.64,44.79,7081370
"2015-11-12",44.65,44.73,42.56,43.2,12552799
"2015-11-19",52.46,52.46,50.2,51.22,6732059
"2015-12-03",52.21,52.42,50.24,51.07,7611845
"2015-12-10",51,52.99,50.82,52.93,5227552
"2015-12-17",55.04,55.3,52.94,52.97,6230001
"2015-12-24",55.09,55.15,54.35,54.82,1579347
"2015-12-31",54.36,54.77,54.02,54.07,2658884
"2016-01-07",52.52,52.67,51.57,51.61,6384590
"2016-01-14",49,51.65,48.41,50.7,7137163
"2016-01-21",51.86,52.27,50.44,51.44,4234338
"2016-01-28",51.89,51.94,49.5,50.43,5622822
"2016-02-04",51.94,53.21,51.15,52.31,4024926
"2016-02-11",43.95,44,40.04,41.42,33270204
"2016-02-18",46.46,47.05,44.62,44.71,8180662
"2016-02-25",46.98,47.43,46.18,47.42,3544410
"2016-03-03",45.82,46.12,45.17,45.73,4107582
"2016-03-10",47.22,48.71,46.66,47.29,7327469
"2016-03-17",46.08,46.2,43.65,44.22,7653970
"2016-03-24",45,46.13,44.47,45.88,2567715
"2016-03-31",46.21,46.68,45.57,46.35,3305487
"2016-04-07",47.95,48.81,47.66,48.07,3740766
"2016-04-14",47.33,48,46.78,47.59,2593083
"2016-04-21",48.04,49.2,48.01,48.8,3474403
"2016-04-28",43.88,43.88,42.46,42.6,8607722
"2016-05-05",41.84,42.03,40.76,41.4,9056226
"2016-05-12",39.65,39.89,38.01,38.62,7380335
"2016-05-19",41.83,42.42,40.5,41.12,3694903
"2016-05-26",42.66,43,42.41,42.86,1951409
"2016-06-02",44.75,45.68,44.55,44.96,6713804
"2016-06-09",46.29,46.71,45.71,45.76,3919152
"2016-06-16",44.4,45.12,44.09,45.05,3046105
"2016-06-23",45.64,46.22,45.46,46.16,2964764
"2016-06-30",43.25,43.36,42.47,43.24,7206393
"2016-07-07",43.76,43.92,43.14,43.7,2110943
"2016-07-14",45.85,45.97,45.28,45.38,2502777
"2016-07-21",47.02,47.69,45.97,46.86,4706277
"2016-07-28",46.82,46.92,45.82,46.72,3866723
"2016-08-04",48.31,49.19,48.25,48.55,11709851
"2016-08-11",49.09,49.4,48.56,48.71,3496756
"2016-08-18",49,49.42,48.86,49.32,2984030
"2016-08-25",44.65,45.11,42.33,42.85,17728692
"2016-09-01",42.52,42.63,41.55,41.92,5691722
"2016-09-08",40.5,40.78,39.97,40.57,4767101
"2016-09-15",40.91,41.58,40.66,41.49,3772754
