"","NAVI.Open","NAVI.High","NAVI.Low","NAVI.Close","NAVI.Volume"
"2014-04-17",15,17.38,15,16.99,951088
"2014-04-24",16.85,16.86,16.45,16.63,368892
"2014-05-01",16.12,17.36,16.12,17,3650133
"2014-05-08",16.5,16.64,16.35,16.45,5668216
"2014-05-15",15.66,16,15.59,15.74,4919040
"2014-05-22",15.84,16.04,15.8,15.97,2128896
"2014-05-29",15.73,15.82,15.53,15.68,3463351
"2014-06-05",16.03,16.68,15.9,16.67,4582403
"2014-06-12",16.81,17,16.68,16.74,2336412
"2014-06-19",17.01,17.32,16.72,17.19,3753998
"2014-06-26",17.58,17.68,17.53,17.67,931667
"2014-07-03",17.76,17.89,17.68,17.7,1953706
"2014-07-10",17.54,17.87,17.5,17.78,2692521
"2014-07-17",17.69,18.28,17.69,17.7,2805828
"2014-07-24",17.92,18.15,17.92,17.97,2131840
"2014-07-31",17.53,17.96,17.19,17.2,3567958
"2014-08-07",17.04,17.19,16.76,16.86,1392808
"2014-08-14",17.15,17.17,17.04,17.15,1448196
"2014-08-21",17.5,17.54,17.29,17.46,1167229
"2014-08-28",17.62,17.8,17.53,17.72,911179
"2014-09-04",17.96,18.18,17.96,17.96,1609867
"2014-09-11",17.26,17.52,17.26,17.46,1300354
"2014-09-18",17.84,17.96,17.8,17.85,1817421
"2014-09-25",17.83,17.93,17.61,17.73,1543644
"2014-10-02",17.38,17.6,17.24,17.4,1741525
"2014-10-09",17.28,17.38,17.1,17.26,3039139
"2014-10-16",17.19,17.86,17.18,17.64,3868309
"2014-10-23",18.65,18.91,18.49,18.71,2624968
"2014-10-30",19.24,19.54,19.16,19.5,1859731
"2014-11-06",19.72,20.11,19.62,20.1,2726273
"2014-11-13",20.44,20.78,20.27,20.78,2629723
"2014-11-20",20.71,20.87,20.62,20.7,2741860
"2014-12-04",20.8,21,20.62,20.82,1446810
"2014-12-11",21.35,21.62,21.25,21.49,4588901
"2014-12-18",21.39,21.58,21.22,21.5,1684515
"2015-01-08",21.1,21.51,20.4,20.6,3124252
"2015-01-15",20.07,20.44,19.87,20.11,1608205
"2015-01-22",20,20.38,19.28,19.69,2551708
"2015-01-29",19.12,19.58,19.1,19.5,5054293
"2015-02-05",20.95,21.39,20.77,21.31,2165708
"2015-02-12",21.95,22.28,21.81,22.21,2427991
"2015-02-19",21.64,21.75,21.38,21.66,1418279
"2015-02-26",21.71,22,21.61,21.85,1742617
"2015-03-05",20.02,20.12,19.76,19.99,1830410
"2015-03-12",19.28,19.59,19.28,19.54,2605666
"2015-03-19",20,20.72,19.91,20.67,2907554
"2015-03-26",20.25,20.25,20.04,20.16,1710428
"2015-04-02",20.19,20.44,20.08,20.36,1849372
"2015-04-09",20.26,20.54,20.19,20.34,2456847
"2015-04-16",20.36,20.5,20.23,20.29,2021057
"2015-04-23",20.53,20.79,20.42,20.49,1883471
"2015-04-30",19.7,19.88,19.51,19.54,2319491
"2015-05-07",19.67,19.8,19.48,19.78,1753565
"2015-05-14",19.93,20.06,19.6,19.83,3173318
"2015-05-21",19.35,19.6,19.34,19.45,2003130
"2015-05-28",19.32,19.47,19.21,19.29,1390198
"2015-06-04",19.35,19.45,19.04,19.06,1638129
"2015-06-11",19.38,19.6,19.31,19.53,1745192
"2015-06-18",18.63,19.04,18.6,18.98,2723891
"2015-06-25",18.83,18.85,18.54,18.56,1487690
"2015-07-02",18.54,18.6,18.36,18.45,1941471
"2015-07-09",18.79,18.92,18.5,18.53,1422322
"2015-07-16",16.69,16.69,16.49,16.67,3180562
"2015-07-23",16.33,16.48,16.16,16.39,2610848
"2015-07-30",15.7,15.78,15.49,15.53,2955214
"2015-08-06",15.66,15.66,15.2,15.37,3549583
"2015-08-13",15.25,15.32,14.75,14.79,3443567
"2015-08-20",14.43,14.48,14.05,14.06,2988895
"2015-08-27",12.81,13.08,12.67,13,4556522
"2015-09-03",12.2,12.37,12.09,12.15,3540340
"2015-09-10",12.31,12.68,12.26,12.64,5684885
"2015-09-17",12.66,12.91,12.48,12.55,5260517
"2015-09-24",12.34,12.53,12.27,12.5,4331880
"2015-10-01",11.24,11.29,10.68,10.96,11023299
"2015-10-08",12.13,12.26,12.01,12.1,5462407
"2015-10-15",11.81,12.06,11.77,12.03,3920723
"2015-10-22",12.99,13.17,12.71,12.96,7365554
"2015-10-29",13.71,13.83,13.17,13.24,2981790
"2015-11-05",13.41,13.53,12.97,13.23,3037874
"2015-11-12",12.41,12.54,12.14,12.24,4519429
"2015-11-19",12.06,12.17,11.68,11.7,6968700
"2015-12-03",12.03,12.1,11.65,11.74,4800042
"2015-12-10",11.75,12.52,11.72,12.38,4388571
"2015-12-17",12.8,12.92,12.47,12.48,5703462
"2015-12-24",12.21,12.77,12.2,12.61,1909422
"2015-12-31",11.3,11.59,11.23,11.45,2631775
"2016-01-07",10.74,10.84,10.2,10.27,6119111
"2016-01-14",9.44,9.51,9.04,9.4,5327645
"2016-01-21",9.08,9.44,9,9.16,4434245
"2016-01-28",9.57,9.82,9,9.03,5005165
"2016-02-04",9.12,9.73,8.99,9.54,3434285
"2016-02-11",8.38,8.54,8.2,8.41,3697180
"2016-02-18",9.92,10.18,9.76,10.13,3024559
"2016-02-25",10.29,10.72,10.1,10.66,3024684
"2016-03-03",10.86,11.39,10.81,11.27,3145222
"2016-03-10",11.28,11.75,11.28,11.66,5461037
"2016-03-17",11.68,12.08,11.56,11.94,3672509
"2016-03-24",11.82,11.99,11.65,11.96,2131365
"2016-03-31",11.97,12.18,11.91,11.97,3802754
"2016-04-07",11.5,11.76,11.32,11.6,5022817
"2016-04-14",12.67,12.85,12.53,12.68,2117338
"2016-04-21",13.27,13.66,13.22,13.27,3332226
"2016-04-28",13.81,13.99,13.46,13.48,3602151
"2016-05-05",13.07,13.26,12.91,13.09,3715042
"2016-05-12",12.86,13.03,12.41,12.49,3869965
"2016-05-19",12.64,12.83,12.34,12.42,3177461
"2016-05-26",13.4,13.49,13.29,13.35,2267086
"2016-06-02",13.55,13.66,13.35,13.63,2502845
"2016-06-09",13.31,13.36,13.1,13.21,1800884
