"","NEM.Open","NEM.High","NEM.Low","NEM.Close","NEM.Volume"
"2011-09-15",63.22,64.31,62.32,64.29,6348751
"2011-09-22",64.36,65.8,63.64,65.24,10167390
"2011-09-29",62.27,62.95,61.11,62.52,5997065
"2011-10-06",63.08,64.12,62.15,64.06,5781333
"2011-10-13",63.73,64.28,62.68,63.75,4835003
"2011-10-20",61.35,62.69,60.78,61.64,7925216
"2011-10-27",66.32,66.95,64.68,66.06,8631088
"2011-11-03",67.56,69.54,67.1,69.33,11413049
"2011-11-10",69.79,69.82,67.93,68.83,5117301
"2011-11-17",67.18,67.72,65.83,66.24,5742471
"2011-12-01",68.82,69.4,67.99,68.81,5525073
"2011-12-08",66.91,67.42,65.66,66.06,5731564
"2011-12-15",62.18,62.4,61.04,61.76,6743758
"2011-12-22",62.46,62.6,60.76,61.01,6233330
"2011-12-29",58.36,60.51,58.25,60.36,5365926
"2012-01-05",61.48,62.45,61.2,62.1,5545105
"2012-01-12",63.56,64.62,63.56,64.04,5897068
"2012-01-19",59.97,60.29,58.66,59.6,9386112
"2012-01-26",61.28,61.59,60.12,60.45,7636411
"2012-02-02",61.44,62.5,61.35,62.29,6112020
"2012-02-09",61.07,61.39,60.47,60.64,3848661
"2012-02-16",59.67,60.66,58.77,60.43,4517130
"2012-02-23",62.94,64.43,62.71,63.8,7674050
"2012-03-01",59.59,60.65,59.4,59.67,6619942
"2012-03-08",57.15,57.24,56.17,56.95,4915201
"2012-03-15",54.4,54.98,53.69,53.84,9902669
"2012-03-22",52.67,52.85,52.06,52.41,7193536
"2012-03-29",51.3,51.34,50.47,51.34,9085274
"2012-04-05",48.62,48.98,47.47,47.73,8900570
"2012-04-12",48.02,49.6,47.89,49.55,7726718
"2012-04-19",48.16,48.57,47.65,47.81,5223682
"2012-04-26",47.53,48.1,46.9,47.73,6617310
"2012-05-03",46.63,46.85,45.34,45.59,7101062
"2012-05-10",47.05,47.22,46.07,46.2,5594051
"2012-05-17",44.19,46.19,43.9,45.26,8352980
"2012-05-24",48.82,49.84,47.7,48.63,9171190
"2012-05-31",47.94,48.37,46.6,47.16,7269693
"2012-06-07",51.88,52.21,49.83,50.69,7846016
"2012-06-14",50.91,51.02,50.06,50.69,6708698
"2012-06-21",49.14,49.38,47.79,47.8,6609537
"2012-06-28",47.23,47.95,46.41,47.12,6200226
"2012-07-05",49.41,49.67,48.83,49.04,3264998
"2012-07-12",45.45,45.84,44.75,45.46,5830925
"2012-07-19",44.89,45.45,44.52,45.15,4999479
"2012-07-26",45.92,46.25,45.3,46.09,5561940
"2012-08-02",44.24,44.64,43.62,43.62,4869764
"2012-08-09",46.98,47.63,46.61,47.2,3018740
"2012-08-16",46.78,47.81,46.55,47.59,3539052
"2012-08-23",49.75,49.98,48.87,49.04,6177236
"2012-08-30",48.54,48.83,48.32,48.55,3358360
"2012-09-06",50.18,50.9,49.68,50.9,6194164
"2012-09-13",52.42,55.85,51.95,55.45,12625835
"2012-09-20",56.4,56.79,56.01,56.62,7822412
"2012-09-27",55.74,56.67,55.2,56.54,5804506
"2012-10-04",55.78,56.64,55.78,56.24,4922500
"2012-10-11",55.1,55.83,54.83,55.35,3504612
"2012-10-18",55.65,55.88,54.91,54.97,4050366
"2012-10-25",53.08,53.79,53.08,53.56,5037937
"2012-11-01",54.22,54.3,52.7,53.22,7396281
"2012-11-08",48.56,49.58,48.23,48.81,5731520
"2012-11-15",45.81,45.99,44.5,45.53,8333592
"2012-11-29",47.47,47.74,46.75,47.05,3971685
"2012-12-06",44,44.62,43.88,44.29,4351150
"2012-12-13",44.58,44.86,43.51,44.17,7911475
"2012-12-20",43.31,44.14,42.96,44.1,8943146
"2012-12-27",44.97,45.87,44.76,45.47,6080104
"2013-01-03",46.76,47.25,45.5,45.62,6018451
"2013-01-10",45.35,46.13,45.35,45.95,5371257
"2013-01-17",45,45,44,44.44,6516680
"2013-01-24",44.67,44.84,43.89,44.01,5554467
"2013-01-31",42.97,43.31,42.85,42.96,9406322
"2013-02-07",44.79,45.82,44.51,45.25,5098092
"2013-02-14",44.94,45.08,44.38,44.55,7641317
"2013-02-21",40.69,41.48,40.51,40.55,10184514
"2013-02-28",40.64,40.84,40.13,40.29,10849681
"2013-03-07",40.15,40.88,39.88,39.93,7758338
"2013-03-14",38.92,39.65,38.85,39.59,6241132
"2013-03-21",40.63,41.84,40.6,41.45,8805674
"2013-03-28",41.51,41.94,41.34,41.89,6402368
"2013-04-04",38.41,39.28,38.07,39.12,7521524
"2013-04-11",39.07,39.32,38.59,38.65,6476671
"2013-04-18",32.61,33.11,32.2,32.77,11663343
"2013-04-25",34.88,35.13,34.23,34.33,11158677
"2013-05-02",32.79,32.99,32.19,32.66,6347650
"2013-05-09",33.43,34.25,32.94,33.16,7046134
"2013-05-16",31.17,31.91,30.63,31.43,9623709
"2013-05-23",32.42,32.74,31.8,32.22,6922031
"2013-05-30",33.69,34.48,33.63,34.34,9522491
"2013-06-06",34.46,35.34,34.38,34.95,7142188
"2013-06-13",33.05,33.7,32.71,33.66,5898004
"2013-06-20",30.74,30.83,29.4,29.75,16751663
"2013-06-27",27.61,28.23,27.32,27.71,12909425
"2013-07-11",27.67,28.3,27.4,28.12,12732659
"2013-07-18",28.31,28.44,27.76,28.06,5414950
"2013-07-25",29.37,30.72,29.26,29.93,8694909
"2013-08-01",30.24,30.35,29.5,29.59,8154045
"2013-08-08",26.8,29.03,26.72,28.78,13608951
"2013-08-15",31.59,33.38,31.45,33.22,13755254
"2013-08-22",32.31,32.95,32.01,32.17,6518943
"2013-08-29",31.13,32.12,30.72,31.83,9469992
"2013-09-05",31.46,31.53,30.2,30.3,10801062
"2013-09-12",28.7,28.86,28.2,28.23,10806056
"2013-09-19",30.92,30.97,29.33,29.78,10496146
"2013-09-26",28.36,28.69,27.78,28.17,6433425
"2013-10-03",27.41,27.68,26.94,26.96,6795822
"2013-10-10",26.58,26.64,26.02,26.3,7410202
"2013-10-17",26.88,27.42,26.65,27.06,9440311
"2013-10-24",27.72,28.16,27.59,27.65,14327386
"2013-10-31",27.53,27.66,26.93,27.26,9313639
"2013-11-07",27.69,28.08,27.28,27.35,7978141
"2013-11-14",27.55,28.2,27.52,28.07,8665102
"2013-11-21",26.2,26.23,25.71,25.86,9806192
"2013-12-05",23.25,23.69,23.04,23.2,11671401
"2013-12-12",23,23.43,22.68,23.28,11035736
"2013-12-19",22.78,22.85,22.34,22.76,11092113
"2013-12-26",23.4,23.59,23.2,23.33,8405071
"2014-01-02",23.47,24.27,23.41,23.96,12240365
"2014-01-09",23.29,23.41,23.12,23.2,7143876
"2014-01-16",23.85,23.96,23.55,23.95,6368787
"2014-01-23",24.81,25.5,24.75,25.17,10907731
"2014-01-30",23.84,24.39,23.8,24.1,10667910
"2014-02-06",20.9,21.26,20.78,21.01,9256236
"2014-02-13",22.66,23.56,22.46,23.53,11131162
"2014-02-20",23.72,24.55,23.64,24.46,10012298
"2014-02-27",23.61,24.08,23.37,23.59,8346408
"2014-03-06",24.67,25.08,24.53,24.93,6749015
"2014-03-13",25.07,25.53,24.88,25.48,8367273
"2014-03-20",24.26,24.98,24.19,24.58,10636320
"2014-03-27",22.97,23.15,22.66,22.94,12032653
"2014-04-03",24.06,24.18,23.82,24.1,5475621
"2014-04-10",25.19,25.51,24.66,24.79,6729223
"2014-04-17",23.74,23.9,23.5,23.54,5468587
"2014-04-24",25.62,25.8,25.27,25.49,11985403
"2014-05-01",24.69,24.89,24.33,24.53,6982877
"2014-05-08",23.99,24.19,23.78,24,4286755
"2014-05-15",24.38,24.55,24.14,24.29,4184153
"2014-05-22",23.71,23.75,23.31,23.36,3741030
"2014-05-29",22.3,23.01,22.26,22.76,5896771
"2014-06-05",22.91,23.16,22.67,23.02,5021053
"2014-06-12",23.15,23.46,23.07,23.3,6296516
"2014-06-19",24.07,24.59,23.91,24.54,12448121
"2014-06-26",24.79,25.09,24.46,25.07,6636701
"2014-07-03",25.14,25.21,24.87,25.19,3839529
"2014-07-10",25.97,26.04,25.3,25.44,9974556
"2014-07-17",25.3,25.64,25.11,25.45,6085154
"2014-07-24",25.04,25.09,24.65,24.78,6670830
"2014-07-31",25.28,25.41,24.91,24.91,6439893
"2014-08-07",26.28,26.28,26,26.18,5331123
"2014-08-14",27.12,27.32,26.86,27.05,4960791
"2014-08-21",26.31,26.69,26.07,26.61,6841380
"2014-08-28",26.87,26.99,26.59,26.86,4512457
