"","NFLX.Open","NFLX.High","NFLX.Low","NFLX.Close","NFLX.Volume"
"2011-09-15",25.35,26.49,24.02,24.18,148811313
"2011-09-22",18.88,18.99,17.89,18.36,115100342
"2011-09-29",18.3,18.35,15.39,16.17,135943164
"2011-10-06",17.1,17.75,16.93,17.61,40517421
"2011-10-13",16.09,17,15.89,16.72,69115102
"2011-10-20",15.72,16,15.58,15.93,25591048
"2011-10-27",11.74,11.82,11.32,11.55,71216656
"2011-11-03",12.02,13.23,11.69,13.18,94724189
"2011-11-10",12.76,12.9,12.12,12.16,39680578
"2011-11-17",11.54,11.57,10.83,10.92,52846829
"2011-12-01",9.2,9.78,9.14,9.6,52460828
"2011-12-08",10.22,10.42,9.87,9.92,46231640
"2011-12-15",10.23,10.28,9.91,9.96,26269474
"2011-12-22",10.16,10.63,10.16,10.55,25878181
"2011-12-29",9.85,9.98,9.66,9.9,26163312
"2012-01-05",11.35,11.69,11.04,11.33,86608599
"2012-01-12",13.21,13.34,12.74,13.16,61292861
"2012-01-19",14.24,14.94,14.24,14.78,78835988
"2012-01-26",16.27,17.05,16.01,16.57,158944065
"2012-02-02",17.64,17.96,17.46,17.71,41155296
"2012-02-09",17.77,18.14,17.45,17.83,40541018
"2012-02-16",17.46,17.73,17.14,17.42,40594246
"2012-02-23",15.94,16.31,15.88,16.14,39799585
"2012-03-01",15.59,16.24,15.5,16.11,36906520
"2012-03-08",15.14,15.49,14.86,15.44,45752525
"2012-03-15",15.05,15.81,15,15.74,40889142
"2012-03-22",17.15,17.64,16.84,16.96,42773451
"2012-03-29",16.85,16.94,16.14,16.44,32638529
"2012-04-05",15.71,15.94,15.62,15.79,22734089
"2012-04-12",14.47,14.99,14.19,14.89,33903611
"2012-04-19",15.01,15.67,14.9,15.3,25097870
"2012-04-26",12.23,12.55,11.97,12.15,55986469
"2012-05-03",11.69,11.74,10.79,10.85,53021808
"2012-05-10",10.69,10.71,10.3,10.35,26424139
"2012-05-17",10.61,10.63,10.27,10.28,23787659
"2012-05-24",10.22,10.24,9.93,10.04,20745613
"2012-05-31",9.53,9.68,8.91,9.06,53846982
"2012-06-07",9.51,9.56,9.2,9.23,21050134
