"","NFX.Open","NFX.High","NFX.Low","NFX.Close","NFX.Volume"
"2011-09-15",48.83,49.31,48.28,48.97,1352185
"2011-09-22",42.61,42.71,39.57,40.79,2699641
"2011-09-29",42.65,42.97,39.92,40.82,2102622
"2011-10-06",40.89,42.71,40.66,42.35,3235788
"2011-10-13",41.95,41.95,40.02,40.8,4438915
"2011-10-20",36.14,37.42,34.42,35.81,15008618
"2011-10-27",39.19,41.45,39.19,40.72,5159007
"2011-11-03",41.96,42.57,40.69,42.31,2678155
"2011-11-10",41.04,42.83,40.37,42.43,2707983
"2011-11-17",42.26,42.71,40.22,40.6,2226276
"2011-12-01",45.6,46.74,45.5,45.92,2335657
"2011-12-08",42.97,43.25,41.24,41.41,2038294
"2011-12-15",38.32,38.33,36.52,36.97,2126275
"2011-12-22",37.3,38.16,37.08,38.03,2630775
"2011-12-29",37.19,38.05,37.15,37.95,1845791
"2012-01-05",38.98,39.49,38.36,38.69,2605059
"2012-01-12",38.25,38.71,37.92,38.3,1460941
"2012-01-19",39.57,39.77,39.14,39.26,1742694
"2012-01-26",41.51,41.75,39.16,39.54,2353146
"2012-02-02",37.48,37.96,37.2,37.59,1733632
"2012-02-09",38.4,38.42,37.46,38.27,1445385
"2012-02-16",39.98,41.41,39.36,41.38,3773562
"2012-02-23",36.87,37.27,36.4,36.96,3503610
"2012-03-01",36.1,36.29,35.76,36.06,2771114
"2012-03-08",35.13,35.67,34.77,35.56,1737431
"2012-03-15",35.63,36.15,35.3,36,1622527
"2012-03-22",34.75,34.93,34.19,34.55,2103935
"2012-03-29",34.09,34.29,33.74,34.07,2192237
"2012-04-05",35.34,36.04,34.98,35.12,2335328
"2012-04-12",32.25,33.79,32.25,33.72,2193033
"2012-04-19",33.03,33.38,32.5,32.67,2807283
"2012-04-26",35.08,36.08,34.76,35.75,2289864
"2012-05-03",35.51,35.72,34.48,34.95,2924864
"2012-05-10",33.52,34,32.74,32.86,2409511
"2012-05-17",29.62,29.75,28.41,28.42,3581463
"2012-05-24",29.87,30.09,29.19,29.72,2744813
"2012-05-31",30.5,30.59,29.22,29.96,2652645
"2012-06-07",29.85,30.04,28.91,29,2752397
"2012-06-14",26.9,26.9,26.08,26.62,4859807
"2012-06-21",27.15,27.15,25.42,25.52,2407591
"2012-06-28",25.96,27.56,25.91,27.5,4962605
"2012-07-05",29.59,30.36,29.27,30,2659802
"2012-07-12",28.2,29.29,27.95,29.04,3048800
"2012-07-19",32,32.75,32,32.65,4001768
