"","NI.Open","NI.High","NI.Low","NI.Close","NI.Volume"
"2011-09-15",22.09,22.3,21.87,22.07,4004450
"2011-09-22",21.12,21.17,20.69,20.91,4626546
"2011-09-29",21.69,21.82,21.29,21.66,4297748
"2011-10-06",21.38,21.71,21.2,21.71,2433295
"2011-10-13",21.51,21.83,21.38,21.77,3519755
"2011-10-20",22.34,22.62,22.25,22.39,7761760
"2011-10-27",22.57,22.71,22.16,22.4,7236752
"2011-11-03",22.01,22.21,21.87,22.15,2236231
"2011-11-10",21.96,22.08,21.67,21.92,2888968
"2011-11-17",21.81,22.16,21.71,21.99,3532065
"2011-12-01",22.77,22.99,22.74,22.82,2266187
"2011-12-08",22.3,22.3,21.85,21.85,3437917
"2011-12-15",22.01,22.32,21.97,22.28,3014198
"2011-12-22",23.31,23.31,23.08,23.19,1408365
"2011-12-29",23.64,23.9,23.64,23.88,1288587
"2012-01-05",23.08,23.15,22.95,23.09,4113934
"2012-01-12",22.56,22.57,22.32,22.53,8555521
"2012-01-19",23.41,23.45,22.74,22.82,3011694
"2012-01-26",23.23,23.45,23.1,23.37,3295734
"2012-02-02",23.38,23.38,22.77,22.86,4035578
"2012-02-09",23.54,23.54,23.08,23.18,2371084
"2012-02-16",22.85,23.23,22.82,23.1,2200267
"2012-02-23",23.48,23.63,23.38,23.56,2888285
"2012-03-01",23.98,24.03,23.8,23.88,3787836
"2012-03-08",23.73,23.94,23.57,23.9,1544077
"2012-03-15",23.94,23.97,23.71,23.9,1439730
"2012-03-22",23.6,24.02,23.57,23.94,3079149
"2012-03-29",23.81,24.28,23.68,24.25,3314982
"2012-04-05",24.16,24.51,24.13,24.5,2162908
"2012-04-12",23.72,23.93,23.59,23.9,6520300
"2012-04-19",24.3,24.33,23.93,24.07,2985665
"2012-04-26",24.32,24.53,24.26,24.45,2267756
"2012-05-03",25,25.2,24.76,24.77,2051902
"2012-05-10",25.12,25.35,24.95,25.26,2496180
"2012-05-17",25.03,25.03,24.64,24.66,1658998
"2012-05-24",24.76,25.09,24.76,24.96,1760382
"2012-05-31",25.01,25.24,24.84,25.09,2536595
"2012-06-07",25.14,25.22,24.99,25.11,2108289
"2012-06-14",25.3,25.46,25.16,25.32,1997259
"2012-06-21",25,25.05,24.03,24.07,5510450
"2012-06-28",24.31,24.52,24.17,24.52,1477321
"2012-07-05",24.75,24.75,24.49,24.56,1682976
"2012-07-12",24.44,24.77,24.36,24.68,2149992
"2012-07-19",25.27,25.44,25.01,25.34,5667787
"2012-07-26",25.36,25.57,25.25,25.46,2706334
"2012-08-02",25.22,25.35,24.88,25.03,3158590
"2012-08-09",25.29,25.43,25.14,25.24,1508309
"2012-08-16",25.03,25.04,24.71,24.82,2235997
"2012-08-23",24.23,24.23,23.94,24,2458834
"2012-08-30",24.34,24.39,24.22,24.32,1239931
"2012-09-06",24.97,25.48,24.97,25.44,4453054
"2012-09-13",25.2,25.67,25.2,25.61,3526156
"2012-09-20",25.49,25.67,25.49,25.59,1960271
"2012-09-27",25.52,25.62,25.3,25.51,1913397
"2012-10-04",25.69,25.94,25.64,25.83,1722348
"2012-10-11",25.63,25.64,25.45,25.45,1065576
"2012-10-18",25.71,25.74,25.56,25.69,782955
"2012-10-25",25.28,25.54,25.2,25.54,1935200
"2012-11-01",25.47,25.69,25.36,25.45,1842032
"2012-11-08",24.5,24.75,24.44,24.48,2858235
"2012-11-15",23.64,23.71,23.14,23.4,3095580
"2012-11-29",23.85,23.94,23.72,23.93,1962870
"2012-12-06",24.59,24.62,24.37,24.54,2252564
"2012-12-13",24.35,24.42,24.11,24.18,5403017
"2012-12-20",24.7,25.07,24.7,25.02,3459977
"2012-12-27",24.67,24.78,24.36,24.72,2188945
"2013-01-03",25.26,25.39,25.16,25.22,2744300
"2013-01-10",25.27,25.56,25.25,25.5,3290109
"2013-01-17",25.97,26.17,25.9,26.03,2268513
"2013-01-24",26.57,26.75,26.48,26.5,2190944
