"","NKE.Open","NKE.High","NKE.Low","NKE.Close","NKE.Volume"
"2011-09-15",22.06,22.1,21.69,22.01,11005976
"2011-09-22",20.8,21.18,20.56,21.04,23763380
"2011-09-29",22.45,22.5,21.36,22,14378396
"2011-10-06",21.88,22.45,21.8,22.32,10604044
"2011-10-13",22.86,23.12,22.73,23.05,8464984
"2011-10-20",22.91,23.12,22.67,22.97,8445192
"2011-10-27",24.04,24.12,23.86,23.96,15449024
"2011-11-03",24.04,24.06,23.39,23.92,10792872
"2011-11-10",23.36,23.64,23.14,23.48,9393636
"2011-11-17",23.28,23.42,22.72,22.97,9039584
"2011-12-01",23.84,24.08,23.63,23.81,9567020
"2011-12-08",23.9,24.12,23.75,23.8,9393548
"2011-12-15",23.86,23.94,23.35,23.52,10732104
"2011-12-22",24.15,24.15,23.56,23.7,11711644
"2011-12-29",24.14,24.48,24.12,24.36,8571744
"2012-01-05",24.45,24.64,24.25,24.54,8393472
"2012-01-12",24.57,24.78,24.43,24.78,7516552
"2012-01-19",25.18,25.49,25.13,25.4,9158364
"2012-01-26",25.75,25.8,25.45,25.58,7528256
"2012-02-02",26,26.05,25.64,25.7,9372956
"2012-02-09",26.44,26.54,26.3,26.44,5847612
"2012-02-16",26.62,26.86,26.39,26.54,6658048
"2012-02-23",26.48,26.68,26.38,26.54,5860712
"2012-03-01",27.22,27.24,27.01,27.14,7070484
"2012-03-08",27.03,27.12,26.92,26.98,4564984
"2012-03-15",27.71,27.77,27.58,27.68,7297368
"2012-03-22",27.53,27.91,27.27,27.75,20453720
"2012-03-29",26.58,27,26.58,26.96,7893404
"2012-04-05",27.26,27.63,27.25,27.6,8787496
"2012-04-12",27.04,27.18,26.79,27.16,11554908
"2012-04-19",27.66,27.74,27.26,27.4,8027308
"2012-04-26",27.26,27.69,27.18,27.59,6229044
"2012-05-03",28.55,28.7,28.38,28.6,10341216
"2012-05-10",27.26,27.38,26.81,26.89,9458644
"2012-05-17",26.7,26.75,26.07,26.08,9444252
"2012-05-24",26.92,27.16,26.7,26.87,8629232
"2012-05-31",27.12,27.21,26.66,27.04,10796764
"2012-06-07",26.98,27.1,26.56,26.84,7079216
"2012-06-14",25.86,25.86,24.84,25,24052476
"2012-06-21",25.32,25.62,24.63,24.66,16054088
"2012-06-28",24.38,24.62,23.96,24.22,23916616
"2012-07-05",22.68,23.18,22.64,23.05,22258332
"2012-07-12",22.98,23.06,22.55,22.96,14967544
"2012-07-19",23.8,24,23.53,23.82,10861104
"2012-07-26",23.62,24.22,23.57,24.14,14772084
"2012-08-02",23,23.25,22.76,23.14,10461928
"2012-08-09",23.91,23.99,23.73,23.76,9914200
"2012-08-16",23.55,23.85,23.36,23.7,13942756
"2012-08-23",23.92,24,23.74,23.86,6761760
"2012-08-30",24.47,24.62,24.38,24.44,7020252
"2012-09-06",24.44,24.89,24.37,24.86,9090548
"2012-09-13",24.84,24.95,24.57,24.8,17325628
"2012-09-20",24.6,24.6,24.1,24.18,12852268
"2012-09-27",23.95,24.16,23.66,24,19397772
"2012-10-04",23.58,23.99,23.5,23.97,13062220
"2012-10-11",23.66,23.87,23.63,23.72,7937272
