"","NLSN.Open","NLSN.High","NLSN.Low","NLSN.Close","NLSN.Volume"
"2015-09-03",45.47,46.37,45.24,45.51,1953480
"2015-09-10",46.28,46.6,45.93,46.13,1423429
"2015-09-17",47.18,47.86,46.9,47.18,1495921
"2015-09-24",46.79,47.22,46.74,47.17,2654869
"2015-10-01",44.41,45.39,44.27,44.9,3905013
"2015-10-08",46.56,46.81,46.27,46.62,2870975
"2015-10-15",46.93,47.77,46.92,47.72,1778762
"2015-10-22",46.24,47.94,46.21,47.42,3523493
"2015-10-29",48.03,48.45,47.72,47.95,1519972
"2015-11-05",47.49,47.85,47.11,47.84,1445826
"2015-11-12",47.05,47.63,47.05,47.18,956596
"2015-11-19",47.94,47.96,47.45,47.67,1074207
"2015-12-03",47.08,47.08,45.4,45.67,2598467
"2015-12-10",45,46.05,44.83,45.7,2113536
"2015-12-17",47.01,47.16,46.22,46.25,3510917
"2015-12-24",46.42,46.7,46.26,46.47,543528
"2015-12-31",46.84,47,46.49,46.6,1244958
"2016-01-07",45.28,45.88,45.03,45.14,6471738
"2016-01-14",44.75,45.99,44.31,45.7,3528648
"2016-01-21",43.97,44.4,43.42,43.89,3562767
"2016-01-28",46.41,47.26,46.17,46.86,3259450
"2016-02-04",46.68,47.07,46.45,46.7,2574616
"2016-02-11",45.5,47.65,45.2,47.33,6760349
"2016-02-18",48.5,48.51,47.82,47.85,1925954
"2016-02-25",49.45,49.95,49.35,49.66,1659332
"2016-03-03",50.8,51.43,50.61,51.23,1959258
"2016-03-10",50.66,50.92,50.16,50.39,2099544
"2016-03-17",51.67,53.03,51.67,52.84,4298939
"2016-03-24",51.62,52.03,51.57,52,1043952
"2016-03-31",52.67,53.08,52.57,52.66,1794871
"2016-04-07",52.49,52.9,52.13,52.29,1570012
"2016-04-14",53.3,53.42,52.88,52.96,1453869
"2016-04-21",52.7,52.86,51.82,51.86,2293711
"2016-04-28",51.3,52.12,51.24,51.78,2335684
"2016-05-05",51.38,51.56,50.89,50.98,2684504
"2016-05-12",52.17,52.46,51.97,52.3,1002770
"2016-05-19",51.77,51.92,51.07,51.59,1183862
"2016-05-26",52.93,53.45,52.75,53.36,922944
"2016-06-02",53.49,53.75,53.17,53.72,917065
"2016-06-09",54.45,55.06,54.39,54.98,1098221
"2016-06-16",53.71,54.14,53.58,53.89,2508136
"2016-06-23",54.11,54.14,53.48,53.69,1664763
"2016-06-30",51.96,52.1,51.2,51.97,4529649
"2016-07-07",52.1,52.5,52,52.25,1930057
"2016-07-14",54.04,54.25,53.78,54.03,2093479
"2016-07-21",55.09,55.62,54.86,55.42,2807645
"2016-07-28",53.96,54.54,53.6,54.15,1956128
"2016-08-04",53.28,53.46,52.88,52.96,1706278
"2016-08-11",53.06,53.21,52.67,52.76,1062313
"2016-08-18",53.03,53.19,52.88,53.15,972090
"2016-08-25",52.52,53,52,52.6,2188563
"2016-09-01",53.13,53.48,52.59,52.69,1960421
"2016-09-08",52.96,53.13,52.09,52.36,3495682
"2016-09-15",51.68,52.71,51.38,52.52,2365966
