"","NOC.Open","NOC.High","NOC.Low","NOC.Close","NOC.Volume"
"2011-09-15",53.48,54.28,53.31,54.17,1618685
"2011-09-22",50.47,51.69,50.32,51.13,3541133
"2011-09-29",52.97,53.94,52.29,53.27,2413836
"2011-10-06",51.75,52.32,51.14,52.29,2548860
"2011-10-13",54.89,54.98,53.66,54.33,2406021
"2011-10-20",54.34,54.47,53.53,54.11,1914258
"2011-10-27",57.38,57.97,56.2,57.64,2397238
"2011-11-03",56.28,57.53,56.15,57.38,2075922
"2011-11-10",58.23,58.57,57.81,58.06,2117398
"2011-11-17",58.23,58.24,56.32,56.87,2481743
"2011-12-01",56.86,58,56.69,57.33,1932326
"2011-12-08",56.33,56.81,55.59,55.7,2076744
"2011-12-15",55.54,55.83,55.26,55.34,1819023
"2011-12-22",57.09,58,57.02,57.8,1446290
"2011-12-29",58.31,58.96,58.29,58.89,887163
"2012-01-05",58.15,58.26,57.31,58.15,1794668
"2012-01-12",58.56,59.88,58.56,59.75,1473857
"2012-01-19",60.34,61.57,60.17,61.31,1946988
"2012-01-26",59.63,59.66,58.96,59.32,2732197
"2012-02-02",58.24,58.94,57.88,58.3,3033148
"2012-02-09",60.57,60.65,60.03,60.21,1326878
"2012-02-16",59.83,59.85,59.03,59.68,1773171
"2012-02-23",59.35,59.8,59.28,59.62,1318818
"2012-03-01",60.42,60.42,59.67,60.21,1376790
"2012-03-08",60.07,60.85,60.07,60.37,1564689
"2012-03-15",62,62.01,61.4,61.97,1794739
"2012-03-22",60.51,61.12,60.19,60.97,1629371
"2012-03-29",60.49,60.98,60.04,60.89,1352806
"2012-04-05",61.15,61.21,60.77,60.85,1545705
"2012-04-12",60.1,61.39,60.1,61.29,1298018
"2012-04-19",61.74,61.85,60.88,61.02,1178032
"2012-04-26",63.06,63.9,62.87,63.44,2416248
"2012-05-03",63.26,63.31,62.71,62.84,1357835
"2012-05-10",61.02,61.24,60.58,60.7,909643
"2012-05-17",59.55,59.83,58.49,58.5,1721493
"2012-05-24",59.02,59.07,58.09,58.81,1509962
"2012-05-31",58.89,59.25,58.64,58.75,2077438
"2012-06-07",59.2,59.92,59.17,59.35,1491822
"2012-06-14",59.89,61.07,59.59,60.53,2198421
"2012-06-21",62.28,62.53,61.78,61.84,1668807
"2012-06-28",61.67,61.81,61.19,61.73,1354242
"2012-07-05",63.78,64.13,63.65,63.93,923769
"2012-07-12",62.49,62.72,61.86,62.16,1030218
"2012-07-19",64.88,65.35,64.5,65.12,1140984
"2012-07-26",65.16,65.47,64.19,64.8,2887792
"2012-08-02",65.63,65.95,64.73,65.61,1513752
"2012-08-09",67.6,68.55,67.51,68.4,1736703
"2012-08-16",68.28,68.89,68.24,68.79,1032997
"2012-08-23",67.42,67.65,66.66,66.92,2277081
"2012-08-30",66.95,67.16,66.53,66.56,1242610
"2012-09-06",67.07,68.12,66.98,67.69,1599277
"2012-09-13",66.77,67.29,65.45,67.01,3057019
"2012-09-20",66.67,67,66.27,66.94,1455094
"2012-09-27",66.56,66.7,65.97,66.47,942807
"2012-10-04",68.3,68.93,68.19,68.79,2454052
"2012-10-11",68.68,69.23,68.57,68.64,770695
"2012-10-18",70.49,71.25,70.32,71.13,822792
"2012-10-25",70,70.26,68.42,69.04,1448802
"2012-11-01",68.83,69.65,68.35,68.92,1710127
"2012-11-08",66.49,66.83,65.41,65.42,2510063
"2012-11-15",63.47,63.71,63.08,63.23,2139701
"2012-11-29",66.24,66.82,66.01,66.65,1331827
"2012-12-06",66.69,67.27,66.28,67.27,1976167
"2012-12-13",68.21,68.36,67.31,67.37,1457851
"2012-12-20",68.5,69.1,68.44,69,1355559
"2012-12-27",68.09,68.31,67.04,67.74,1285608
"2013-01-03",68.33,68.71,67.84,67.94,1855338
"2013-01-10",67.39,67.64,67.14,67.4,1842699
"2013-01-17",66.95,67.52,66.76,67.14,2153466
"2013-01-24",68.79,68.9,68.09,68.23,1862414
"2013-01-31",66,66.14,64.95,65.04,3073608
"2013-02-07",65.27,65.86,65.13,65.69,2631310
"2013-02-14",65.42,66.24,65.27,65.8,1840019
"2013-02-21",65.96,65.96,65.13,65.37,1437988
"2013-02-28",65.76,66.17,65.44,65.68,2081888
"2013-03-07",65.13,65.7,65.02,65.27,1819458
"2013-03-14",67.35,67.74,67.09,67.54,1557848
"2013-03-21",68.27,68.75,67.73,68,995701
"2013-03-28",69.87,70.21,69.46,70.15,1695899
"2013-04-04",70.29,71.17,70.13,71.07,2528172
"2013-04-11",72.04,72.67,71.9,72.45,1641073
"2013-04-18",70.12,70.2,69.23,69.87,1559757
"2013-04-25",73.82,74.97,72.86,74.49,2153858
"2013-05-02",75.65,76.55,75.46,76.31,1549762
"2013-05-09",77.75,78.16,77.5,77.66,1236284
"2013-05-16",79.4,79.6,78.81,79.02,1391393
"2013-05-23",79.78,81,79.59,80.64,1271487
"2013-05-30",82.69,83.99,82.69,83.49,1778692
"2013-06-06",81.43,82.41,80.92,82.25,1802763
"2013-06-13",82.67,84.14,82.5,82.86,1794192
"2013-06-20",82.3,83.16,81.95,81.97,1455560
"2013-06-27",82.45,83.45,82.37,83.21,952704
"2013-07-11",87.71,87.89,87.37,87.75,1336440
"2013-07-18",86.75,88.35,86.75,88.12,1528734
"2013-07-25",90.31,90.57,89.73,90.41,1388895
"2013-08-01",92.45,93.49,92.45,93.09,2335221
"2013-08-08",96.09,96.42,95.55,95.61,1539310
"2013-08-15",93.98,94.84,93.45,93.79,1595096
"2013-08-22",94.3,94.86,93.9,94.03,1021795
"2013-08-29",92.47,93.49,91.99,93.06,891057
"2013-09-05",93.61,93.73,93.26,93.56,1111501
"2013-09-12",95.04,96.08,95.04,95.74,1059939
"2013-09-19",98.61,99.1,98.02,98.05,910531
"2013-09-26",95.69,96.45,95.56,96.37,827267
"2013-10-03",95.09,95.09,92.61,93.08,1579196
"2013-10-10",94.85,97.11,94.82,97.1,1169573
"2013-10-17",98.51,100.73,98.13,100.73,1246711
"2013-10-24",105.96,108.01,105.69,107.48,1769749
"2013-10-31",107.74,108.69,107.28,107.51,1857933
"2013-11-07",109.68,110.47,108.58,108.67,1088788
"2013-11-14",109.98,110.17,109.14,110.1,1028502
"2013-11-21",110.35,111.05,110.21,110.77,1584454
"2013-12-05",110.08,111.17,109.43,109.54,1239510
"2013-12-12",107.65,108.32,107.21,108.03,1881641
"2013-12-19",111.45,111.85,110.17,110.55,1373591
"2013-12-26",114.45,115.88,114.37,115.32,981101
