"","NRG.Open","NRG.High","NRG.Low","NRG.Close","NRG.Volume"
"2011-09-15",23.35,23.88,23.24,23.79,2736853
"2011-09-22",21.77,21.88,21.43,21.7,4878543
"2011-09-29",21.59,21.78,21.32,21.64,2843909
"2011-10-06",20.38,21.11,20.19,20.83,3024227
"2011-10-13",20.84,20.95,20.47,20.91,2477837
"2011-10-20",20.89,20.99,20.45,20.92,2390473
"2011-10-27",21.3,22.16,21.26,21.92,3638731
"2011-11-03",21.09,22.46,20.71,21.69,3774327
"2011-11-10",22.03,22.13,21.46,21.64,2535750
"2011-11-17",20.85,21.06,20.48,20.74,2452418
"2011-12-01",19.69,19.85,19.6,19.67,2719406
"2011-12-08",19.12,19.32,18.57,18.61,3207971
"2011-12-15",18.28,18.44,18.18,18.21,2050416
"2011-12-22",18.59,18.75,18.43,18.66,2176510
"2011-12-29",18.28,18.29,18.07,18.25,1861567
"2012-01-05",17.96,18.11,17.73,18.05,2152878
"2012-01-12",17.7,17.84,17.41,17.63,2176543
"2012-01-19",17.26,17.29,16.32,16.42,3997103
"2012-01-26",17.37,17.4,16.92,17.08,2389736
"2012-02-02",16.83,16.92,16.59,16.86,2402617
"2012-02-09",17.11,17.18,16.84,17.08,1424281
"2012-02-16",16.99,17.4,16.73,17.34,2435669
"2012-02-23",17.54,17.76,17.4,17.74,1372865
"2012-03-01",17.21,17.4,17.1,17.2,4324584
"2012-03-08",16.77,16.86,16.6,16.69,2427939
"2012-03-15",16.59,16.63,16.27,16.41,2500719
"2012-03-22",16.79,16.82,16.46,16.65,3020886
"2012-03-29",16.04,16.08,15.53,15.74,4797122
"2012-04-05",15.48,15.55,15.09,15.18,2183303
"2012-04-12",14.64,14.86,14.54,14.74,4237075
"2012-04-19",14.92,15.1,14.75,15.06,4052051
"2012-04-26",16.36,16.72,16.25,16.69,4725201
"2012-05-03",16.03,16.49,15.6,16.21,5639777
"2012-05-10",15.69,16.28,15.66,16.13,6105178
"2012-05-17",15.78,15.98,15.5,15.62,4130258
"2012-05-24",15.72,15.83,15.54,15.69,2194423
"2012-05-31",15.37,15.47,15.04,15.32,2633449
"2012-06-07",16.21,16.3,15.74,15.82,2602195
"2012-06-14",15.07,15.25,14.83,15.09,5443895
"2012-06-21",15.85,15.89,15.22,15.26,3020413
"2012-06-28",16.41,16.86,16.3,16.83,4828899
"2012-07-05",17.56,17.63,17.26,17.31,2858185
"2012-07-12",16.98,17.31,16.89,17.23,2516874
"2012-07-19",17.92,18.14,17.75,18.1,3568817
"2012-07-26",19.26,19.68,18.98,19.6,5721131
"2012-08-02",19.55,19.69,18.83,19.09,6949563
