"","NTAP.Open","NTAP.High","NTAP.Low","NTAP.Close","NTAP.Volume"
"2011-09-15",37.15,38.35,37.03,38.07,8464501
"2011-09-22",34.72,35.38,34.15,35.04,10981143
"2011-09-29",35.55,35.78,34.2,34.97,6901819
"2011-10-06",36.17,37.61,36.01,37.34,6753354
"2011-10-13",38.73,39.11,38.41,38.65,5395574
"2011-10-20",38.57,38.63,36.78,37.72,7796144
"2011-10-27",39.69,42.48,39.6,41.71,11875781
"2011-11-03",40.67,42.08,39.76,41.96,6675674
"2011-11-10",42.68,42.85,41.13,41.89,7543010
"2011-11-17",36.38,36.89,35.32,35.73,31708860
"2011-12-01",36.72,37.22,36.38,36.92,6121822
"2011-12-08",37.37,37.74,36.88,37.1,4633398
"2011-12-15",37.45,37.66,36,36.28,5903384
"2011-12-22",35.44,36.42,35.34,36.08,4357053
"2011-12-29",36.12,36.38,35.81,36.31,2357756
"2012-01-05",35.26,35.48,34.41,34.67,9831613
"2012-01-12",34.94,35.04,34.3,34.43,5963325
"2012-01-19",35.11,37.67,35.11,37.51,18668576
"2012-01-26",37.89,38.3,37.38,37.56,6276395
"2012-02-02",39.5,39.68,39.07,39.43,7470859
"2012-02-09",39.87,41.28,39.85,41.11,6232454
"2012-02-16",42.49,43.1,41.71,42.74,24995860
"2012-02-23",42.63,43.44,42.5,43.28,4651492
"2012-03-01",43.13,43.42,42.6,43.31,4238792
"2012-03-08",41.76,42.08,41.46,41.84,3857310
"2012-03-15",42.91,43.49,42.57,43.33,3367427
"2012-03-22",45.57,45.9,44.97,45.19,7534705
"2012-03-29",45.14,45.25,44.15,44.67,6682942
"2012-04-05",44.37,44.74,43.68,43.72,7546268
"2012-04-12",40.93,41.25,40.75,40.94,6661444
"2012-04-19",39.67,40.26,39.25,39.67,5627969
"2012-04-26",39.29,39.45,39.08,39.41,6028578
"2012-05-03",39.4,39.5,38.23,38.48,7183112
"2012-05-10",37.38,37.68,35.4,35.7,16178383
"2012-05-17",34.64,35.01,34.27,34.27,5066681
"2012-05-24",28.48,29.58,27.79,28.82,54216440
"2012-05-31",29.51,29.99,29.14,29.76,10509826
"2012-06-07",32.4,32.4,31.23,31.31,7405313
"2012-06-14",30.2,30.26,29.57,30.09,8984684
"2012-06-21",30.94,31.13,29.5,29.55,7497891
"2012-06-28",30.2,30.57,29.55,29.89,6140890
"2012-07-05",31.01,31.29,30.93,31.12,3806938
"2012-07-12",28.57,28.64,28.12,28.37,6113370
"2012-07-19",30.3,31.36,30.15,31.12,7700223
"2012-07-26",32.02,32.39,31.7,32.08,4009092
"2012-08-02",31.91,32.64,31.39,31.61,5636733
"2012-08-09",32.38,32.92,32.01,32.13,8712716
"2012-08-16",33.04,33.37,31.22,32.97,19873969
"2012-08-23",33.32,33.74,33.05,33.4,4936484
"2012-08-30",34.65,34.65,33.91,34.13,4649777
"2012-09-06",34.76,35.59,34.4,35.56,6589721
"2012-09-13",34.96,35.45,34.62,35.28,6649732
"2012-09-20",35.48,35.7,35.24,35.51,3947189
"2012-09-27",33.06,33.43,33,33.23,7826694
"2012-10-04",31.43,31.43,30.8,31.04,8603227
"2012-10-11",29.71,29.8,29.08,29.19,8060416
"2012-10-18",29.97,30.43,29.82,30.27,7891326
"2012-10-25",28.43,28.53,28.03,28.13,5284518
"2012-11-01",27.24,28.29,27.06,28.1,8098169
"2012-11-08",27.75,28.06,27.31,27.31,4153163
"2012-11-15",30.22,30.8,29.7,30.2,22808034
"2012-11-29",31.37,32.26,31.32,31.88,8452184
"2012-12-06",32.62,32.94,32.62,32.92,5207319
"2012-12-13",33.19,33.51,32.78,33.04,7675476
"2012-12-20",34.26,34.42,33.89,34.07,4378164
"2012-12-27",33.49,33.55,32.96,33.42,3254071
"2013-01-03",34.22,34.82,33.84,34.17,4620640
"2013-01-10",32.6,32.7,32.05,32.42,5213510
"2013-01-17",34.55,34.63,34.12,34.47,5729356
"2013-01-24",35,35.62,34.78,35.47,7095469
"2013-01-31",36.36,36.78,36,36,4036636
"2013-02-07",36,36,35.09,35.56,5522751
"2013-02-14",34.99,35.92,34,35.86,10459776
"2013-02-21",35.38,35.79,34.13,34.54,7483340
"2013-02-28",34.33,34.5,33.82,33.84,4348781
"2013-03-07",34.53,34.94,33.96,34.28,4678062
"2013-03-14",34.18,34.56,34.18,34.51,4566700
"2013-03-21",33.86,33.96,33.42,33.77,4854538
"2013-03-28",33.59,34.22,33.33,34.16,7172902
"2013-04-04",34.32,34.61,34.11,34.57,4060412
"2013-04-11",33.59,33.61,33.11,33.47,8647590
"2013-04-18",34.86,34.96,33.68,33.78,5893078
"2013-04-25",35.1,35.59,34.73,34.81,6834019
"2013-05-02",34.2,34.3,33.61,33.87,8258642
"2013-05-09",35.82,36.07,35.51,35.73,6499962
"2013-05-16",36.55,39.15,36.46,38.46,25043672
"2013-05-23",37.5,37.5,36.85,36.89,11277377
"2013-05-30",37.87,38.12,37.57,38.01,5409897
"2013-06-06",37.58,37.64,37.08,37.61,6830888
"2013-06-13",38.23,38.54,37.7,38.45,5715209
"2013-06-20",38.45,38.85,38.02,38.31,5380623
"2013-06-27",38,38.27,37.88,37.96,3139538
"2013-07-11",39.13,39.28,38.84,39.03,3553188
"2013-07-18",40.8,41.39,40.44,40.98,6849008
"2013-07-25",41.24,41.67,41.19,41.54,4596005
"2013-08-01",41.22,41.71,41.21,41.48,3562001
"2013-08-08",42,42.53,42,42.45,11208792
"2013-08-15",40.39,42.15,40.2,42.03,13996871
"2013-08-22",41.66,41.94,41.47,41.82,3368222
"2013-08-29",41.31,41.8,41.3,41.6,3238894
"2013-09-05",41.96,42.32,41.85,42.11,3360923
"2013-09-12",43.3,43.82,43.25,43.65,4545831
"2013-09-19",44.1,44.65,44.04,44.32,3741778
"2013-09-26",42.99,43.38,42.84,43.13,4970729
"2013-10-03",42.71,42.86,42,42.1,6358485
"2013-10-10",41.5,41.79,41.4,41.6,4727132
"2013-10-17",40,40.7,39.79,40.64,5787159
"2013-10-24",39.22,39.44,39.07,39.29,2930192
"2013-10-31",38.74,39.25,38.68,38.81,6123428
"2013-11-07",38.46,39.62,38.45,39.45,7632058
"2013-11-14",41.13,42.68,40.72,41.07,10528518
"2013-11-21",39.95,40.67,39.95,40.39,2970948
"2013-12-05",40.57,41.46,40.57,41.45,5518728
"2013-12-12",39.99,40.11,39.34,39.6,5612386
"2013-12-19",40.1,40.65,39.95,40.64,2866423
"2013-12-26",40.22,40.66,40.22,40.31,1862533
"2014-01-02",41.01,41.01,40.42,40.42,2427140
"2014-01-09",40.98,41.14,40.51,40.65,3477305
"2014-01-16",43.23,43.84,43.18,43.28,5181792
"2014-01-23",44.92,45.96,44.92,45.85,4338073
"2014-01-30",43.24,43.28,42.63,43.14,2223307
"2014-02-06",41.57,42.09,41.45,41.71,4736968
"2014-02-13",40.39,41.25,39.85,41.1,11234071
"2014-02-20",40.52,40.67,39.8,40.18,5201909
"2014-02-27",40.17,40.7,40.06,40.62,3018766
"2014-03-06",39.99,40.08,38.55,39.03,7863358
"2014-03-13",37.28,37.62,36.62,37.16,10204433
"2014-03-20",37.06,37.54,36.98,37.1,9153206
"2014-03-27",36.73,36.99,36.26,36.26,10476657
"2014-04-03",37.61,37.81,37.35,37.52,2839270
"2014-04-10",37.43,37.95,36.42,36.44,4353382
"2014-04-17",36.1,36.24,35.53,35.87,3863804
"2014-04-24",36.28,36.48,35.58,35.62,6518074
