"","NTRS.Open","NTRS.High","NTRS.Low","NTRS.Close","NTRS.Volume"
"2011-09-15",36.95,37.34,36.5,37.19,2369900
"2011-09-22",33.95,34.31,33.51,34.03,4112891
"2011-09-29",35.57,36.02,35.02,36.01,2691960
"2011-10-06",36.31,36.8,35.58,36.71,2146021
"2011-10-13",37.72,37.82,36.46,36.85,2830058
"2011-10-20",37.91,38.83,37.44,38.61,2375269
"2011-10-27",41.49,42.7,41.23,42.42,2992073
"2011-11-03",40.21,40.66,39.07,40.58,1953480
"2011-11-10",39.11,39.25,38.45,38.82,1622856
"2011-11-17",37.86,38.02,36.88,37.09,2039035
"2011-12-01",37.37,37.62,37.01,37.33,1271313
"2011-12-08",40.16,40.22,38.89,38.97,2460771
"2011-12-15",39.77,39.86,39.2,39.24,1994454
"2011-12-22",39.85,40.72,39.77,40.53,1148671
"2011-12-29",39.57,40.11,39.53,39.94,1214140
"2012-01-05",40.35,41.13,39.86,40.96,1033315
"2012-01-12",42.29,42.58,41.91,42.52,1210942
"2012-01-19",41.29,42.32,41.08,42.12,1471155
"2012-01-26",42.19,42.67,41,41.08,2687646
"2012-02-02",42.23,42.58,41.97,42.4,1480400
"2012-02-09",44.33,44.36,43.9,44.06,1243897
"2012-02-16",43.27,43.92,43.08,43.85,911598
"2012-02-23",43.05,43.88,42.76,43.88,800335
"2012-03-01",44.53,45.07,44.46,44.96,1078388
"2012-03-08",43.98,44.07,43.6,43.97,1133180
"2012-03-15",46,47.49,45.74,47.2,2322065
"2012-03-22",47.06,47.18,46.58,46.95,1265994
"2012-03-29",47.21,47.24,46.58,47.1,856827
"2012-04-05",46.81,47.23,46.81,47.1,1165743
"2012-04-12",45.87,46.84,45.87,46.79,744633
"2012-04-19",46.64,47.02,46.07,46.46,1087991
"2012-04-26",46.7,47.33,46.58,47.17,1345510
"2012-05-03",47.08,47.54,46.97,47.04,1171089
"2012-05-10",45.63,45.98,45.28,45.37,1374361
"2012-05-17",43.93,44.05,43.49,43.57,1413678
"2012-05-24",43.59,43.67,43.04,43.66,1379698
"2012-05-31",42.8,43.37,42.32,43.18,1120812
"2012-06-07",42.94,43.26,42.59,42.76,1311226
"2012-06-14",43.16,43.91,43.11,43.64,1382974
"2012-06-21",44.61,44.82,43.27,43.29,1265618
"2012-06-28",43.6,44.07,42.94,44.01,1126972
"2012-07-05",46.46,47.29,46.33,47.05,2203366
"2012-07-12",46.19,46.31,45.73,45.82,899658
"2012-07-19",46.31,46.75,45.9,46,1114726
"2012-07-26",45.38,45.55,44.93,45.44,804040
"2012-08-02",44.66,44.69,43.68,44.09,1463977
"2012-08-09",46.04,46.41,46.01,46.17,947940
"2012-08-16",46.37,47.31,46.37,47.18,796086
"2012-08-23",46.74,46.83,46.16,46.18,821639
"2012-08-30",46.17,46.39,45.66,46.17,1132856
"2012-09-06",47,47.99,46.95,47.91,1504985
"2012-09-13",47.88,49.13,47.64,48.88,1454418
"2012-09-20",47.6,47.79,47.13,47.75,1618096
"2012-09-27",46.57,46.96,46.29,46.55,1079683
"2012-10-04",47.76,47.99,47.53,47.71,939981
"2012-10-11",47.24,47.39,47.02,47.05,853622
"2012-10-18",48.4,48.52,48.08,48.32,976965
"2012-10-25",47.5,47.61,47.12,47.33,866429
"2012-11-01",47.99,48.32,47.53,48.3,896130
"2012-11-08",46.91,47.48,46.47,46.54,1168081
"2012-11-15",46.26,46.69,46.01,46.52,1391988
"2012-11-29",48.24,48.4,47.95,48.13,770716
"2012-12-06",47.5,47.66,47.21,47.65,572849
"2012-12-13",47.7,47.78,47.4,47.55,550976
"2012-12-20",49.57,50.21,49.37,50.21,1923513
"2012-12-27",49.93,50.11,49.37,49.94,964010
"2013-01-03",51.7,51.84,51.38,51.79,1479418
"2013-01-10",52.36,52.61,52.16,52.41,1124538
"2013-01-17",49.92,50.25,49.36,50.05,3604945
"2013-01-24",50.57,51.26,50.57,50.88,1358454
"2013-01-31",52.05,52.1,51.45,51.48,1243096
"2013-02-07",52.46,52.74,51.98,52.58,1762917
"2013-02-14",52.92,53.18,52.7,53.09,1232834
"2013-02-21",53.2,53.2,52.39,52.52,955189
"2013-02-28",53.12,53.53,52.82,53.19,1018451
"2013-03-07",54.09,54.46,53.84,54.41,703110
"2013-03-14",55.01,55.45,54.91,55.19,995191
"2013-03-21",54.14,54.28,53.54,53.81,1726003
"2013-03-28",54.64,54.64,54.24,54.56,812069
"2013-04-04",54.24,54.66,54.07,54.34,686817
"2013-04-11",55.86,56.66,55.36,56.09,1292565
"2013-04-18",52.93,52.99,51.93,51.99,1727517
"2013-04-25",53,53.56,52.92,53.12,1180749
"2013-05-02",53.23,53.77,53.04,53.21,1037557
"2013-05-09",54.49,54.63,54.25,54.54,1046492
"2013-05-16",56.87,57.81,56.87,57.18,1418378
"2013-05-23",57.39,57.71,56.77,57.11,1283937
"2013-05-30",58.72,59.21,58.52,58.84,1459778
"2013-06-06",56.8,57.47,56.4,57.45,1353444
"2013-06-13",56.56,57.69,56.51,57.66,937070
"2013-06-20",57.47,58.79,57.34,58.11,3001443
"2013-06-27",57.74,58.36,57.65,58.31,1667175
