"","NUE.Open","NUE.High","NUE.Low","NUE.Close","NUE.Volume"
"2011-09-15",34.65,35.19,34.33,35.08,3438861
"2011-09-22",31.93,32.04,30.72,31.25,10240672
"2011-09-29",32.72,32.98,31.74,32.46,4310505
"2011-10-06",33.15,34.03,32.96,33.83,3591913
"2011-10-13",35.2,35.6,34.56,35.41,2929936
"2011-10-20",35.38,36.07,34.68,35.91,4438361
"2011-10-27",38.36,39.84,38.21,39.39,6254710
"2011-11-03",38.23,38.75,37.6,38.53,2778792
"2011-11-10",38.24,38.77,37.77,38.38,3259841
"2011-11-17",38.72,39.16,37.74,38.01,3770017
"2011-12-01",39.15,39.77,39,39.47,4170860
"2011-12-08",40.8,40.8,39.45,39.58,4192769
"2011-12-15",39.08,39.32,37.98,38.61,4530029
"2011-12-22",39.8,40.33,39.65,40.11,2279272
"2011-12-29",39.58,39.89,39.35,39.59,1995769
"2012-01-05",40.51,40.99,40.08,40.95,2190188
"2012-01-12",42.25,42.45,41.76,42.27,2666501
"2012-01-19",42.68,43.12,42.65,42.9,2838550
"2012-01-26",44.03,44.6,43.91,44.13,2979979
"2012-02-02",44.9,45.13,44.51,44.56,2374980
"2012-02-09",45.53,45.75,44.87,45.4,2192786
"2012-02-16",43.24,44.14,42.91,44.14,2934724
"2012-02-23",43.57,43.65,43.05,43.63,2026556
"2012-03-01",43.76,44.15,43.65,43.83,1817107
"2012-03-08",41.74,41.95,41.24,41.65,1583757
"2012-03-15",43.22,43.91,42.72,43.45,5698851
"2012-03-22",43.05,43.08,42.26,42.89,2970510
"2012-03-29",42.13,42.81,41.98,42.81,1836509
"2012-04-05",42.1,42.57,41.59,41.69,2308509
"2012-04-12",41.26,42.4,41.26,42.25,2144444
"2012-04-19",42,42.01,39.88,40.09,7787481
"2012-04-26",39.1,39.6,38.9,39.5,1780436
"2012-05-03",39.04,39.26,38.53,38.58,2078595
"2012-05-10",37.62,37.82,36.92,37.05,2883639
"2012-05-17",35.16,35.48,34.71,34.79,3182158
"2012-05-24",36.06,36.21,35.31,35.73,4374996
"2012-05-31",35.88,36.02,35.08,35.76,2991368
"2012-06-07",37.28,37.98,37.09,37.3,8381107
"2012-06-14",36.06,36.7,35.74,36.53,3012177
"2012-06-21",38.29,38.29,37.33,37.36,11346860
"2012-06-28",36.4,37.13,36.27,37.09,2107527
"2012-07-05",38.73,39.2,38.5,38.86,1965125
"2012-07-12",37.38,37.95,36.8,37.7,2195244
"2012-07-19",37.98,38.57,37.61,38.23,3590563
