"","NVDA.Open","NVDA.High","NVDA.Low","NVDA.Close","NVDA.Volume"
"2011-09-15",15.62,15.7,15.36,15.5,18822648
"2011-09-22",13.9,13.92,13.25,13.51,32865773
"2011-09-29",13.66,13.89,12.75,13.09,21665363
"2011-10-06",13.43,13.93,13.41,13.89,19332167
"2011-10-13",14.54,15.49,14.5,15.46,21370722
"2011-10-20",14.76,14.82,13.84,14.41,24763378
"2011-10-27",15.16,15.4,14.82,15.25,14447705
"2011-11-03",13.97,14.68,13.6,14.65,18734278
"2011-11-10",14.67,14.82,14.11,14.47,24762018
"2011-11-17",14.55,14.59,13.8,14.06,16439665
"2011-12-01",15.5,15.86,15.43,15.82,13246874
"2011-12-08",15.02,15.27,14.64,14.69,12288755
"2011-12-15",13.81,13.9,13.43,13.46,10881738
"2011-12-22",13.76,14.35,13.76,14.3,14416187
"2011-12-29",13.85,14,13.65,13.97,5277991
"2012-01-05",14.13,14.78,14.07,14.71,14089284
"2012-01-12",14.22,14.23,13.79,14.1,16309571
"2012-01-19",14.1,14.37,13.95,14.35,15207925
"2012-01-26",15.07,15.24,14.63,14.71,19995196
"2012-02-02",15.01,15.55,14.86,15.48,17411491
"2012-02-09",16.51,16.6,16.27,16.3,14050995
"2012-02-16",15.06,16.58,15,16.45,47223210
"2012-02-23",15.85,16,15.6,15.91,8099102
"2012-03-01",15.21,15.43,15.15,15.25,11249134
"2012-03-08",14.85,15.01,14.77,14.86,10771486
"2012-03-15",14.41,14.66,14.36,14.58,9564493
"2012-03-22",14.35,14.56,14.31,14.44,10635444
"2012-03-29",15.14,15.35,14.95,15.23,9317801
"2012-04-05",14.67,14.85,14.58,14.63,9233270
"2012-04-12",14.36,14.76,14.3,14.68,9621629
"2012-04-19",13.69,14.21,13.59,13.66,16682464
"2012-04-26",13.07,13.2,12.98,13.09,13480351
"2012-05-03",12.88,12.96,12.55,12.63,10489016
"2012-05-10",12.63,12.65,12.22,12.42,14927203
"2012-05-17",12.79,12.91,12.65,12.65,8385998
"2012-05-24",12.51,12.53,12.02,12.11,13010829
"2012-05-31",12.57,12.62,12.27,12.43,8954822
"2012-06-07",12.57,12.64,11.88,11.89,13171593
"2012-06-14",12.16,12.26,11.91,12.03,14751544
"2012-06-21",13.44,13.44,12.81,12.84,12912374
"2012-06-28",13.02,13.32,12.91,13.24,13650998
"2012-07-05",13.71,13.77,13.45,13.66,7002927
"2012-07-12",12.47,12.49,12.28,12.4,11803985
"2012-07-19",13.15,13.36,13.06,13.18,10075900
"2012-07-26",13.33,13.48,13.05,13.15,8461413
"2012-08-02",13.32,13.64,13.1,13.44,9197768
"2012-08-09",14.25,14.74,14.23,14.71,20557490
"2012-08-16",14.61,14.82,14.56,14.78,9278652
"2012-08-23",14.61,14.62,14.25,14.3,9480902
"2012-08-30",14.29,14.34,13.98,14.05,7687782
"2012-09-06",13.42,14.09,13.41,13.73,16434017
"2012-09-13",13.71,13.76,13.42,13.68,10849542
"2012-09-20",13.68,13.75,13.5,13.61,8015174
"2012-09-27",13.21,13.3,13.1,13.28,13972284
"2012-10-04",13.07,13.7,13,13.62,12565356
"2012-10-11",12.79,12.83,12.64,12.74,8013936
"2012-10-18",13.03,13.03,12.8,12.86,6369380
"2012-10-25",12.27,12.4,12.13,12.18,7683905
"2012-11-01",12.04,12.56,12.03,12.55,11830946
"2012-11-08",12.75,13.08,12.65,12.68,20975536
"2012-11-15",11.61,11.91,11.51,11.59,11668667
"2012-11-29",12.28,12.34,12,12.04,12217380
"2012-12-06",11.93,12.06,11.88,11.98,10322315
"2012-12-13",12.5,12.77,12.41,12.53,9444022
"2012-12-20",12.7,12.71,12.5,12.64,8358284
"2012-12-27",12.26,12.28,12.02,12.16,7495030
"2013-01-03",12.72,12.87,12.58,12.73,7472170
"2013-01-10",12.32,12.38,12.16,12.23,12659713
"2013-01-17",12.13,12.3,12.1,12.25,14521240
"2013-01-24",12.09,12.24,12.03,12.19,9927094
"2013-01-31",12.32,12.46,12.18,12.26,11766209
"2013-02-07",12.3,12.4,12.17,12.29,11004032
"2013-02-14",12.2,12.74,12.05,12.73,22051335
"2013-02-21",12.36,12.5,12.26,12.29,14510133
"2013-02-28",12.56,12.85,12.51,12.66,14784838
"2013-03-07",12.86,12.99,12.69,12.76,7875550
"2013-03-14",12.82,12.86,12.67,12.75,9582541
