"","NWSA.Open","NWSA.High","NWSA.Low","NWSA.Close","NWSA.Volume"
"2013-06-20",16.37,16.37,15.25,15.3,9274128
"2013-06-27",15.34,15.87,14.85,15.5,12121663
"2013-07-11",15.6,15.6,14.96,15.13,17029504
"2013-07-18",15.94,16.1,15.33,15.47,10825686
"2013-07-25",15.66,15.87,15.45,15.57,7069652
"2013-08-01",15.94,16.28,15.94,16.22,10311196
"2013-08-08",16.07,16.31,15.91,16.13,7110389
"2013-08-15",15.79,16.19,15.7,16.1,5159995
"2013-08-22",15.76,15.82,15.63,15.71,3730850
"2013-08-29",15.73,15.89,15.64,15.77,2795510
"2013-09-05",15.97,16.28,15.88,16.24,3521221
"2013-09-12",17.12,17.26,16.94,17.1,4836504
"2013-09-19",17.1,17.1,16.66,16.87,3286081
"2013-09-26",16.77,16.87,16.1,16.29,12737906
"2013-10-03",16.14,16.25,15.79,15.87,17833508
"2013-10-10",15.98,16.25,15.94,16.22,5506679
"2013-10-17",16.64,16.81,16.62,16.8,3971966
"2013-10-24",17.07,17.4,17.02,17.29,4734938
"2013-10-31",17.37,17.77,17.34,17.6,4698013
"2013-11-07",17.51,17.62,17.25,17.26,3888155
"2013-11-14",17.24,17.38,17.18,17.25,2920573
"2013-11-21",17.71,17.75,17.54,17.56,4075019
"2013-12-05",16.54,17.55,16.54,17.46,2563731
"2013-12-12",17.64,17.66,17.49,17.49,4073040
"2013-12-19",17.41,17.47,17.29,17.36,2475945
"2013-12-26",17.99,18.07,17.64,17.77,2259900
"2014-01-02",18.05,18.17,17.82,17.95,3673373
"2014-01-09",17.38,17.48,17.27,17.34,2852717
"2014-01-16",17.2,17.26,17.05,17.08,2833380
"2014-01-23",16.5,16.58,16.36,16.53,3085393
"2014-01-30",16.28,16.3,16.16,16.2,9436465
"2014-02-06",15.64,16.11,15.61,16.02,4985190
"2014-02-13",17.55,17.82,17.41,17.66,2168637
"2014-02-20",17.6,17.64,17.31,17.5,2549678
"2014-02-27",17.95,18.06,17.86,18.02,2363334
"2014-03-06",18.32,18.43,18.19,18.28,1897580
"2014-03-13",17.82,17.91,17.31,17.34,2515172
"2014-03-20",17.45,17.56,17.32,17.51,1290772
"2014-03-27",17.09,17.23,16.99,17.02,4109777
"2014-04-03",17.47,17.52,17.09,17.11,3712837
"2014-04-10",17.23,17.32,16.83,16.83,2395313
"2014-04-17",16.72,17.02,16.72,16.88,1113032
"2014-04-24",17.29,17.44,17.01,17.28,1958138
"2014-05-01",17.21,17.39,17.06,17.3,2417947
"2014-05-08",17.09,17.17,16.88,17.11,3885686
"2014-05-15",17.18,17.23,16.87,16.87,2973961
"2014-05-22",16.98,17.22,16.83,17.17,2657695
"2014-05-29",17.09,17.17,16.97,17.12,2734750
"2014-06-05",17.54,17.74,17.33,17.72,1616447
"2014-06-12",17.56,17.56,17.3,17.3,7379602
"2014-06-19",17.52,17.68,17.23,17.67,3407296
"2014-06-26",17.8,18.03,17.55,18.02,6005460
"2014-07-03",18.27,18.34,18.18,18.28,1421367
"2014-07-10",18.1,18.13,17.92,17.99,4187707
"2014-07-17",18.2,18.24,18.04,18.05,2809368
"2014-07-24",18.19,18.31,18.09,18.29,2703180
"2014-07-31",17.77,17.93,17.62,17.65,2700660
"2014-08-07",17.72,17.72,17.37,17.42,6681552
"2014-08-14",17.17,17.32,17.13,17.31,1905753
"2014-08-21",17.47,17.6,17.39,17.58,3522379
"2014-08-28",17.65,17.75,17.51,17.67,2239362
"2014-09-04",17.67,17.8,17.57,17.6,1900359
"2014-09-11",17.41,17.47,17.26,17.28,1507638
"2014-09-18",17.07,17.16,16.94,17.03,2598726
"2014-09-25",16.78,16.88,16.68,16.71,2239588
"2014-10-02",16,16.07,15.68,15.8,5823550
"2014-10-09",15.97,15.97,15.36,15.48,6348689
"2014-10-16",14.42,14.83,14.28,14.6,9051829
"2014-10-23",15.54,15.63,15.39,15.51,2345876
"2014-10-30",15.44,15.61,15.35,15.49,2491748
"2014-11-06",15.84,15.91,15.32,15.33,9514182
"2014-11-13",15.33,15.33,14.85,14.99,8896625
"2014-11-20",14.69,15.21,14.68,15.14,7643570
