"","OKE.Open","OKE.High","OKE.Low","OKE.Close","OKE.Volume"
"2014-09-15",67.5,67.7,67.2,67.38,808772
"2014-09-22",68.19,68.24,67.12,67.27,808358
"2014-09-29",65.53,66.2,65.05,66.07,1254659
"2014-10-06",64.36,64.72,63.52,64.1,615723
"2014-10-13",58.33,58.65,55.07,55.15,2031105
"2014-10-20",57.36,58.8,57.29,58.7,1723309
"2014-10-27",61.02,61.15,59.55,60.41,1230099
"2014-11-03",59.13,59.66,58.22,58.39,1666177
"2014-11-10",57.48,57.97,55.96,56.19,1542394
"2014-11-17",55.71,56.38,55.3,56.09,1179327
"2014-11-24",58.41,58.81,57.97,58.04,1360007
"2014-12-01",54.1,54.4,51.24,51.95,3486744
"2014-12-08",52.25,52.44,48.04,48.34,3496862
"2014-12-15",45.12,45.46,44.05,44.32,2018991
"2014-12-22",49.52,49.81,48.36,49.78,2387837
"2014-12-29",49.89,50.85,49.86,50.21,2015508
"2015-01-05",49.25,49.28,46.97,47.06,2151241
"2015-01-12",43.07,43.17,40.48,41.1,4277296
"2015-01-26",44.21,45.23,44.06,45.03,1252385
"2015-02-02",44.4,45.26,44.13,45.19,2077760
"2015-02-09",46.95,47.38,46,46.2,1420105
"2015-02-23",47.18,47.68,46.02,47.42,2466264
"2015-03-02",44.26,44.29,43.59,44.07,1398606
"2015-03-09",47.56,48.28,46.67,46.99,3905248
"2015-03-16",44.84,45.16,44.17,45.13,2323875
"2015-03-23",47.37,48.72,47.37,48.62,1869096
"2015-03-30",47.44,48.18,47.26,48.04,2092980
"2015-04-06",48.16,49.1,48.15,48.87,1491437
"2015-04-13",48.34,48.55,47.26,47.65,1469822
"2015-04-20",49.57,49.98,49.07,49.13,1993117
"2015-04-27",49.44,49.51,48.48,48.57,1320380
"2015-05-04",48.65,48.86,48.1,48.12,1470311
"2015-05-11",44.79,44.79,43.26,43.38,1912522
"2015-05-18",45.52,46.22,45.22,45.85,1532236
"2015-06-01",41.88,42.05,41.23,41.31,1750945
"2015-06-08",39.7,40.04,39.34,39.46,2164211
"2015-06-15",38.59,39.53,38.53,39.02,2526725
"2015-06-22",39.79,41.3,39.79,40.79,3713848
"2015-06-29",39.35,39.88,39.07,39.11,1582305
"2015-07-06",38.77,38.98,37.78,37.93,1708464
"2015-07-13",39.95,41.38,39.95,41.2,2168359
"2015-07-20",40.25,40.4,38.84,39.09,2581196
"2015-07-27",37.4,38.15,36.92,37.87,1830406
"2015-08-03",37.55,37.55,36.41,36.57,2783198
"2015-08-10",34.78,35.72,34.54,35.7,2418964
"2015-08-17",36.26,36.79,36.16,36.59,2615711
"2015-08-24",32.82,33.68,31.43,32.17,4420461
"2015-08-31",35.31,36.36,34.57,36.01,3444091
"2015-09-14",35.03,35.11,34.37,34.5,2104911
"2015-09-21",35.95,36.68,35.57,36.49,1674834
"2015-09-28",34.69,34.93,32.87,33,2768873
"2015-10-05",35.15,36.98,35.11,36.94,2782211
"2015-10-12",39.58,39.62,38.21,38.8,1469569
"2015-10-19",38.51,38.6,37.47,38.33,2283813
"2015-10-26",36.06,36.19,34.55,34.6,1977712
"2015-11-02",33.5,34.61,33.44,34.4,1886037
"2015-11-09",31.6,31.93,30.53,30.8,2648292
"2015-11-16",28.64,29.74,28.41,29.72,2715027
"2015-11-23",28.62,29.48,28.42,29.09,1762803
"2015-11-30",29.63,29.87,29.16,29.48,2172177
"2015-12-07",23.97,23.97,21.09,21.62,6363914
"2015-12-14",20.11,20.61,19.68,20.6,4518046
"2015-12-21",19.41,21.87,19.34,21.85,10064114
"2015-12-28",24,24.19,23.23,24.12,3239146
"2016-01-04",24.66,25.56,24.48,25.35,4136633
"2016-01-11",23.71,23.82,22.2,22.61,3377446
"2016-01-25",24.41,25.96,23.61,23.62,4462510
"2016-02-01",24.11,24.16,22.85,23.44,3169747
"2016-02-08",24.3,24.45,21.79,23.16,5767139
"2016-02-22",21.15,21.75,21.07,21.4,4092509
"2016-02-29",23.11,24.37,22.83,24,4205817
"2016-03-07",26.37,28.17,26.37,27.63,4147925
"2016-03-14",27.85,28.43,27.52,28.18,2280168
"2016-03-21",30.78,30.82,29.32,29.69,2888556
"2016-03-28",28.4,28.79,28.06,28.33,1986198
"2016-04-04",28.6,29.41,28.3,28.37,2114650
"2016-04-11",30.35,30.8,29.82,30.05,2333756
"2016-04-18",30.57,32.81,30.44,32.16,3279848
"2016-04-25",35.8,36.06,34.93,35.38,2783539
"2016-05-02",35.96,36.1,34.89,35.98,2413563
"2016-05-09",40,40.53,38.56,39.24,2635219
"2016-05-16",41.73,42.18,41.29,41.81,2315962
"2016-05-23",41.51,42.2,41.15,41.67,2179798
"2016-06-06",44.42,45.74,44.33,45.1,2280243
"2016-06-13",44.8,45.52,44.35,44.98,2327670
"2016-06-20",46.3,46.66,45.89,46.04,3649251
"2016-06-27",45.54,46.58,44.14,44.62,3486039
"2016-07-11",47.47,48.26,47.43,47.44,1781452
"2016-07-18",47.82,47.95,47.33,47.7,1777778
"2016-07-25",45.53,45.96,44.85,45.43,2445272
"2016-08-01",44.39,44.69,42.79,42.99,2889703
"2016-08-08",45.33,46.36,45.15,45.58,2146665
"2016-08-15",47.1,47.59,46.73,46.77,2325927
"2016-08-22",49.03,49.03,47.91,48.07,2091647
"2016-08-29",46.98,47.42,46.56,47.36,1412912
"2016-09-12",48.28,49.86,47.5,49.3,2556416
